title,type,address,unclear.address,city,state,description,stars,star.type,mentions.race,mentions.disability,notes
Pipeline,Bars,9 Lansdowne St,,Boston,MA,Kenmore Square 9 Lansdowne St. Recommended disco. Games room. ,**,"Bars, Clubs, Coffeehouses",,,
Somewhere,Bars,295 Franklin St,,Boston,MA,"Tel. 423-7730. Seven days a week, a place for all women. Open noon-2am. Sundays: brunch 1-4pm. Live entertainment and tea dances 5-7pm. large TV screen, hot dog, dance till the morning hours. Lots of rave recommendations always come in for this one. ",****,"Bars, Clubs, Coffeehouses",,,
Together,Bars,110 Boylston St,,Boston,MA,(next to Colonial Theater) Tel. 426 0086. Highly recommended supper bar. ,**,"Bars, Clubs, Coffeehouses",,,
Buddies,Bars,733 Boylston St,,Boston,MA,Tel. 262 2480. Disco-OK for gay women. ,**(MGM),"Bars, Clubs, Coffeehouses",,,
Common Stock,Restaurant,48 Boylston St,,Boston,MA,"Tel. 247-8249. 'A restaurant for gay women, men and their friends.' Breakfast, lunch, dinner, late nights, fabulous weekend brunches. Many, many letters recommend this as an excellent and low-priced, high quality women's restaurant. ",**,Restaurants,,,
The Ideal,Restaurant,21 Huntingdon Ave,,Boston,MA,"(Copley Square) Tel. 247-8249. 'A restaurant for gay women, men and their friends.' Breakfast, lunch, dinner, late nights, fabulous weekend brunches. Many, many letters recommend this as an excellent and low-priced, high quality women's restaurant. ",**,Restaurants,,,
Oasis,Coffeehouse,355 Boylston St,,Boston,MA,"(chapel entrance) tel. 536-7050. Coffeehouse with music, run by MAXINE FELDMAN. Weds-Sun 7:30pm. ",****,"Bars, Clubs, Coffeehouses",,,
Xanadu Books,Bookstores,143 Albany St,,Boston,MA,02139.,,,,,
Avenue Victor Hugo Bookshop,Bookstores,339 Newbury St,,Boston,MA,Tel. 266-7746. Women's poetry and poetry readings by women. Coffeehouse type poetry reading nights. ,,,,,
Glad Day Bookstore,Gay Bookstore,75 Kneeland St,,Boston,MA,temporary location at CARRIER PIGEON 74 Kneeland St tel. 542-5679. Trying and reopen as soon as possible after being burnt out by fire on July 7 1982. ,,,,,
Cauldron Experimental Theater,Theater,22 Randolph St,,Boston,MA,"02118. Tel. 542 8575. 'We are a Lesbian Community Theater featuring long run theater productions, poetry, visual art, film, dance rituals political forums and more. We have a big empty loft space in Bsoton's South End founded in January 1981... lesbian theater is a viable artform.'",,,,,
The New England Women's Gym,Gym,46 Waltham St.,,Boston,MA,"Studio 107 46 Waltham St 02118 Tel. 451 3514. Lesbian run/owned gym. A supportive environment, designed for women interested in WEIGHT TRAINING, BODY BUILDING and POWER LIFTING. All women are welcome (beginners to professionals).",,,,,
Green River Cafe,Restaurant,3 1/2 Osgood St,,Greenfield,MA,"Tel. 773-9077. Gay coffeehouse. Women's entertainment. Community benefits, special women's nights. 'We are a consciousness-raising restaurant- a collective trying yo bring creative new ideas to the general public... new ownership, new philosophy'. Very highly recommended. ",*(**),Restaurants,,,
The Bookswap,Bookstores,22 Miles St,,Greenfield,MA,Tel. 774-3989. Used books/feminist titles and Olivia Records. ,,,,,
World Eye Bookshop,Bookstores,60 Federal St,,Greenfield,MA,"01301 Tel. 772-0844. General bookstore with women's titles, gay titles, lesbian titles. They sell GAIA'S GUIDE.",,,,,
Lesbian Support Group,Women's Center,27 Winter St,,Hyannis,MA,02601. Tel. 771-6739. At MERCY OTIS WOMEN'S CENTER. Additional address: 298 Main Street.,****(*),Organizations,,,
Blue Anchor,Bars,,checked,Hyannis,MA,get address and phone number and report back!,**,"Bars, Clubs, Coffeehouses",,,
Fran's Place,Bars,776 Washington St,,Lynn,MA,"Tel. 595 8961. Dance floor with disco lights. Pool table, video games, 8/9 booths, juke box, DJ booth. Quite a large bar seating 200 people. ",**,"Bars, Clubs, Coffeehouses",,,
Fonzie's (was R&R Club),Bars,78 Covel St,,New Bedford,MA,Mostly gay women. ,***,"Bars, Clubs, Coffeehouses",,,
The Meeting Place,Bars,1447 Acushnet Ave,,New Bedford,MA,Tel. 994-7674.,**,"Bars, Clubs, Coffeehouses",,,
The Iron Horse Coffeehouse,Coffeehouse,20 Center St,,Northhampton,MA,Tel. 584 0610 (recording) 584 3177. Live music 7 nights a week- the best in women's entertainment. Monthly events schedule. Coffee Happy hour: 8am- 10am. Serves 3 meals a day. Brunch served Sat and Sun until 2:30pm. ,*,"Bars, Clubs, Coffeehouses",,,
The Polish Club,Bars,,checked,Northhampton,MA,ask a WOMONFYRE BOOKS. 'Lesbians get together for socializing at the POLISH CLUB.',***,"Bars, Clubs, Coffeehouses",,,
Womonfyre Books,Feminist Bookstore,22 Center St ,,Northhampton,MA,"01060 Tel 586-6445. Women's books, records, posters, T-shirts, jewelry, magazines, buttons. Ticket outlet for wimmin's concerts, bumper stickers, cards and GAIA'S GUIDE. Open 10am-6pm Tues/Weds/Thurs & Fri 12 noon-5pm Saturady. 'We love visitors.' MAIL ORDER SERVICE/information Notebook/'Meet the Author'. ",,,,,
Beyond Words,Feminist Bookstore,150 Main St ,,Northhampton,MA,Tel. 586 6304. 'We carry books that celebrate the feminist spirit.' Including GAIA'S GUIDE. ,,,,,
Broadside Bookshop,Bookstores,247 Main St,,Northhampton,MA,"Tel. 586 4235. Feminist and gay titles. Hours: Mon thru Sat 9:30-5:30pm. Thursday evening 7-9pm on the spring, summer and fall. ",,,,,
Pennacook Guest House,Guest House,PO Box 1687,checked,Oak Bluffs,MA,"02557 Tel. 693 1231. Near beach and shopping area. Gay male owned, receptive and friendly to gay women. 'We welcome you.'",,,,,
The Sleepy Pilgrim Motel,Motel,Route 3 A 182 Court St,checked,Plymouth,MA,"Tel. 746-1962. 'A motel for all people'- air conditioning, color tv, walk to the beach or relax in the tree-shaded grounds.' Pets welcome. Recommended. ",,,,,
The Association of Suburban People (ASP),Group,PO Box 568,checked,Plymouth,MI,Write ASP PO Box 568 48170 Tel. 349 4487. South Eastern Michigan based Gay Group. Contact them as well about the new Parents of Gay Group which is now forming. ,*,Organizations,,,
Everywoman's Center,Women's Center,14 Center St,,Provincetown,MA,Box 949 for mail; location 14 Center St 02657. Supposed to be open from 4-6pm. Check it out and report back. ,,,,,
Cafe Edwige,Restaurant,333 Commercial St,,Provincetown,MA,"Breakfast, lunch, dinner, full bar. 'Excellent food and very pleasant atmosphere.'",*,Restaurants,,,
Vorelli's,Bars/Restaurants,228 Commercial St,,Provincetown,MA,Mail PO Box 901; 02657. No phone. Very popular restaurant with show bar/lounge area. They feature women entertainers as well as men. The atmosphere is always extremely pleasant and the central location is excellent. Clientele: gay women and men and a few others. Summer season only. Very highly recommended. ,**,"Bars, Clubs, Coffeehouses",,,
Pied Piper,Bars,193 Commercial St,,Provincetown,MA,"Mail to PO Box 680; 02657. Location: 193 commercial Street 02657 (Alley) Tel. 487-1527. Top disco, top entertainment, excellent restaurant, game room, piano bar, pinball and pool tables. Exciting atmosphere overlooking the water and all of Provincetown-decks for summer sunning and swimming. Open 10am-1am. THE place for women in Provincetown. By far one of the most highly recommended women's bars in the world. Exceptionally friendly. ",****,"Bars, Clubs, Coffeehouses",,,
The Cellar/at the CROWN AND ANCHOR,Bars,247 Commercial St,,Provincetown,MA,Tel. 487-1430. An all women's bar and a quiet respite from the disco scene. 'A place for women and their friends to meet.' Entertainment weekends (seasonal). ,****,"Bars, Clubs, Coffeehouses",,,
The Town House,Bars/Restaurants,291 Commercial St,,Provincetown,MA,"Tel. 487 0292. Super bar complex. 50% straight, 50% gay. ",*,"Bars, Clubs, Coffeehouses",,,
Womencrafts,Feminist Bookstore,373 Commercial St,,Provincetown,MA,"Mail Po Box 190; 02657. Location: 373 Commercial Street Tel. 487-9854. Feminist books, records, gifts, handcrafts, jewelry and many other items especially for lesbians- including records, gifts, handcrafts, jewelry and many other items especially for lesbians-including GAIA'S GUIDE. They have a bulletin board for accommodation, events, etc. Open during the summer only. Say hi from GAIA.",,,,,
The Gull Walk-Inn,Hotels/Motels/Guest Houses/ETC,300A Commercial St,,Provincetown,MA,"Mail to PO Box 456; 02657. Location: 300A Commercial St Tel. 487-9027. AN ALL WOMEN'S GUEST HOUSE (for 6 years!) Reasonable rates. Central location, large front yard and porch, TV/social lounge. Three steps off Commercial St, right near the bus depot, Boston ferry and the beach. OPEN ALL YEAR ROUND. Highly recommended.",,,,,
Sea Fox (was Back Stage),Restaurant,186 Commercial St,,Provincetown,MA,PO Box 193 186 Commercial St 02657 Tel. 487 3536. Mellow and comfortable. Show tunes and tapes of older music (40s to 60s). Omelettes plus fairly extensive breakfast and lunch menu. Gay owned. Gets the late night crowd. Open: 7am-2:30pm and 11pm-3am. Very highly recommended. ,*,Restaurants,,,
Lobster Pot,Restaurant,Commercial St,checked,Provincetown,MA,One block from the wharf and seems like the same menu as the old CLAMBAKE. It is fabulous! Clientele:mixed. Bar staff: gay and lesbian.,*,Restaurants,,,
Angel's Landing,Hotels/Motels/Guest Houses/ETC,353 Commercial St,,Provincetown,MA,"02657 Tel. 487 1420. Studies and apartments on the waterfront in the heart of Provincetown. Private beach, sundecks and a gorgeous view of the bay. Woman owned and operated. Gay women are more than welcome here. Say that GAIA sent you. ",,,,,
Pilgrim House Hotel,Hotels/Motels/Guest Houses/ETC,336 Commercial St,,Provincetown,MA,02657 Tel. 487-0319. A hotel for gay women and men- 50 rooms. Also disco and lounge with top name live entertainment. Dinners served. Piano bar and open mike nights. Very highly recommended. ,,,,,
The Gabriel Apartments,Hotels/Motels/Guest Houses/ETC,104A Bradfort St,,Provincetown,MA,02657 Tel. 487-3232. Furnished apartments and rooms for women only. Hot tub/sun deck/meeting/gathering space. Free coffee in central location. Free brochure upon request. 'Courtyard bar-B-ques/women's art gallery'. Women own and operate this resort guest house. ,,,,,
Renaissance Apartments,Hotels/Motels/Guest Houses/ETC,48 Commercial St,,Provincetown,MA,02657. Tel. 487-3083 (May-Oct) and (Chicago) (312) 752-1166 Oct-May. Situated in Provincetown's historic West End. These are fully and newly decorated apartments across the street from the beach. Free parking and pets welcome. Owned by two friendly young guys who've been together for over 20 years. Welcome gay women. Theirs is a small operation. 'Many women recommend RENAISSANCE.',,,,,
Watership Inn,Hotels/Motels/Guest Houses/ETC,7 Winthrop St,,Provincetown,MA,"02657 Tel. 487-0094. 'Serving gay women and gay men.' The location is good and central, the rooms are unique and comfortable. Private baths, contintetal breakfasts. The atmosphere is friendly and homey. Bar mixes are also available and WATERSHIP INN is very, very highly recommended. ",,,,,
The Captain and His Ship,Hotels/Motels/Guest Houses/ETC,164 Commercial St,,Provincetown,MA,"02657 Tel. 487 1850. An old Victorian house which has been restored and kept very nicely. Reasonable rates, living room with color TV, open all year round. Walking distance to shops, bars and beach. Rooms with water view. Very highly recommended by traveling gat women. ",,,,,
Richmond Inn,Hotels/Motels/Guest Houses/ETC,4 Conant St,,Provincetown,MA,"Tel. 487-9193. 20 feet from Commercial Street and 3 blocks from PIED PIPER. It's a nice place to stay, gay owned and about $30.00 a night for a double.",,,,,
Boatslip Hotel,Hotels/Motels/Guest Houses/ETC,161 Commercial St,,Provincetown,MA,"Tel. 487 1669. Bar and swimming pool plus disco. Gay Clientele and very, very highly recommended. 6 apartments/40 rooms. Restaurant. Motel.",,,,,
Twelve Center,Hotels/Motels/Guest Houses/ETC,,checked,Provincetown,MA,"Tel. 487-0381. An elegant 1872 house. Rates $28 double. Efficiency cottage $40 per night, $250 per week. Complimentary coffee. 'Wonderful guest house-great hosts, Roger and Jon, made us feel welcome. Very good prices and clean lovely rooms. They give comp tickets to some of the bars too.'",,,,,
Coat of Arms,Hotels/Motels/Guest Houses/ETC,7 Johnson,,Provincetown,MA,Tel. 487 0816.,,,,,
Haven House,Hotels/Motels/Guest Houses/ETC,12 Carver St,,Provincetown,MA,Tel. 487 3031. Swimming pool. Open year round. ,,,,,
Sandpiper Beach House,Hotels/Motels/Guest Houses/ETC,165 Commercial St,,Provincetown,MA,"02657 Tel. 487 1928. Nice rooms, friendly, helpful, happy people.' Located on beach and next door to the BOATSLIP MOTOR INN (same ownership). SANDPIPER guests have the use of BOATSLIP, swimming pool deck, lounge, chairs. Free parking. Three short blocks away from PIED PIPER and other women's bars. Very very highly recommended. ",,,,,
Misha's Inn,Hotels/Motels/Guest Houses/ETC,9 Soper St,,Provincetown,MA,Tel. 487 0818.,,,,,
Ocean's Inn,Hotels/Motels/Guest Houses/ETC,386 Commercial St,,Provincetown,MA,Tel. 487 0358. Seasonal. ,,,,,
Gifford House,Hotels/Motels/Guest Houses/ETC,9-11 Carver St,checked,Provincetown,MA,Tel. 487 0688. Seasonal. ,,,,,
Crown and Anchor Motor Inn,Hotels/Motels/Guest Houses/ETC,247 Commercial St,,Provincetown,MA,"PO Box 111, 247 Commercial St 02657 Tel. 487 1430. Thirty hotel rooms, swimming pool (summer only), five bars, a restaurant, disco, entertainment center and a shopping arcade. Clientele: mostly gay men in summer season. Women are always most welcome, but 'post-season it was mixed straight and mostly gay men.'",,,,,
Rose and Crown Guest House,Hotels/Motels/Guest Houses/ETC,158 Commercial St,,Provincetown,MA,Tel. 487 3332 02657. 'Comfort and elegance.',,,,,
Chancellor Inn,Hotels/Motels/Guest Houses/ETC,17 Center St,,Provincetown,MA,Tel. 487 9423.,,,,,
Victoria House,Hotels/Motels/Guest Houses/ETC,5 Standish,,Provincetown,MA,Tel. 487 1319.,,,,,
Christopher Inn Guest House,Hotels/Motels/Guest Houses/ETC,8 Dyer St,,Provincetown,MA,02657 Tel. 487 1920. Pool deck. Continental breakfast. Set ups. Open all year round. Center of town. Brochure and rates available on request. ,,,,,
White Wind,Hotels/Motels/Guest Houses/ETC,174 Commercial St ,,Provincetown,MA,Tel. 487-1526,,,,,
Trade Winds Inn,Hotels/Motels/Guest Houses/ETC,12 Johnson St,,Provincetown,MA,Tel. 487-0138. Seasonal. ,,,,,
Normandy house,Hotels/Motels/Guest Houses/ETC,184 Bradford,,Provincetown,MA,"02657 Tel. 487 1197. 'Reasonably priced guest rooms, cottages and apartments.'",,,,,
Carl's Guest House,Hotels/Motels/Guest Houses/ETC,68 Bradford ,,Provincetown,MA,"02657 Tel. 487 1650. 'Clean, comfortable, inexpensive. Convenient to all, friendly.' April through November.",,,,,
Peasant Stock,Restaurant,415 Washington St,,Somerville,MA,"Tel. 354 9528. International dishes from around the world. Beers and wines. Open for lunch, dinner, and Sunday brunch. ",,,,,
Women's Center,Center,38 Union Square,,Somerville,MA,(above Laundromat) Tel. 628-6311 (Tuesday 7-9pm office hours). Women's coffeehouse every Mon eve at 7:30-10:30pm. ,****(*),Organizations,,,
Women's Center,Women's Center,M E Woolley Student Center Mt Holyoke College,checked,South Hadley,MA,Tel. 538 2178. Lesbian Alliance meets there. ,****(*),Organizations,,,
Wimmin's Music On WMHC,Radio Programs,,checked,South Hadley,MA,91.5 FM Tel. 538-2044. Saturdays from 12 noon to 2pm. Cell in when they're on the air. 'Where wimmin are the sound of the world'. ,,,,,
Di Rocco's Cabaret,Bars,147 Frost Rd,,Tyngsboro,MA,"(Rte 3A). Tel. 649-9186. Large disco- pulsating dance floor, pooltables, pinball, Live entertainment on Sunday evenings. Monthly buffet parties. Open Weds-Sun 8pm-1am. Fri Sat 8pm-2am. About 20% gay women. Recommended. ",**,"Bars, Clubs, Coffeehouses",,,
Isaiah's Lounge,Bars,11 Thomas St,,Worcester,MA,01605 Tel. 798 8950/791 7195. A disco bar. Good place to talk and meet old and new friends. Monthly entertainment. Open: Sat- Sun from 4pm. Mon-Fri from 2pm. Closes 1 am Sun. The rest of the week it's 2am. Games and snacks and quite OK for gay men. Recommended. ,**(MGM),"Bars, Clubs, Coffeehouses",,,
The Uncommon Reader,Feminist Bookstore,51 Union St,,Worcester,MA,Tel 791 5127. Open Monday to Saturday 10am-6pm. They sell GAIA'S GUIDE.,,,,,
The Mailbox,Bars,282 Main St,,Worcester,MA,01068 Tel. 752-8993. There's a wide dance floor and the disco music is excellent. The DJ sits above in a room with glass window. Fantastic lights. Piano bar: gay singers- jazz and blues. Clientele: all gay. Closing time 2am. ,,,,,
Ambitious Amazons,Library,PO Box 811,checked,Lansing,MI,East Lansing 48823. ,,,,,
Joe Covello's ,Bars,535 E Michigan Ave,,Lansing,MI,"Tel. 482 4577 or 482 4557. All gay bar/mostly women on Thursday nights. College crowd, near Michigan State. No cover charge. A real old-timer. Say Hi from GAIA.",***,"Bars, Clubs, Coffeehouses",,,
The Rubaiyat,Bars,102 S First St,,Ann Arbor,MI,"(at Huron); 48106 Tel. 663 2401. Contradicting the description in GAIA'S GUIDE 1962, here is a description of the current scene at THE RUBAIAYAT: 'Disco and restaurant, lovely place. Clientele: ALL GAY- women and men mixing very well together. College crowd. your night is Wednesday and now highly recommended.'",(MGM)**(**),"Bars, Clubs, Coffeehouses",,,
Lesbian Advocate,Lesbian Center,530 South State St,,Ann Arbor,MI,3116 Michigan Union 530 South State St 48104 Tel. 662 1977 (Hot Line 9am-5pm daily). 'We work closely with the lesbian and feminist communities as well as with students and gay men's Advocate office.' Peer counseling and referrals. Very handy NEWSLETTER/resource list. Social activities. Serving lesbians and working closely with bi-sexuals and straight women. 'All are welcome by appointment or by drop-in.',*****,Organizations,,,
Gay Switchboard,Services,,checked,Detroit,MI,"Tel. 577 3450. Mon-Thurs. 6pm-10pm and 6pm-11pm Fridays and Saturdays, 'volunteers needed'. ",,,,,
Lady's Love Disco,Bars,5 W 7 Mile,,Detroit,MI,Tel. 892 6522. Extremely pleasant interior lots of plants and graphics. Small comfortable and highly recommended. Sunday brunch noon-3pm. ,****,"Bars, Clubs, Coffeehouses",,,
Amigas,Bars,19326 Conant,,Detroit,MI,"Tel. 891 9795. Disco. Woman DJ on weekends. Open 7pm-2am (located three blocks North of 7 Mile Drive). 'Older crowd, role playing and the neighborhood is BAD.'",****,"Bars, Clubs, Coffeehouses",,,
Gigi's ,Bars,16920 W Warren,,Detroit,MI,"Tel. 584 6525. 3 blocks east of Southfield and there is a disco. Upper deck for men, lower deck for women. Upper deck open from 2pm-2am. Bar for women opens at 8pm on Monday, Friday and Saturday. Friday night is the 'Gay Go-Go Gi~s·",**(**),"Bars, Clubs, Coffeehouses",,,
Tiffany's ,Bars,17346 Woodward Ave,,Detroit,MI,Mailing address PO Box 48303 17346 Woodward Ave (nr 6 Mile) Tel 956 8326. 2pm-2:30am.,**,"Bars, Clubs, Coffeehouses",,,
The Deck,Bars,14901 E Jefferson Ave,,Detroit,MI,"Pleasant, congenial neighborhood-type bar. Open 12 noon. ",**(MGM),"Bars, Clubs, Coffeehouses",,,
Incognito,Bars,441 E 7 Mile,,Detroit,MI,Tel. 892 9303.,**,"Bars, Clubs, Coffeehouses",,,
Menjo's ,Bars,928 W McNichols,,Detroit,MI,Popular disco with outdoor patio in the summer. Women mostly on Sunday. ,**(MGM),"Bars, Clubs, Coffeehouses",,,
The Underground,Bars/Restaurants,1553 W 8 Mile Dr,,Detroit,MI,Tel. 341 4423. Find it at the corner of Greenfield. Gay women. Disco: dinner and breakfast. Open 8pm-2am. Until 4am weekends. Recommended. (Slightly older crowd'.),****,"Bars, Clubs, Coffeehouses",,,
Aruba,Bars,99 W 7 Mile,,Detroit,MI,Tel. 893 8460. Large game room/Californian decor. Women always welcome. ,**(MGM),"Bars, Clubs, Coffeehouses",,,
Chosen Books,Bookstores,19400 Alcoy,,Detroit,MI,48203. Alternative bookstore with gay and lesbian titles. They sell GAIA'S GUIDE.,,,,,
The Back Stage Deli,Restaurant,1020 W 7 Mile ,,Detroit,MI,Tel. 892 9645. An Excellent and friendly restaurant near the bars. ,*,Restaurants,,,
Crew's Inn,Bars/Restaurants,950 W McNichols,,Detroit,MI,Restaurant/bar combined. Dancing and good food 24 hours. Lots of women at weekends. ,**,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church,Religious Groups,2474 S Ballenger,,Flint,MI,Meets every Sunday at 2pm in the Unitarian Church at the same address. Loosely affiliated with MOONRISE. ,,,,,
Flint NOW,Group,PO Box 1324,checked,Flint,MI,48501,,,,,
The Copa,Bars,510 S Saginaw,,Flint,MI,Tel. 767 0300. ,**,"Bars, Clubs, Coffeehouses",,,
State Bar,Bars,2512 S Dort Highway,,Flint,MI,Tel 767 7050. Open 7 days a week. Dance floor. Mixed. Owned by women. ,**,"Bars, Clubs, Coffeehouses",,,
Papa Joe's,Bars,43 1/2 S Division,,Grand Rapids,MI,Tel. 458 2224. Mixed gay and some straights. ,***,"Bars, Clubs, Coffeehouses",,,
Aradia,Group,PO Box 7516,checked,Grand Rapids,MI,"49510 Tel. 243 2895. Newsletter, softball team. ",**,Organizations,,,
NOW,Group,25 Sheldon,,Grand Rapids,MI,"c/o YWCA 25 Sheldon, SE. They meet the 1st Monday of every month at the YWCA. And are 'definitely OK'. ",,,,,
Ramblin's Inn,Restaurant,355 Michigan St,,Grand Rapids,MI,"NE 49503 tel. 774 8663. 'This gay owned and operated restaurant features a wonderful yet inexpensive breakfast and lunch menu. Great even if you just go there for a cup of coffee. ' Its the place to find out what's going on in town. and should be your first stop in Grand Rapids. Hours: Tues-Fri 7am-33:30pm, Sat 8am-2:30om, Sun 9am-2pm. Get there early or you will have to stand in line. ",**,Restaurants,,,
Club 67,Bars,67 S Division,,Grand Rapids,MI,Tel. 454 8003. All gay bar with clientele of about 30% lesbians. Disco music after 9pm. It's a bar only- no restaurant and there is $1.00 cover charge. (better known as MARGARET'S0. Recommended. ,**,"Bars, Clubs, Coffeehouses",,,
The Gallery,Art Gallery,327 Paris,,Grand Rapids,MI,SE. Women's Gallery.,,,,,
The White Rabbit,Bars,Wealthy St,checked,Grand Rapids,MI,SE,**,"Bars, Clubs, Coffeehouses",,,
Carousel,Bars,8 Clonia ,,Grand Rapids,MI,SW Tel. 454 2639.,***,"Bars, Clubs, Coffeehouses",,,
Lady Moore's School of Self Defense,Self Defense,838 Cherry St,,Grand Rapids,MI,"SE Tel. 459 9352. Classes for wimmin and classes for older folks, children, handicapped. ",,,,,
Pandora- A Womyn's Store,Feminist Bookstore,505 Davis St,,Kalamazoo,MI,"49007 Tel. 388 5656. Feminist books records, cards, clothing, jewelry, ceramics, area womyn's newsletter and non-sexist children books and more. Open Tues-Sat 12 noon-7pm, Sun 1:00-5:00pm. ",,,,,
D's Lounge,Bars,31 S Gratiot,,Mt Clemens,MI,"Tel. 463 3079. Brought in 1961 by two women, its been expended and greatly improved. It's fun and it's friendly with food, games, raised dance floor and plenty of space. Clientele: gay men and women. Juke box music, tapes on weekends. Wednesday night the prices stay the same as the daytime prices. From 12 noon to 7pm it's 'double bottle' (two for the price of one). Highly recommended. ",**,"Bars, Clubs, Coffeehouses",,,
Liberty Lounge,Bars,85 S Saginaw,,Pontiac,MI,Tel. 332 9544.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Douglas Dunes,Resort,333 Blue Star Highway,,Saugatuck,MI,"Tel. 857 1401. Just a minute from beautiful Lake Michigan in Saugatuck/Douglas. This is an all gay resort with hotel accommodation, formal dining room, outdoor decked patio restaurant, two bars, game room and heated pool. There's bar service at the swimming pool and all the rooms are air conditioned. Color TV. Open all year. Ski-ing etc. It's highly recommended although it's now mostly gay men- 'Gay women are always welcome and well treated here.' ",,,,,
The North End of Oval Beach,Beach,,checked,Saugatuck,MI,"entrance fee on weekends only $5.00 '& watch out for Bookie the ageing, harmless voyeur who guards the dunes. 'All gay nude beach. ",,,,,
TGB,Bars,206 West Capitol ,,Jackson,MS,No Phone Listed,***,"Bars, Clubs, Coffeehouses",,,
Jack's Saloon,Bars,208 West Capitol ,,Jackson,MS,Tel 352 9588,**,"Bars, Clubs, Coffeehouses",,,
Bill's Disco,Bars,207 West Amite St ,,Jackson,MS,Tel 969 9765,**,"Bars, Clubs, Coffeehouses",,,
Mississippi Gay Alliance,Centers,513 North State Street,,Jackson,MS,Tel 355 7495 Their interests are civil rights and discrimination,***,Organizations,checked,,PO Box 8342 39204
Integrity Mississippi,Religious Groups,,checked,Jackson,MS,Gay Episcopalians,,,,,PO Box 4235 39216
Le Booze,Bars,1077 S Newstead Ave ,,St Louis,MO,Tel 534 9375 ,**,"Bars, Clubs, Coffeehouses",,,
The Boarding House,Restaurant,3265 S Jefferson ,,St Louis,MO,Tel 771 4100,*,Restaurants,,,
Moonstorm,Publication,,checked,St Louis,MO,No Phone Listed,,,,,PO Box 4201 Tower Grove Station 63118
Martin's,Bars,201 South 20th St ,,St Louis,MO,Tel 421 3242 Disco mostly gay men ,**,"Bars, Clubs, Coffeehouses",,,
The Bookshelf ,Bookstores,116 Olive ,,St Louis,MO,Tel 241 3260,,,,,
Llewllyn's Welsh Pub,Restaurant,4747 McPherson ,checked,St Louis,MO,Tel 361 3003 Bohemian Atmosphere,*,Restaurants,,,
Kitty Cat Club,Bars,2800 California ,checked,St Louis,MO,Tel 776 55083 or 776 8847 Small women's bar,****,"Bars, Clubs, Coffeehouses",,,(At Magnolia)
Left Bank Books,Bookstores,399 North Euclid ,,St Louis,MO,Tel 367 6371,,,,,
Olive Street News,Bookstores,3608 Olive ,,St Louis,MO,Tel 371 1330,,,,,
The Bookshelf (Book Rack),Bookstores,10 North Euclid ,,St Louis,MO,Tel 361 3521,,,,,
Metroplitan community Church,Religious Groups,5108 Waterman Blvd ,,St Louis,MO,Tel 361 7284,,,,,
Now/Southwest County,,,checked,St Louis,MO,Tel 965 1106 ,,,,,PO Box 3453 63143
Gay Hotline,Information Services,,checked,St Louis,MO,Tel 367 0084,,,,,
The Sunshine Inn,Restaurant,8 1/2 S Euclid ,checked,St Louis,MO,Tel 367 1413,**,Restaurants,,,
Gay Crisis Intervention Hotline,Information Services,,checked,St Louis,MO,Tel 725 2010 or 367 7433 24 hours,,,,,
The Bowery,Bars,1600 Tower Grove ,,St Louis,MO,Mostly men and very few women ,MGM**,"Bars, Clubs, Coffeehouses",,,
Clementine's ,Bars,2001 Manard ,,St Louis,MO,Tel 664 7869,**(**),"Bars, Clubs, Coffeehouses",,,
Women's Eye Bookstore,Bookstores,554 Limit Ave ,,St Louis,MO,Tel 721 1616 Feminist Bookstore Home of Tiamat Women's Press,,,,,
Genisis II,Bars,4592 Machester Road ,,St Louis,MO,Tel 533 2703 Bar and disco ,****,"Bars, Clubs, Coffeehouses",,,(Corner Kings Highway)
Dignity ,Religious Groups,3120 Lafayette Ave ,,St Louis,MO,No Phone Listed,,,,,PO Box 23093 63156
Montana State University Women's Center,Centers,,checked,Bozeman,MT,Tel 994 3836 ,****,Organizations,,,
Lambda Gay Alliance,Group,,checked,Bozeman,MT,Tel 587 1444 Social and political organization for lesbians and gay men ,*,Organizations,,,PO Box 925 59715
Metropolitan Community Church,Religious Groups,,checked,Great Falls,MT,No Phone Listed,,,,,Electric City PO Box 50 59403
Women's Outreach Network,Group,,checked,Helena,MT,Tel 443 3379 Publish their own quarterly newsletter Tapestry ,**,Organizations,,,PO Box 523 59624
Sweetgrass,Restaurant,,checked,Helena,MT,Woman owned,,,,,
Montana Women's Lobbyist Fund,Group,,checked,Helena,MT,Tel 449 7917 Special Interest Group: a a coalition of women's organizations trying to represent a broad spectrum of women's issues in the Montana legislature,,,,,PO Box 1099 Helena Montana 59624
Northern Lights Cafe,Restaurant,,checked,Helena,MT,Tel 443 9700 Operated by a collective of women,*,Restaurants,,,Last Chance Gulch (Main St)
The Resource Center,Centers,,checked,Missoula,MT,Tel 728 6948 Hosts coming out support and rap group for gay women and men ,***(**),Organizations,,,Room 203 (upstairs in the Wilma Bldg in downtown Missoula)
Women's Resource Center,Centers,,checked,Missoula,MT,Tel 243 4153 Primarily but not exclusively for students,****(*),Organizations,,,University of Montana 59812
Out in Montana Resource Center,Centers,131 South Higgins 203,,Missoula,MT,Tel 728 6589,***,Organizations,,,
