Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
PS,Restaurant,1127 Polk St,,San Francisco,CA,"Tel. 441-7798. Continental cuisine, dinner, and lunch. Entertainment. Open 11am-2am.Very highly recommended.'The service (by an all gay staff)was superb, the atmosphere was great, and the food was stupendous.· Piano bar. ",*,Restaurants,,,
Gay/Lesbian Resource Center,Center,1128 De la Viña St,,Santa Barbara,CA,"93101.Tel.963-3636.Drop-in center for info, 'coffeehouse nights', raps for women, counseling etc. Referrals/GayAA/ evening events every night. Their publication THE BULLETIN.Open 1Oam-4pm Mon-Fri/ 1Oam-3pm Sunday.",***(**),Organizations,,,
Tijuana CAt (née 8 1/2),Bars,1137 Washington Ave,,Miami,FL,(Miami Beach) Tel.532-1082.,***,"Bars, Clubs, Coffeehouses",,,
Alcoholism Center For Women,Drug/Alcohol Services,1147 S Alvarado St,checked,Los Angeles,CA,"Tel.381-7805. Support for lesbians with a drinking problem. Counseling and 13 bed recovery home. Social activities, lesbian rap groups, coffee house nights and all women Al-Anon groups. Speakers Bureau- Training Workshop",****(*),Organizations,,,
Focus (From the D O B),Publication,1151 Massachusetts Ave,,Cambridge,MA,"(Cambridge) 02138 Tel. 661-3633/259 0063. A journal for gay women. Published by the DAUGHTERS OF BILITIS (D O B/Boston Chapter). Fiction, poetry, and reviews plus D O B calendar of events. $.75 per copy. $8.00 per year. Overseas: $9.00.",,,,,
Daughters of BILITIS (D O B),Women's Center,1151 Massachusetts Ave,,Cambridge,MA,02138 (Cambridge) Tel. 661-3633. 'We hold weekly discussion meetings open to all women and centering around living the lesbian experience' Their publication: FOCUS. ,*****,Organizations,,,
Clementina's Baybrick Inn,Bars,1190 Folsom St,,San Francisco,CA,"Tel. 431-8334. Bar/restaurant/disco/ accommodation. Extremely nice. Opened September 1982. Too many rave reviews keep coming in for me to repeat all the recommendations. Anyway, it's lesbian-owned, THE new place to go in San Francisco & my friend Karen likes it better than the greengrocers.",****,"Bars, Clubs, Coffeehouses",,,
Clementina's Baybrick Inn,Hotel,1190 Folsom St,,San Francisco,CA,"Tel.431-8334. Hotel for women and bar/restaurant/disco. Lesbian-owned and operated. Champagne breakfast especially recommended by Karen.Besides that, the rooms themselves are clean, comfortable and
KABUKI HOT SPRINGS:1750 Geary Boulevard(at Fillmore)Tel. 922-6000. Sunday and Tuesday 10am-10pm is women only. Large jacuzzi/steam/cold tubs. Admission is $7.00. Acupressure available. Located in the JapaneseCenter.
charming.Quite reasonable.",,,,,
Artemis Society,Coffeehouse,1199 Valencia St,,San Francisco,CA,"94110. Tel. 647-4144. Women's cafe/ coffeehouse. They serve a wide variety of sandwiches, salads, quiches, beer and wine. Special happenings with good food and atmosphere. Very highly recommended, especially the Sundaybrunch. They sell GAIA'S GUIDE.",****,"Bars, Clubs, Coffeehouses",,,
Black Lesbians Rap Group ,Special Interest Groups,1211 Pratt Blvd,,Chicago,IL,meets at RUMOURS/Art studio 60 E 13th St. This large group emphasis diversity of background. Sometimes meets at MOUNTAINS MOVING COFFEEHOUSE.,,,,,
Manhattan,Restaurant,1212 Santa Monica Blvd,,Los Angeles,CA,Tel. 451-5511,*,"Bars, Clubs, Coffeehouses",,,
Spindrift Motel,Hotels/Motels/Guest Houses/ETC,1212 Simonton St,,Fort Lauderdale,FL,(was FLORIDIAN MOTEL OF KEYWEST). 33040 Tel 296-3432. Near beaches and restaurants. Special packages available. (Mention GAIA'S GUIDE for 10% discount.) May be opening lesbian bar soon right on the premises. Woman owned and operated. Be sure to say Hi to Helen and Nancy from GAIA. Feel free to call there for information on the Key West area. ,,,,,
The Gay and Lesbian Community Services Center,Center,1213 N Highland Ave,,Los Angeles,CA,"Mail to: P.O.38777, 90038 Tel.464-7400. As far as I know, this is the most highly organized gay center in the world, with services and facilities for lesbians so complete as to make this a full-service lesbian center. Contact them when you first hit L.A. about housing, employment, military and veterans programs, social activities, disabled lesbians program, counseling and referrals and their open rap group for lesbians. SWITCHBOARD now includes: Lesbian Central- office hours:10.30am-5.15pm Monday through Friday, coordinating all Lesbian activities, referrals, etc. New groups; lesbian mothers and children socials& support/socials for pregnantlesbians.",*****,Organizations,,,
The Ruins,Bars/Restaurants,1218 N Pennsylvania ,,Fort Wayne,IN,"Tel. 262-9401. Excellent food and good music. Open 5pm-3am. Recommended. Drag show 3 nights a week, also dancing. Never a cover charge. 'We welcome gay women.' ",**,"Bars, Clubs, Coffeehouses",,,
The Hub,Bars,1220 Pine St,,Walnut Creek,CA,94520 Tel. 938-4550. Dance bar/games/special women's entertainment nights and very highly recommended. 'The environment is good and so is the music (live DJ).' Open Monday to Friday 4pm-2am/Sat 6pm-2am/Sun 3pm-2am.,**,"Bars, Clubs, Coffeehouses",,,
The Hideaway,Bars,1230 Montgomery St,,Springfield,MA,Chicopee Tel. 539-9060. Closed Tuesday. ,**,"Bars, Clubs, Coffeehouses",,,
The Swinging Door,Bars,1230 W Maryland,,Evansville,IN,Tel.7.Ladiesnight isFriday. The rest of the time it's 50-50 and all gay. Occasional drag shows and special happenings.,**(**),"Bars, Clubs, Coffeehouses",,,
Women's Health Center,Health Center/Clinic/Counseling,1240 E Hillcrest,,Orlando,FL,32803 Tel. 423-0411 Urinanalysis/VD/screening/complete GYN exams.,,,,,
Out Front,Publication,1245 E Colfax,,Denver,CO,(suite 100A); 80218. Mail to: PO Box 18597; 80218. Tel. 831-4137.,,,,,
The Junction,Bars,1261 King St,,Jacksonville,FL,Tel. 388-3454. Beer and wine bar. Friendly atmosphere. Clientele: gay men and women. ,**,"Bars, Clubs, Coffeehouses",,,
1270,Bars,1270 Boylston St,,Boston,MA,Tel. 437 1257. 'Impersonal disco'.,**,"Bars, Clubs, Coffeehouses",,,
Club House LTD,Bars,1296 Upsher St,,Washington,DC,North West tel. 882-7471. Big disco/good time and dance bar. It's 'Ladies Night' every Thursday- $5.00 admission. Clientele: basically black. ALL WELCOME.,**(**),"Bars, Clubs, Coffeehouses",checked,,
The Aquarian Effort's Walk-In Health Clinic,Health Center,1304 O St,,Sacramento,CA,Tel. 446 6467,,,,,
The Staff of Life,Restaurant,1305 Water St,,Santa Cruz,CA,Wholefood/vegetarian restaurant. Nice atmosphere.,*,Restaurants,,,
Deep Purple,Bars,1307 1st Ave.,,Columbus ,GA,31901 Tel. 322-9107. Drag shows and disco/open 6 days a week from 9pm to 2am. Closed Sun. Since 1975. Drag shows and disco.,***,"Bars, Clubs, Coffeehouses",,,
Eirene Alvarez-Anthony,Lawyer,1310 Wilshire Blvd,,Los Angeles,CA,90017 Tel. 484-2899. Immigration law/Spanish speaking.,,,,,
National Coalition of Black Gays Inc/Chicago Chapter,Special Interest Groups,1311 Pratt Blvd,,Chicago,IL,60626 c/o Chris Cothran Tel. 764-2024. Many women participants. ,,,checked,,
Community Yellow Pages ,Publication,1314 Tremaine,,Los Angeles,CA,Tel. 939-1200,,,,,
Southwind,Hotels/Motels/Guest Houses/ETC,1321 Simonton St,,Fort Lauderdale,FL,"Tel. 296-2215. Motel near the Beach and Queer Pier. There's a large swimming pool in a tropical courtyard. Motel rooms. 1 bedroom apartments and 1 efficiency. Definitely trying to encourage gay women. Beer and wine bar by the pool. Color 1V. Woman owned. Clientele: gay men, some straight and some lesbians.
",,,,,
Sporters,Bars,1330 27th St,,Sarasota,FL,Tel. 366-3055. An extremely community minded gay bar- clientele: 95% gay women. Pool tables/order games/dancing. Opens daily at 11am and very highly recommended. ,****,"Bars, Clubs, Coffeehouses",,,
Parkside Plaza,Hotels/Motels/Guest Houses/ETC,1336 I St,checked,Washington,DC,NW 20005 tel. 347-3230.,,,,,
Sisterhood Bookstore,Feminist Bookstore,1351 Westwood Blvd.,,Los Angeles,CA,"90024 Tel. 477-7300 and 473-9090. Complete selection of feminist and lesbian books. Also pamphlets, journals, record albums, non sexist children books, posters, jewelry, T-shirts and GAIA'S GUIDE.",,,,,
The Rendezvous,Bars,1355 5th Ave,,San Diego,CA,"Tel. 233-8483. Pool tables/darts/pinball. Open daily noon-2am. Daily specials and weekend specials. Clientele: gay men about 60%, gay women about 40%. Beer, wine, dancing nightly.",**,"Bars, Clubs, Coffeehouses",,,
Lesbian Rights Project,Special Interest Groups,1370 Mission St,,San Francisco,CA,"4th Floor, San Francisco CA 94103. Tel. 621-0675. Providing day-to-day counseling and legal representation to lesbians who, because of their sexual orientation, experience a multitude of legal problems. A non-profit public interest law firm, clients are not charged attorney's fees. Priority is always given to lesbians who cannot afford a private attorney.",,,,,
BJ's Carousel & Restaurant,Bars/Restaurants,1380 S Broadway ,,Denver,CO,Tel. 777-9880. 'The nicest gay women in Denver come here.'A wonderful bar-gay artwork exhibited. Opens daily at 10am.,**,"Bars, Clubs, Coffeehouses",,,
Coast Inn,Hotel/Motel,1401 S Coast Highway ,,Laguna Beach,CA,Tel.494-7588. Has two bars. Quite OK for gay women.,,,,,
La Zambra,Bars,1406 14th St,,Washington,DC,NW Tel. 667-1050/1051. Hours 11am-2am. Monday nights women only.,**(**),"Bars, Clubs, Coffeehouses",,,
Awards By Chris,Promotional Items,1406 Valencia St,,San Francisco,CA,"(at25th) Tel.282-0795.Custom medals/trophies/ plaques and engravings.Friendly, helpful, highly skilled womyn.",,,,,
Bottoms Up Lounge,Bars,1407 1st Ave,,Columbus ,GA,"Disco, pool table. Unconditional- any news?",***,"Bars, Clubs, Coffeehouses",,,
Gay Community Services/Long Beach,Center,1409 E 4th St Suite H,,Long Beach,CA,"Tel. 432-8047.A full service gay center staffed by really friendly, helpful people. Make this your first stop when moving to or visiting Long Beach. Counseling/referrals/volunteer support very welcome. Always extremely helpful to GAIA'SGUIDE.",***(**),Organizations,,,
Kismet South,Bars,1412 Southem Blvd,,West Palm Beach,FL,Tel. 683-6928. Opens 4:00pm Disco from 10:00pm till 5:00am.,***,"Bars, Clubs, Coffeehouses",,,
Walt Whitman Bookshop,Alternative Bookstores,1412 Sutter St,,San Francisco,CA,"94109. Tel. 771-9754. Alternative book- store, gay/lesbian titles, catalogue $1.00.",,,,,
Ellie's Nest,Hotels/Motels/Guest Houses/ETC,1414 Newton St,,Fort Lauderdale,FL,"33040 Tel. 296-5757. A guest house for women only. The surroundings are tropical and the people are friendly. The rates are reasonable and each room is named and decorated after a famous woman (Gertrude Stein, Alice B. Toklas, Georges Sand, Tallulah (I'd like to stay In that one), Patience and Sarah, etc. Exotic swimming pool, patio and sundeck. Continental breakfast is served and there s lV In every room. (Well, what more could you possibly want?)",,,,,
Cafe Du Monde (née Nepenthes),Coffeehouse,1416 Market ,,Denver,CO,1416 Market Tel. 534-5423. Lunches/expresso/women * entertainers. Open 11am-midnight weekdays and till 2am weekends.,*,"Bars, Clubs, Coffeehouses",,,
Sharon J. Burnett,Counseling,1416 Westwood Blvd Suite 3,,Los Angeles,CA,"Tel. 762-5759 470-3145. Psychotherapy: Individual, Couple.",,,,,
The Office Lounge,Bars,1418 N 18th St,,Monroe,LA,Tel. 322-2632. Disco. ,**?,"Bars, Clubs, Coffeehouses",,,
El Goya,Bars,1430 E 7th Ave,,Tampa,FL,(Ybor City) tel. 247-2711. Show bar and disco. ,**,"Bars, Clubs, Coffeehouses",,,
Continental Motel,Feminist Bookstore,1432 W Capitol Ave,,Sacramento,CA,"West Sacramento 95961 Tel. 371-3660. Daily and weekly rates: kitchen units, direct dial phones, color TV and pool. Hot spa, barb q area. Next to shopping and bus line. Queen, king and water beds. Swimming pool. 'We are just 4 blocks from ANNE-MARIE'S & Gaywomen are more than welcome here'. Sayhi from GAIA.",,,,,
Barbara's Bookstore,Bookstores,1434 N Wells,,Chicago,IL,60607. Special women's section. ,,,,,
1440 Hotel,Hotels/Motels/Guest Houses/ETC,1440 Rhode Island Ave,,Washington,DC,"North West; 20005 Tel. 232-7800. Your hotel in DC- friendly people, convenient location. Say that GAIA sent you. ",,,,,
Revelation,Restaurant,1446 Mendocino Ave,,Santa Rosa,CA,"Tel. 526-2225. Natural sandwiches, soups and salads. Fast food, vegetarian, great desserts.",*,Restaurants,,,
Fireplace Inn,Restaurant,1446 N Wells St,,Chicago,IL,Tel. 664-5265.,,,,,
Lesbian and Gay Community Center,Center,1447 30th St,,San Diego,CA,"92102 Tel.692-4297 (24 hour hotline). Legal, medical, counseling, referrals, employment, rap groups, social events. Gay AA, speakers bureau. Military counseling/housing referrals.",***(**),Organizations,,,
The Meeting Place,Bars,1447 Acushnet Ave,,New Bedford,MA,Tel. 994-7674.,**,"Bars, Clubs, Coffeehouses",,,
Mainstreet,Bars,1460 S Coast Highway,,Laguna Beach,CA,Tel. 494-0056. Male-dominated.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Palm Canyon Inn,Hotel,1466 N Palm Canyon Dr,,Palm Springs,CA,Tel.325-5092. Very clean rooms/direct dial phones/jacuzzi/tv. Clientele: gay men & women. Full time restaurant.,,,,,
Palm Canyon Bar,Bars,1466 N Palm Canyon Drive ,,Palm Springs,CA,Tel. 328-9000. This is the bar at the Desert Palms Inn,**(MGM),"Bars, Clubs, Coffeehouses",,,
Gay Community Center,Center,1469 Church St,,Washington,DC,"NW, 20005. Tel. 232-7103. Full range of activities and services. Women's coffeehouse Saturday nights.",***(*),Organizations,,,
New World Resource Center,Bookstores,1476 W Irving Park,,Chicago,IL,"Tel. 348-3370. Alternative bookstore with a wide selection of left-wing and anti-imperialist literature and women's books and records, posters, buttons, bulletin board/coffee and tea/special happenings. They sell GAIA'S GUIDE. Open Tuesday, Wednesday, Thursday 2pm-8pm.",,,,,
Crazy Ray's ,Bars/Restaurants,1492 B Piedmont Rd,,Atlanta,GA,(NE?) Ansley Square Tel. 885-9164/873-4655.,**,"Bars, Clubs, Coffeehouses",,,
Paperback Traffic,Alternative Bookstores,1501 Polk St,,San Francisco,CA,94109 (near California Street) Tel. 771-8848. Good selection of feminist books. They sell Gaia's Guide. ,,,,,
Jack's Lounge,Bars,1507 E Pawnee,,Wichita,KS,Tel. 252 9327. Closed Sundays. ,**,"Bars, Clubs, Coffeehouses",,,
The Club,Bars,1514 Jackson St,,Fort Myers,FL,Tel. 332-1789. Disco dance bar. Beer and wine only. open 12 noon-2:00am daily. Clientele: gay men and women. ,**,"Bars, Clubs, Coffeehouses",,,
Varsity (CIEL'S),Bars/Restaurants,1517 N Pennsylvania,,Fort Wayne,IN,"46202. Tel. 635-9998. Dinner specials and cocktail hour. Clientele: 30% gay women, some gay men and some others. Opens 9am-3am Monday to Saturday. Sunday 12:30 noon-12 midnight.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Washington Area Women's Center,Women's Center,1519 P St,,Washington,DC,"NW Tel. 347-5078. Referrals, library, dances and special events, classes, support groups, art on the wall. Their newsletter is IN OUR OWN WRITE.",****(*),Organizations,,,
Multi Media Resource Center,Alternative Bookstores,1525 Franklin St,,San Francisco,CA,"94109. Tel.673-5100. A very good alternative bookstore with feminist and lesbian books, posters, T shirts, vibrators. They sell GAIA'S GUIDE. Catalogue available",,,,,
Gay Chicago,Publication,1529 N Wells St,,Chicago,IL,"60610 Tel. 751-0130. Weekly guide published every Thursday. Distributed free in restaurants, bars, etc. or 8 months $24.00 or $44.00 per year. Directory/entertainment and organizations. Their bar guide actually indicated which bars are women-frequented. There is also a street map to gay Chicago and a bar guide. ",,,,,
The Courtyard Inn,Restaurant,1531 N Wells St,,Chicago,IL,"60610 Tel. 664-7378. Warm, cozy atmosphere .. featuring BBQ baby back ribs and a full range of prime steaks, fish, chicken and sandwiches. Reasonable prices and all major credit cards are accepted. Open for lunch, dinner and Sunday brunch.",*,"Bars, Clubs, Coffeehouses",,,
Cha Cha's (née Mona's Gorilla Lounge),Bars,1535 Commercial Way,,Santa Cruz,CA,"(off Soquel Drive and the intersection of Highway D). Wednesday is women's night and they do hold benefits for MATRIX, but mostly its gay men/some straights too.",,,,,
Ansley Mall Bookstore,Bookstores,1544 Piedmont Ave,,Atlanta,GA,30324 Tel. 875-6492 AlterMllve bookstore with gay titles/women's titles. They sell GAIA'S GUIDE.,,,,,
Rocky Mountain Women's Center and Bookstore,Feminist Bookstore,1547 High,,Denver,CO, (1547 High; formulated address) Tel. 320-5972. Was WOMAN TO WOMAN - new plans. Perhaps check for recent details with the Gay Community Center.,,,,,
Bookshop,Bookstores,1547 Pacific Garden Mall,,Santa Cruz,CA,Tel. 463-0900. Excellent Gay/Lesbian section. They sell MATRIX and have a Gay/Lesbian bulletin board. Open 10am-10pm.,,,,,
Different Strokes,Bars,1550 California St,,San Francisco,CA,Tel. 885-2969. Lesbian cruise bar. Disco.,***,"Bars, Clubs, Coffeehouses",,,
The Underground,Bars/Restaurants,1553 W 8 Mile Dr,,Detroit,MI,Tel. 341 4423. Find it at the corner of Greenfield. Gay women. Disco: dinner and breakfast. Open 8pm-2am. Until 4am weekends. Recommended. (Slightly older crowd'.),****,"Bars, Clubs, Coffeehouses",,,
Equality Products,feminist store,1554 Bardstown Rd,,Louisville,KY,"40205. Badges, bumper stickers, T-shirts, stationary, jewelry, etc. ",,,,,
Women's Counseling and Resource,Health Center/Clinic/Counseling,1555 Massachusetts Ave,,Cambridge,MA,02138 (Cambridge) Tel. 492 8568. Recommended. ,,,,,
The Cock and Bull,Bars/Restaurants,1564 Nicholson Dr,,Baton Rouge,LA,Tel. 387-9549. bar/restaurant with a separate women's room which has juke box and pool tables- 'Western Recipes'. Open daily: 4pm-2am and 5pm-midnight on Sundays. Recommended. ,**(**),"Bars, Clubs, Coffeehouses",,,
My Way,Bars,1605 Marshall,,Shreveport,LA,(was the OTHER SIDE): 1605 Marshall Tel. 221-9543. Clientele: gay and straight. Drag shows Thursday nights. ,*,"Bars, Clubs, Coffeehouses",,,
Lesbian Health and Counseling Center (LHCC),Health Center/Clinic/Counseling,1606 17th St,,Washington,DC,"NW Tel. 332- 5295. All workshops held at the WHITMAN-WALKER CLINIC. To register or obtain more information, call Loraine Biros at 588-8115 or LHCC as above.",,,,,
Chrysalis Metropolitan Community Church,Religious Groups,1615 Ogden ,,Denver,CO,St Paul's Church: 1615 Ogden Tel. 329-0562. The congregation is highly lesbian. The pastor is Judy Dahl. Very supportive people.,,,,,
Plum's Books,Bookstores,1615 West Lewis St,,San Diego,CA,Tel. 299-7098. Alternative bookstore with gay titles/feminist titles and magazines and newspapers. Open every day; Fridaysand Saturdays until 10pm.,,,,,
The Grove,Bars,1618 E 17th Ave,,Denver,CO,"Tel. 320-9205. A gay bar for women and men. 3.2 beer, juice, soft drinks. ",**,"Bars, Clubs, Coffeehouses",,,
Continental West,Bars,1622 Plainfield Rd,,Joliet,IL,(Crest Hill) Tel. 741 4474.,**,"Bars, Clubs, Coffeehouses",,,
Flamingo's ,Restaurant,1625 St Charles Ave,,New Orleans,LA,"Tel. 523-6141. Gay run by very, very nice people. Clientele: gay women and men and a few others. Very highly recommended. Be sure and say 'hi' from GAIA.",*,Restaurants,,,
Reflections,Bars,1632 Walton Way,,Augusta,GA,"(Mail to: Box 4524, Martinez; 309071 Location 1632 Walton Way Tel 733-2603. Clientele: 70% gay men/30% gay women. Open Mon Sat Closed Sun Disco",**,"Bars, Clubs, Coffeehouses",,,
The Answer,Bars,1640 Main St,,Redwood City,CA,94063. Tel. 361-9444. Dance bar. Games.Recommended. Pool tables. Open from 4pm-2am.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Zodiac Lounge,Bars,1645 S Ridgewood ,,Daytona,FL,"Tel. 767 4624. Disco, light shows, wall panels and lighted floor. Two shows nightly and a games room. Open 3pm-2am. A highly recommended old-timer. OK for gay women.",**,"Bars, Clubs, Coffeehouses",,,
Mountain Moving Coffeehouse,Coffeehouse,1655 W School St,,Chicago,IL,(in the church basement) non-alcoholic wimmen only space. Woman talent featured. Open Sat 7.30pm-1 lpm. Suggested donation: $3.50.,****,"Bars, Clubs, Coffeehouses",,,
Red Victorian Hotel,Hotel,1665 Haight St,,San Francisco,CA," 94117 Tel. 864-1978. Clean, comfortable, a good place for gay people",,,,,
Factory,Bars,1665 W Fullerton Ave,,Chicago,IL,"(North West) Tel. 549-4166. Lounge in the front, disco room in the rear/plus separate dining room Hours 8pm-4am during the week. 8pm-5am on Saturday. Clientele: 70% gay men, 30% gay women. Recommended.",**,"Bars, Clubs, Coffeehouses",,,
Charing Cross Road,Alternative Bookstores,1687 Haight St,,San Francisco,CA,Tel. 552-4122. New & previously read books/includes a good women's section.,,,,,
Acceptance House,"Alcoholism, Chemical Dependency, Drug Abuse Counseling",1710 Golden Gate Ave,,San Francisco,CA,94115 Tel. 931-4994. Acceptance House is the oldest gay residential treatment program in the nation. ,,,,,
Westside Women's Clinic,Health Center,1711 Ocean Park Blvd,,Santa Monica,CA,90405 (213) 450-2191. Complete gynecological services.,,,,,
Daybreak,Bars,1711 W. El Camino Real,,Mountain View,CA,"94040. Tel. 961-9953. Disco-lighted built up dance floor/pool tables and game machines/backgammon and chess. They feature Olivia recording artists and have womyn's concerts. After hours it's coffee, juices, rap sessions and feminist meetings. They sell GAIA'S GUIDE and are very highly recommended. Beer and wine bar.",****,"Bars, Clubs, Coffeehouses",,,
Port in a Storm,Bars,1722 Fleet St,,Baltimore,MD,"(FellsPoint)(1⁄2 block from S Broadway)T.el.2765336. 'Heavily into role playing' and' lots of hassle from straight guys and NOBODY SAYS A DAMN THING TO THEM',and the walls are decorated with oil paintings of menstruating women.. open 7.30pm-2am. (Oh yes, arcade games/good music/nice dance floor).",***,"Bars, Clubs, Coffeehouses",,,
Big Mama Rag,Publication,1724 Gaylord,checked,,CO,80206. Tel. 322-2010. Feminist newspaper with lesbian content and lots of local resources. $7.00 per year.,,,,,"Under ""Statewide"" with no city listed"
Bogie's,Bars,1748 Market ,,Redding,CA,(at Sacramento) Tel. 243-7869. Dancing/pool table. Open from 3pm daily.,**(MGM),"Bars, Clubs, Coffeehouses",,,
Kabuki Hot Springs,Bath Houses,1750 Geary Blvd,,San Francisco,CA,(at Fillmore)Tel. 922-6000. Sunday and Tuesday 10am-10pm is women only. Large jacuzzi/steam/cold tubs. Admission is $7.00. Acupressure available. Located in the Japanese Center,,,,,
Robin's Nest,Bars,1755 E Highland Ave,,San Bernardino,CA,"92404 Tel. 885-7068. Bar/restaurant service lunch from 1lam-2pm Mon-Fri, and Sunday brunch",**,"Bars, Clubs, Coffeehouses",,,
Clarke's Lodge,Hotels/Motels/Guest Houses/ETC,1765 Union St,,San Diego,CA,"92101 Tel. 234-6787. Color TV, pool, direct dial room phones, air conditioned. Now featuring cable TV and transport from trains & bus, etc. Rates $25.00 single or double/$33.00 for 2-4 persons. Motel.",,,,,
The Mediation Institute of California,Mediation Consultant,1798 Technology Dr Suite 5,,San Jose,CA,"95110. Tel. 298-5353. Chuck Foley MS- Specializing in relational mediation, divorce, child custody, runaway negotiations, etc, etc.",,,,,
Metropolitan Community Church of New Orleans,Religious Groups,1800 Jefferson Ave,,New Orleans,LA,"Meets at First Unitarian Church, 1800 Jefferson Avenue, Tel. 899-1468. Sunday services/Weds evening dinner meetings. ",,,,,
Gay 90's,Bars,1803 Harbor,,Stockton,CA,95206. Tel 463 6916. Monday is best for women. Sunday beer bust: 3pm-7pm -very well attended by women.,**,"Bars, Clubs, Coffeehouses",,,
Carrousel,Bars,1806 W Platt ,,Tampa,FL,Tel. ?,****,"Bars, Clubs, Coffeehouses",,,
Chatterton's,Bookstores,1818 N. Vermont Ave,,Los Angeles,CA,90027 tel. 664-3882. Gay & feminist books and periodicals. Open Mon-Sat: 10am-11pm. Sun: Noon-9pm.,,,,,
Washington Women's Art Center (WWAC),Theater/Arts Center,1821 Q St,,Washington,DC,"NW 20009 Tel. 332-2121. A cultural center for women. Art gallery, exhibitions, classes, poetry readings. Newsletter.",,,,,
Woman Wise Healthcare,Health Center/Clinic/Counseling,1829 High St,,Denver,CO,Tel. 320-1020. General health care clinic for women. Gyn care. Internal medicine physician.,,,,,
Off Our Backs,Publication,1841 Columbia Rd,,Washington,DC," (212): 20009. Feminist News Journal. Somewhat third-world orientation. 'Chicken Lady' news, resource section, classified ads. Individual subscription $8.00 a year. Sample copy $1.50. Free to prisoners.",,,,,
La Plaza,Restaurant,1847 Columbia Rd,,Washington,DC,NW (down the street from Morgan's) Tel. 667-1900. Spanish cuisine. Cozy ambience. Good prices. Open 5-11:30pm 7 days a week. Free valet parking.,*,Restaurants,,,
The Wave,Bars,1877 Kalakua Ave,,Honolulu,HI,"Tel. 941-0421·. Disco scene can be rough and mixed straight. Also, the After Hours disco Is gay (2am-5am) New York decor but not snobbish nor restrictive about dress code or clientele. You'll meet the real backbone of OAHU's gays here. Same owners as HULA'S BAR AND LEI STAND. $2.00 or $3.00 cover charge.",**(MGM),"Bars, Clubs, Coffeehouses",,,
Carol Waymire,Lawyer,1881 Morton Ave,,Los Angeles,CA,90026 Tel. 661-8652.  Recommended by THE GAY AND LESBIAN COMMUNITY SERVICES CENTER as an extremely active lesbian-feminist attorney.,,,,,
Bound Together Book Collective,Alternative Bookstores,1901 Hayes,,San Francisco,CA,"(near Ashbury); 94117 Tel. 668-2785. Gay titles, women's titles.",,,,,
PSIS,Bars,1902 Simon St,,Fort Wayne,IN,(Comer South Anthony and Simon) Tel. 424-9912. Open 4:00pm-3:00am weekends and Tuesday thru' Thursday open till 2:00 am.,****,"Bars, Clubs, Coffeehouses",,,
Seahorse II Cabaret,Bars,1902 W Western Ave,,South Bend,IN,Tel. 237-9139. A gay bar for men and women. Occasional shows. ,**,"Bars, Clubs, Coffeehouses",,,
Seahorse II,Bars,1902 Western Ave,,South Bend,IN,"Tel. 237-9139. Reopened after fire. 95% gay. Sometimes more gay women, sometimes less. Disco and shows.",*,"Bars, Clubs, Coffeehouses",,,
Earhart's Cafe,Restaurant,1905 16th St,,Sacramento,CA,(at 'S' Street) Tel. 442-2481. A highly recommended woman-owned restaurant. They feature local women's art and are open for lunch 1lam-3pm Mon-Fri; Dinner 6-11pm Weds-Saturday. Now featuring women's entertainment nights.,**,Restaurants,,,
The Last Drop Coffee House,Coffeehouse,1913 Hyperion,,Silverlake,CA,(Silverlake) Tel. 650=0736. An alternative to the bars and a good cup of coffee. Hours: Friday and Sat. 8pm-4am.,**,"Bars, Clubs, Coffeehouses",,,
Open Quest Institute,Counseling,1913-15 Hyperion Ave,,Silverlake,CA,"(Silverlake) Tel. 650-1812. Individual and group counseling/psycho-therapist education & training program/quit smoking plan/potlucks and lesbian 'mixers·. Repertory theatre workshop and A.A. ""Gay women and men working TOGETHER."" Say 'hi' from GAIA.",,,,,
Mom Guess What!...(MGW),Publication,1919 21st St,,Sacramento,CA,"95814 (no 2041Tel. 456-5858 Totally non-sexist, non-porn gay newspaper~A gold mine of local resource information. , it's a must when visiting the Sacramento area. Pick up a copy at LIONESS or most of the locations listed here in GAIA'S GUIDE. If you visit their office, be sure and say h1from GAIA They sell GAIA'S GUIDE.",,,,,
Our River City Family,Special Interest Groups,1919 21st St,,Sacramento,CA,c/o MOM GUESS WHAT! Tel. 457-7589 or (MGW) 456-5858. Extremely active and successful social group of gay women and men.,,,,,
Gay-Lesbian Arts Alliance,Services,1922 N Dayton ,,Chicago,IL,"Mailing address PO Box 14757 Chicago Ill. 60614. Office address: 1922 north Dayton Chicago Ill. 60614. Tel. 327-7388. Service organization dedicated to the encouragement of gay artists of all types. Not-for-profit Organization the Alliance provides resources and skills which too seldom allow gay creators the attention talents deserve. Auctions, exhibitions, sales, festivals. LAMBDA RESOURCE CENTER FOR THE BLIND: PO Box 1319; 60690 Tel. 929-4357 or 274-0511.",,,,,
Que Sera Sera,Bars,1923 E 7th St,,Long Beach,CA,Tel.599-6170.A women's bar with dancing and games. Open Monday- Friday 6pm-2am. Sat/Sun2pm-2am. Dress code: no levis (I),****,"Bars, Clubs, Coffeehouses",,,
