Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
Fan the Flames,Bookstores,65 South 4th St,,Dayton,OH,"Tel. 291-7756. Well stocked feminist bookstore. T-shirts.
buttons, pins, cards. Open 1 1 am-7pm du ring week, 12 noon-6pm weekends. They moved
into this bigger better space in March 1983. Be sure and say hi from GAIA. They sell GAIA'S
GUIDE",,,,,
Cook's Reception,Bars,66 Main Street,,Ashland,OR,"No Phone Listing. Not exclusively gay, but fun for all - and not uptight
about it",*,"Bars, Clubs, Coffeehouses",,,
The Bar,Bars,66 nd Ave,,Manhattan,NY,No Phone Listing Pool table no cover charge uke box                  ,MGM**,"Bars, Clubs, Coffeehouses",,,
Star Wars,Bars,69-24 Cypress Ave Ridgewood ,checked,Queens,NY,"Tel. 821 8152. Take lnterborough Parkway, get off at Cypress Ave. Exit, make left on Cypress Ave. 'The only women's bar in Queens featuring 
live entertainment in our NEW Entertainment Room.' Also, disco, women's bands, cocktails. 
Very, very highly recommended place. ",****,"Bars, Clubs, Coffeehouses",,,
Spring's Guest House,Hotel/Motel,71 Fort Pond Bvd East Hampton,,Long Island,NY,"Tel 324 9577 Fives miles to the village, 10 minutes to the Ocean, 1 minute to the Bay Beach and woods",,,,,
Committee for the Visibility of the Other Black Woman (VOBW) ,Group,72-15 41st Ave,,New York City ,NY,Tel 565 8365 or 860 4936,,,checked,,
Paralelle ,Bars,75 North Rt 9W,checked,Nyack,NY,"Tel. 268 9800. Very friendly place. Pool 
tables. Woman owned and operated. Open 7pm-late/closed Mon and Thurs. Recommended. 
",****,"Bars, Clubs, Coffeehouses",,,
Scarlet Letters,Secretarial Typing Services,75 Spring St ,,New York City ,NY,Tel 966 3580 Their offices are wheel chair accessible,,,,checked,
Boots and Saddles,Bars,76 Christopher St,,Manhattan,NY,"Tel 929 9684 Mostly men they won't stop you going in if you're a woman, so bring your friends. ",MGM**,"Bars, Clubs, Coffeehouses",,,
Le Trainon,Bars,76 E 13th St ,,Manhattan,NY,No Phone Listing. Women's Club Saturday only ,****,"Bars, Clubs, Coffeehouses",,,
Club Continental ,Bars,76 W Central St,,Manchester,NH,Tel 623 8313 The most popular gay bar in Manchester,**,"Bars, Clubs, Coffeehouses",,,
The Marc,Bar/Restuarant,76 Walnut St,,Johnstown,PA,Tel. 539 7214. 50/50 gay women/gay men.,**,"Bars, Clubs, Coffeehouses",,,
Mudd Club,Bars,77 White St ,,Manhattan,NY,Tel 227 7777 Sometimes have live gay benefits here,*,"Bars, Clubs, Coffeehouses",,,
La Boheme,Bars,79 Dorrance at Weybosset,,Pawtucket,RI,"Tel. 621 8681. Piano lounge. No food is served.
Clientele mostly gay men and a few gay women. Open noon-lam. Fri and Sat noon-2am.",MGM**,"Bars, Clubs, Coffeehouses",,,
National Association of Lesbian and Gay Film Makers,Group,80 E 11th St,,New York City ,NY,No Phone Listing Room 674,,,,,
National Gay Task Force,Group,80 Fifth Avenue ,,New York City ,NY,Tel 741 5800 Crisis line 1-800-221-7044 for reporting violence. A powerhouse of political and legislative organization. Media monitor and contact center with countries where all homosexuality is illegal also the base for local gay ask forces in cities throughout the USA. ,,,checked,,
Tango Club,Bars,81 Society St,,Columbia,SC,Tel. 722 0220.,**,"Bars, Clubs, Coffeehouses",,,
Kay's Book Studio,Bookstores,81 State st ,,Binghamton,NY,"Tel 722 4032 Specialists in women's studies, crafts books, selected children's books, poetry, and human sexuality. Feminist bookstore",,,,,
Now NY Lesbian Rights Committee,Group,84 Fifth Ave ,,New York City ,NY,Tel 989 7230 Political action group,,,,,Rm 907
Paradise Garage,Bars,84 King St,,Manhattan,NY,Tel 255 4517 Don't open until about midnight on weekends only. Maybe Thursday nights too. No liquor here. Supposed to be gay. Lots of third World people go there. ,*,"Bars, Clubs, Coffeehouses",,,
The Hideaway,Bars,87-36 Parsons Blvd Jamaica,,Queens,NY,Tel. 657-4585. Disco. ,**,"Bars, Clubs, Coffeehouses",,,
Bailey's Music,Records/Music,88 Church St,,Burlington,,"Tel. 863 3210. Complete up to date selection of Women's
Music. Special orders at no extra charge.",,,,,
St Marks Clinic,Centers,88 University ,,New York City ,NY,Tel 691 828 Health service for any woman with lesbian/gay staff,,,,,
Le Bistoquet,Restaurant,90 Bedford St,,Manhattan,NY,"Tel. 242 8309 Woman owned. Open 
5-11 pm every day except Monday when they are closed. ",*,Restaurants,,,
Herizon,Bookstores,91/2 Elm Street ,checked,Morristown ,NJ,Tel 267 3858,,,,,
Left Bank Book Collective,Bookstores,92 Pike Street,,Seattle,WA,Tel. 622-0195. Gaya and lesbian titles.,,,,,
Penny Feathers,Restaurant,95 7th Ave,,Manhattan,NY,No Phone Listing Village hang-out. OK for a quick meal or to catch up on local gossip. Cafe type place.,,,,,
The Brown Derby,Bar/Restuarant,96 Main Street,,Poughkeepsie,NY,"Tel. 452 9165. Disco bar with restaurant. Food 
served till 2am most evenings. Sizeable disco bar. At the moment the clientele is mostly 
lesbians, but might become more integrated as far as the sexes go. Highly recommended. ",***,"Bars, Clubs, Coffeehouses",,,
Women's Growth Center,Service,97 Knowles St,,Pawtucket,RI,"Tel. 728 6023 (call for appointment).
This s a lesbian owned business offering a variety of social services and support groups
utilising a feminist approach.",,,,,
Women Make Movies,Distributors,100 5th St Ave,,New York City ,NY,Tel 929 6477,,,,,
The Peppermint Lounge,Tea Dance,100 Fifth Avenue,,Manhattan,NY,Tel 969 757 Three-level disco cabaret bar. Got picketed for not letting women of color in,****,For Review/Unclear,checked,,
Eastlake East,Bars,101 Eastlake E,,Seattle,WA,"Tel. 623-1089. Open 8pm-2am daily. Monday is
Pool Night and Tuesday is Happy Hour all night. Local comment: 'It's supposed to be a
women's bar",**,"Bars, Clubs, Coffeehouses",,,
Jane Purtzer,PIano Tuner,103 St Marks Place ,,New York City ,NY,Tel 477 4158 Does Piano Tuning and Rebuilding,,,,,
Alternative,Bars,104 N 20th St ,,Lincoln,NE,Tel 474 97941,**,"Bars, Clubs, Coffeehouses",,,
South Seas,Bars,105 4th Ave,,Huntington,WV,"Tel. 6969318. Disco with games and women's pool nights.
A private club willing to admit non-members who have valid ID and a copy of GAIA'S GUIDE.
Open 5pm-3.30am, Saturday 2.30am. Very, very highly recommended.",**(**),"Bars, Clubs, Coffeehouses",,,
Houston Guest House,Personal Contacts/Housing,106 Avendale,,Austin,TX,"Tel. 520 9767. A small, all gay hotel in a fine
old mansion. It's near the women's bars, has a swimming pool. Where the world meets
Houston'. Very, very highly recommended. Be sure to say hi from GAIA to your host, Rick.
Rooms with baths $40, rooms with shared baths $30. Reservations advised. (May change
hands, may change completely).",,,,,
Dorrwar Bookstore,Bookstores,107½ Hope St,checked,Pawtucket,RI,"Tel. 521 3230. Gay and Feminist titles/
posters/records/jewelry/T shirts/buttons/used books/priodicals/postcards/greetings cards.
Children's section, Spanish language books. Bulletin board and free films on women's and gay
issues. Newsletter/book reviews and local events calendars. They sell GAIA'S GUIDE and are
open Mon-Sat 1 Oam-6pm and open to 8.30pm on Thurs nights.",,,,,
Safari Lounge,Bars,108 West Pittsburgh St,,Greensburg,PA,Tel. 837 9948. Dance bar. Clientele: 30% gay women.,**,"Bars, Clubs, Coffeehouses",,,
Women's Studies College,Centers,108 Winspeer Ave ,,Buffalo,NY,Tel 831 3405 Academic and community courses and lesbian oral history,,,,,
The Owl N Pussy Cat Bar,Bars,109 2nd Ave ,,Asbury Park ,NJ,"Tel 988 7979 At the key west hotel, now located in all gay super complex",****,"Bars, Clubs, Coffeehouses",,,
Key West Hotel ,Hotel/Motel,109 2nd Ave ,,Asbury Park ,NJ,Tel 988 7979 Hotel right on the ocean owned by three women ,,,,,
A Special Place,Restaurant,109 Eastlake East,,Seattle,WA,"No Phone Listing. Woman owned and operated. Open: Mon-Thurs,
9am-1 0pm. Fri, 6pm-3am, Sat 6pm-3am, Sun 11 am-4pm.",****,"Bars, Clubs, Coffeehouses",,,
Gay and Lesbian Blind,Group,110 East 23rd St,,New York City ,NY,Tel 777 7697,,,,,
Transgenderist Services,Centers,111 N Central Park Ave,,New York City ,NY,"Tel 9914 359 9860 Counseling, coaching, hypnosis, referrals when appropriate, group therapy. ",,,,,PO Box 56 RH Tappan
Howard Street Tavern ,Bars,112 Howard ,,Omaha,NE,Gay women musicians do sometimes appear here,***,"Bars, Clubs, Coffeehouses",,,
Wooden Shoe Books & Records,,112 South 20th St,,Philadelphia,PA,"Tel. 569 2477. An excellent
alternative bookstore featuring lots of women's titles, gay and lesbian titles. They sell records,
buttons, posters and magazines and have an annual lecture and film series. Theys ell GAIA'S
GUIDE.",,,,,
Ithaca Women's Resource Center,Centers,112 The Commons ,,Ithaca,NY,Tel 272 6922 Primarily made of women between the ages of 17-35 Support groups for lesbians and social activities and spirituality ,****(*),Organizations,,,Above the Iron Shop
The Late Show,Bars,113 East Princess Anne Road,,Norfolk,VI,"Tel. 625 8797 or 625 8965. An after hours
club with private membership. At least 50% gay women.",***,"Bars, Clubs, Coffeehouses",,,
Breadstix,Bars,113-24 Queens Blvd,checked,Queens,NY,Tel. 263 0300. Cocktail hours and Monday night movies. Used to be TOUCH OF CLASS. ,**,"Bars, Clubs, Coffeehouses",,,
David's Lounge,Bars,114 Market Street,,Wilmington,NC, Tel. 763-8068. Hot disco (enter through the back door at the rear of the building). Open daily 9pm-1.30am closed Tues. ,**,"Bars, Clubs, Coffeehouses",,,
Town House Lounge No 1,Bars,114 Railraod St ,,Hattiesburg,MS,Tel 545 2023 ,**,"Bars, Clubs, Coffeehouses",,,
Our Place,Bars,115 General Kruger,,San Antonio,TX,Tel. (512) 340-1758.,****,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church,Religious Groups,116 Morningside North East ,,Albuquerque,NM,Tel 268 2937 Social and religious activities ,,Organizations,,,PO Box 26554 87125 
The Bookshelf ,Bookstores,116 Olive ,,St Louis,MO,Tel 241 3260,,,,,
Davenport Hotel,Hotel/Motel,116 South Carolina Ave,,Atlantic City,NJ,"Tel 348 8248 Near the beach, boardwalk and gay bars",,,,,
Thyme,Women's Land,117 El Kay Drive,,Eugene,OR,No Phone Listing. Oregon Women's Land.,,,,,
Fantasy Bookstore,Bookstores,117 North Erie,,Toledo,OH,"Tel. 248-9204. Open 11am-12 midnight; Sundays
and holidays 12 noon-12 midnight.",,,,,
Night Wing,Bar/Restuarant,118 Greenwich Ave,,Manhattan,NY,Tel 807 1879 Very gay real low key kind of bar restaurant. ,**,"Bars, Clubs, Coffeehouses",,,
Book Stacks Inc,Bookstores,118 Pine St,,Burlington,,"Tel. 862 8513. Alternative book store with gay/
lesbian and women's titles. MAIL ORDERS SERVICE. Gallery space, bulletin board, reading
tables. Coffee/tea are served. 'We sell GAIA'S GUIDE'.",,,,,
Smedley's Bookshop,Bookstores,119 East Buffalo St ,,Ithaca,NY,Tel 273 2325 Women operated they sell Gaia's guide ,,,,,
Faces,Bars,119 El Mio,,San Antonio,TX,"Tel. 341 4302. 'We have disco with computerized light show and
the most beautiful bar you've ever seen.' Special shows featuring great women entertainers.
Also lots of games. Open 4pm-2am daily. A terrific women's bar. 'FACES is a people's bar
where the customer is always number one, and variety is the spice of life.' Just say that GAIA
sent you.",****,"Bars, Clubs, Coffeehouses",,,
Eve's Garden ,Sex Shops,119 W 57th St ,,New York City ,NY,Tel 247 5948 Hours Tue - Fri 1-7 and Sat 12 - 5,,,,,Room 1406
Lyle's Place,Restaurant,120 South New York Ave,,Atlantic City,NJ,Tel 345 0955 ,*,Restaurants,,,
Casa Lido,Bar/Restuarant,120 South Warren St ,,Trenton,NJ,Tel 394 8158 Dance bar ,MGM**,"Bars, Clubs, Coffeehouses",,,
Flavors,Bars,120-31 83rdAve KewGdns,checked,Queens,NY,"Tel. 8469512. Disco and show bar. Open for 5 years. Clientele: two thirds men, one third women. Admission on special nights $2.00. Highly 
recommended. ",**,"Bars, Clubs, Coffeehouses",,,
Trixie's,Bars,121 South Washington,,Green Bay,WI,"Tel. 435 4064 Open 3pm-1am/2am. May move in June
1983.",***,"Bars, Clubs, Coffeehouses",,,
TC & Company,Bars,121 Woodfield Rd West Hempstead ,,Long Island,NY,Tel 486 9516 Very friendly women's bar ,****,"Bars, Clubs, Coffeehouses",,,
Jims,Bars,123 Liberty Pole Way ,,Rochester,NY,"Tel. 546 6590. Large dance floor/drag shows/two bars/Weds is 2 or 1 night. Clientele: gay women and men plus others. But recommended, anyhow.",*,"Bars, Clubs, Coffeehouses",,,
Industrial Hair,Hairdressing,124 2nd Ave,,New York City ,NY,Tel 228 6808,,,,,
M&M Restaurant ,Bar/Restuarant,124 N Water St,,Milwaukee,WI,,**,"Bars, Clubs, Coffeehouses",,,
New French Cafe,Restaurant,124 North 4th St,,Minneapolis/St Paul,MN,Tel 332 3822 Women owned,*,"Bars, Clubs, Coffeehouses",,,
Sara is Back,Jewelry,126 McDougall St ,,New York City ,NY,Tel 673 1230 mainly silver and men's jewelry and ear piercings ,,,,,
Sistermoon ,Bookstores,128 East Locust St,,Milwaukee,WI,"Tel. 962 3323. Records/buttons/jewelry/posters/magazines/Tshirts plus reading tables/bulletin boards/referrals.
Pottery/paintings/weaving.Mail order service. They serve coffee and tea and sell GAIA'S GUIDE",,,,,
Twenty Nine Palms,Bar/Restuarant,129 Lexington Ave,,Manhattan,NY,"Tel 686 8299 An all-gay bar, somewhat cruisy, some dancing. It is best for gay women on Saturdays or after work. ",*,"Bars, Clubs, Coffeehouses",,,
Three Lives and Company,Bookstores,131 Seventh Ave South,,Manhattan,NY,"Tel 741 2069 Alternative 
bookstore specializing in women's titles. They sell GAIA'S GUIDE. Poetry and other readingspecial happenings. Terrific women's and gay section, as well as lots of classics. Run by 3 
talented women. ",,,,,
Out in Montana Resource Center,Centers,131 South Higgins 203,,Missoula,MT,Tel 728 6589,***,Organizations,,,
Chester Inn ,Hotel/Motel,132 South New York Ave,,Atlantic City,NJ,No Phone Listed Mostly gay men ,,,,,
Lambda Legal Defense and Education Fund,Information Services,132 W 43rd St,,New York City ,NY,Tel 944 9488 One of the major gay legal research and defense organizations in the country,,,,,
Chelsea Gay Association,Information Services,132 W24th St ,,New York City ,NY,Tel 722 0404 mostly men dealing with anti gay violence ,,,,,
Paul's Lounge,Centers,132 West St ,,Reno,NV,Tel 329 2878,MGM**,Organizations,,,
Caesar's ,Show Bar,133 North Erie,,Toledo,OH,"Tel. 241-5140. More gay during the week, the weekend shows,
which are excellent, attract straight crowds too. Disco dance bar and show bar. The shows are
Fri, Sat, and Sun at 9pm, 11pm and 1am. Recommended. $2.00covercharge.",**,"Bars, Clubs, Coffeehouses",,,
Salsa Soul Sisters,Group,133 W 4th St ,,New York City ,NY,Tel 282 4222 Lesbians of color social group,,,checked,,
Golden Arrow,Bars,134 East Pittsburgh St,,Greensburg,PA,Tel. 834 9757. Quiet bar older group.,MGM**,"Bars, Clubs, Coffeehouses",,,
UNH Women's Center,Centers,134 Memorial Union Building ,,Durham,NH,"Tel 862 1968 Workshops, varied programs, and lectures, lending library, political and general resource center for women's interests. ",****,Organizations,,,
The Common Ground,Bars,134 West State St ,,Ithaca,NY,Tel 273 1505 Membership club but guest memership is available,**,"Bars, Clubs, Coffeehouses",,,
Sugar Shack,Bars,135 East National Avenue,,Milwaukee,WI,"Tel. 643 9758. Juke box/dancing/pool
table/other games. Owned and operated by women. Clientele: 100% women. Open daily
7pm; Sundays 2pm. Very highly recommended.",****,"Bars, Clubs, Coffeehouses",,,
Washington Square Church,Religious Groups,135 W 4th St ,,New York City ,NY,Tel 777 2528 United Methodist Church with an openly gay pastor,,,,,
Gay and Lesbian Emergency Fund,Centers,135 W 4th St ,,New York City ,NY,Tel 777 2528 Aid for major disasters in the gay lesbian community of New York,,,,,
Albion Phototype Inc,Graphic Design,137 W 52nd St ,,New York City ,NY,Tel 247 5551 Type mechanical and design,,,,,
Ryan's Someplace Else,Bars,138-140 East Genessee St,,Syracuse,NY,"Tel. 471 9499. Disco bar.
Drag shows. 2 for 1 on Thursday nights and cocktail hours (every 3rd drink is free). Open
4pm-8pm daily. Juice bar Fri and Sat nights, open till 4am on Fri and 4.30am on Sat. Open
11am-2am daily. Clientele: gay men and about 10% gay women.",MGM**,,,,
Mama Mott's,Restaurant,143 South New York Ave,,Atlantic City,NJ,Tel 345 8218 Gay waitresses,*,Restaurants,,,
Ellen M Holloran,Jewelry,144 Sullivan St ,,New York City ,NY,Tel 982 0098 Specializing in rings for partners,,,,,
Uncensored Swinger,Publication,147 W 42nd St ,,New York City ,NY,No Phone Listing. Comes out twice a year. Some people say the swinger movement has something to offer. ,,,,,Room 603
Martinique,Bars,148 Salem Avenue,,Dayton,OH,"Tel. 226-9017. Cocktail lounge with dance area/juke box.
Clientele: mostly gay women and some gay men. Open 3pm-2.30am weekdays. Sunday
1 pm-2.30am.",***,"Bars, Clubs, Coffeehouses",,,
Karate School for Women,Martial Arts,149 Bleeker St ,,New York City ,NY,Tel 982 4739 Lots of lesbians there,,,,,
La Vista,Bars,151 Tetuan,,San Juan,PR,"Tel. 722 2514. Roof top garden bar with dance floor,
pool table, snacks. Clientele: straight cruise ship members, but lots of lesbians at the pool
table.",*,"Bars, Clubs, Coffeehouses",,,
Pleasure Chest,Bars,152 2nd Ave S ,,Manhattan,NY,Tel 242 4372 or 838 8417,**,"Bars, Clubs, Coffeehouses",,,
Chap's & Rusty's,Bars,153 Crhisty ,,Manhattan,NY,"No Phone Listing Hot club mostly Hispanic women, friendly",***,"Bars, Clubs, Coffeehouses",,,(at Delaney St) Lower East Side
Gateway Gender Alliance of New York,Centers,157 W 57th St Suite 601,,New York City ,NY,Tel 582 6823 ,,,,,
David's ,Bars,160 North 4th Street,,Steubenville,OH,"Tel. 283-9274. Disco/show-bar. Happy hour specials. 'The
friendly bar of the 80s'. Open Tues/Weds/Thur/Sun 7pm-2.30am. Fri 11.30am-2.30am and
Sat 7pm-2.30am. Be sure and say hi from GAIA.",**,,,,
The Pink Pussycat,Sex Shops,161 W 4th St ,,New York City ,NY,Tel 243 0077 This short has soft core porn and is heterosexually oriented but they do carry some stuff lesbians could use. ,,,,,
Emma Buffalo Women's Bookstore,Bookstores,168 Elmwood,,Buffalo,NY,"Tel 885 2285 Women's books and items coffee and tea is served
Feminist Bookstore",,,,,
Tavern on the Turn,Bars,172-22 Hillside Ave Jamaica,checked,Queens,NY,"Tel. 5261800. Gaywomen,""gay 
men. ",**,"Bars, Clubs, Coffeehouses",,,
New Lining,Bars,175 Cherry Lane Floral Park,,Long Island,NY,Tel 364 99641 Reported to be extremely friendly to newcomers,***,"Bars, Clubs, Coffeehouses",,,
Bettye Lane,Lesbian Photographers,176 Lafayette St ,,New York City ,NY,Tel 226 3879,,,,,
Marty's,Bars,176 Railroad St,,Pawtucket,RI,Tel. 728 5460. Tel. 7285460.,***,"Bars, Clubs, Coffeehouses",,,
Mine Hill Tavern,Bars,181 Randolph Avenue ,,Dover,NJ,Tel 328 9611 Very isolated place,***,"Bars, Clubs, Coffeehouses",,,
Double Decker,Bars,181 Walnut St,,Charlestown,WV,Tel. 292 9318,**,"Bars, Clubs, Coffeehouses",,,
Bunkhouse,Bars,182 North Main St West Babylon,,Long Island,NY,"No Phone Listed Located across the street from Club M&M
",**,"Bars, Clubs, Coffeehouses",,,
Sarah Doyle Women's Center,Centers,185 Meeting Street,,Pawtucket,RI,"Tel. 863 2189 daily(varying
hours) Mailing address: Box 1B29 Brown University; 02912. Political and social activities,
counselling and referrals. Switchboard service. Very active gay women's group (Brown
Lesbian Collective). Say hi from GAIA.",****(*),Organizations,,,
Southern Vermont Women's Health Center,,187 N Main St ,,Rutland,,Tel. 775 1946,,,,,
Big Apple Dyke News (Bad News),Publication,192 Spring St ,,New York City ,NY,Tel 226 2621 ,,,,,
The Gallery,Bars,194 Richmond St,,Pawtucket,RI,"Tel. 274 3895. Disco pub (DJ). Women's T dance
Sunday afternoons.",**(**),"Bars, Clubs, Coffeehouses",,,
SRO,Bars,199 Halsey Street ,,Newark,NJ,Tel 643 9681 First level 95% gay men and upstairs women only on Wednesdays thru Saturdays,**(**),"Bars, Clubs, Coffeehouses",,,
Stone Castle,Bars,200 N Pleasantburg Drive,,Greenville,SC,"Tel. 235 9949. This bar has a large disco dance
floor, main bar and tables and chairs next to the fireplace and TV lounge, pool tables and video
games. Very cosy private club. Out of towners must show out of state ID. Food is served.
Open Bpm-2am 7 days a week.",**,"Bars, Clubs, Coffeehouses",,,
Michael's Thing,Publication,200 West 72nd St ,,New York City ,NY,"Glossy gay weekly entertainment magazine, male-oriented but does include the bi-weekly woman about town section",,,,,Suit 66
Club Merrimac,Bars,201 Merrimac St,,Manchester,NH,Tel 623 9362,***,"Bars, Clubs, Coffeehouses",,,
Martin's,Bars,201 South 20th St ,,St Louis,MO,Tel 421 3242 Disco mostly gay men ,**,"Bars, Clubs, Coffeehouses",,,
Lenny's,Bars,201 State Street,,Binghamton,NY,"Tel 722 9677 Pinball machines, video games, disco, basically a men's cruise bar but always about 25% gay women ",MGM**,"Bars, Clubs, Coffeehouses",,,
Womanbooks,Bookstores,201 W 92nd St,,Manhattan,NY,"Tel 873 4121 Tues-Sat 10am-7pm; Sunnoon-6pm. 
Women's bookstore: books, pamphlets, periodicals, posters, records, non-sexist children's 
books; reading and relaxing area. Lesbian booklist with 300 titles free for SASE, Volleyball 
team. Huge beautiful place, one of the best and most knowledgeably stocked in the country, will 
specially order. Has readings and meet-the-authors nights, for which you should arrive on time 
to get a seat.",,,,,
Tally Ho,Bars,201 W Orange,,Lancaster,PA,Tel. 898 2876.,MGM**,"Bars, Clubs, Coffeehouses",,,
Woody's ,Restaurant,202 South 13th Street,,Philadelphia,PA,"Tel. 5459188. Serving lunch Monday through Saturday 11am
to 3pm. Appetizers, salads,o omelets, strudel, chili, hot and cold sandwiches.Also take out
and local delivery",*,Restaurants,,,
View on the Hill ,Bars,204 Orchard ,,Kansas City,MO,Tel 371 9370,*,"Bars, Clubs, Coffeehouses",,,
DCA,Bars,204 S Camac St,,Philadelphia,PA,Tel. 735 5772. After hours. Downstairs is open to women.,**,"Bars, Clubs, Coffeehouses",,,
Mamzelles,Bars,204 South Quince St,,Philadelphia,PA,"Tel. 924 9524. Private women's bar. Open Wed-Sat: 9pm till ? Sunday 6pm till ? Sunday buffet. New disco just opened. Very highly
recommended",****,"Bars, Clubs, Coffeehouses",,,
Saratoga,Bars,205 South New York,,Atlantic City,NJ,Tel 344 9878 Big Disco great dancing laser shows good lights gay women and men ,**,"Bars, Clubs, Coffeehouses",checked,,
TGB,Bars,206 West Capitol ,,Jackson,MS,No Phone Listed,***,"Bars, Clubs, Coffeehouses",,,
Bill's Disco,Bars,207 West Amite St ,,Jackson,MS,Tel 969 9765,**,"Bars, Clubs, Coffeehouses",,,
Darcelle XV Tavern,Show Bar,208 NW Third St,,Portland,OR,"Tel. 222-5338. Female impersonation shows.
Monday is burlesque night $5.00 cover. 'Incredibly delightful show bar but so popular that it's
not all gay now. Lots of people go but still recommended.'",*,"Bars, Clubs, Coffeehouses",,,
Liberty Hall,Bars,208 Richmond Ave,,Staten Island,NY,"No Phone Listing. Open 7 days a week until 8pm. Free video games. Open 
to lesbians and gay men. 75% women. ",***,"Bars, Clubs, Coffeehouses",,,
Metropolitan Community Church,Religious Groups,208 W 13th St ,,New York City ,NY,Tel 242 1212 ,,,,,
3rd World Lesbian and Gay Men's Alliance,Group,208 W 13th St ,,New York City ,NY,Tel 242 1212,,,checked,,
Senior Action in a Gay Environment (SAGE) ,Group,208 W 13th St 10011,,New York City ,NY,Tel 741 2247 Offers very good rap groups for gay men and women 55 years of age and older,,,,,
Jack's Saloon,Bars,208 West Capitol ,,Jackson,MS,Tel 352 9588,**,"Bars, Clubs, Coffeehouses",,,
The Laurel Tree,Bars,210 Hawley Ave,,Syracuse,NY,"Tel. 471 2813. Downstairs
wine bar. Part disco, part country and western and still popular. Hours: 4pm-2am and Sat
7pm-2an (DJ). Cover charge Fri and Sat nights. Highly recommended.",****,,,,
212,Bars,212 Colvin ,,Rochester,NY,Tel. 235 9771.,***,"Bars, Clubs, Coffeehouses",,,
Roberts La Fitte,Bars,213 Kempner,,Galveston,TX,"Tel. 765 6896 Open 10am-2am Mon-Sat, Noon-2am
Sundays. Shows every Sunday at 8.30pm.",**,"Bars, Clubs, Coffeehouses",,,
Kon Tiki Club,Bars,214 23rd St,,Galveston,TX,"Tel. 763 9031. Disco, DJ bar, plus pool tables, video games.
Quiet piano bar upstairs. Clientele: all gay and 50% women. Open 4.30pm-2.00am seven
days a week.",**,"Bars, Clubs, Coffeehouses",,,
B Street Restaurant and Deli,Restaurant,215 First Street Langley,,Whidbey Island,WA,"Tel. 321-1391. Good
food plus coffee/tea/expresso/desserts. Live entertainment and local art on display. 'I have
been in business here for 5 years. I am a gay man and make quite sure that ALL are welcome
and comfortable here.' Be sure and say hi from GAIA. Real nice people .",*,Restaurants,,,
Adam's Rib,Bars,217 Calhoun St,,Cincinnati,OH," Tel. 281-9691. Sundays free brunch 4 till 8pm and 
cocktail prices all night Sundays. Wednesdays live entertainment in the lounge (lounge opens 
at 8.30pm). Very, very highly recommended. Open Weds-Sun 8.30pm-2.30am. ",****,,,,
Tina's RTI,Bars,219 East Keefe Ave,,Milwaukee,WI,"Tel. 263 9918. Comfortable and friendly.
Recommended.",***,"Bars, Clubs, Coffeehouses",,,
Rosie's ,Bars,219 Monroe Ave,,Rochester,NY,Tel. 232 9876.,**,"Bars, Clubs, Coffeehouses",,,
Le Bistro In Exil ,Bars,225 Harrison Ave ,,Biloxi ,MS,Tel 388 9662 Pool table and video games,***,"Bars, Clubs, Coffeehouses",,,
Gay Community Center,Centers,231 Oakland Ave,,Pittsburgh,PA,Tel. 661 4129 Hotline,***,Organizations,,,
Pershing's,Restaurant,232 Colombus Ave,,Manhattan,NY,"Tel 691 3360 3pm-4am. Friendly neighborhood bar, pool table, 
video games. Few men go there, mostly women.",*,Restaurants,,,
Kismet Lounge,Bars,232 North 3rd,,Columbus,OH,Tel. 225-9460. Pool table: clientele gay women and some gay men. Opens 5pm. ,**,"Bars, Clubs, Coffeehouses",,,
Kismet Lounge,Bars,232 North 3rd,,Dayton,OH,"Tel. 225-9460. Pool table: clientele gay women and some
gay men. Opens 5pm.",**,"Bars, Clubs, Coffeehouses",,,
Epic Book Shop,Bookstores,232 Xenia Ave,,Yellow Springs,OH,"Tel. 767-7997. New and used women's section. The
only source of feminist books in this area. Open 1 Oam-6pm Mon-Sat, 12 noon-6pm Sun.",,,,,
Foxes,Bar/Restuarant,233 Westlake Avenue N,,Seattle,WA,"Tel. 682 0389. Gay owned and operated. The
food is reasonable and excellent. Open 11 a m-2amd daily.",****,"Bars, Clubs, Coffeehouses",,,
Lil's Tavern,Bars,235 Grand Street ,,Paterson,NJ,Tel 684 9294 Beer and cocktails,***,"Bars, Clubs, Coffeehouses",,,
P W Bumps,Religious Groups,238 N Cleveland,,Memphis,TN,"Tel. 7269953. Pizzas, shuffleboard,d raft beer, pinball.( Is it true
that PW stands for Pussy Whip?)",**,Organizations,,,
Bread and Roses Women's Health Center,Centers,238 W Wisoonsin Ave,,Milwaukee,WI,Tel. 278 0260.,,,,,
Coachman,Bars,239 Montauk Highway Sayville,,Long Island,NY,"Tel 589 99683 Quiet bar jukebox some dancing. This is Long Island's longest running gay bar
",***,"Bars, Clubs, Coffeehouses",,,
The Riverview,Bars,242 South Ave,,Rochester,NY,"Tel. 325 9772. Nowadays it's Rochester's quiet bar for women. Juke box, pool table, football. A great place for meeting people and having a conversation, not so hot for dancing. ",****,"Bars, Clubs, Coffeehouses",,,
New York City Lesbian Switchboard,Information Services,243 W 20th St ,,New York City ,NY,Tel 741 2610 ,,,,,
