title,type,statewide.address,address,unclear.address,stars,star.type,description,city,state,Mentions Race?,Mentions Disability?,notes,Feminist Bookstores,year
The Stables,Bar,,,checked,,"Bars, Clubs, Coffeehouses ",Tel 743 9898 on Hatwai North South Highway about 3 miles out of town. ,Lewiston,ID,,,,,1977
Northwest Gay People's Alliance,Bar,,,checked,*,"Bars, Clubs, Coffeehouses ","Library, political and social activities, referrals. They were featured on the television program ""Sweet Land of Liberty"". Their publication: Update for Action",Moscow,ID,,,,,1977
Atom Club,Bar,,230 West Lewis,,*,"Bars, Clubs, Coffeehouses ",Tel 232 9821 Office Bar 251 East Center Street Tel 208 232 9816,Pocatello,ID,,,,,1977
Bookpeople,Bar,,512 South Main Street,,,"Bars, Clubs, Coffeehouses ",Tel 208 882 7957 Lesbian and feminist books,Moscow,ID,,,,,1977
The Patch,Bar,,Wentworth 155th St,checked,***,"Bars, Clubs, Coffeehouses ",Tel 891 9854,Calumet City,IL,,,,,1977
The Pour House,Bar,,1103 - 155th Street ,checked,**,"Bars, Clubs, Coffeehouses ",Tel 891 9889,Calumet City,IL,,,,,1977
Our Place,Bar,,706 State Line,,**,"Bars, Clubs, Coffeehouses ",Tel 862 9706,Calumet City,IL,,,,,1977
Mr. B's Club,Bar,,606 State Line,,*,"Bars, Clubs, Coffeehouses ",Tel 862-1221,Calumet City,IL,,,,,1977
Gay Women's Group,Group,,,checked,,,PO Box 1096 Station A,Champaign,IL,,,,,1977
Giavanni's Place,Bar,,521 North Hickory ,,***,"Bars, Clubs, Coffeehouses ",Disco,Champaign,IL,,,,,1977
Balloon Saloon,Bar,,317 North Fremont Avenue,,***,"Bars, Clubs, Coffeehouses ",Tel 356 0014,Champaign,IL,,,,,1977
Lavendar Woman,Newspaper,,1723 West Devon ,,,,Tel 935-4270,Chicago,IL,,,,,1977
Lesbian Feminist Center,Organization,,3523 North Halstead,,*****,Organizations,"Tel 935 4250 Which also houses The Counseling Resource Center for Lesbians, the Elizabeth Gould Davis Reading Room, and the new Alexandria Library for Lesbian Women",Chicago,IL,,,,,1977
Gay Switchboard,Organization,,,checked,,,Tel 935 4270,Chicago,IL,,,,,1977
Rogers Park Gay Center,Organization,,7109 North Glenwood,,***(**),Organizations,Tel 312 262 0537,Chicago,IL,,,,,1977
Blue Gargoyle,Coffeehouse,,5655 South University Ave,,**,"Bars, Clubs, Coffeehouses ",,Chicago,IL,,,,,1977
Mountain Moving Coffeehouse,Coffeehouse,,1139 West Webster,,**,"Bars, Clubs, Coffeehouses ","Open 7-11 Entertainment, poetry, feminist atmosphere",Chicago,IL,,,,,1977
C.K.s,Bar,,1425 West Diversey,,***,"Bars, Clubs, Coffeehouses ",,Chicago,IL,,,,,1977
Stop Inn,Bar,,1812 Montrose,,***,"Bars, Clubs, Coffeehouses ",,Chicago,IL,,,,,1977
Augie's,Bar,,3237 North Halstead,,****,"Bars, Clubs, Coffeehouses ",,Chicago,IL,,,,,1977
Lost and Found,Bar,,2959 West Irving West Webster,,****,"Bars, Clubs, Coffeehouses ",,Chicago,IL,,,,,1977
His 'n' Hers,Bar,,2316 North Lincoln Ave,,**,"Bars, Clubs, Coffeehouses ",,Chicago,IL,,,,,1977
In-Between,Bar,,West 63rd Street,checked,**,"Bars, Clubs, Coffeehouses ",and South Harlem,Chicago,IL,,,,,1977
Knight Out,Bar,,2936 North Clark,,**,"Bars, Clubs, Coffeehouses ",Tel 3121 515 8150,Chicago,IL,,,,,1977
Digby's,Bar,,3325 North Halstead,,***,"Bars, Clubs, Coffeehouses ",,Chicago,IL,,,,,1977
Up North,Restaurants,,2500 Southport,,*,Restaurants,,Chicago,IL,,,,,1977
Vittles,Restaurants,,2940 North Clark Street,,*,Restaurants,,Chicago,IL,,,,,1977
Petunia's,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",Right wood and South port,Chicago,IL,,,,,1977
Uprising,Bar,,112 East Lincoln Highway,,*,"Bars, Clubs, Coffeehouses ",Tel 815 758 3148 Mostly straight,De Kalb,IL,,,,,1977
Helen Schrader's,Bar,,205 North 5th Street,,***,"Bars, Clubs, Coffeehouses ",off Missouri Ave,East St. Louis,IL,,,,,1977
Red Bull,Bar,,512 Missouri Ave,,**,"Bars, Clubs, Coffeehouses ",Tel 276 4965,East St. Louis,IL,,,,,1977
P.K.s,Bar,,601 Missouri,,***,"Bars, Clubs, Coffeehouses ",,East St. Louis,IL,,,,,1977
Quench Room,Bar,,631 West Main Street,,**,"Bars, Clubs, Coffeehouses ","Tel 309 676 9141 Conflicting reports (1) New and Ok (2) Mostly gay men a dirty, smokey hole int he wall. ",Peoria,IL,,,,,1977
The Office,Bar,,513 East State Street,,**,"Bars, Clubs, Coffeehouses ",,Rockford,IL,,,,,1977
Club Peorian,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",South West Adams at Oak. Tel 309 674 5623 New disco bar recommended. ,Peoria,IL,,,,,1977
Conquest,Bar,,1524 - 4th Avenue,,**,"Bars, Clubs, Coffeehouses ","Use the rear entrance. Nice and large, pinball machines, pool tables, disco dancing. 80% guys and 20% gals. Recommended",Rock Island,IL,,,,,1977
Gay Illini,Organization,,284 Illini Union,checked,***,Organizations,"Tel 333-1187. Switchboard Tel 217 384 8040 7pm-1am nightly. Library, coffeehouse, socials, CR groups, referral and sports. Their publication 'Gayly Illini'",Urbana,IL,,,,,1977
Grandma's ,Restaurants,,,checked,*,Restaurants,Clark and Diversey,Chicago,IL,,,,,1977
Lesbian Liberation Organization,Organization,,,checked,***,Organizations,Tel 812 332 3535,Bloomington,IN,,,,,1977
Gay Rap Line,Gay Hotline,,,checked,,,Tel 812 332-3535,Bloomington,IN,,,,,1977
Kirkwood Bar,Bar,,212 West Kirkwood Ave,,*,"Bars, Clubs, Coffeehouses ",Tel. 332-7872 Not reccommended,Bloomington,IN,,,,,1977
Mother Bear's Place,Restaurants,,1316 East Third Street,,*,Restaurants,Tel 339 3460,Bloomington,IN,,,,,1977
The Hunt,Bar,,107 South Pennsylvania,,**,"Bars, Clubs, Coffeehouses ",Tel 317 637 8797 three floors of super-bar,Indianapolis,IN,,,,,1977
The Club/Darlo's,Bar,,508 South Alabama,,****,"Bars, Clubs, Coffeehouses ",,Indianapolis,IN,,,,,1977
Famous Door,Bar,,253 North Capitol Avenue,,**,"Bars, Clubs, Coffeehouses ",Tel 632 0428 Drag shows nightly. Recommended. ,Indianapolis,IN,,,,,1977
A Room of One's Own,Feminist Bookstore,,101 1/2 West Kirkwood,checked,,,Rooms 9 and 10,Bloomington,IN,,,,,1977
Downtowner,Bar,,411 East Jefferson,,**,"Bars, Clubs, Coffeehouses ",,South Bend,IN,,,,,1977
Seahorse,Bar,,1902 Western,,**,"Bars, Clubs, Coffeehouses ",,South Bend,IN,,,,,1977
Poplar Bar,Bar,,1430 Poplar Street,,*,"Bars, Clubs, Coffeehouses ",,Terre Haute,IN,,,,,1977
Purdue Gay Alliance,Group,,,checked,*,Organizations,Box 510 Purdue Memorial Union ,West Lafayette,IN,,,,,1977
Women's Crisis Service,Hotline,,,checked,,,"Tel 812 332 0181 2pm-7am Mon-Fri 8pm-7am Sat & Sun. Gay oriented, trained para-professionals",Bloomington,IN,,,,,1977
Aragon Tap Room,Bar,,322 Second Avenue SE ,,*,"Bars, Clubs, Coffeehouses ",Tel 364 9727,Cedar Rapids,IA,,,,,1977
Side Track,Bar,,169 4th Street SE,,**,"Bars, Clubs, Coffeehouses ","A new place mostly gay men, but recommended because it's gay owned and quite ok for women. ",Cedar Rapids,IA,,,,,1977
P.S. Mail Box Lounge,Bar,,311 Second Street,,**,"Bars, Clubs, Coffeehouses ",,Des Moines,IA,,,,,1977
M2 Lounge,Bar,,1201 Grand Avenue,,**,"Bars, Clubs, Coffeehouses ",There's no sign and the entrance is through the parking lot in the rear. New super-bar,Des Moines,IA,,,,,1977
A Mind of Your Own,Bar,,1926 Francis ,,,,We sell Gaia's Guides,Des Moines,IA,,,,,1977
Lesbian Alliance,Organization,,130 North Madison ,,*****,Organizations,"They have every facility and activity that you could possibly think of including sports and a very wide range of social activities. Their publication is Better Homes and Dykes which features new about the local scene and provides a very open forum for all Dyke opinions and attitudes. It's entertaining, it's highly informative and it's free. ",Iowa City,IA,,,,,1977
Emma Goldman Clinic for Women,Organization,,715 North Dodge,,,,Tel 337  2111 Lesbian health groups and lesbian massage classes. Also herbal healing classes. ,Iowa City,IA,,,,,1977
Grace and Rubie's,Feminist Social Club and Restaurant,,209 North Linn ,,,,Tel 351 9550 Open Mon-Fri 11am-midnight. Natural food. Private membership. ,Iowa City,IA,,,,,1977
Boulevard Room,Bar,,325 East Market. ,,*,"Bars, Clubs, Coffeehouses ",Not recommended. ,Iowa City,IA,,,,,1977
M.C.C.,Religious Group,,156 South Liniestorce,,*,Organizations,,Lexington,KT,,,,,1977
Montparnasse,Bar,,224 East Main,,**,"Bars, Clubs, Coffeehouses ","Disco, restaurant lots of gay women. ",Lexington,KT,,,,,1977
Bungalow,Bar,,110 North Mill Street,,***,"Bars, Clubs, Coffeehouses ",Tel 255 7477,Lexington,KT,,,,,1977
Badlands Territory,Bar,,116 East Main Street,,***,"Bars, Clubs, Coffeehouses ",Tel 582 9=246 Rough,Louisville,KT,,,,,1977
Downtowner,Bar,,105 West Main Street,,***,"Bars, Clubs, Coffeehouses ",Tel 582 9401,Louisville,KT,,,,,1977
Julip Bar,Bar,,655 South Fourth Street,,**,"Bars, Clubs, Coffeehouses ",,Louisville,KT,,,,,1977
Louisiana Gay Blade,Newspaper,checked,,checked,,,PO Box 1583 ,Alexandria,LA,,,,,1977
Mirror Room,Bar,,311 North Boulevard,,***,"Bars, Clubs, Coffeehouses ",Dancing,Baton Rouge ,LA,,,,,1977
Thirsty Tiger,Bar,,3205 Plank Road,,***,"Bars, Clubs, Coffeehouses ",,Baton Rouge ,LA,,,,,1977
George's Place,Bar,,860 St Louis,,**,"Bars, Clubs, Coffeehouses ",Tel 342 9537,Baton Rouge ,LA,,,,,1977
Owl's Perch Lounge,Bar,,2400 Moss Street ,,*,"Bars, Clubs, Coffeehouses ",Extension Tel 234 9122,Lafayette,LA,,,,,1977
Daughters of Bilitis,Organization,,,checked,*****,Organizations,Tel 504 891 4339 and 945 2217 Their center is brand new. Their publication is Gay La $3.00 one-year subscription $10 yearly membership in DOB. They are in the process of forming their own women's band. ,New Orleans,LA,,,,,1977
New Orleans Gay Service Center,Organization,,,checked,***(**),Organizations,,New Orleans,LA,,,,,1977
The Dock,Bar,,111 Riverside Mall,checked,**,"Bars, Clubs, Coffeehouses ",Tel 343 1001,Baton Rouge ,LA,,,,,1977
Dignity,Organization,,,checked,,,Tel 504 861 1663 ,New Orleans,LA,,,,,1977
M.C.C.,Organization,,1936 Burgundy,,,,Tel 504 945 5476,New Orleans,LA,,,,,1977
Alice Brady's,Bar,,700 North Rampart Street,,****,"Bars, Clubs, Coffeehouses ",Tel 523 9527,New Orleans,LA,,,,,1977
Bourbon Pub,Bar,,801 Bourbon Street,,**,"Bars, Clubs, Coffeehouses ","Tel 523 9720 Great disco music, nice atmosphere, gay women very, very welcome. ",New Orleans,LA,,,,,1977
Apple Barrel,Restaurants,,1940 Dauphine ,,**,Restaurants,"Serves good, homemade food. ",New Orleans,LA,,,,,1977
The Grog,Bar,,718 North Rampart St,,****,"Bars, Clubs, Coffeehouses ",Tel 523 0747,New Orleans,LA,,,,,1977
Good Friends,Bar,,740 Dauphine Street,,***,"Bars, Clubs, Coffeehouses ",Tel 523 9608,New Orleans,LA,,,,,1977
Ma Cuiller Gras,Restaurants,,918 Royal Street ,,*,Restaurants,Tel 524 44975,New Orleans,LA,,,,,1977
Tortilla Flats,Restaurants,,,checked,*,Restaurants,in French Market at Barracks,New Orleans,LA,,,,,1977
K-9 Club,Bar,,1724 Barksdale Boulevard,,***,"Bars, Clubs, Coffeehouses ",Bossier City,Shreveport,LA,,,,,1977
Burgundy House,Restaurants,,704 Burgundy Street,,**,Restaurants,,New Orleans,LA,,,,,1977
Florentine Room,Bar,,728 Austin Place,,***,"Bars, Clubs, Coffeehouses ",,Shreveport,LA,,,,,1977
Maine Lesbian Feminists,Publication,checked,,checked,,,"Box 125 Belfast, Maine. This is a new organization an dit represents a new concept in organizing. Here are the local chapters as of September 1976: Brunswick-Bath, Augusta, Bangor, Belfast, and Portland. And this is how they intend to operate: each group meets regularly for support, sharing, partying, political discussion and action. The entire statewide organization will meet every two months for all day meetings and partying. Committees will work together as needed. ",,ME,,,"In the scanned issue, there is a section at the start of Maine that is titled, “Statewide Publication and Organizations:” with the following entries listed. Each of these has a specific city listed in their address, but are listed as statewide. In the Airtable, they were categorized under the city in their address. I changed them to having no city (being statewide) - is this correct? ",,1977
Maine Gay Task Force,Organization,checked,193 Middle Street ,,***(**),Organizations,Third floor. Tel 773 6071,,ME,,,"In the scanned issue, there is a section at the start of Maine that is titled, “Statewide Publication and Organizations:” with the following entries listed. Each of these has a specific city listed in their address, but are listed as statewide. In the Airtable, they were categorized under the city in their address. I changed them to having no city (being statewide) - is this correct? ",,1977
The Maine Freewoman's Herald,Organization,checked,193 Middle Street ,checked,,,Box 488,,ME,,,"In the scanned issue, there is a section at the start of Maine that is titled, “Statewide Publication and Organizations:” with the following entries listed. Each of these has a specific city listed in their address, but are listed as statewide. In the Airtable, they were categorized under the city in their address. I changed them to having no city (being statewide) - is this correct? ",,1977
Ray's Riverview,Bar,,29 Water Street,,**,"Bars, Clubs, Coffeehouses ",All gay with lots and lots of women at weekends. ,Augusta,ME,,,,,1977
The Women's Counseling Service,Counseling Service,,72 Front Street ,,,,"Tel 207 443 9531. Counseling, therapy, referrals, workshops in assertiveness training and Gestalt therapy techniques. Planning a sexuality workshop and who knows what more may come. ",Bath,ME,,,,,1977
Annabelle's,Bar,,US Highway 1,checked,**,"Bars, Clubs, Coffeehouses ",Elegant atmosphere aims for gay tourist clientele. Brunch 11:30am to 2:30pm daily except Mondays and Tuesdays. Dinner 5pm-10pm nightly. Disco 10:30-1am nightly. ,Ogunquit,ME,,,,,1977
Androscoggin Club,Bar,,100 Lincoln St,,,,,Lewiston,ME,,,,,1977
The Tavern,Bar,,Agamenticus Road,checked,,,Tel 646 2272,Ogunquit,ME,,,,,1977
Edelweiss,Restaurants,,Downtown,checked,,,Tel 646 3976. Downtown. 8pm-2am Piano bar in the Lili Marlene Lounge,Ogunquit,ME,,,,,1977
The Trolley Stop,Restaurants,,,checked,,,Tel 207 646 9596,Ogunquit,ME,,,,,1977
Portland Women's Center,Organization,,,checked,****,Organizations,,Portland,ME,,,,,1977
The Fan Club ,Restaurants,,Shore Road,checked,,,Tel 207 646 9300,Ogunquit,ME,,,,,1977
Wilde-Stein Club,Organization,,Union,checked,***,Organizations,Tel 207 581 2571,Orono,ME,,,,,1977
Roland's,Bar,,413A Cumberland Ave,,**,"Bars, Clubs, Coffeehouses ",Dancing Recommended. ,Portland,ME,,,,,1977
Maine Feminist Health Project,Organization,,,checked,,,Tel 772 7673,Portland,ME,,,,,1977
Sybil's,Bar,,135 Middle Street,,**,"Bars, Clubs, Coffeehouses ",Disco/Restaurant. Disgusting male floor show but 30% gay women on weekends. ,Portland,ME,,,,,1977
Rook and Pawn,Bar,,Forest Avenue,checked,*,"Bars, Clubs, Coffeehouses ",This is a straight bar where lots of gay people go. It's extremely comfortable for gay women with a big dance floor and lots of table space. On Sunday it's closed to the public but often used for gay benefits. ,Portland,ME,,,,,1977
Gay Switchboard,Services,,,checked,,,Tel 235 4357 or see Blade for DC for current details of activities an happenings. ,Baltimore,MD,,,,,1977
The Lesbian Community Center,Women's Center,,3028 Greenmount Avenue ,,*****,Organizations,Tel 235 8593 This is the Baltimore Lesbian Switchboard. ,Baltimore,MD,,,,,1977
A Journal of Liberation,Publication,,3028 Greenmount Avenue,,,,"Quarterly $5.00 per year to individuals, $15.00 to institutions. ",Baltimore,MD,,,,,1977
Baltimore Women's Liberation Center,Women's Center,,101 East 25th Street,,****,Organizations,Tel 301 366 6475 Very into lesbian issues,Baltimore,MD,,,,,1977
Women's Growth Center,Women's Center,,1110 St Paul Street ,,****(*),Organizations,"Tel 301 539 3588. Therapy, referrals, lesbian rap and CR.",Baltimore,MD,,,,,1977
M.C.C.,Religious Organization,,,checked,,,Tel 355 1415 or 669 3232,Baltimore,MD,,,,,1977
Jewish Gays,Religious Organization,,,checked,,,Tel 685 0736,Baltimore,MD,,,,,1977
Dignity,Religious Organization,,,checked,,,Tel 235 0333,Baltimore,MD,,,,,1977
Shot Tower,Bar,,4 North High Street,,***,"Bars, Clubs, Coffeehouses ",Tel 539 8942,Baltimore,MD,,,,,1977
Connie's Hideaway,Bar,,2308 Boston Street,,****,"Bars, Clubs, Coffeehouses ",Tel 732 9868 Food dancing pool table entertainments,Baltimore,MD,,,,,1977
Zodiac ,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ","Corner of Eastern Avenue and Washington Streets, Tel 327 9771",Baltimore,MD,,,,,1977
Sappho's Bar,Bar,,100 Albemarle St,,****,"Bars, Clubs, Coffeehouses ",Tel 752 1263 New and wonderful women owned. ,Baltimore,MD,,,,,1977
Frankie and Jonnie,Bar,,2218 Boston Street,,***,"Bars, Clubs, Coffeehouses ",Tel 675 9597,Baltimore,MD,,,,,1977
Club Mitchell,Bar,,1003 East Pratt Street,,***,"Bars, Clubs, Coffeehouses ",Tel OR 5 9701,Baltimore,MD,,,,,1977
A Cold Day in August,Publication,,101 East 25th Street B-2,,,,Tel 301 366 6475 Monthly news magazine includes a calendar of events for Baltimore women. $4.00 subscription. ,Baltimore,MD,,,"Before clean up, was listed as statewide in Airtable. Double checked with the scanned issue - it is listed as Baltimore. Now listed as Baltimore in Airtable ",,1977
PJS place,Bar,,1024 East Baltimore Street ,,***,"Bars, Clubs, Coffeehouses ",Tel 276 9032,Baltimore,MD,,,,,1977
Hippopotamus,Bar,,1 West Eager Street,checked,***,"Bars, Clubs, Coffeehouses ",Tel. 547 0069,Baltimore,MD,,,,,1977
Mary's Downtown Club,Bar,,1101 Cathedral,,**,"Bars, Clubs, Coffeehouses ",,Baltimore,MD,,,,,1977
The 31st Street Shop,Bookstore,,425 East 31st Street,,,,"Tel 245 3131 A good place to go when you first hit town. They sell books, records, plants and even Gaia's Guides",Baltimore,MD,,,,,1977
A Women's Bookstore at Diana Press,Bookstore,,12 West 25th St,,,,600 feminist titles. Special emphasis on books by and for lesbians. ,Baltimore,MD,,,,,1977
Gay Hotline,Gay Hotline,,,checked,,,Tel 545 0154 For Gay women and men. ,Amherst,MA,,,,,1977
Gaybreak,Radio and Television,,,checked,,,First and third Wednesday of each month. See Gay community News of Boston for details. ,Amherst,MA,,,,,1977
Everywomen's Center,Women's Center,,506 Goodell Hall,,****(*),Organizations,Tel 413 545 0883 Newsletter and Chomo Uri which features reviews and very high-quality black and white photographs. It is also concerned with the struggle of women in a sexist racist society and attempts to amalgamate a non-sexist political outlook with artistic expressionl. ,Amherst,MA,,,,,1977
Lambda Travel,Travel Agency,,223 North Pleasant Street,,,,Tel 413 549 1256,Amherst,MA,,,,,1977
Adventura Travel,Travel Agency,,233 North Pleasant Street,,,,Tel 413 549 1256 Might be just for gay men. ,Amherst,MA,,,,,1977
Focus,Publication,,419 Bolyston Street,,,,"Room 323 Tel. 617 262 1592. Monthly $.60 each annual $6.00 in usa. Annual overseas $7.00 Fiction, poetry, reviews, local and political new plus DOD calendar of events. ",Boston,MA,,,,,1977
Daughters of Bilitis,Organization,,419 Boylston Street,,*****,Organizations,Room 323 Tel. 617 262 1592,Boston,MA,,,,,1977
Boston Psychological Center for Women,Organization,,,checked,,,Tel. 266 01136,Boston,MA,,,,,1977
Lesbian Liberation,Organization,,,checked,****(*),Organizations,Tel. 617 354 8807 and at the same number Lesbian mothers and lesbian therapy research project. ,Boston,MA,,,,,1977
Project Lambda,Organization,,,checked,,,Tel 227 8587 Legal aid and counseling. ,Boston,MA,,,,,1977
Closet Space,Radio and Television,,,checked,,,WCAS AM 740 Sundays 10:30-11am,Boston,MA,,,,,1977
Homophile Community Health Services,Organization,,80 Boylston Street ,,,,Suite 855 Tel 617 542 5188,Boston,MA,,,,,1977
Gay Way,Radio and Television,,,checked,,,WBUR 90FM Tuesdays 8-9:30pm Tel 617 353 2790 Lesbian moderators,Boston,MA,,,,,1977
Gay News,Radio and Television,,,checked,,,WCAS 7.40am Mondays at 10am,Boston,MA,,,,,1977
The Citadel,Bar,,22 Avery Street,,****,"Bars, Clubs, Coffeehouses ",Tel 482 9040,Boston,MA,,,,,1977
The Saints,Bar,,112 Broad Street,,****,"Bars, Clubs, Coffeehouses ",Tel 338 7763,Boston,MA,,,,,1977
Womanspaces,Bar,,969 Commonwealth Avenue,,****,"Bars, Clubs, Coffeehouses ",A new idea,Boston,MA,,,,,1977
Together,Bar,,110 Boylston Street,,**,"Bars, Clubs, Coffeehouses ",Recommended - super bar. Tel 426 0086,Boston,MA,,,,,1977
1270 Club,Bar,,1270 Boylston Street,,**,"Bars, Clubs, Coffeehouses ",Tel 617 261 1257,Boston,MA,,,,,1977
The Stage Door,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Boylston Place opposite Boston Repertory Theater Gameroom and lounge,Boston,MA,,,,,1977
The Alternataive Theater Restauarant,Restaurants,,186 Commercial Street,,,,Finest in vegetarian cooking,Boston,MA,,,,,1977
Back Bay Screening Room,Cinema,,19 Arlington Street,,,,"Tel 536 9477 Movies with homosexual themes, classics and vintage films. ",Boston,MA,,,,,1977
The Gay Bowling League ,Bowling League,,1260 Lanes,,,,Sponsored by the Gay Recreational Activities Committee. Gay women and men. ,Boston,MA,,,,,1977
Beacon Tours,Travel Agency,,160 Commercial Ave,,,,Tel 247-1832 Vacations and holidays for gays. ,Boston,MA,,,,,1977
Lesbian Liberation ,Organization,,46 Pleasant Street,,****(*),Organizations,Tel 617 354 8807,Cambridge,MA,,,,,1977
Bob's Place,Bar,,44 Centro Street,,**,"Bars, Clubs, Coffeehouses ",Tel 617 588 9976,Brockton,MA,,,,,1977
The Women's Community Health Center,Organization,,137 Hampshire Street,,,,They have regular open house meetings. ,Cambridge,MA,,,,,1977
Bread and Roses,Restaurants,,134 Hampshire Street,,,,Tel 354 3871 Tues-Sat 5:30-9:30pm Women's Brunch Sundays noon-2pm,Cambridge,MA,,,,,1977
The Lighthouse,Bar,,700 Washington Street,,**,"Bars, Clubs, Coffeehouses ",,Lynn,MA,,,,,1977
Mr. Dominic's,Bar,,34-36 Central Avenue,,**,"Bars, Clubs, Coffeehouses ",Dancing nightly,Lynn,MA,,,,,1977
Dignity,Religious Group,,,checked,,,PO Box 348 ,Lowell,MA,,,,,1977
High Haven,Guest House,,,checked,,,PO Box 289,Martha's Vineyard Island,MA,,,,,1977
R & R Club,Bar,,78 Covel Street,,*,"Bars, Clubs, Coffeehouses ",,Martha's Vineyard Island,MA,,,,,1977
Titticut Follies,Guest House,,43 Barraganset Avenue ,,,,Tel 617 693 9290 Open July-October as advertised in Majority Report,Martha's Vineyard Island,MA,,,,,1977
Zelda's Back Room,Lesbian Space,,Bulton Street,checked,***,Organizations,Tel 413 586 2203 or 586 2011 for details because Zelda's is really only good on certain nights. ,Northhampton,MA,,,,,1977
Lesbian Gardens,Lesbian Space,,200 Main Street,,****(*),Organizations,"413 586 2011 ext 413 Coffeehouse, bookstore, regular meetings, they sell Gaia's Guide",Northhampton,MA,,,,,1977
Everywomen's Center,Organization,,14 Center Street,checked,****,,Box 949 Tel 487 3075,Provincetown,MA,,,,,1977
Gay Activities Alliance,Organization,,,checked,*,,Tel 617 487 3393; 487 3234; 487-3344,Provincetown,MA,,,,,1977
(Projected),Restaurants,,,checked,**,Restaurants,For now this yet unnamed women's restaurant can be contacted by ringing Tel 413 545 0883,North Quincy,MA,,,,,1977
Massachusetts Bay Counseling Associates,Counseling Service,,,checked,,,"PO Box 69 North Quincy Tel 472 1331 Counselors Donald McGay, Terry Kaminsky. For suburban gays. ",North Quincy,MA,,,,,1977
Sisters,Bar,,291 Commercial Street,,**(**),"Bars, Clubs, Coffeehouses ",Recommended,Provincetown,MA,,,,,1977
Women's Health Clinic,Organization,,14 Center Street,,,,,Provincetown,MA,,,,,1977
Vorelli's,Bar,,,checked,****,"Bars, Clubs, Coffeehouses ",Brand new inquire locally,Provincetown,MA,,,,,1977
White Wind Inn,Bar,,147 Commercial Street,,***,"Bars, Clubs, Coffeehouses ",,Provincetown,MA,,,,,1977
Front Street,Bar,,,checked,***,"Bars, Clubs, Coffeehouses ",In Commercial Street,Provincetown,MA,,,,,1977
Provincetown Inn and Motel,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",One mile west on Commercial Street,Provincetown,MA,,,,,1977
Room at the Top,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",,Provincetown,MA,,,,,1977
Crown and Anchor Motor Inn,Bar,,247 Commercial Street,,**,"Bars, Clubs, Coffeehouses ","Tel 617 487 1430 Beach side pool, disco, clambake restaurant. Directly on the beach",Provincetown,MA,,,,,1977
Hideaway,Restaurants,,229 Commercial Street,,,,Tel 487-3829,Provincetown,MA,,,,,1977
The Moors,Restaurants,,,checked,**,Restaurants,Beach Highway at Bradford Street Exit,Provincetown,MA,,,,,1977
Randolph Country Club,Country Club,,44 Mazeo Drive,,**,"Bars, Clubs, Coffeehouses ","Route 139. Tel 963-9809 Private club, disco, swimming pool",Randolph,MA,,,,,1977
Peasant Stock,Restaurants,,421 Washington St,,*,Restaurants,Tel 354 9528,Somerville,MA,,,,,1977
Dignity,Religious Group,,,checked,,,PO Box 488 Forest Park Station ,Springfield,MA,,,,,1977
The Stantion,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Dwight and Taylor,Springfield,MA,,,,,1977
New Words,Bookstore,,419 Washington Street,,,,Tel 876 5310,Somerville,MA,,,,,1977
The Pub,Bar,,382 Dwight,,**,"Bars, Clubs, Coffeehouses ",Shows and dancing,Springfield,MA,,,,,1977
Poet's,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Route 57 Tel 413 786 4898 (7 minutes from Springfield) Opened October 1976 might be just gay men. It's too early to tell ,Springfield,MA,,,,,1977
Dad's ,Bar,,,checked,**,"Bars, Clubs, Coffeehouses ",Route 3A Hudson Road near the Hampshire S,Tynesboro,MA,,,,,1977
Project,Group,,,checked,*,"Bars, Clubs, Coffeehouses ",Weekly meetings Tel 693-2900 For current details see Gay Community News of Boston,Vineyard Haven,MA,,,,,1977
Gay Women's Rap Group,Group,,64 Chandler Street,,**,Organizations,Tel 756 0730,Worcester,MA,,,,,1977
The Vacation Shop,Travel Agency,,257 North Avenue,,,,Tel 617 246 2670 Might be just for gay men. ,Wakefield,MA,,,,,1977
Ports O'Call,Bar,,700 Main St,,**,"Bars, Clubs, Coffeehouses ",Tel 752-9358,Worcester,MA,,,,,1977
Springfield Gay Alliance,Religious Group,,,checked,*,Organizations,Box 752 Tel 413 583 3904,Springfield,MA,,,,,1977
Gay Hotline,Organization,,,checked,****(*),Organizations,Tel 761 2044,Ann Arbor,MI,,,,,1977
Rubayait,Organization,,,checked,,,Restaurant/Bar/Disco,Ann Arbor,MI,,,,,1977
Metro Gay News,Publication,,,checked,,,PO Box 445-A Tel 956 7423,Detroit,MI,,,,,1977
A Women's Bookstore,Bookstore,,225 East Liberty,,,,Feminist books and periodicals,Ann Arbor,MI,,,,,1977
Gay Switchboard,Gay Hotline,,,checked,,,Tel 577 3450 6-10pm Mon-Thurs 6-11pm Fri and Sat. Volunteers needed. Feminist Women's Health Clinic ,Detroit,MI,,,,,1977
Feminist Women's Health Clinic,Clinic,,2445 West 8 Mile,,,,Tel 892 7790 VD Clinic and self help,Detroit,MI,,,,,1977
Dignity,Religious Group,,2846 17th Street,,,,Tel 894 1064,Detroit,MI,,,,,1977
