title,type,address,unclear.address,city,state,description,stars,star.type, mentions.race,mention.disability,notes,year
Gay Spirit / WRSU,Radio Program,PO Box 91,checked,New Brunswick,NJ,"c/o Rutgers Lesbian and Gay Alliance, Rutgers Student
Center, Box 91; 08901 -Tel. (201)246-2336. Airs Thursdays at
6pm on 88. 7FM",,,,,,1989
Archie's,Bars,162-167 Main Street,checked,Asbury Park,NJ,07712 -Tel 774-1364 Entertainment-show-bar,**,"Bars, Clubs, Coffeehouses",,,,1989
Nicola's Cafe,Bars,,checked,Cherry Hill,NJ,'-Tel (609)667-9668 for exact directions. recommended.,****,"Bars, Clubs, Coffeehouses",,,,1989
The Station,Bars,308 Watchung Ave,,Plainfield,NJ,Tel. 755-4000. Bar / restaurant / entertainment. Opens about noon.,**,"Bars, Clubs, Coffeehouses",,,,1989
Gay Activists Alliance / Morris County ,Group,,checked,Morristown,NJ,-Tel. 285-1595 Operates 7pm-10pm otherwise answer phone Meeetings are on Mondays at 8 30pm,,,,,,1989
Murphy's,Bars,59 Edison Place,,Newark,NJ,"07102 -Tel. 622-9176. Show bar, opens about 8pm",**,"Bars, Clubs, Coffeehouses",,,,1989
The Saratoga,Bars,205 South New York Ave,,Atlantic City,NJ,08401 -Tel 344-6853. A men's bar which is women-only on Wednesday nights,**(**),"Bars, Clubs, Coffeehouses",,,,1989
Casablanca,Bars,586 Raritan Rd,,Roselle,NJ,07203 -Tel 245-9653. Dance bar with quiet atmosphere-Sunday Tea dances. open 7 nights a week from about 7pm 'Women Welcome'',**,"Bars, Clubs, Coffeehouses",,,,1989
Lesbian Mothers and Friends Group,Groups & Organizations,,checked,,NJ,"'-Tel. (201)283-0930. Meets first Sunday of each month, see 'The Network' for current details.",**,Organizations,,,"under ""Statewide"" section, no city listed but possibly connected to ""The Network"" which had an address in New Brunswick",1989
"William S. Singer, Attorney-at-Law",Attorneys,PO Box 243,checked,Skillman,NJ,"write; PO Box 243, Skillman, NJ: 08558: -Tel (201)359-7873",,,,,,1989
National Organization for Women of New Jersey Lesbian Rights Task Force,Groups & Organizations,PO Box 332,checked,Somerville,NJ,"PO Box 332. Somerville. NJ; 08876 -Tel (201 )725-5562 Meets
41h Thursday of each month, see 'The Network' for current details",**,Organizations,,,,1989
Rendevous,Bars,137-139 South New York Ave,checked,Atlantic City,NJ,08401. -Tel. 344-9315.,**,"Bars, Clubs, Coffeehouses",,,,1989
Blue Note,Bars,707 Bangs Ave,,Asbury Park,NJ,-Tel. 775-9510 Piano bar /cabaret /live entertainment nightly. Open 2pm-2am Mon-Sat. & Sun 12-noon-2am.,**,"Bars, Clubs, Coffeehouses",,,,1989
More Than You Can Count,Groups & Organizations,PO Box 4178,checked,Highland Park,NJ,PO Box 4178. 08904 -Tel (201 )828-1421. 'Celebrating the lives and works of lesbians ·-see 'The Network' for current details.,**,Organizations,,,,1989
William S. Singer,Attorneys,PO Box 243,checked,Montgomery,NJ,"'-Tel (201)359-7873 Offices In Montgomery & Skillman. NJ.
write PO Box 243, Skillman; 08502.",,,,,,1989
Lesbian Awareness,Groups & Organizations,PO Box 25,checked,Dumont,NJ,"PO Box 25, 07628. -Tel. (201)385-2365 Social and political group, meets once a month, see 'Tl1e Network' for current details",**,Organizations,,,,1989
Women's Network,Groups & Organizations,PO Box 137,checked,Convent Station,NJ,PO Box 137; 07961 -Tel (201 )285-1595. See 'the Network' for current details.,**,Organizations,,,,1989
Studio Six Disco,Bars,14 South Mt. Vernon Avenue,,Atlantic City,NJ,08401-Tel.348-0192 A show-bar that Is open over day of the year,**,"Bars, Clubs, Coffeehouses",,,,1989
M&K Club (Rascals),Bars,611 Heck St,,Asbury Park,NJ,"-Tel 775-9694. 8am-2am. Dance bar with
entertainment.",**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Beach House,"Hotels / Guest Houses, etc",131 Ocean Avenue,,Atlantic City,NJ,"08401 -Tel 345-8203 Summer only, by reservation only. Probably mostly gay men.",,,,,,1989
Gay/Lesbian Switchboard,Information Services,,checked,,NJ,'-Tel (609)466-1980,,,,,[see above],1989
Brass Rail Tavern,Bars,12 South Mt. Vernon Ave,,Atlantic City,NJ,08401 -Tel. 344-9315. Bar/ restaurant / pool tables/ game room. open every day of the year,**,"Bars, Clubs, Coffeehouses",,,,1989
Forest of Avalon,Groups & Organizations,405 William Street,,Somerville,NJ,08876 -Tel. (201)722-3491 Spiritual discovery and ritual for women only See 'The Network' for current details,**,Organizations,,,,1989
Marianne F Auriemma,"Attorneys / Legal Services / Legal Referrals, etc.",521 Lincoln Avenue,,Maywood,NJ,07607 -Tel. (201)845-5751,,,,,,1989
Institute for Personal Growth,Counseling Center,94 Church Street,,New Brunswick,NJ,08901 Tel 246-8439 'Serving the Lesbian I Gay & Bi-Sexual community,,,,,,1989
The Feminine Connection ,Groups & Organizations,38 Mohawk Road,,Oakland,NJ,07436 -Tel (201) 337-7506 Lesbians over 25 See 'The Network' for current details.,**,Organizations,,,,1989
The Corner Confectionary,Lesbian / Gay Ice Cream Parlor,248 Raritan Avenue,,Highland Park,NJ,(Rte. 27): 08904 -Tel (201 )246-7373 Opens about 10am & noon on Sundays,,,,,,1989
First Choice,Bars,533 Ferry Street,,Newark,NJ,"07105-Tel 465-1944 Wednesdays Is women-only. dance bar with entertainment, opens about &pm",**(**),"Bars, Clubs, Coffeehouses",,,,1989
Charlie's West,Bars,536 Main St.,,East Orange,NJ,07018 -Tel.678-5002. Show bar with entertainment (male burlesque nights) & IuIce bar nights for 18-20.,**,"Bars, Clubs, Coffeehouses",,,,1989
Dr. Geraldine Banda,Medical Practitioners,347 Lincoln Avenue,,Union City,NJ,"The Mill, 347 Lincoln Avenue, East, Cranford, 07016-Tel.
(201 )276-3440 Chiropractor-phone for appointment.",,,,,,1989
Buddy's,Bars,751 Washington Ave,,Belleville,NJ,"'-Tel (201)751-0527. Dance bar with entertainment,
open every night 9pm 2am",***,"Bars, Clubs, Coffeehouses",,,,1989
Lavender Express,Publications,"PO Box 1040,",checked,Woodbridge,NJ,"PO Box 1040, Woodbridge; 07095 -Tel (201)636-1536
Monthly newsleetter for lesbians",,,,,,1989
Lesbian Union of Central Jersey,Group,PO Box 87,checked,Plainsboro,NJ,Tel 799-8928. PO Box 87; 08536. They meet twice a month on a Sunday.,**,Organizations,,,,1989
Ocean House,"Hotels / Guest Houses, etc",127 Ocean Avenue,,Atlantic City,NJ,"08401 -Tel. 345-8203. Open all year, by reservation only. Probably mostly gay men",,,,,,1989
Lesbian Hotline,Information Services,,checked,,NJ,(201 )233-3848,,,,,"under ""Statewide"" section; no city specified
",1989
Choices,Bars,705 Bangs Ave,,Asbury Park,NJ,07712-Tel 502-0595 Sunday brunch and Sunday shows,**,"Bars, Clubs, Coffeehouses",,,,1989
Gatsby's,Bars,2310 West Marlton Pike,,Cherry Hill,NJ,"08002-Tel.663-8744. 'We are open every night of the week as a mixed gay/ lesbian bar and women are more than welcome every night. Tuesday nights are women only and very, very highly recommended, with women coming from all over New Jersey, New York and Pennsylvania to attend. Open 8: 30pm-3am, seven nights a week, highly recommended, say 'hi' from GAIA.",**(**),"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church of Christ the LIberator,Religious Groups,PO Box 10494,checked,New Brunswick,NJ,"PO Box 10494.: 08906 -Tel. (201)249-8310 Reverend Eleanor C. Nealy,
Pastor.",,,,,,1989
Moonlight Pussycats,Introduction Services,PO Box 454,checked,Fanwood,NJ,PO Box 454: 07023 -Tel (201 )754-3445 Lesbian only.,,,,,,1989
Rah Rah's,Bars,51 South Day Street,,Newark,NJ,"'-Tel. (201)676-1399 Snax, sandwiches dancing
Phone up first for exact directions, am a bit confused on this one.",**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Amazon Autumn,Events,PO Box 2104,checked,Union,NJ,"PO Box 2104; 07083-Tel. (201)354·9052 Annual women's conference: workshops/ vendors/ dances/ -about 1. 500 women, each
autumn, see 'The Network' for more details.",,,,,,1989
The Yacht Club,Bars,366 Berkshire Valley Road,,Jefferson Township,NJ,"07438-Tel. 697-9780. Dance bar /
Sunday barbecues",**,"Bars, Clubs, Coffeehouses",,,,1989
L'Mannequin,Bars,67 Orchard Street,,Elizabeth,NJ,"07208 -Tel 353-9694 Dance bar with
entertainment nights. opens about 7pm",**,"Bars, Clubs, Coffeehouses",,,,1989
Dignity,Religious Groups,PO Box 824,checked,Asbury Park,NJ,"PO Box 824; 07712 -Tel (20 I )530-5993 Gay Catholics and
friends, see 'The Network' for more details.",,,,,,1989
Lesbian Union of Central Jersey,Groups & Organizations,PO Box-87,checked,Plainsboro,NJ,"PO Box-87, Plainsboro, NJ, 08536 Tel. (609)799-8928 Social and political group/ pot lucks/ planned trips. Meets first& third Sunday of each month, phone Chen at (201)254-8943 for meeting place.",**,Organizations,,,,1989
Chances,Bars,559 Emory Ave,,Trenton,NJ,"08610-Tel 392-9611 Dance bar with restaurant. opens
about 4pm / noon on Sundays",***,"Bars, Clubs, Coffeehouses",,,,1989
Singles Social Club,Introduction Services,PO Box 8276,checked,Red Bank,NJ,PO Box 8276: 07701 -Tel 741-7837. Women only social club for singles.,,,,,,1989
Fraternity Video Dance Club,Bars,251 Broad Ave,,Englewood,NJ,07022 -Tel 943-1211,**,"Bars, Clubs, Coffeehouses",,,,1989
Bond Street Bar,Bars,208 Bond Street,,Asbury Park,NJ,07712 -Tel. 776-9766. Open Mon -Sat 10am-2am & Sun. noon-midnight. Bar/ restaurant with free buffet on Sundays,***,"Bars, Clubs, Coffeehouses",,,,1989
First Friday - A Social Alternative,Groups & Organizations,PO Box 1402,checked,Union,NJ,"PO Box 1402, -Tel (201 )761-5117 or (20 I )688 4982 for current details, also see ""The Network'",**,Organizations,,,,1989
The Network,Publications,PO Box 10372,checked,New Brunswick,NJ,"PO Box 10372, New Brunswick; 08906 -Tel (201)572-6467.
$25 00 year, monlhly",,,,,,1989
Sam's Back Door,Bars,2841 Cerrillos Road,,Santa Fe,NM,-Tel. 473-0157,**,"Bars, Clubs, Coffeehouses",,,,1989
"Women's Center, University of New Mexico",Centers,1160 Mesa Vista Hall,checked,Albuquerque,NM,"-Tel
277-3716. Referral service/ support groups.",****(*),Organizations,,,,1989
Foxes Lounge,Bars,"8521 Central Ave, NE",,Albuquerque,NM,-Tel. 255-3060,**,"Bars, Clubs, Coffeehouses",,,,1989
Victor's,Bar / Restaurants,423 West San Francisco Street,,Santa Fe,NM,-Tel. 982-1552.,*,"Bars, Clubs, Coffeehouses",,,,1989
Albuquerque Social Club,Bars,"4021 Central, NE",,Albuquerque,NM,-Tel 255-0887,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church ,Religious Groups,630 Canyon Rd.,,Santa Fe,NM,"-Tel. 268-2937.
Answerphone.",,,,,,1989
Rusticork,Bars,2428 San Mateo Place,,Albuquerque,NM,"87120· -Tel. 881-9985. More men than women
now.",**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Common Bond Gay and Lesbian Information / Support Line,Switchboards,PO Box 26836,checked,Albuquerque,NM,"'-Tel. 255-7288, (women's line); nightly from 7pm-10pm, write: PO Box 26836;
87125.",,,,,,1989
New Mexico Lesbian / Gay Political Alliance,Political Group, PO Box 25191.,checked,Albuquerque,NM,write: PO Box 25191. Albuquerque. NM; 87125. Ask them about the student group at Las Cruces.,,,,,"No city specified, listed under ""Statewide"" section
",1989
Common Bond Gay and Lesbian Community Center,Gay / Lesbian Center,107 Tulane SE,,Albuquerque,NM,"-Tel. Lesbian Info: 255-7288, & SWITCHBOARD/ general info: -Tel. 266-8041",***(**),Organizations,,,,1989
Artemis Wilderness Tours,Adventure,PO Box 1178,checked,Taos,NM,"PO Box 1178; 87471 -Tel. 758-9522. Offering
outdoor adventures for women & men interested In exploring the mountains and rivers
of the Southwest. Canoe trips. cross-country skiing, whalewatching, rafting and
backpacking & bird-watching.",,,,,,1989
Common Knowledge,Lesbian / Gay Social and Political Group,,checked,Santa Fe,NM,-Tel. 471-2662 for info.,*,Organizations,,,,1989
Champagne Taste,Bars,8201 San Pedro,,Albuquerque,NM,North East: -Tel 828-1024 'A class Act',****,"Bars, Clubs, Coffeehouses",,,,1989
The Mining Company,Bars,"7209 Central, NE",,Albuquerque,NM,#NAME?,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Lesbian Peer Support Telephone Line,Switchboards,,checked,Albuquerque,NM,"-Tel. 268-2116. Support groups/queer events for queer-wymin / lawyers. plumbers / doctors I counselors / financial planners, etc. & Confidential conversation & where to dine, dance, buy and borrow feminists books and other accessories. Dyke talk and peer support. 6pm-9pm seven nights a week.",,,,,,1989
Metropolitan Community Church ,Religious Groups,2404 San Mateo Place,,Albuquerque,NM,"North East:. Tel 881-9088. Reverend Judy K. Davenport, Pastor",,,,,,1989
Common Bond Inc.,Publications,,checked,Albuquerque,NM,"free at FULL CIRCLE FEMINIST BOOKSTORE. -lists all
special interest groups: A. A./ daily events calendar. etc. Order by mail from. P.O. Box 26836, Albuquerque, NM: 87125 -Tel. 266-8041",,,,,,1989
Sisterlode,Publications,,checked,,NM,(delete for 1989),,,,,"No city specified, listed under ""Statewide"" section
",1989
Dr. Helen D'Esposito,Medical Practitioners,201 Tulne SE,,Albuquerque,NM,"87106-Tel. 268-1845. Wholistic health
care/ kinesiology / nutrition/ flowe remedies.",,,,,,1989
Nifty Cafe,Lesbian / Gay Coffeehouse Night,Old Las Vegas Highway,checked,Santa Fe,NM,Tel. 984-1781-every Weds. evening.,*,"Bars, Clubs, Coffeehouses",,,,1989
Crickets,Bars,"5511 Central Ave, NW",,Albuquerque,NM,"-Tel. 836-2088. closed, might re-open,",***,"Bars, Clubs, Coffeehouses",,,,1989
Full Circle Books,Feminist Bookstore,2205 Silver SE,,Albuquerque,NM,"87106 (Yale & Central) -Tel. 266-0022. Feminist/ lesbian/ gay/ non-sexist children's titles. Posters, records. cards and gifts and they sell GAIA'S guide. Bulletin board, info/ referrals, author's nights. Huge selection of lesbian and feminist publications. Pick up your free copy of COMMON BOND there. MAIL ORDER SERVICE-, They also now have T-shirts and jewelry and Lesbian Support Group, which meets first and third Weds. at 7pm. Open Mon-Fri. 10am-7pm / Sat. 1 0am-5pm / Sun. 1 pm-5pm. Be sure and say 'hi' from GAIA.",,,,,,1989
"Jo Anne J. Allen, DDS",Dentists,9808 Candelaria ,,Albuquerque,NM,NE; 87112 -Tel. 293-7611.,,,,,,1989
The Women's Learning Resource Center,Women's Center,144 Harvard SE,,Albuquerque,NM,87106-Tel 268-2116. Classes/ library/ coffeehouse I women's forum-LOTS of lesbian energy,****(*),Organizations,,,,1989
Pam Schwanke,Accountant,PO Box 9210,checked,Santa Fe,NM,PO Box 9210; 87504 -Tel. 471-0473,,,,,,1989
Galisteo Inn,Bed and Breakfast,PO Box 4,checked,Albuquerque,NM,"Write to: Box 4, Galisteo, NM; 87540 -Tel. (505)982-1506.
Situated on 8 picturesque acres in the historic village of Galisteo, with a main
house that is 250 years old. Heated 50' lap swimming pool with adjoining spa
/ indoor sauna / therapeutic massage / nouvelle cuisine-optional meals /
walking, hiking, horseback riding by arrangement. Special group rates for up
to 20 people. Winter rates: $45. 00-$90. 00 / summer rates: $50. 00-$115.00.
There are nine rooms. WOMEN ONLY TIMES AVAILABLE BY REQUEST.
Clientel: gay & straight, men & women, very relaxed. No dogs nor children
under 10. are allowed and Sunday brunch Is open to the public.",,,,,,1989
The Den,Bars,3421 Boulder Highway,,Reno,NV,-Tel. 457-5783,**,"Bars, Clubs, Coffeehouses",,,,1989
Celebrity Travel,Travel Agency,3900 Paradise Road,,Las Vegas,NV,-Tel. 732-2262,,,,,,1989
Rumpus Room,Bars,424 East 4th,,Las Vegas,NV,-Tel. 323-7756,**,"Bars, Clubs, Coffeehouses",,,,1989
Visions,Bars,3001 West 4th,,Las Vegas,NV,-Tel. 786-5455 Ouldoor pool.,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church of the Sierras,Religious Groups,120 Thomas Street,,Reno,NV,-Tel. 348-7377.,,,,,,1989
Visions,Motel,3001 West 4th,,Reno,NV,"-Tel. 786-5455. Bar I restaurant & outdoor pool.
recommended.",,,,,,1989
McKinley Motor Lodge,Motel,2nd & Ralston,checked,Reno,NV,-Tel. 329-2555,,,,,,1989
Bohemian Bugle,Publications,4640 Paradise Road,,Las Vegas,NV,'-from: Newspaper Service Associates. (suite 10). Las Vegas; 89109 -Tel. 737-7780. Local resouces & maps.,,,,,,1989
"Judy Phoenix, Ph.D.",Medical Practitioners / Counselors / Therapists,,checked,Reno,NV,-Tel. 322-5055. Psychotherapist,,,,,,1989
Snick's Place,Bars,1402 South 4th,,Reno,NV,-Tel 385-9298,**,"Bars, Clubs, Coffeehouses",,,,1989
Gay Switchboard,Information Services,,checked,Las Vegas,NV,"-Tel. 733-9990. Excellent taped message with full events
calendar and local bar info.",,,,,,1989
Gay and Lesbian Student Union,Student Group,"University of Nevada, Reno Women's Center",checked,Reno,NV,"meets at University of Nevada/ Reno Women's Center, -write: PO Box 6311: 89513 -Tel. 786-1170.",,,,,,1989
1099 Club,Bars,1099 South Virginia St.,,Reno,NV,-Tel. 323-7825,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Bright Pink Literature,Gay / Lesbian Bookstore,4310 Paradise Road,,Las Vegas,NV,"(suite 10): -Tel 737-7780 Open M-W-3pm-8pm. closed Thursdays, open Fridays 3pm-2am, Sal. 11 am-2am Sunday 2pm-4am.",,,,,,1989
The Ice House,Bars,310 Spokane,,Reno,NV,-Tel. 786-8858. Disco/ game room /shows/ live DJ,****,"Bars, Clubs, Coffeehouses",,,,1989
Chute,Bars,1278 S. VIrginia,,Las Vegas,NV,-Tel. 323-7825. Disco.,**,"Bars, Clubs, Coffeehouses",,,,1989
Gipsy II,Bars,4605 Paradise Drive,,Las Vegas,NV,-Tel. 731-1919. Show-bar opens 10pm-until late,**,"Bars, Clubs, Coffeehouses",,,,1989
The Women's Social Group,Group,,checked,Reno,NV,"-Tel 883-2155, or 677-0836 see Bohemian Bugle
lor recent details.",,,,,,1989
Maxies,Bars,5110 East Charleston Blvd,,Las Vegas,NV,"-Tel. 452-3994. Open 24 hours a day -say hi
fromGAIA.",****,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church ,Religious Groups,1119 South Main Street,,Las Vegas,NV,-Tel. 384-2325,,,,,,1989
Floyd's,Bars,7350 West 4th,,Las Vegas,NV,-Tel 746-1660 Country western bar. Recommended,**,"Bars, Clubs, Coffeehouses",,,,1989
City Lights,Bars,209 Kingsbury Grade,,Stateline,NV,Tel. 588-3098. Mail lo: PO Box 6529: 89449,**,"Bars, Clubs, Coffeehouses",,,,1989
National Organization for Women / Rural Nevada,N.O.W.,PO Box 12807,checked,Las Vegas,NV,PO Box 12807; 89112-Tel. 733-9990.,,,,,,1989
Lambda Associates of Staten Island / Women's Awareness Group,Gay / Lesbian Group,,checked,Staten Island,NY,Tel. (718)667-6823.,,,,,,1989
My Sister's Words,Feminist Bookstore,304 North McBride St,,Syracuse,NY,-Tel. 428-0227. Open 11am-7pm weekdays & 11 am-5pm Sat. -answering machine.,,,,,,1989
A Different Light Bookstore,Gay / Lesbian Bookstore,548 Hudson Street,,Manhatten,NY,"10014. -Tel. 989-4850.
Very well stocked, huge selection of lesbian titles and women's studies/ music/T-shirts/ jewelry/ posters/ non-sexist children's books. Books, tapes, cards, videos, over7000 lesbian and gay titles. Ticket sales, bulletin board and local Information. For your further local Information they carry: WOMANNEWS/ BIG APPLE DYKE NEWS/ SAPPHO'S ISLE & a truly Impressive selection of other lesbian and feminist periodicals. MAIL ORDER SERVICE & they sell GAIA'S GUIDE, be sure & say 'hi' from GAIA.",,,,,,1989
Tara,Bars,153 Liberty Pole Way,,Rochester,NY,"(near North); -Tel. 232-4 719. Piano bar, cocktail hour",**,"Bars, Clubs, Coffeehouses",,,,1989
Nite Spot,Bars,201 Windsor St,,Jamestown,NY,Tel. 483-3456,**,"Bars, Clubs, Coffeehouses",,,,1989
National Women's Hall of Fame,Museum / Archives,76 Fall St,,Seneca Falls,NY,13148 -Tel. (315)568-2936,,,,,,1989
Pennyfeathers,Bar / Restaurants,95 7th Avenue,,Manhatten,NY,"South; -Tel. (212)242-9567. For breakfast,
lunch and dinner.",***,"Bars, Clubs, Coffeehouses",,,,1989
,,,,,NY,,,,,,,1989
Women's Information Center,Women's Center,601 Allen St,,Syracuse,NY,"-Tel. 478-4636. Newsletter $8.00
p.a .. events calendar.",****,Organizations,,,,1989
Gay and Lesbian Youth of Buffalo,Group,190 Franklin St.,,Buffalo,NY,14202 -Tel (716)855-0221,*,Organizations,,,,1989
Qui Travel,Travel Agents,165 West 74th Street,,Manhatten,NY,"•Tel. 567•6711. Woman-owned travel agency with a top flight reputation for service. Very helpful, say 'hi' from GAIA.",,,,,,1989
Eve's Garden International,Sexuality Boutiques,119 West 57th Street,,Manhatten,NY,"(suite 1406), New York, NY; 10019 -Tel. (212)757-8651. Send ($2. 00) for their catalogue: 'Celebrate the Joy', Includes: liberating books/ vibrators/ body balms /lubricants / prize-winning dildos / more books-on relationships / goddess
study / fantasy of erotica / sexual play / & some really excellent titles on
gynecology. GAIA'S GUIDE?, anyway, say 'hi' to Dell Williams from GAIA",,,,,,1989
Oscar Wilde Memorial Bookstore,Gay / Lesbian Bookstore,15 Christopher Street,,Manhatten,NY,"(Greenwich Village ); 10014 -Tel. 255-8097. One of the most well-stocked bookshops of Its kind, certainly one of the friendliest. Not to be missed when visiting New York. They have SAPPHO'S ISLES, WOMANEWS, VISIBILITIES, BIG APPLE DYKE NEWS, for your further Info on the New York Lesbian/ Feminist scene. Be sure and say 'hi' from GAIA to this great old-timer still going strong.",,,,,,1989
'145',Bars,145 Barrett,,Schenectady,NY,Drag shows,**,"Bars, Clubs, Coffeehouses",,,,1989
Anthony's 522,Bars,522 West Main,,Rochester,NY,-Tel. 325-1350 or 325-2060.,**,"Bars, Clubs, Coffeehouses",,,,1989
Common Ground,Bars,1230 Danby Road,,Ithaca,NY,"Rt 96B, 14850 Bar and restaurant. lesbian
clientele. Disco/ lots of women's entertainment nights. Open Mon -Thurs 4pm I
30am & Fn. Sat. 4pm-4am & Sun. 12noon-1 30am Recommended. say 'hi' from
GAIA",****,"Bars, Clubs, Coffeehouses",,,,1989
Stutz,Bars,202 Westchester Avenue,,White Plains,NY,Tel. (914)761-3100,**,"Bars, Clubs, Coffeehouses",,,,1989
Silver Lining,Bars,175 Cherry Lane,,Long Island,NY,Floral Park; -Tel. 354-9641. Women only on Thursday nights. Piano bar & show-bar,**(**),"Bars, Clubs, Coffeehouses",,,,1989
Gay Rights for Older Women,Group,,checked,Buffalo,NY,(GROW)-Tel. 831-3405,,,,,,1989
Womanews,Publications,PO Box 220,checked,New York City,NY,"P.O. Box 220, Village Station, New York, NY; 10014 -Tel (212) 989-7963. $12.00 p.a. first class. A powerhouse of resource info in this extremely high-quality feminist newspaper. Still going strong",,,,,,1989
Sandcastle,Bars,86 Mills Ave,,South Beach,NY,"was 'Abracadabra'; Beach(Just across the Verranzano Bridge); -Tel 447-9365 Over bridge off South Beach Exit onto Lilly Pond Road, 2nd traffic light, make a right onto Mac Lean Avenue, then go straight 3 or 4 blocks to Mills Ave, make a left. -all the way down to ABRACADABRA, parking in rear Politically incorrect women's entertainment nights. Say 'hi' from GAIA, anyway.",**(**),"Bars, Clubs, Coffeehouses",,,,1989
Herizon Social Club,Bars,213 State Street,,Binghamton,NY,"mail to: PO Box 1082; 13902. Club address: 213
State Street; 13901- -Tel. 724-CLUB(2582). A private club and you had better
contact them before trying to gain admittance. Concerts/ theater and open mike
nights. Open Thurs. 8pm-midnight / Fri. 8pm-1am & Sat. 9pm-1am & for
special events. Highly recommended. Say 'hi' from GAIA.",****,"Bars, Clubs, Coffeehouses",,,,1989
Gayphone,Information Services,,checked,Syracuse,NY,-Tel. & 423-3599 7pm-11 pm.,,,,,,1989
Gay Friends and Neighbors of Brooklyn,Group,44 Fifth Ave,,Brooklyn,NY,(ste 147): 11217 -Tel (718)857-1738. Lesbian/ Gay social alternative to the local bar scene.,,,,,,1989
Radclyffe Hall,Guest Houses,,checked,Brooklyn,NY,'-Tel (718)625-2653 Answering machine,,,,,,1989
Lesbian Switchboard,Information Services,,checked,Binghamton,NY,-Tel. 724-3462. Monday evenings only.,,,,,,1989
Carol,Bed and Breakfast,,checked,New Paltz,NY,Tel. 687-7774,,,,,,1989
Hatfield's,Bars,126-10 Queens Blvd,,Queens,NY,"(corner 83rd Ave)-Kew Gardens, -Tel. (718)261-8484 Tuesdays is Women's Night-floor shows, etc. 'the entertainment showplace of Queens'",**(**),"Bars, Clubs, Coffeehouses",,,,1989
Bedrock,Bars,121 Woodfield Road,,Long Island,NY,"West Hempstead; Tel. (516) 486-9516. Full-time lesbian bar. Opens Weds. -Sun. 9 pm-4 am. Pool tables, disco. Recommended.",****,"Bars, Clubs, Coffeehouses",,,,1989
"The Institute for Human Identity, Inc.","Counseling Centers / Health Centers, etc.",490 West End Avenue,,New York City,NY,"10024, -Tel 799-9432 Counseling for lesbians by lesbians. It's nonprofit, run by professionals sliding scale.",,,,,,1989
Metropolitan Community Church of New York,Religious Groups,,checked,New York City,NY,'-Tel. (212) 242-1212,,,,,,1989
Ryan's,Bars,,checked,Syracuse,NY,#NAME?,**,"Bars, Clubs, Coffeehouses",,,,1989
Identity House,"Counseling Centers / Health Centers, etc.",544 Sixth Ave,,New York City,NY,"(near 14th St) -Tel 243-8181. Rap groups for lesbians, etc. --a real old-timer",,,,,,1989
Country Suite,Bed and Breakfast,PO Box 648,checked,Windham,NY,"Rte. 23, Box 648; -Tel. 734-4079",,,,,,1989
Women's Action Alliance,Feminist Organization and Networking Center,370 Lexington Avenue,,New York City,NY,"(suite 603)New York, NY; 10017 -Tel. (212)532-8330. Office hours: Mon. -Fri. 9: 30am-5: 30pm. Women's alcohol and drug education program/ women's centers network/ information and referral/ children of single parents and the schools. A very powerful and very feminist organization. Say 'hi' from GAIA.",,,,,,1989
Susan Weed,Herbal Medicine and Psychic Skills, PO Box 64,checked,Woodstock,NY,"Green Witch, PO Box 64(GG), Woodstock; 12498 -Tel. 246-8081.
Workshops for women on healing with plants and psychic skills. Free brochure upon
request.",,,,,,1989
Committee of Lesbian Activists (COLA),Political Group,,checked,New York City,NY,'-Tel (718)972-0212,,,,,,1989
Common Ground,Publications,PO Box 313,checked,Buffalo,NY,PO Box 313. 14213; -Tel. 8B1·4383,,,,,,1989
Company,Bar / Restaurants,365 Third Ave,,Manhatten,NY,"Tel. (212)532-5222. World famous for elegant gay
dining.",*,"Bars, Clubs, Coffeehouses",,,,1989
Front Room Books,Bookstores,924 Burnet Ave,,Syracuse,NY,-Tel. 472-5478.,,,,,,1989
Congregation Beth Simchat Torah,Religious Groups,,checked,New York City,NY,Tel (212)929-9498,,,,,,1989
New York City Department of Health--Office of Gay and Lesbian Health Concerns,"Counseling Centers / Health Centers, etc.",125 Worth St.,,New York City,NY,Box 67. NYC: 10013,,,,,,1989
Talking Leaves...Books,Alternative Bookstore,3144 Main Street,,Buffalo,NY,-Tel. 837-8554. Lots of excellent feminist titles & non-sexist gay titles and periodicals an excellent resource,,,,,,1989
Falcon,Bars,1925 Curry Road,,Schenectady,NY,Tel. 356-4676,**,"Bars, Clubs, Coffeehouses",,,,1989
Birds of a Feather,Bars,,checked,North Salem,NY,"Bloomer Road & Rt. 121, -Tel. (914)669-5650. Open Tu.-Sun. 8pm-4am",**,"Bars, Clubs, Coffeehouses",,,,1989
Rosie's,Bars,219 Monroe Ave,,Rochester,NY,-Tel 454-6598.,**,"Bars, Clubs, Coffeehouses",,,,1989
