title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Last Modified By,Last Modified,year
Identity House,"Counseling Centers/Health Centers, etc",544 6th Ave,,,New York,NY," (near 14th St)- Tel.243-8181. Rap groupsforlesbians,etc.- -a realold-timer.",,,,,,,,1987
Gay Women's Alternative ,Discussion Group,4 W 76th St,,,New York,NY,"they meet at the Universalist Church, 4, West 76th St-Tel.(212)866-6422.Thursdays, 8.30pm. Superb discussions with the best feminist and lesbian writers and activists in the world. A real old-timer still going strong in spite of a terrific loss. Don't miss this one when in NYC- - - -see WOMANEWS, etc. for current details.",,,,,,,,1987
Anti-Gay Violence Hotline,Services,,checked,checked,New York,NY,Tel.(212)772-0404-24 hour,,,,,,Lilly Smith,6/9/2024 1:28pm,1987
St. Mark's Women's Health Collective,,,,checked,New York,NY,Tel.(212)228- 7482,,,,,,,,1987
Congregation Beth Simchat Torah,,,,checked,New York,NY,Tel.(212)929-9498,,,,,,,,1987
Lesbian Alcoholics Anonymous,"Counseling Centers/Health Centers, etc",200 S Park Ave,,,New York,NY,"at: Alcholics Anonymous Family Intergroup Headquarters, 200 Park Avenue, South;10003
LEGAL AID",,,,,,,,1987
Gay/Lesbian Community Center,Gay/Lesbian Center,208 W 13th St,,,New York,NY,Tel.(212)620-7310,***(**),Center,,,,,,1987
Lesbian Switchboard,Services,,,checked,New York,NY,Tel. (212)741-2610,,,,,,,,1987
LAMBDA Legal Defense and Education Fund,Legal Aid,,,checked,New York,NY,Tel.(212)944-9488,,,,,,,,1987
Women's Action Alliance,Women's Centers,370 Lexington Ave,,,New York,NY,10017- Tel.(212)532-8330. Not-for= profit organization with an extensive library designed to be used in developing and/or strengthen- ing feminist programs. Worth a visit.,****,Center,,,,,,1987
Parlee,Publications,PO Box 430,,checked,Babylon,NY,"11702-Tel.(516)587-8669. A real survivor, emphasis on bar-type entertainment.
",,,,,,Lilly Smith,6/9/2024 1:03pm,1987
Alternative Corner,Bookstore,374 Woodfield Rd,,,West Hempstead,NY,"11552- Tel.(516)483-2050. Books, jewlery. buttons, clo- thing, records, posters, gifts. + greeting cards. incense, great stickers, concert tickets. Community bulletin board. they sell. GAIA'S GUIDE. Say 'hi' from GAIA. Open every day of the week.till 10pm weekdays & Sat. & Sun.1 pm-8pm.",,,,,,,,1987
T.C. & Company,Bars,121 Woodfield Rd,,,West Hempstead,NY," West Hempstead; Tel.(516)486-9516, might change hands or might close, check up before going.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Coachman's Corner,Bars,239 N Main St,,,Sayville,NY,Sayville; 11782-Tel.(516)589-9683. Open 7 days a week--7pm-4am/Sunday 3pm-4am. Sunday happy hour with snacks from 3pm-6pm.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Kiss,Bars,,,checked,Lake Ronkonkoma,NY,"Rose Drive.Lake Ronkonkoma; Tel.(516)467-9273. A gay/ lesbian bar with a bowling alley!-Bowling alley number: (516)467-9823. Shows.disco, etc.",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Silver Lining,Bars,175 Cherry Lane,,,Floral Park,NY,Tel. 354-9641. Women only on Tuesday nights.,**(**),"Bars, Clubs, Coffeehouses",,,,,,1987
Starz,Bars,836 Grand Blvd,,,Deer Park,NY,"Tel.(516)242-3857. Tues- day nights are special club-tpe nights for women only. Women bartenders/DJ & staff+ free buffet, featuring videos 'por la femme' (sic). Operates on a special private club basis, but e-z enough to get into, I think.",**(**),"Bars, Clubs, Coffeehouses",,,,,,1987
Blanche,Bars,47 S 2nd Ave,,,Farmingdale,NY,Tel.(516)226-9357,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Evergreen,Bars,841 N Broome Ave,,,Lindenhurst,NY,"Tel. (516)226-9357. (on sunrise Highway (route 27), 2 blocks east of Wellwood Ave, behind Century 21 Real Estate. Open 7 days a week from 8pm - - Dynasty night specials, etc.",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Top of the Bay,Bars/Restaurants,,,checked,Fire Island,NY,Tel.(516)597-6699. Seasonal: April-Sept.,*,Bar/Restaurant,,,,,,1987
Gull Heaven,Bar/Restaurant,2 Gull Haven Dr,,,Central Islip,NY,Tel.(516)234-5432. Opened March. 1986- -might be mostly gay men ??,**,Bar/Restaurant,,,,,,1987
Womankind Books,Feminist Bookstore,5 Kivy St,,,Huntington Sation,NY,11746- Tel.427-1289. Lots of lesbian feminist titles. A terrific catalogue. Talks. discussions. local info. They sell GAIA'S GUIDE.,,,,,,,,1987
Wimmin at the Exotic Caribbean Club,Bars,1401 Jerome Ave,,,Bronx,NY,"every Sunday 6pm-12am, admission: $5.00.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Shescape,Bars,41 E 58th St,,,Manhattan,NY,Tel. 758-6336.,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Sunset Boulevard,Bars,11201 Queens Blvd,,,Manhattan,NY,Forest Hills; Tel.830-9191.,**(**),"Bars, Clubs, Coffeehouses",,,,,,1987
Wow Cafe,Women's Coffee House,59 E 4th St,,,Manhattan,NY,"Tel.(212)460-8067. They best in women's entertainment, see WOMANEWS, etc. for current schedule.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Chelsea Big Wok,Restaurants,206 10th Ave,,,Manhattan,NY,,*,Restaurants,,,,,,1987
Zips,Bars,636 Hudson St,,,Manhattan,NY,(between Jane & Horation); Tel.645-3266,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Helayne Seidman,Photographers,16 St Marks Pl,,,Manhattan,NY,10003-Tel.(212)533-6142,,,,,,,,1987
Claire,Bars/Restaurants,156 7th Ave,,,Manhattan,NY,(between 19th & 20th Streets);Tel. 255-1955.,**,Bar/Restaurant,,,,,,1987
Grove Club,Bars,70 Grove St,,,Manhattan,NY,Tel. 242-1408,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Three Lives and Company,General and Alternative Bookstores,154 W 10th St,,,Manhattan,NY,tel.741-2069.,,,,,,,,1987
Qui Travel,Travel Agents,165 W 74th St,,,Manhattan,NY,"Tel.567-6711. Woman-owned travel agency with a top flight reputation for service. Very helpful, say 'hi' from GAIA.",,,,,,,,1987
Radclyffe Hall,Hotels/Motels/Guest Houses,,,checked,Manhattan,NY,Tel.(718)625-2653,,,,,,,,1987
See Wow,,,,checked,Manhattan,NY,listing in the section ·coffeehouse· above.,,,,,,,,1987
Moonshadow,Bars,366 28th St,,,Manhattan,NY,(at 8th Ave); Tel.868-0181.,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Tory's ,Bars,119 27th St,,,Manhattan,NY,Tel. 689-3700. Sun. & Th only.,***,"Bars, Clubs, Coffeehouses",,,,,,1987
The River Hotel,Hotels/Motels/Guest Houses,180 Christopher St,,,Manhattan,NY,Tel. 206-1020.,,,,,,,,1987
The Women's Project- at the American Place Theater,Theaters,111 W 46th St,,,Manhattan,NY,10036-Tel.(212)246-3730. Membership Is $50.00- -their quarterly newsletter:DIALOGUE.,,,,,,,,1987
Mim's,Restaurants,8 Christopher St,,,Manhattan,NY,Tel. 675-5620.,*,Restaurants,,,,,,1987
Kelly's Village,Bars,46 Bedford St,,,Manhattan,NY,Tel. 929-9322.,*,"Bars, Clubs, Coffeehouses",,,,,,1987
The Final Cause,Boutique,42 1/2 St Marks Pl,,,Manhattan,NY,"10003-Tel.(212)475-8760. UNUSUAL clothes. jewelry, etc. 'A boutique for women·.",,,,,,,,1987
The Big Work,Restaurants,753 Washington St,,,Manhattan,NY,Tel.924-5044. Chinese.,*,Restaurants,,,,,,1987
Sylstero International,Travel Agents,125 E 23rd St,,,Manhattan,NY,10010-Tel.(212)254-4466. All sorts of trips and holidays for gay people.,,,,,,,,1987
Saint Marks Books,General and Alternative Bookstores,13 St Marks Pl,,,Manhattan,NY,Tel.260-7853.,,,,,,,,1987
Jean's Patio,Restaurants,39 Greenwich Ave,,,Manhattan,NY,very inexpensive place to go and drink coffee and hang out. VERY gay.,*,Restaurants,,,,,,1987
Incentra Village Apartments,Hotels/Motels/Guest Houses,32 8th Ave,,,Manhattan,NY,Tel.206-0007.,,,,,,,,1987
Womanbooks,Feminist Bookstore,201 W 92nd St,,,Manhattan,NY,"Tel. 873-4121. Very well stocked with the best in women's studies/lesbian titles and much, much more. They have poetry reading and authors nights with the very best women's writers in the world. Say 'hi' from GAIA.",,,,,,,,1987
J's Supper Club,Bars,2581 Broadway,,,Manhattan,NY,"(between 97th & 98th)-Tel.666-3600. A women owned arid operated supper club with women entertainment nights that are not to be missed, otherwise it's frequented by everyone.",(****),"Bars, Clubs, Coffeehouses",,,,,,1987
Trilogy,Bars/Restaurants,135 Christopher St,,,Manhattan,NY,Tel. 242-6753.,**,Bar/Restaurant,,,,,,1987
Waverly,Bar/Restaurant,147 Waverly Pl,,,Manhattan,NY,(between 6th & 7th Avenues); Tel. 989-0069.,*,Bar/Restaurant,,,,,,1987
Garbo's ,Bars,225 W Broadway,,,Manhattan,NY,Tel. 431-1810,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Cubby Hole,Bars,438 Hudson St,,,Manhattan,NY,"extremely tiny, extremely popular lesbian bar, video screen-taped music. You can talk there.",***,"Bars, Clubs, Coffeehouses",,,,,,1987
Uncle Charlie's ,Bars/Restaurants,,,checked,Manhattan,NY,"get address, etc.",**,Bar/Restaurant,,,,,,1987
Eve's Garden,Sexuality Boutique,119 W 57th St,,,Manhattan,NY,Tel.247-5948.,,,,,,,,1987
Glines Productions,Theaters,240 W 44th St,,,Manhattan,NY,"now at Helen Hayes Theater Building, 240 West 44th Street;10036-TeI(212)354-0883. Gay/Lesbian theater productions. Ring up for current schedule. Say 'hi' from GAIA.",,,,,,,,1987
Womyn's Bed and Breakfast,Hotels/Motels/Guest Houses,,,checked,Manhattan,NY,"Womyn only. Private rooms, shared baths, reservations a week in advance.",,,,,,,,1987
Joanna Hopkinson,Moving and Deliveries,,,checked,Manhattan,NY,Tel.(201)434-5309 & (212)226-5825.,,,,,,,,1987
A Different Light Bookstore,Gay/Lesbian Bookstore,548 Hudson St,,,Manhattan,NY,"Tel.989-4850. Very well stocked, huge selection, MAIL ORDER, they sell GAIA'S GUIDE, be sure & say 'hi' from GAIA.",,,,,,,,1987
Pershing's,Restaurants,232 Columbus St,,,Manhattan,NY,Tel.,*,Restaurants,,,,,,1987
Boots and Saddles,Bars,76 Christopher St,,,Manhattan,NY,Tel. 929-9684.,MGM**,"Bars, Clubs, Coffeehouses",,,,,,1987
Meadowsweet Herbal Apothecary,Herbalist,77 E 4th St,,,Manhattan,NY,Tel. 254-2870. Carries all sorts of herbs and teas. Open Tues.-Sat. 11am-7pm.,,,,,,,,1987
Company,Bars/Restaurants,365 3rd Ave,,,Manhattan,NY,Tel.(212)532-5222. World famous for elegant gay dining. Say 'hi' from GAIA.,[**,Bar/Restaurant,,,,,,1987
Falcon,Bars,1925 Curry Rd,,,Schenectady ,NY,tel.356-4676,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Calico's Coffeehouse,Coffeehouse,2647 N High St,,,Columbus,OH,Tel.447-0201,,,,,,,,1987
Fan the Flames Feminist Book Store,Feminist Bookstore,65 S 4th St,,,Columbus,OH,"43215 (located in the YWCA-at East Broad Street) Tel.228-0565. Well stocked with lots of lesbian and feminist titles, periodicals, posters, buttons and a newsletter of their own which annouces all special events. They stock COLUMBUS FREE PRESS and offer an extrmely compre- hensive mail order service. They sell GAIA""S GUIDE Say ""hi' from GAIA.",,,,,,,,1987
Summit Station,Bars,2210 Summit St,,,Columbus,OH,"Tel.261-9634. Pool tables, dancing, live entertainment. Highly recommended. HERBY'S, 349 Marconi Blvd-Tel.(614)464-2270",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Mel's Place,Bar/Restaurant,785 Bank St,,,Columbus,OH,"Tel.445-9196. Created by and for gay women.
",,,,,,,,1987
Gay Infoline,Services,,,checked,Columbus,OH, Tel. 422-9212,,,,,,,,1987
The Hang Out,Bars,13 Old St,,,Monroe,OH,Tel.539-9381.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Gas Lite Inn,Bars,638 W Main St,,,Springfield,OH,Tel.324-0383,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Why Not Cafe,Bars/Restaurants,108 W Washington,,,Springfield,OH,Tel.322-4498,**,"Bars, Clubs, Coffeehouses",,,,,,1987
The Greater Cincinnati Gay Coalition,Groups/Organizations and Services,,,checked,Cincinnati,OH,Tel.851-3321:i. Umbrella organization for lesbian and gay groups working for equal rights in the Cincinnatti area.,*,Organizations/Groups,,,,,,1987
Metro,Bars,616 Ruth Lyons Lane,,,Cincinnati,OH, Tel. 421-3760.,*,"Bars, Clubs, Coffeehouses",,,,,,1987
The Crazy Ladies Bookstore,Feminist Bookstore,4112 Hamilton Ave,,,Cincinnati,OH,"Tel. 541-4198. Women's books, cards, posters, I-shirts, and gift items by local craftswomen. Also non-sexist kids books & GAIA'S GUIDE. Local info center, ask them about sports groups, women's theater, also new women's martial arts group, forming.etc. Acknowledged info center. Say 'hi' from GAIA.",,,,,,,,1987
The Yellow Page,Publications,PO Box 14466,,checked,Cincinnati,OH,"45214. Lesbian/gay paper full of local resources and info. Very helpful to GAIA'S GUIDE. $8.00 p.a.
",,,,,,Lilly Smith,7/11/2024 5:48am,1987
Women Helping Women,Groups/Organizations and Services,,,checked,Cincinnati,OH,"9th & Walnut St. Tel 381-5610 (lesbian
line) or 381-6003. Home of these and more groups: Slightly Older Lesbians, peer counseling, lesbian resource library.",****(*),Organizations/Groups,,,,,,1987
LAB-Lesbian Activist Bureau,Groups/Organizations and Services,PO Box 1485,,checked,Cincinnati,OH,45201. Newsletter on request.,**,Organizations/Groups,,,,Lilly Smith,6/9/2024 1:02pm,1987
There is a gay cable network on Warner Public Access,Radio Program & Television,PO Box 9025,,checked,Cincinnati,OH,"Channel 10-Cincinnati. Contact: Roger Cekenberry, P.O. Box 9025;45209-Tel.321-2821.",,,,,,Lilly Smith,6/9/2024 1:02pm,1987
The Subway,Bars,609 Walnut,,,Cincinnati,OH,Tel.421-1294. Open 7 days a week- dancing + game room.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Badlands Territory,Bars,419 Plum St,,,Cincinnati,OH,Tel.721-9620,*,"Bars, Clubs, Coffeehouses",,,,,,1987
The Womyn's Spirituality Network,Religious Groups,,,checked,Cincinnati,OH,"Tel. Simone on 231-9203. 'We do Wiccan/goddess studies and rituals, we meet once a month+ have smaller closed circles(!)'- - -say 'hi' from GAIA who has the very, very greatest respect for this particular group ...",,,,,,,,1987
Fibber MC Gee's,Bars,2601 Short Vine St,,,Cincinnati,OH,Tel. 221-3910. (entrance in the back)- -might be re-named '2601 '.,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Alternative Currents,Radio Program & Television,,,checked,Cincinnati,OH,WAIF 88.3 FM. Gay radio run by lesbians.,,,,,,,,1987
The Side Door,Bars,619 Walnut,,,Cincinnati,OH,(in Gano Alley);Tel.721 -9551.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Metropolitan Community Church,Religious Groups,65 Hollister St,,,Cincinnati,OH,Tel.241-5610,,,,,,,,1987
Gay Community Switchboard,Switchboard,,,checked,Cincinnati,OH,Tel. 221-7800. Mon-Sat. 7pm-11pm.,,,,,,,,1987
Jacobers,Bars,36 W 5th ,,,Cincinnati,OH,Tel.381 -5005. Mainly drag queen.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
The Lesbian Support for Single Group,Groups/Organizations and Services,,,checked,Cincinnati,OH,"Tel.Simone: 231-9203. ·we discuss various topics/and have a weekly sharing experience, + occaisiona speakers and lots of social events. Not a therapy group. They meet on alternate Fridays of each month and are now over 100 members. Say 'h1'to Simone for GAIA.",**,Organizations/Groups,,,,,,1987
Jox ,Bars,1433 S Main ,,,Akron,OH,Tel. 724-3711,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Gentle Lady Cade,Restaurants,782 W Market St,,,Akron,OH,Tel 374-5640,*,Restaurants,,,,,,1987
Quest,Bars,1615 S Arlington St,,,Akron,OH,"Akron Square Shopping Center;-Tel.(216)773-8020. Open 8pm-Weds -Sun., afterhours Fri. & Sat.",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Gay Hotline and Switchboard,Services,,,checked,Cleveland,OH,Tel.651-7111,,,,,,,,1987
Bookstore on West 25th,General Bookstore,1921 W 25th St,,,Cleveland,OH,Tel.566-8897. 'We sell GAIA'S GUIDE.',,,,,,,,1987
Lesbian/Gay Info Center,Services,,,checked,Cleveland,OH,"Tel.988-9377, 6pm-11pm Fri./Sat. or leave message.",,,,,,,,1987
FOCUS Counseling Services,Counseling and Health Services,2100 Fulton Rd,,,Cleveland,OH,"Tel.651-7111, feminist counselors.",,,,,,,,1987
The Gay Community Center,Gay/Lesbian Center,2100 Filton Rd,,,Cleveland,OH,"Tel. Hotline for hours and activities, etc.
",***,Center,,,,,,1987
Club Isis,Bars,1400 W 6th,,,Cleveland,OH,"Tel. 589-5866. Disco, nice atmosphere. Private club.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Joy B Savren,Attorney's,1836 Euclid Ave,,,Cleveland,OH,suite 206;-Tel.771-6597,,,,,,,,1987
Paradise Inn,Bars,4488 State Rd,,,Cleveland,OH,Tel.741-9819,***,"Bars, Clubs, Coffeehouses",,,,,,1987
Gay People's Chronicle,Publications,PO Box 5426,,checked,Cleveland,OH,"44I0I-Tel.(216)932-2195. Office at: 2512 Edgehill Road/(at Euclid Heights Blvd.) - - 'we're consciously trying to publish a newspaper for the entire Cleveland gay community, women & men- ...women are very much wanted!'. Events calendar for religious groups/sports/lesbian support group/radio & tv/al-anon.",,,,,,Lilly Smith,6/9/2024 1:02pm,1987
Women Together Hotline,Services,,,checked,Cleveland,OH,Tel.961-4422,,,,,,,,1987
Women's Building Project,Women's Centers,3130 Mayfield Rd,,,Cleveland,OH,"in the West Wing of the Civic, 3130 Mayfield Road;-Tel.321-3054. These groups meet there: Al Anon/ North Coast Lesbian Alliance/Sisters in Sobriety/",****(*),Center,,,,,,1987
Ginzzy's,Bars,11814 Detroit Ave,,,Cleveland,OH,Tel.226-9801,***,"Bars, Clubs, Coffeehouses",,,,,,1987
Crawford and Associates,Accountants,9200 Buckeye Rd,,,Cleveland,OH,No. 1;44104-Tel.231-0276,,,,,,,,1987
The Godmother,Bars,1014 E 63rd St,,,Cleveland,OH,Tel.361-5712,****,"Bars, Clubs, Coffeehouses",,,,,,1987
Sandra A Prebil,Attorney's,,,checked,Cleveland,OH,"One.Public Square Building, Eleventh Floor;44113- Tel.(216)241- 7100&481-6889
",,,,,,,,1987
Womanspace,Women's Centers,1258 Euclid Ave,,,Cleveland,OH,,****(*),Center,,,,,,1987
Ragtime,Group,PO Box 31123,,checked,Dayton,OH,"45431, Tel.228-4875. Support group for
lesbian and other women exploring their sexuality.",**,"Bars, Clubs, Coffeehouses",,,,Lilly Smith,6/9/2024 1:02pm,1987
Gay Hotline,Services,,,checked,Dayton,OH,Tel.228-4875. 7pm-11 pm.,,,,,,,,1987
Changes,Bars,35 W 5th St,,,Dayton,OH,Tel. 445-9077. Recommended as being good for drinks after work. (which is more than London (home) can boast!!!),**,"Bars, Clubs, Coffeehouses",,,,,,1987
Dayton Lesbian & Gay Center Inc.,Gay Centre,665 Salem Ave,,,Dayton,OH,Tel.228-4875,***(**),Center,,,,,,1987
Iris Books,Feminist Bookstore,1100 N Main St,,,Dayton,OH,"IRIS BOOKS,--Women's Bookstore and Resource Center, 1100 North Main Street;45405-Tel.228-1534. Well stocked with lots of lesbian titles/women's studies/sexual politics/non-sexist children's literature/women's music/jewellry/buttons/T-shirts/ + they have a feminist art gallery/reading tables/tea and coffee. They have their own newsletter which announces the social and political events held at and sponsored by IRIS, including their women-only dances. You can also get from them: YELLOW PAGE/DAYTON GAY CALENDAR/ METRO-Detroit/& GOOD TIMES-Columbus. They sell GAIA'S GUIDE and are goin' strong!-say 'hi' from GAIA. Store hours: 3pm- 7pm Tu.-Fri. & noon-6 pm Sa. & Sun.",,,,,,,,1987
Metropolitan Community Church,Bars,148 Salem Ave,,,Dayton,OH,Tel. 226-9017. Cocktail lounge with dance area/juke box.,***,"Bars, Clubs, Coffeehouses",,,,,,1987
Springhill Farm ,Cabins & Camping,5704 Highpoint Rd,,,Glenford,OH,"43739- Tel.659-2364. Swimming pool with sun deck, a hot tub for all seasons.recreation room with pool table, music and refreshements. Contintental breakfasts and real fire places. Open all year round. Best of all: clientel: all gay and 99% women. Say 'hi' to Susan and Kathy from GAIA. No dogs allowed.
",,,,,,,,1987
Somewhere In Time,Show-bar,804 W North St,,,Lima,OH,Tel.227- 7288,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Club 1504,Bar,1504 Braodway,,,Lorain,OH,Tel. 245-9413,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Delirious,Bar,2223 Braodway,,,Lorain,OH,Tel.245-6319,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Fantasies,Bar,328 Orange St,,,Mansfield,OH,Tel. (419)524-3364,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Richard's Night Club,Bar,15 E 5th St,,,Mansfield,OH,"44902/(at Main)-Tel.526-9119. Dance bar/food served/cocktail hours. Open 7 days a week-4pm-2:30am. Recommended. Say 'hi' from GAIA
",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Universal Fruit and Nut Co.,Bars,2112 Cleveland Rd,,,Sandusky,OH,Tel.626-LOVE. 'Where Toledo Meets Cleveland'.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Your Place or Mine,Bars,402 W Water St,,,Sandusky,OH,Tel.627-9192,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Toledo Area Gay and Lesbian Affiliation,Gay/Lesbian Group,PO Box 178079,,checked,Toledo,OH,43615-Tel.531-0644. Newsletter: $5.00 p.a..includes 'Womyn·s Vineline· & info on LAVENDER TRIANGLE.etc. Events calendar.,,,,,,Lilly Smith,6/9/2024 1:02pm,1987
The Lavender Triangle,Lesbian Group,PO Box 178079,,checked,Toledo,OH,43615-Tel.531-0644 Monthly women's coffehouse nights and dances. lesbian rap group. Call for locations and times.,,,,,,Lilly Smith,6/9/2024 1:02pm,1987
The Scenic,Bars,702 Monroe,,,Toledo,OH,Tel. (419) 241-5991,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Pro-Toledo (Personal Rights Organization),Gay/Lesbian Group,PO Box 4642,,checked,Toledo,OH,Tel. 243-9351. 24 hour hotline. Political. social and outreach activities. Newsletter. $15.00 p.a. membership/S5.00 newsletter only.,*,Organizations/Groups,,,,Lilly Smith,6/9/2024 1:02pm,1987
Winds Cafe,Restaurant,230 Xenia Ave,,,Yellow Springs,OH,Tel. 767-1144,,,,,,,,1987
Antioch College Lesbian & Gay Centre,Center,,,checked,Yellow Springs,OH, located in Birchspace on the Antioch Campus. Tel 767- 7331,,,,,,,,1987
Epic Book Shop,Alternative Bookstores,232 Xenia Ave,,,Yellow Springs,OH,Tel 767-7997 .. Lots of lesbian titles/women's studies/non-sexist children's books/women's music. They sell GAIA'S GUIDE. Say 'hi' from GAIA,,,,,,,,1987
The Jon Bryant Center,Center,100 Dayton St,,,Yellow Springs,OH,Tel.767-9011,,,,,,,,1987
Feminist Perspectives,Organization/Groups ,,,checked,Youngstown,OH,Tel. (216)747-6562,**,Organizations/Groups,,,,,,1987
Gay/Lesbian Info,Organization/Groups ,,,checked,Youngstown,OH,Tel.(216)793-0201,*,Organizations/Groups,,,,,,1987
Troubadour Lounge,Bar,2618 Market St,,,Youngstown,OH,"Tel. 788-4379. Very highly recommended lesbian/gay entertainment complex. Dancing.pool tables, drag shows & women's entertainment/community benefits. They sell GAIA""S GUIDE ..Say ""hi' from GAIA.
",**,"Bars, Clubs, Coffeehouses",,,,,,1987
Joshua's,Bar,2709 Market St,,,Youngstown,OH,Tel. (216)782-9546.,**,"Bars, Clubs, Coffeehouses",,,,,,1987
What She Wants,Publications,PO Box 18465,,checked,Cleveland Heights,OH,"44118. Events calendar, etc.",,,,,,Lilly Smith,6/9/2024 1:02pm,1987
The Inn On Coventry,Restaurants,2785 Euclid Heights Blvd,,,Cleveland Heights,OH,Tel. 371-1811. Pick up your copy of 'What She Wants' there.,*,Restaurants,,,,,,1987
Camie's Restaurant,Restaurants,222 W Mc Pherson,,,Clyde,OH,"Open 6am-7.30pm, etc.",*,Restaurants,,,,,,1987
1470 West,Show-bar,1470 W Dorothy Lane,,,Kettering,OH,Tel.227- 7288,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Hotline,Hotline,,,checked,Warren,OH,Tel.(216) 394-9111,,,,,,,,1987
The Office,Bars,126 SE Pine St,,,Warren,OH,Tel. (216)394-3746,**,"Bars, Clubs, Coffeehouses",,,,,,1987
The Bamboo,Bars,78204 E Pine,,,Oklahoma City,OK,Tel.838-9323,**,"Bars, Clubs, Coffeehouses",,,,,,1987
DJ's Club,Bars,2805 NW 38th St,,,Oklahoma City,OK,Tel. 942-9658. Dancing/pool tables/ other games. Owned and operated by gay women. Age groups of DJ'S clientel: 21-55 & it's one old-timer that still gets recommendations from traveling visitors from all over the world. Your best bet in OKC. Say 'hi' from GAIA.- -Now: country and western dances/Sunday afternoon - - free buffet.,****,"Bars, Clubs, Coffeehouses",,,,,,1987
The Tool Box,Bars,1649 S Main,,,Oklahoma City,OK,Tel.582-5640,**,"Bars, Clubs, Coffeehouses",,,,,,1987
King Arthur,Bars,2024 NW 11th St,,,Oklahoma City,OK,"( south of Penn) Tel. 528-9671. Their own ad includes ""ladies night"" - -ladies wearing dresses drink free draw beer 8 to midnight. Pool tournaments, c & w night, disco. Also knows as KA'S.",***,"Bars, Clubs, Coffeehouses",,,,,,1987
The Gayly Oklahoman,Publications,PO Box 60930,,checked,Oklahoma City,OK,60930; 73146-Tel. 528-0800 Tulsa: 599-9380. Statewide guide and events calendar.,,,,,,Lilly Smith,6/9/2024 1:02pm,1987
Tim's ,Bars,2114 S Memorial,,,Oklahoma City,OK,Tel. 660-0856,**,"Bars, Clubs, Coffeehouses",,,,,,1987
Christ The King Metropolitan Community Church,Religious Groups,,,checked,Oklahoma City,OK,Tel.521-8352,,,,,,,,1987
The Club,Bars,1229 S Memorial Dr,,,Oklahoma City,OK,"Tel.838-9283. Disco, patio and game room/pool tables. Private club, but a copy of GAIA'S GUIDE will probably get you in.",****,"Bars, Clubs, Coffeehouses",,,,,,1987
Herland Sister Resources,Feminist Bookstore,1630 NW 19th St,,,Oklahoma City,OK,"(corner N.W. Blackwelder)-no phone. Women's studies and lesbian titles/ posters/ buttons/women· music/local women's art/jewlery/ crafts+ bulletin board and referrals, reading area. tea and coffee. they sponsor concerts and poetry readings. monthly coffee-house nights,(last Friday or each month at 8pm) workshops and lectures. They publish their own newsletter which is full of local and national info.- -very good reading. They're always very helpful to GAIA'S GUIDE, be sure and say 'hi' from GAIA.",,,,,,,,1987
Kristina Marek,Attorney's,1137 NW 31st St,,,Oklahoma City,OK,73118-Tel.521-8434.,,,,,,,,1987
Dignity,Religious Groups,,,checked,Oklahoma City,OK, Tel.943-8249 (Catholics),,,,,,,,1987
Edwina V. Johnson,Dentists,4912 S. Western,,,Oklahoma City,OK,73109-Tel.631-1546,,,,,,,,1987
Gay Helpline,Gay Helpline,,,checked,Oklahoma City,OK,Tel.528-GAYS,,,,,,,,1987
Oasis Gay Community Center,Gay/Lesbian Center,2135 N.W. 39th St,,,Oklahoma City,OK,73113-Tel.525-2437.,***,Center,,,,,,1987
Sister's,Bars,3201 N Mag Ave,,,Oklahoma City,OK,Tel.948-1783.,****,"Bars, Clubs, Coffeehouses",,,,,,1987
