title,type,address,unclear.address,city,state,statewide.address,description,stars,Star Type,Mentions Race?,Mentions Disability?,notes,Questions/Unsure Dr. R should check,year,Last Modified By,Last Modified
Women On The Waves,Radio Program,,checked,Pittsfield,MA,,WTBR 89.5 FM,,,,,,,1985,Amanda Regan,7/20/2025 1:24am
Fantasys,Bar/Restaurant,,checked,Ipswich,MA,,"S: Route One. Tel. 356 7066. The north shore's gay men and women's
bar and disco has, they say, New England's most exciting light show, plus scheduled
live entertainment, and a quiet restaurant featuring gourmet foods. Open Wed-Sun,
6pm-m1dnight. Plenty of secure parking. ",**,,,,,,1985,Amanda Regan,7/20/2025 1:29am
Mr Dominicks ,Bars,212 Broad S,,Lynn,MA,,Tel. 599-9444. Open 7 days- 11am-2am. Mostly men,**,,,,,,1985,Amanda Regan,7/20/2025 1:32am
Frans Place ,Bars,776 Washington S,,Lynn,MA,,Tel. 595-8961 ,**,,,,,,1985,Amanda Regan,7/20/2025 1:34am
The Gay Paper,Newspaper,PO Box 2275; 21203,checked,Baltimore ,MD,,Tel. 837-5445 The gay/lesbian newspaper of the Gay Community Center. Loads of local resources and info. $20.00 p.a,,,,,,,1985,Amanda Regan,7/20/2025 1:55pm
Port In A Storm,Bars,1722 East Fleet St.,,Baltimore ,MD,,Tel. 276-5336,***,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
The Drinkery ,Bar/Restaurant,Park & Read Streets ,,Baltimore ,MD,,Tel. 669-9820. Open from 11am. ,**,Restaurants,,,,,1985,Amanda Regan,7/20/2025 1:58pm
Pegasus,Bars,Foster and Montford Ave,,Baltimore ,MD,,"Tel. 342-5752, 9:30am-1am.",**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church,Religious Groups,1624 Park Avenue ,,Baltimore ,MD,,Tel. 523-6363. Pastor: Jennie Boyd Bul,,,,,,,1985,Amanda Regan,7/20/2025 2:00pm
Gampy's ,Bars,904 North Charles Street,,Baltimore ,MD,,Open Sunday through Weds. 11:30am-3am. Sunday brunch 11:30-2pm. Probably your best bet for dining out in Baltimore. ,*,bookstore,,,,,1985,Amanda Regan,7/20/2025 2:04pm
Club Mitchell,Bars,1003 East Pratt Street ,,Baltimore ,MD,,"Tel. 675 9701. Private club, opens 7pm.",***,Bar/Restaurant,,,,,1985,Amanda Regan,7/20/2025 2:06pm
The Hippo,Bars,1 W Eager St.,,Baltimore ,MD,, Tel.547-0069. Disco & vdieo bar.,***,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Tikki's,Bars,616 W. Lexington ,,Baltimore ,MD,,Mon-Sat. till 1am.,**,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Baltimore Gay And Lesbian Switchboard,Services,,checked,Baltimore ,MD,,Tel. 837-8888 7:30-10:30p,,,,,,,1985,Amanda Regan,7/20/2025 2:08pm
Johnathan's,Bars,2318 Fleet Street ,,Baltimore ,MD,,Tel. 563-9805. Spectacular drag shows/6 video screens/-their Christmas Dinner Party was for gay and lesbian parents and their children!,***(**),Bar/Restaurant,,,,,1985,Amanda Regan,7/20/2025 2:09pm
Fran's,Bars,2127 East Pratt ,,Baltimore ,MD,,Te.l 732-9815. 'Rough',***,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Women's Growth Center,Women's Centers,339 East 25th St.,,Baltimore ,MD,,St. Tel. 366-GROW. Sober support group + many others meets here.,****(*),,,,,,1985,Amanda Regan,7/20/2025 2:10pm
Studio Resturant,Restaurants,1725 Maryland Avenue ,,Baltimore ,MD,,"NT, located in the Gallery/ShipMate Bar, 1735 Maryland Avenue;
Tel. 539-6965",*,Restaurants,,,,,1985,Amanda Regan,7/20/2025 2:10pm
Tyson Place ,Restaurants,Chase Street,,Baltimore ,MD,,Open daily for lunch 11am-4pm/ dinner 5:30-11pm,*,Restaurants,,,,,1985,Amanda Regan,7/20/2025 2:11pm
Sports/Outdoor Groups,Special Interest Groups,,checked,Baltimore ,MD,,S: Tel. 837 888,,,,,,,1985,Amanda Regan,7/20/2025 2:12pm
The Last Stop,Bars,616 Eutaw Street,,Baltimore ,MD,,Weds-Sun. after hours,***,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Lambda Rising,Gay/Lesbian Bookstore,241 West Chase Street,,Baltimore ,MD,,"Tel. 234-0069. One of the best stocked bookstores of its kind in the world. They sell GAIA'S
GUIDE. Say'hi' from GAIA. Open 11am-7pm, 7 days a week.",,,,,,,1985,Amanda Regan,7/20/2025 2:13pm
Gay Community Center,Centers,241 West Chase,,Baltimore ,MD,,"se. Tel. 837-5445. Full service center
with lots of women's groups, including rap group/health group, etc. ",***(**),,,,,,1985,,8/8/2024 8:42am
The Paper,Publications,PO Box 74 ,checked,Baltimore ,MD,checked,21203. S5.00 pa monthly Gay newspaper/events calendar.,,,,,,,1985,,8/8/2024 8:42am
WISEWOMAN BOOKS,Feminist Bookstore,20 Park Ave ,,,ME,,"Tel. 761-2053. Open Tues, Weds. 10am-6pm/Thurs, Fri. 10am-8pm/Sat.,Sun 12 noon-5pm/closed Mondays. Full range of lesbian and feminist books, + magazines and newspapers, buttons, women's music, local concert tickets, handcrafts, cards and crystals.-+ author appearances, book fairs, occasional courses. They sell GAIA'S GUIDE. Be sure and say 'hi' from GAIA.",,,,,,,1985,,10/11/2024 10:50pm
Maine Lesbian Feminists ,Group ,PO Box 125,checked,Belfast ,ME,,,**,Organizations,,,,,1985,,8/8/2024 8:42am
Webwork,Personal Contact Club,PO Box 131,checked,Calais,ME,checked," 04619. A correspondence contact club for Maine, New England and the Maritimes - to help lesbians and bi-sexual women to find each other more easily. Write for full details.",,,,,,,1985,,8/8/2024 8:42am
Gay Phoneline,Services,,checked,Caribou ,ME,,Tel. 896-5888,,,,,,,1985,,8/8/2024 8:42am
Seafair,Hotels/Motels/Guesthouses,24 Shore Road,,Ogunquit ,ME,,"Located near the center of the
village. The SEA FAIR INN Is a charming restored vlctorian bed and breakfast
Inn furnished with period antiques. Walk to fine shops, restaurants, beautiful
white sand beach and rocky coast. Traditional accommodations and
apartments. Private baths, homemade continental breakfast included In the
very reasonable rates. Open April through October. Write for brochure. Your
hosts: Cheri, Jeff & Bill. Gay owned and operated. Women especially
welcome. Be sure and say 'hi' from GAIA. ",,,,,,,1985,,8/8/2024 8:42am
The Club,Bars,52 Main St. ,,Ogunquit ,ME,,Tle 646-9282. Outdoor deck bar and charcoal pit.,MGM**,,,,,,1985,,8/8/2024 8:42am
The Front Porch,Bars,,checked,Ogunquit ,ME,,Ogunquit Square-Tel.646-3976,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Carousel Bar-Valerie's,Bar/Restaurant,10 South Main St.,,Ogunquit ,ME,,Tel. 345-3195,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:07pm
The Black Swan,Bars,,checked,Ogunquit ,ME,,Rt. 1. Tel 646-4811.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Wilde Stein Club,Group ,University Of Maine ,,Orono ,ME,," Peabody Lounge - 3dr Floor, University of Maine. T.el 581-1288",,,,,,,1985,,8/8/2024 8:42am
University Women's Forum ,Group ,94  Bedford St.,,Portland,ME,,") Tel. 780-4083.Extremely
active feminist group with a variety of politica and social activities. Their newsletter:
HERIZONS-events calendar. ",,,,,,,1985,,8/8/2024 8:42am
Our Paper ,Groups,PO Box 10744,checked,Portland,ME,,Includes: Lesbigay Network/calendar/meetings,,,,,,,1985,,8/8/2024 8:42am
The West Side,Restaurants,58 Pine Street ,,Portland,ME,,"Open 8am-10pm. Sat. & Sun. brunch:
9am-2:30. ",*,,,,,,1985,,8/8/2024 8:42am
The Underground,Bars,3 Spring Street ,,Portland,ME,,"Complete gay complex for
women and men. Disco/pool tables/women's entertainment and drag shows/patio.
Open 1pm-1am. Recommended. Say 'hi' from GAIA",**(**),,,,,,1985,,8/8/2024 8:42am
Backstreet ,Bars, 390 Commercial St.,,Portland,ME,,"Tel. 772-9538. After hours club. BYOB. Opens
1am.",**,,,,,,1985,,8/8/2024 8:42am
Gay People's Alliance,Group ,93 Bedford St,,Portland,ME,,"University Student Union Building. Tel.
780-4085. Lesbian support group meets Sunday 6pm-8pm. ",*,,,,,,1985,,8/8/2024 8:42am
Our Books,Bookstore,4 Pine St.,,Portland,ME,,Te.l 773-5540. Local infoc.enter.,,,,,,,1985,,8/8/2024 8:42am
Feminist Spiritual Community,Group ,159 State Street ,,Portland,ME,,"Y-meet at the State Street Church, 159 State
Street. All women welcome. Tel. 761-2053 (Kathryn) or 282-0752 (Susan).-Rituals
in celebration of women's spirituality, also politically active. ",,,,,,,1985,,8/8/2024 8:42am
New Leaf Books,Feminist Bookstore,438 Main St.,,Rockland,ME,,"Tel. 596-0040. Lesbian and feminist books,
magazines and newspapers, locally handcrafted women's jewelry. They sell
GAIA'S GUIDE, say 'hi' from GAIA.",*,,,,,,1985,,8/8/2024 8:42am
Sea Gnomes Home,Hotels/Motels/Guesthouses,"Church Street, PO Box 33.04681",checked,Stonington ,ME,," Tel. 367-5076. Partially
restored victorian house in coastal Stonington. Rooms for women only. Share
kitchen, bathroom, parlor and open back porch overlooking the harbor and islands.
Rates: $25.00 per night, $150 per week, $500.00 per month. Be sure and say 'hi'
from GAIA. ",,,,,,,1985,,8/8/2024 8:42am
Blueberry Cove,Camping,Box 520,checked,Tenants Harbor ,ME,,"5. The gay/lesbian newspaper
of the Gay Community Center. Loads of local resources and info. $20.00 p",,,,,,,1985,,8/8/2024 8:42am
The Rubyiat,Bars,102 South First St.,,Ann Arbor ,MI,,"Tel. 663-2401. Now open from Weds.-Sun.
10pm-2am. Still the home of conflicting reports, but does seem to be o.k. ",**,,,,,,1985,,10/11/2024 10:36pm
At The Nectarine Ballroom,Disco Night, 510 East Liberty Street;,,Ann Arbor ,MI,,"Tel. 994-5436. Every
Tu.-9pm-2am. Video disco. ",**,,,,,,1985,Amanda Regan,7/20/2025 4:14pm
Lesbian Advocate (Office of Human Sexuality),Centers,3116 Michigan Union. State st. ,,Ann Arbor ,MI,,Tel. 763-4186,,,,,,,1985,Amanda Regan,7/20/2025 4:15pm
Metropolitan Community Church,Religious Groups,1679 Broadway,,Ann Arbor ,MI,,,,,,,,,1985,Amanda Regan,7/20/2025 4:15pm
Input,Bars,10 East State St,,Battle Creek,MI,,,**,,,,,,1985,,8/8/2024 8:42am
Log Cabin,Bars, 399 W Michigan.,,Battle Creek,MI,,Tel. 963-6744 ,,,,,,,1985,Amanda Regan,7/20/2025 4:16pm
Amiga's,Bars, 19326 Conant.,,Detroit,MI,,"Many drinks specials + camera surveillance
and guarded parking. Recommended. ",****,"Bars, Clubs, Coffeehouses",,,,,1985,,10/11/2024 8:37pm
The Pink Flamingo,Show-Bars,870 West McNichols.,,Detroit,MI,,Tel. 862-0877 ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:17pm
The Underground,Bar/Restaurant,15533 West 8 Mile Drive,,Detroit,MI,,,****,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:18pm
Gay And Lesbian Switchboard,Services,,checked,Detroit,MI,,,,,,,,,1985,Amanda Regan,7/20/2025 4:18pm
The Railroad Crossing,Bars, 6640 E. 8 Mile,,Detroit,MI,,,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Gigi's,Bars, 16920 West Warren,,Detroit,MI,,Tel. 584-6625. Show bar. ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:19pm
Michigan Organization for Human Rights,Group ,940 West Michigan Rd,,Detroit,MI,,Tel. 863-7255 ,,,,,,,1985,Amanda Regan,7/20/2025 4:20pm
Chosen Books,Gay/Lesbian Bookstore, 940 W McNichols.,,Detroit,MI,,Tel. 864-0485 Very well stocked with lesbian and feminist titles. They sell GAIA'S GUIDE. ,,,,,,,1985,Amanda Regan,7/20/2025 4:21pm
Douglas Dunes Resort ,Hotels/Motels/Guesthouses,333 Blue Star Highway.,,Douglas,MI,,"Tel. 857-1401. Deluxe motel, swimming pool, dining room, cocktail and patio bars, tea-dance. Cllentel: all gay and women very welcome. ",,,,,,,1985,Amanda Regan,7/20/2025 4:22pm
Helen Diner Memorial Womens Center ,Centers,811 East Lansing; 48823 ,checked,East Lansing,MI,, Tel. 371-5257. Library and info. Phone operates 2pm-midnight.,****,,,,,,1985,Amanda Regan,7/20/2025 4:30pm
Lesbian Alliance,Lesbian Social Group, P.O. Box 423,checked,East Lansing,MI,,,**,,,,,,1985,Amanda Regan,7/20/2025 4:31pm
Ambitious Amazons,Library,PO Box 811,checked,East Lansing,MI,checked, 48823,,,,,,,1985,,8/8/2024 8:42am
Metra,Bars,22750 Woodward,,Ferndale,MI,,,,,,,,,1985,,8/8/2024 8:42am
State Bar,Bars,2512 South Dort Highway,,Flint,MI,,"Tel. 767-7050. Piano bar, strippers and a pool
table, shows. ",**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
'Moonrise' A Lesbian Support System,Group ,PO Box 863,checked,Flint,MI,,,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:24pm
The Copa,Bars,510 Saginaw,,Flint,MI,,,**,"Bars, Clubs, Coffeehouses",,,,,1985,,10/11/2024 10:08pm
Redeemer Metropolitan Community Church,Religious Groups,2474 Ballenger Highway ,,Flint,MI,,,,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:25pm
Papa Joe's,Bars,43 South Division.,,Grand Rapids ,MI,,,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:25pm
Women's Radio,Services,,checked,Grand Rapids ,MI,,WEHB 89 9-FM ,,,,,,,1985,Amanda Regan,7/20/2025 4:26pm
Club 67,Bars,67 South Division. ,,Grand Rapids ,MI,,Tel. 454-8003 ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:26pm
Reconciliation Metropolitan Community Church ,Religious Groups,PO Box 1259,checked,Grand Rapids ,MI,,Tel. 459-1294 ,,,,,,,1985,Amanda Regan,7/20/2025 4:27pm
Redclyffe Hall,Bars,76 S. Division ,,Grand Rapids ,MI,,"Tel. 774-4740.
Dance bar/pool tables/frequent drinks specials/Sunday entertainment. Very
highly recommended. Say'hi' from GAIA. (dontcha love the name?)",****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Aradia,Group ,PO Box 7516,checked,Grand Rapids ,MI,,"Tel. 243-2895 Lesbian social group, soft-ball team, newsletter",**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:28pm
Carousel,Bars, 8 lonia,,Grand Rapids ,MI,,Tel. 454-2739 ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:28pm
Pandora,Feminist Bookstore,226 West Lovell St,,Kalamazoo,MI,,"Tel. 388-5656.
Books, magazines, posters, buttons, womyn's music, + bulletin board/local
info/tea and coffee are served. MAIL ORDER SERVICE. Say'hi' from GAIA. ",,,,,,,1985,Amanda Regan,7/20/2025 4:32pm
Lavender Morning,Publications,PO Box 729,checked,Kalamazoo,MI,,Tel. 344-5903 ,,,,,,,1985,Amanda Regan,7/20/2025 4:33pm
The Private Club,Bars,403 East Michigan Avenue,,Kalamazoo,MI,,"Tel. 382-3600.
THE ZOO: 906 Portage St. Tel. 342-8888. Open 4pm-2am/happy hour daily. ",***,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:33pm
Gay Lesbian Support Group,Groups,Box 226,checked,Kalamazoo,MI,,"Student Services Building-Western
Michigan University, Kalamazoo;49008. They meet on Sundays. ",*,,,,,,1985,Amanda Regan,7/20/2025 4:34pm
The Zoo,Bars,906 Portage St. ,,Kalamazoo,MI,,Tel. 342-8888. Open 4pm-2am/happy hour daily. ,**,,,,,,1985,Amanda Regan,7/20/2025 4:35pm
Dj'S Lounge,Bars,31 South Gratiot. ,,MT Clemens ,MI,,,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
We Want The Music,Bars, 1501 Lyons St,,Mt. Pleasant,MI,,,,,,,,,1985,,8/8/2024 8:42am
The Book Co - Op,Feminist Bookstore, 210 E. Grand River,,Lansing,MI,,"Tel. 371-2909, open 12 noon-6pm & Tu till
8pm. They sell GAIA'S GUIDE. ",,,,,,,1985,Amanda Regan,7/20/2025 4:32pm
Joe Covello's,Bars,539 E. Michigan Ave,,Lansing,MI,," real old-timer still going
strong. Say'hi' from GAIA. Lots of letters of recommendation. ",***,,,,,,1985,Amanda Regan,7/20/2025 4:36pm
North Country Women Coffee House,Coffeehouse/Cafe,1802 E. First St,,Duluth ,MN,, Tel. 728-5468,,,,,,,1985,Amanda Regan,7/20/2025 4:38pm
A Womens Bookstore,Feminist Bookstore,106 North First Ave,,Duluth ,MN,,Tel. 722-8532. ,,,,,,,1985,Amanda Regan,7/20/2025 4:39pm
Lambda Sobriety Center,Counselling/Therapy,2529 Nicollet,,Minneapolis,MN,,"Tel. 87 4-7 430 7pm-10pm
nightly or 1-2pm daily. ",,,,,,,1985,Amanda Regan,7/20/2025 4:51pm
Woodswoman,Outdoor Group,2550 PIiisbury Ave.,,Minneapolis,MN,,"Tel. (612)870-8291. Guided outdoor trips for women of all ages. Canoeing
(Minnesota, Ontario, Alaska); backpacking: (Colorado, Nepal); climbing,
llama packing, rafting, bike touring. ",,,,,,,1985,Amanda Regan,7/20/2025 4:42pm
Gay Community Service Inc. ,Centers,1010 Park Ave,,Minneapolis,MN,,"Tel. 371-0174. Open 24 hours. Counseling, info and referrals. ",,,,,,,1985,Amanda Regan,7/20/2025 4:43pm
A Women's Coffeehouse ,Coffeehouses,1 Groveland. ,,Minneapolis,MN,,Tel. 871-1005. All women and their children (boys up to 11 years) welcome. Fri & Sat evenings it's entertainment from 8:30pm with dancing afterwards. Sundays are quiet evenings for cultural/educational/art presentations and games. Only baked goods and chemicalfree refreshments. One block north of Franklin off Nicollet. ,****,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:44pm
Hungry Mind Bookstore,General Bookstores,1648 Grand Ave,,Minneapolis,MN,,"(at Snelling) Tel. 699-0587. Lesbian and gay titles, women's studies, magazines and newspapers. Poetry and fiction readings. MAIL ORDER SERVICE. They sell GAIA'S GUIDE.",,,,,,,1985,,8/8/2024 8:42am
Amazon Bookstore,Feminist Bookstore,1612 Harmon,,Minneapolis,MN,,"(near Hennepin),Minneapolis; Tel. 374-5507. Wide variety of titles, including much lesbian material. Also posters and buttons, women's music and women-crafted jewlery. Bulletin board/referrals/tea and coffee. MAIL ORDER SERVICE. They sell GAIA's GUIDE.",,,,,,,1985,,10/11/2024 8:37pm
Nineteen Bar,Bars,19 W 15th St,,Minneapolis,MN,,Tel. 871-5553. ,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Castle Royal,Bars,249 W 7th,,Minneapolis,MN,,,****,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
New French Cafe-3 Bar,Bar/Restaurant,128 N 4th St,,Minneapolis,MN,,Tel. 338-3790. Woman owned and seeking gay clientel. ,*,Bar/Restaurant,,,,,1985,,8/8/2024 8:42am
Gay Nineties,Bars,re,,Minneapolis,MN,,Tel. 333-3790. Woman owned and seeking gay clientele. ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:24pm
Wave,Art Gallery,249 E 4th St,,Minneapolis,MN,,Collectively run women-artists gallery,,,,,,,1985,,8/8/2024 8:42am
A Brother's Touch ,Gay/Lesbian Bookstore,1931 Nicollet Ave,,Minneapolis,MN,,"At Franklin) Tel.872-1412. Lesbian and gay titles, women's studies, magazines and newspapers, posters, buttons, women's music. MAIL ORDER. They sell GAIA'S GUIDE.",,,,,,,1985,,8/8/2024 8:42am
Lavender Kitchen ,Gay/Lesbian Restaurant,430 Oak Grove,,Minneapolis,MN,," Loring Park Office Bldg. 430 Oak Grove (suite 103),(near Hennepin) Minneapolis;55403. Tel. 874-6502. Open 7am-Spm Mon-Fri.",,,,,,,1985,,8/8/2024 8:42am
Laverne's Diner,Restaurants,717 W Lake St,,Minneapolis,MN,,Tel. 823-0151. Good meeting place and gay owned.,*,Restaurants,,,,,1985,,8/8/2024 8:42am
Jakeeno's ,Restaurants,15th and LaSalle,checked,Minneapolis,MN,,"Tel. 871-5777 Open from 11am-late weekend hours, Excellent food.",*,Restaurants,,,,,1985,,8/8/2024 8:42am
Gem Coffee Shop,Restaurants,2827 1/2 Hennepin Ave South,,Minneapolis,MN,,Open from 5am(!)-closed Tuesdays.,*,Restaurants,,,,,1985,,8/8/2024 8:42am
Lez Date,Dating Services,PO Box 104011,,Minneapolis,MN,,55440,,,,,,,1985,,8/8/2024 8:42am
Alternative Choice Dating Service,Dating Services,920 Nicollet Ave,,Minneapolis,MN,,5402-Tel. (612)338-0606.,,,,,,,1985,,8/8/2024 8:42am
The Townhouse,Bars,1415 University Ave,,St. Paul,MN,,Tel.646-7755. Disco/restaurant/pool tables/drag shows.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Fresh Fruit Radio Show,Radio Program,,checked,Minneapolis/St Paul,MN,,FKAI 90 3 FM. Tel. 721-5011. Th. 6:30-7:30pm. ,,,,,,,1985,Amanda Regan,7/20/2025 4:41pm
Emerald City,Bars,722 Main Street,,Joplin,MO,,Tel. 623-9313. ,**,Religious Group,,,,,1985,Amanda Regan,7/20/2025 4:54pm
Birds Of A Feather ,Bars,2550 W 47th St.,,Kansas City,MO,, Tel. 722-9867 ,***,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 4:55pm
Changes,Bars,2813 Main Street,,Kansas City,MO,,Tel. 842-5140. ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:20pm
Gunter's,Restaurants,303 Westport Road,,Kansas City,MO,,Tel. 931-3044. European food. ,,,,,,,1985,Amanda Regan,7/20/2025 5:21pm
Trax,Bars,16 West 43rd St,,Kansas City,MO,,"Tel. 531-2210. Large M1V video screens, pool tables, club
type atmosphere downstairs, disco upstairs. ",**MGM,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:22pm
New Earth Books & Records ,Feminist Bookstore,2 W 39th St.;64111,,Kansas City,MO,,"Tel. 931-5794. Feminist/lesbian/gay & non-sexist children's titles. Posters, buttons, records,women's music, cards and gifts plus MAIL ORDER for lesbian books-free catalogue on request. GAIA'S GUIDE & GAY NEWS TELEGRAPH on sale. Bulletin board and referrals. Acknowledged local Info center. Your first stop In lesbian/feminist Kansls City. ",,,,,,,1985,Amanda Regan,7/20/2025 5:23pm
Fanny's,Bar/Restaurant,3954 Central,,Kansas City,MO,,"Gay only on Sundays from
8pm-midnight. ",**(**),"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:24pm
Gay Talk,Services,,checked,Kansas City,MO,,Tel. 931-4470 x,,,,,,,1985,Amanda Regan,7/20/2025 5:24pm
Metropolitan Community Church of Greater Kansas City,Religious Groups,4000 Harrison,,Kansas City,MO,,Tel. 931-0750. Services:Sun. 1:30pm & 7pm. First Sun. of each month: ,,,,,,,1985,Amanda Regan,7/20/2025 5:25pm
Rhine Castle,Bars,2813 Main St,,Kansas City,MO,, Tel. 842-5140 ,**MGM,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:25pm
The Arabian Nights,Bars,3314 Gilham Plaza,,Kansas City,MO,,Tel. 753-9804 ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:25pm
Billie Jeans,Bars,5012 Main St. ,,Kansas City,MO,,"Tel. 931-6131. Comfortable disco bar. Pool table.
Excellent music & friendly. Call for special events. ",****,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:25pm
Gay Organized Alliance For Liberation ,Group ,PO Box 2343,checked,Kansas City,MO,,Tel. 931-4470 ,,,,,,,1985,Amanda Regan,7/20/2025 5:27pm
Pegasus,Show-Bars,5024 Main,,Kansas City,MO,,Tel. 753-6504. ,**,"Bars, Clubs, Coffeehouses",,,,,1985,Amanda Regan,7/20/2025 5:27pm
Left Bank Books,Alternative Bookstore,399 North Euclid,,Saint Louis,MO,,"Tel. 367-6731. Gay and feminist books, they sell GAIA'S GUIDE. ",,,,,,,1985,Amanda Regan,7/20/2025 5:28pm
Kitty Cat Club,Bars,2800 California,,Saint Louis,MO,, Tel. 664-4078 ,****,Bar/Restaurant,,,,,1985,Amanda Regan,7/20/2025 5:28pm
Genesis II,Bars,4592 Manchester Road,,Saint Louis,MO,,Tel. 533-2703. Bar/disco. ,****,Bar/Restaurant,,,,,1985,Amanda Regan,7/20/2025 5:28pm
Llewellys Welsh Pub,Restaurants,4747 McPherson,,Saint Louis,MO,,"Tel. 361-3003. Very friendly place,
excellent food at reasonable prices. ",,,,,,,1985,Amanda Regan,7/20/2025 5:29pm
Gay Hotline,Services,"P.O. Box 23227, St. Louis, Mo; 63156. ",checked,Saint Louis,MO,,Tel. 367-0084. 7pm-10pm daily. ,,,,,,,1985,Amanda Regan,7/20/2025 5:30pm
Jan's Stowaway,Bar/Restaurant, 6913 South Broadway,,Saint Louis,MO,," Serving food 11am-midnight. Thursday
nights is women only. ",**,Bar/Restaurant,,,,,1985,Amanda Regan,7/20/2025 5:30pm
Zebra Lounge,Bars, 3230 Olive St,,Saint Louis,MO,,Tel. 535-1574. ,**,Bar/Restaurant,,,,,1985,Amanda Regan,7/20/2025 5:30pm
Alfonsi's Reading Room,General Bookstores,10 North Euclid,,Saint Louis,MO,,Tel. 361-3420. Feminist and gay titles. ,,,,,,,1985,Amanda Regan,7/20/2025 5:31pm
The Sunshine Inn,Restaurants,8 S Euclid,,Saint Louis,MO,,"Tel. 367-1413
Lunch/dinner/Sunday brunch. Natural and vegetarian cuisine. Closed Mondays.",,,,,,,1985,Amanda Regan,7/20/2025 5:31pm
Women's Eye Bookstore,Feminist Bookstore,554 Limit Ave,,Saint Louis,MO,,"Tel. 721-1616. Feminist/lesbian/gay
books. Library. Women's resource center. Records, buttons, posters, T shirts, jewlery,
pottery. They sell GAIA'S GUIDE. ",,,,,,,1985,Amanda Regan,7/20/2025 5:32pm
Moonstorm,Publications, 554 Limit Ave,,Saint Louis,MO,,"Tel. 721-1616. Lesbian feminist
newspaper. ",,,,,,,1985,Amanda Regan,7/20/2025 5:32pm
The Gay News Telegraph,Publications,"P.O. Box 14229-A,",checked,Saint Louis,MO,checked,Tel. (314) 361-0066. ,,,,,,,1985,Amanda Regan,7/20/2025 5:33pm
The Warehouse,Bars, 1130 East Chestnut Parkway,,Springfield,MO,,Tel. 831-7307. ,**,Bar/Restaurant,,,,,1985,Amanda Regan,7/20/2025 5:33pm
Avi's Lounge,Bars, 107 S 6th St.,,St Joseph ,MO,,Tel. 233-3084 ,**,,,,,,1985,Amanda Regan,7/20/2025 5:34pm
Mississippi Gay Alliance,Centers,236 1/2 West Capitol St,,Jackson,MS,,"Tel. 353.7611. SWITCHBOARD. Their interests are gay rights and discrimination. They issue statements to the media in response to current events. Television and talk-shows. lnfo & referrals. Very friendly, helpful people. Social and counseling activities. Membership is $15.00 p.a./newsletter $10.00 p.a. The Metropolitan Community Church meets there every Sunday at'l0am-more details from switchboard. Say 'hi' from GAIA.",***,Center,,,,,1985,Amanda Regan,7/20/2025 5:34pm
LAMBDA,A.A.,,checked,Jackson,MS,, Phone switchboard for info.,,,,,,,1985,Amanda Regan,7/20/2025 5:36pm
