title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Shot Tower,Bars,,4 N High St,,Baltimore,MD,Tel. 539-8942. ,***,"Bars, Clubs, Coffeehouses",,,,1979
"Zodiac, crn. of Eastern Avenue and Washington Street.",Bars,,,checked,Baltimore,MD,Tel. 327-9771. ,***,"Bars, Clubs, Coffeehouses",,,,1979
P.J.'s Place,Bars,,1024 E Baltimore St,,Baltimore,MD,Tel. 276-9032. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Frankie & Ronnie's,Bars,,2218 Boston St,,Baltimore,MD,Tel. 675-9597. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Club Mitchell ,Bars,,1003 E Pratt St,,Baltimore,MD,Tel. OR-5-9701. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Hippopotamus,Bars,,1 W Eager St,,Baltimore,MD,Tel. 547-0069,***,"Bars, Clubs, Coffeehouses",,,,1979
The 31st Street Shop ,Bars,,425 E 31 St,,Baltimore,MD,"21218. Tel. 245-3131. ""A good place to go when you first hit town."" They sell books, records, plants and even Gaia's Guide. ",,,,,,1979
Gay Switchboard,Service,,,checked,Columbia,MD,Tel. (301) 997-1593. ,,,,,,1979
Gay Women's Open House,Open House,,,checked,Gaithersburg,MD,Tel. (301) 977-1147. See 'Blade' of D.C. for current details. ,,,,,,1979
Gay Women's Open House,Open House,,,checked,Uxen Hill,MD,Tel. 248-8861. See 'Blade' of D.C. for current details. ,,,,,,1979
Gay Women's Open House,Open House,,,checked,Wheaton,MD,Tel. 942-7548 or 946-6512. See 'Blade' of D.C. for current details. ,,,,,,1979
Mainely Gay,Publications,checked,PO Box 4542,checked,Portland,ME,"04112. Tel. (207) 773-5530. Single copy: 50 cents. Annual Sub: $5.00 ($10 dor 1st class) -make checks payable to 'Mainely gay' or 'MGTF'). Mail all correspondence and subscriptions to above address. Events calendar, local news and contracts. ",,,,,,1979
Maine Gay Task Force (MGTF),Organization ,,PO Box 4542,checked,Portland,ME,"04112. Tel. (207) 773-5530. Their big newsletter: 'Mainely Gay', is $5.00 per year. ",***(**),Organizations,,,,1979
Flo's Tavern,Bars,,"Route 7, N Balfast Ave",checked,Augusta,ME,"04330. Tel. 622-4393. Open: Thurs, Fri & Sat. 7pm-1am; women's nite- every second Wednesday of the month, 7pm-1am. ""Nice atmosphere- customers generally very friendly. Women's nite has a good turnout. Juke box dancing, with large selection of disco, c&w and pop."" Pin ball. Very highly recommended. ",**(**),"Bars, Clubs, Coffeehouses",,,,1979
Women's Counseling Service,Counseling Service,,72 Front St,,Bath,ME,"04530. Tel. (207) 443-9531. Open: Mon & Wed. 11am-2pm; Thurs. 4-7pm; Sat. 10am-1pm. Counseling, therapy, referrals, workshops in assertiveness and Gestalt therapy techniques. ",,,,,,1979
Anabel's ,Bars,,13 Main St,,Ogunquit,ME,03907. Tel. (207) 646-8453. The Bar and Restaurant are open from June to Sept. Disco dancing from 10pm-1am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
The Tavern,Bars,,,checked,Ogunquit,ME,Agamenticus Rd Tel. 646-2272. Sundays only. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Anabel's Restaurant,Restaurants,,13 Main St,,Ogunquit,ME,"03907. Tel. (207) 646-8453. Open June-Sept. Brunch: 11:30am-2:30pm (except Mon & Tues); Dinner: 5pm-10pm nitely. ""Elegant atmosphere... aims for gay tourist clientele."" The Disco is ope from 10:30pm-1am nitely. ",,,,,,1979
Edelweiss,Restaurants,,,checked,Ogunquit,ME,downtown. Tel. 646-3976. open: 8pm-2am. Paino bar in the Lili Marlene lounge. ,,,,,,1979
The Fan Club,Restaurants,,Shore Rd,checked,Ogunquit,ME,"Shore Rd, Tel. (207) 646-9300. ",,,,,,1979
Fig O' My Heart,Restaurants,,33 N Main St,,Old Town,ME,"04468. Vegetarian. ""Great food!"" Lesbian-owned and operated. ",**,Restaurant,,,,1979
Luna Base One,Bars,,,checked,Orono,ME,"Park Street (on US Route 2, across from the north entrance to the Univ. of Maine). ",(**),"Bars, Clubs, Coffeehouses",,,,1979
Mainely Gay,Publications,,,checked,Portland,ME,(see 'Statewide' listing). ,,,,,,1979
Maine Gay Task Force (MGTF),Organization ,,,checked,Portland,ME,Their publ: 'Mainely Gay'. (See 'Statewide' listing),***(**),Organizations,,,,1979
Rolands,Bars,,413 a Cumberland Ave,,Portland,ME,Tel. 772-9159. Open: 1pm-1am. Dancing. Recommended. ,**,"Bars, Clubs, Coffeehouses",,,,1979
The Phoenix ,Bars,,83 Oak St,,Portland,ME,"Tel. 773-5695. Bar/Restaurant/Disco. First floor: Dining Room Lounge; Second Floor: Disco with four-layer dance floor; Third floor: Game Room with quiet atmosphere. ""Enjoy an entire evening among very special people.""",**,"Bars, Clubs, Coffeehouses",,,,1979
"Rook and Pawn, Forest Avenue",Bars,,,checked,Portland,ME,"""This is straight bar where lots of gay people go too. It's extremely comfortable for gay women, with a big dance floor and lots of table space. On Sundays, it's closed to the public but often used for gay benefits.""",*,"Bars, Clubs, Coffeehouses",,,,1979
Leaping Lesbian Newsletter,Publications,,PO Box 7715,checked,Ann Arbor,MI,"48107. Tel. (313) 763-4186 (leave message with Lesbian Advocate). 'The Leaping Lesbian is a monthly free newsletter aimed at the coverage of cultural events, discussion of ideas, political information, good writing. basically for the wimmin's community in and around Ann Arbor. Financial contributions requested especially if you live outside Ann Arbor or request closet wrapping.""",,,,,,1979
Gay Hotline,Organization and Service,,,checked,Ann Arbor,MI,"Tel. 662-1977, 24 hours",,,,,,1979
"Lesbian Advocate/Office of Human Sexuality/Office of Student Programs, University of Michigan",Organization and Service,,3404 Michigan Union,,Ann Arbor,MI,"530 South State Street; 48104. tel. (313) 763-4186 or 662-1977 (local hotline, 9-5pm daily and 24 hours when the group can afford the cell forwarding). ""the LA is funded 1/2 the time and provided with an office and small budget by the University of Michigan Office of Student Programs. our primary focus is serving the needs of lesbian students but we work closely with both the lesbian and feminist communities as well as with the gay male advocate and community. Our activities include work with lesbian students, peer counseling by phone or walk-in, referrals, education concerning gay issues and lifestyles and programming."" They publish a very handy newsletter and resource list, an events calendar and up-to-date media coverage. ",*****,Organizations,,,,1979
Gay Community Services,Organization and Service,,612 S Forest ,,Ann Arbor,MI,"Suite B; 48104. (Just off South University.) Tel. 665-8838. open daily: 7pm-11pm. Drop-in center, gay/feminist library, an archive and a Youth Liberation group. ",***(**),Organizations,,,,1979
The Rubaiyat,Bars,,102 S 1st St,,Ann Arbor,MI,(at Huron); 48108. Tel. (313) 663-2401. Disco. Restaurant. All women's nights. Opens at 9pm. Very highly recommended. ,***(**),"Bars, Clubs, Coffeehouses",,,,1979
The Rubaiyat,Bars,,102 S 1st St,,Ann Arbor,MI,(at Huron); 48108. Tel. (313) 663-2401. All-gay restaurant with disco dancing and women's nights. ,*(*),Restaurant,,,,1979
The Flame,Bars,,115 W Washington,,Ann Arbor,MI,Tel. 662-9680. Open: 6:30pm-2am. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Womanspace,Feminist Bookstore,,211 1/2 N 4th Ave,,Ann Arbor,MI,"48108. Upstairs. Tel. (313) 995-3400. Open: Mon-Thurs. noon-8pm; Fri & Sat. noon-5pm. ""We are a feminist bookstore and resource center, by for and about women. Also houses the Commonwoman Library and Art Gallery and meeting room drop-in-center. Womanspace originated in 1975 and has been owned and run by a collective of about 30 women. Come in and browse. Women and young people welcome.""",,,,,,1979
Lady Love,Bars,,5 W 7 Mile Rd,,Detroit,MI,"48203. ""Extremely pleasant interior, lots of plants and graphics. Small comfortable and very highly recommended."" New in may, 1978. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Gay Switchboard,Service,,,checked,Detroit,MI,"Tel. 5773450, Mon-Thurs 6pm-10pm; Fri & Sat 6pm-11pm. ""Volunteers needed.""",,,,,,1979
Amiga's,Bars,,19326 Conant,,Detroit,MI,Tel. 891-9719. Open: 6pm-2am. ,****,"Bars, Clubs, Coffeehouses",,,,1979
Casbah,Bars,,14701 Plymouth Rd,,Detroit,MI,"48227. Tel. 837-6379. Open: 7pm-2am. Very popular women's bar. Disco on Wednesdays, Fridays and Saturdays. Pool table and other games. very highly recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Gold Coast,Showbar,,2971 E 7 Mile Rd,,Detroit,MI,Tel. 891-9665. Open: 7pm-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
La Palais Bar,Bars,,655 Beaubien,,Detroit,MI,Tel. 964-8374. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Menjo's,Bars,,928 W McNichols,,Detroit,MI,Big disco. Recommended. ,**,"Bars, Clubs, Coffeehouses",,,,1979
My Fair Lady,Showbar,,Jefferson St,checked,Detroit,MI,Jefferson Street. Disco. 80% gay men. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
The Department Store,Bars,,2545 S Grand Traverse,,Flint,MI,"Tel. 233-4070 and 767-5610. ""A disco dancery.""",**,"Bars, Clubs, Coffeehouses",,,,1979
State Bar,Bars,,2515 S Dort Hiway,,Flint,MI,,**,"Bars, Clubs, Coffeehouses",,,,1979
Henry's Club Oasis,Bars,,408 S Center Rd,,Flint,MI,Tel. 233-4070. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Hershelf Wimmins Books & Crafts,Feminist Bookstore,,2 Highland,,Detroit,MI,"Highland Park; 48203. Tel. (313) 869-4045. Open: Wed-Sat. 2-7pm; Sun. noon-5pm. "" A collectively-run bookstore of books, posters, publications, records, buttons, t-shirts for and by women. Also, a resource file, newsletter and calendar of local events. Childcare provided for all work and events."" Lesbians are involved in the running of the store and they invite all lesbians to the events they sponsor. ",,,,,,1979
Knife and Fork,Bars,,187 Monroe Ave,,Grand Rapids,MI,N.W. Tel. 459-7201. Open: 10am-2am. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Smitty's ,Bars,,100 Washington,,Grand Rapids,MI,Unlisted telephone. Open: 10am-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Three Sons Plus One,Bars,,61 S Divison,,Grand Rapids,MI,49502. Tel. 454-5002. Open: 1:30pm-2am. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Carousel Lounge,Bars,,8 Ionia St,,Grand Rapids,MI,Tel. 454-2639. Open: 10am-2am. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Papa Joe's ,Bars,,43 S Division,,Grand Rapids,MI,49502. Tel. 458-2224. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Skiles Tavern ,Bars,,154 E 8th St,,Holland,MI,Tel. 396-7836. Open: 10am-2am. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Bill & Joe's Bar,Bars,,152 W Michigan Ave,,Jackson,MI,Tel. 784-9780. Open: 10am-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Joe Covello's ,Bars,,535 E Michigan Ave,,Lansing,MI,48933. Tel. 482-4557. Recommended.,**,"Bars, Clubs, Coffeehouses",,,,1979
Cafe Harmonie ,Restaurant,,,checked,Harmonie Park,MI,near the Artists' Market. European type cafe. Excellent food. ,MGM**,Restaurant,,,,1979
Lambda of Kalamazoo,Organization ,,PO Box 2213,checked,Kalamazoo,MI,"49003. Tel. (616) 344-7629, Switchboard. Their newsletter:'Lambda' - free. Regular meetings, political and social activities, counseling, referrals, speakers' bureau. ",*,Organizations,,,,1979
Trammpp's Disco,Bars,,523 E Michigan,,Lansing,MI,"Cover charge on weekends. D.J., disco music, ultra-modern, pool tables and a piano bar as well. ""Thursday nite is your nite."" Recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Bonnie & Clyde's,Bars,,316 E Michigan,,Lansing,MI,Tel. 371-4500. Open: 10am-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Womanself Bookstore,Feminist Bookstore,,220 M.A.C.,checked,Lansing,MI,"University Mall, 220 M.A.C.; 48823. Tel. (517) 337-2404. ""We offer a large and constantly growing selection of lesbian and feminist books, non-sexist children's titles and used are rare women's books at low prices. Also, lesbian and feminist periodicals, posters, jewelry, buttons, bumperstickers, cards. Bulletin board of women's events. Free herb tea served daily. A warm, friendly space for women and children and a good place to find out about women's resources in the mid-Michigan area. We sell Gaia's Guide.""",,,,,,1979
Crow Bar,Bars,,16 S Gratroit Ave,,Mt Clemens,MI,Tel. 463-3079. Not recommended. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Bar 69,Bars,,69 Macomb St,,Mt Clemens,MI,Tel. HO3-0401. Open: 10am-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Sambo's ,Bars,,,checked,Muskegon,MI,Hoyt (at Seaway Drive). No phone. Bar and restaurant. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Thurman's Restaurant & Bar,Restaurant/bar,,224 W Kalamazoo Ave,,Kalamazoo,MI,"Tel. 349-6919. ""Gay after 9pm-best night is Thursday.""",*,Restaurant,,,,1979
Liberty Lounge,Bars,,85 N Saginaw,,Pontiac,MI,Tel. 332-9544. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Tassi's ,Bars,,125 E Huron St,,Pontiac,MI,Unlisted phone. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Three Hundred Lounge,Bars,,100 S Cass Lake Rd,,Pontiac,MI,Tel. 682-6300. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
The Eagle's Nest,Bars,,3236 Hoyt St,,Muskegon,MI,Tel. 739-8654. Open: 7pm-2am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Sundowners,Bars,,125 E Huron St,,Pontiac,MI,,*,"Bars, Clubs, Coffeehouses",,,,1979
Club Jules,Bars,,907 Janes,,Saginaw,MI,Unlisted phone. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Dutch's Bar,Bars,,1742 E Genesse Ave,,Saginaw,MI,48601. Tel. 752-9179. Open: 10am-2am. Impersonator shows on Fridays and Saturdays. Food. Minimum entrance: $2.00(?). ,**,"Bars, Clubs, Coffeehouses",,,,1979
Red Fox ,Bars,,1026 N Military,,Port Huron,MI,Tel. 982-0141. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Saugatuck Lodges,Hotel/Resort/Disco,,69 Fire Island Dr,,Saugatuck,MI,"49453. Tel. (616) 857-4269. Gay resort near the Sand Dunes, with swimming, dancing, good food, golf, bowling. Lodge, campgrounds and trailer hook-up accommodation. ""Gay resort for gay men and women. We have a separate lesbian planned activities, contests, etc. Also nude beach."" Highly recommended.",,,,,,1979
Sgro's Lounge,Bars,,N Shore Dr,,Saugatuck,MI,Tel. 637-6100. Open: 2pm-2am. ,*,"Bars, Clubs, Coffeehouses",,,,1979
The Flap Jack Shack,Restaurant,,1209 E Front St,,Traverse,MI,"""Frequented by lesbian women in the area."" Recommended. ",*,Restaurant,,,,1979
The Cabaret,Bars,,,checked,Traverse,MI,"""They don't call it a gay bar, but lesbians do go there.""",*,"Bars, Clubs, Coffeehouses",,,,1979
Elephant Disco,Bars,,115 E Long Lake Rd,,Troy,MI,Tel. 879-6810. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Wagon Wheel,Bars,,2950 Rochester Rd,,Troy,MI,Tel. 689-8194. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Flame Number One,Bars,,3364 Rochester Rd,,Troy,MI,Tel. 689-3075. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Mariavite Old Catholic Church ,Religious Groups,,2803 Tenth St,,Wyandotte,MI,"Province of North America, 2803 Tenth Street; 48192. Tel. 284-5096. Administrative Center Office open Monday thru Friday: 1pm-5pm & 7pm-9pm; Sunday Mass: 9, 10, & 11 am. Daily masses announced. Baptisms, confessions, religious instructions, etc. by appointment. All denominations welcome. Potential candidates for priesthood, religious brothers and nuns considered. ",,,,,,1979
Hitching Post,Bars,,209 W Portage,,Saulte Ste. Marie,MI,Tel. 632-3881. ,**,"Bars, Clubs, Coffeehouses",,,,1979
"Gay Community Services, Inc",Organization and Service,,2855 S Park Ave,,Minneapolis,MN,"55407. Tel. (612) 827-2821, Switchboard, Mon-Fri. 9am-10pm. ""Counseling services for any member of affectional preference minorities and their family and friends-information and referral on resources in Minneapolis and St. Paul. Support and rap groups and individual counseling.""",***,Organizations,checked,,,1979
A Woman's Coffeehouse,Coffeehouse,,1 Groveland ,,Minneapolis,MN,"(On Saturdays, entertainment from 9-10pm, dancing afterwards. Sunday evenings are quiet evenings for educational, cultural and women's art presentations. Very popular. We served only baked goods, coffee, tea, pop, cider."" Pool table, pin ball, ping pong. Very highly recommended. ",(****),"Bars, Clubs, Coffeehouses",,,,1979
So's Your Old Lady,Publications,,3149 Fremont Ave,,Minneapolis,MN,"S; 55408. A lesbian/feminist journal. Subscription: 6 issues $6.00, individual $1.00 (out of state: $7.50; $1.25). Bulk rates upon request. ",,,,,,1979
"Lesbian Resource Center, Inc",Organization and Service,,2104 Stevens Ave,,Minneapolis,MN,"S; 55404. Tel. (612) 871-2601, Switchboard between noon and 8pm. Official hours of the Center are noon-8pm though quite often they go outside these. ""We are mainly a social service and resource agency."" Their publ: 'Le'sbeinformed', monthly. And at the same address: (1) Lesbian Feminist Organizing Committee. Tel. (612) 870-8515. Mainly a political/educational organization. Newsletter. (2) The Lesbian Consortium - local lesbian organization agencies and services. (3) Lesbian Mothers' Union. ",*****,Organizations,,,,1979
Amazon Bookstore,Bookstores,,2607 Hennepin Ave,,Minneapolis,MN,"55408. Tel. 374-5507. Hours: Mon-Fri. noon-8pm; Sat. noon-6pm. A feminist bookstore, carrying a wide variety of titles, including much lesbian material. Also, records, posters, woman-crafted jewelry and art prints. Lending library. ",,,,,,1979
The Travel Company,Travel Agency,,2829 University Ave,,Minneapolis,MN,"S.E.; 55414. Tel. (612) 339-900. ""We are a gay-owned travel agency offering travel services to the gay community (men and women) as well as to other members of the community."" ",,,,,,1979
Savrans,Bookstores,,301 Cedar Ave,,Minneapolis,MN,Tel. (612) 333-0098. Feminist/lesbian/gay health titles. ,,,,,,1979
Foxy's ,Bars,,249 W 7th,,St. Paul,MN,55104. Tel. 646-7087. Recommended. ,****,"Bars, Clubs, Coffeehouses",,,,1979
The Townhouse,Bars,,1415 University Ave,,St. Paul,MN,"55104. Tel. (612) 646-7087. Open: Mon-Sat. 11am-1am. Sun. noon-midnight. Disco on Wednesdays and weekends (private room). ""Cheapy nite on Wednesday from 9pm-1am."" Snacks served, entertainment, pin ball. Very highly recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Pride Community Center,Center,,207 W 4th St,,Joplin,MO,"64801. Switchboard Gay Line: 781-9494, 7-11pm. Their newsletter: 'Pride Guide'- calendar of events and local news. ",***,Center,,,,1979
The Woman's Place,Feminist Bookstore ,,225 N 9th St,,Columbia,MO,"65201. Tel. (314) 442-3212. ""All types of women's books and publications, albums (Olivia, etc.) complete feminist book stock. We also have a Sisterhood Support Network, CR groups, referrals and a community information board. We are a non-profit organization, run by volunteers.""",,,,,,1979
Opal's Play Mor,Bars,,418 Joplin St,,Joplin,MO,,**,"Bars, Clubs, Coffeehouses",,,,1979
Gay Liberation,Group,,200 Read Hall,,Columbia,MO,Unv. of Missouri 65211. ,*,Organizations,,,,1979
Gay Community Service,Service,,PO Box 703,,Kansas City,MO,"64141. Tel. 921-4419 (Gay Talk Phone service), Thurs. Fri & Sat. 8pm-3am. ",,,,,,1979
Club La Vie,Bars,,722 Main St,,Joplin,MO,Tel. 632-9313. Open: 10am-1:30am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Helton's ,Bars,,600 Joplin St,,Joplin,MO,Tel. 632-9238. Open: 10am-1:30am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Sappho's ,Bars,,1014 Oak St,,Kansas City,MO,Tel. 421-8895. Open: 4pm-1:30am. Very highly recommended. ,*****,"Bars, Clubs, Coffeehouses",,,,1979
Red Head,Bars,,4048 Broadway,,Kansas City,MO,Tel. 531-3393. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Dover Fox ,Bars,,4334 Main St,,Kansas City,MO,Tel. 753-9777. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Windjammer,Bars,,1822 Main St,,Kansas City,MO,Tel. 471-9449. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Oasis ,Bars,,3314 Gillham Plaza,,Kansas City,MO,"(above ""The Tent""). Tel. 578-4318. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Jewel Box,Bars,,3110 Main St,,Kansas City,MO,Tel. 561-2905. Open: 6pm-1:30am. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Jeremy's ,Bars,,3726 Broadway,,Kansas City,MO,Tel. 531-9895. Open: 4pm-1:30am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Westport Bookstore,Bookstores,,14 Westport Rd,,Kansas City,MO,Tel. 931-9822. Open: 11am-5:30pm. Gay titles for women and men. ,,,,,,1979
Time To Read Bookstore,Bookstores,,7 W 12th St,,Kansas City,MO,Tel. 471-0868. Open: 10am-10pm. Gay titles for women and men. ,,,,,,1979
Corby Inn,Bars,,5th and Felix,checked,St. Joseph,MO,5th and Felix. Tel. 364-9161. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Gay Crisis Intervention Hotline,Hotlines,,,checked,St. Louis,MO,"Tel. (314) 367-0084. Monday to Friday, 6-11pm; Sat & Sun. noon-6pm",,,,,,1979
"Gay Resource, Referral and Information Hotline",Hotlines,,,checked,St. Louis,MO,"Tel. (314) 367-0447. Monday to Friday, 3-11pm; Sat & Sun noon-6pm. ",,,,,,1979
New Earth Bookstore,Bookstores,,24 E 39th St,,Kansas City,MO,"""We are a feminist bookstore that is committed to providing our community with alternative options for the whole person. We have the largest selection of lesbian and gay books and periodicals in the Kansas City area as well as an extensive selection of feminist books, records, jewelry and posters. 24 East 39th St; 64111. Tel. 931-5794.",,,,,,1979
Gay Hotline,Hotlines,,,checked,St. Louis,MO,"Tel. 367-0084, Mon-fri: 6-11pm. Sat & Sun: noon-6pm.",,,,,,1979
Midcontinent Life Services Corporation,Centers,,10 S Euclid Ave,,St. Louis,MO,"Suite 203; 63108. Tel. (314) 367-0492. Open: Monday to Friday 9am-5pm. Tel. (314) 367-0084- Gay Hotline Crisis Intervention Program; (314) 367-0047- Referral and Information Hotline (see Hotline listing). ""MLSC is not-for-profit gay social service agency. We are fully recognized by the city, state and federal governments and are a recognized tax-expempt agency as well as tax-deductible. Activities include emergency housing, legislative education, crisis intervention phone service, resource and referral phone service, mid-west information clearinghouse, legal resources, publisher of various publications ('Prime Time'), media watchdog, etc..."" ",***,Center,,,,1979
Middle Of The Road,Bars,,1077 S Newstead,,St. Louis,MO,"Tel. (314) 652-4438. Open: Mon-Fri. 4pm-1:30am; Sat. noon-1:30am; closed Sundays. Private club. (""We've been open for almost two years."") Feminist bar, feminist atmosphere. Sandwiches, dancing, pool table, occasional women's entertainment. Highly recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Potpourri,Bars,,4755 McPherson,,St. Louis,MO,"(at Euclid). Tel. (314) 361-9203. (downstairs from ""The Bottom of the Pot"") Recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Kitty kat Klub,Bars,,California and Magnolia,checked,St. Louis,MO,Corner of California and Magnolia. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Herbie's ,Bars,,1 Maryland Plaza,,St. Louis,MO,"Tel. (314) 771-4100. Restaurant, bar and disco. ""Extremely popular, with attractive deco and live plants. Good dance floor above the bar. Membership cards are free."" Open: 4:30pm-1:30am. ",***,"Bars, Clubs, Coffeehouses",,,,1979
Betty and Sandy's Place,Bars,,2258 California,,St. Louis,MO,2258 California at Shenandoah. open: 4pm-1:30am. ,****,"Bars, Clubs, Coffeehouses",,,,1979
Balaban's,Bars,,405 N 6th St,,St. Louis,MO,"Tel. 361-9071, Open: 10am-10pm. Restaurant and Bar. ",***,"Bars, Clubs, Coffeehouses",,,,1979
Charlie's,Bars,,719 N 6th St,,St. Louis,MO,Tel. 621-9614. Open: 4pm-1:30am. Mostly gay men. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Club 115,Bars,,115 N 9th St,,St. Louis,MO,Unlisted phone. Open: 4pm-1:30am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Golden Gate Bar,Bars,,3542 Olive St,,St. Louis,MO,3542 Olive Street. Tel. 371-6510. Open: 4pm-1:30am. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Martin's,Bars,,201 S 20th St,,St. Louis,MO,Tel. 421-3242. Open: 9:30pm-1:30am. Disco. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Faces,Showbar,,,checked,St. Louis,MO,"enquire locally, 200-seat show bar. Huge disco on another level. Private bar for women only. Big name live entertainment. Opened in September 1977. Highly recommended. ",**(**),"Bars, Clubs, Coffeehouses",,,,1979
City Cousin Restaurant,Restaurants,,4111 Lindell,,St. Louis,MO,"63108. Tel. (314) 535-2465. Open: Sun, Tues, Wed & Thurs. 6pm-10pm; Fri. 6pm-11pm; Sat. 6pm-midnight; closed Mondays. ""Country-style French cooking- dinners range from $6.50-$9.00 including salad, potato or veg. Comfortable atmosphere. Fabric and plant decor."" Highly recommended. ",*,Restaurant,,,,1979
Jefferson Avenue Boarding House,Restaurants,,3265 S Jefferson,,St. Louis,MO,"Tel. 771-4100.""... very unusual restaurant...""",*,Restaurant,,,,1979
Llewellyn's Welsh Pub,Restaurants,,4747 McPherson,,St. Louis,MO,Tel. 361-3003. Bohemian atmosphere. ,*,Restaurant,,,,1979
Balaban's,Restaurants,,405 N Euclid,,St. Louis,MO,(just north of McPherson). Tel. 361-9071. Lunches and evening meals. french food. ,*,Restaurant,,,,1979
Herbie's ,Restaurants,,1 Maryland Plaza,,St. Louis,MO,"Tel. (314) 771-4100. ""Sensational food and great service.""",*,Restaurant,,,,1979
Snack Bar & Activity Center,Snack Bar,,4940 McPherson,,St. Louis,MO,63108. Open: Friday 7-11pm; Saturday 4:30-11pm; Sunday 7pm-11pm for the Sunday evening get-togethers. Pool tables and pin ball. ,**,Restaurant,,,,1979
The Woman's Eye,Bookstores,,6344 S Rosebury,,St. Louis,MO,63105. Tel. (314) 721-1616. Feminist bookstore and library. Women's resource center. ,,,,,,1979
Left Bank Books,Bookstores,,399 N Euclid,,St. Louis,MO,"63108. Tel. (314) 367-6371. Gay books, feminist books and Gaia's Guide. Open: Monday 10am-6pm; Tuesday thru Saturday 10am-10pm. ",,,,,,1979
Olive Street News,Bookstores,,3608 Olive,,St. Louis,MO,Tel. 371-1330. Open: 11am-6pm. Gay titles for men and women.,,,,,,1979
Women's Center,Centers,,933 St. Louis,,Springfield,MO,65804. ,****,Center,,,,1979
The Galaxy,Bars,,300 College,,Springfield,MO,"65804. Tel. (417) 866-8826. Lots of gay women and the outlook is feminist.""... avoid the three times yearly drag shows..."" Highly recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Vincent's ,Bars,,211 E Pershing,,Springfield,MO,"65804. Tel. (417) 866-8738. Mostly gay men, theatrical types, also gay and straight women. Nice decor. Recommended. ",MGM**,"Bars, Clubs, Coffeehouses",,,,1979
Dillinger's ,Bars,,2309 25th Ave,,Gulfport,MS,(Hiway 49). ,***(?),"Bars, Clubs, Coffeehouses",,,,1979
Casa Blanca,Showbar,,220 Harrison Ave,,Biloxi,MS,Tel. (601) 388-9844. Disco and entertainment. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Jackson Women's Coalition,Organization and Service,,PO Box 3234,checked,Jackson,MS,"39207. Study groups, discussions and regular meetings. Gay women most welcome. ",**(?),Organizations,,,,1979
