title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
The Zoo,Bars,906 Portage St,,,Kalamazoo,MI,Tel. 342-8888. Not recommended. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Shafer Mansion,Guest Houses,907 14th Ave,,,Seattle,WA,"East, 98102; Tel. 329-4628. ",,,,,,1991
Big Ruby's ,Hotels/Motels/Guest Houses Etc.,908 NE 15th Ave,,,Fort Lauderdale,FL,33304; Tel. 523-RUBY (7829). ,,,,,,1991
Van Gogh's Ear,Alternative Bookstore,909 Bourbon St,,,New Orleans,LA,"(near Dumaine), 70116; Tel. 524-5233. Books/cards/gifts. ",,,,,,1991
Coachman Lounge,Bars,911 E Main St,,,Richmond,IN,Tel. 966-2835. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Women's Health Services,Health Centers/Services/Medical Practitioner And Counselors/Therapists,911 State St,,,New Haven,CT,Tel. 789-1272. Lesbian Alcoholics Anonymous meets there every Friday evening at 7:30pm. ,,,,,,1991
Club Connections,Bars,913 N Claiborne,,,New Orleans,LA,Tel. 822-4402. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Golden Thread Booksellers,Feminist Bookstore,915 State St,,,New Haven,CT,"06511: Tel. 777-7807. Fiction/theory/history and biography/poetry/health/spirituality/Third World and jewish Studies/Lesbian and gay studies & much, much more + records and tapes/unusual cards. They sell GAIA'S GUIDE and are a great source of further local information - They carry: the New England Community Guide, the Women's Center Monthly Calendar, the local lesbian newsletter & 'any other lesbian calendars we can get' (Wish they'd sell them to me). Say 'hi' from GAIA. ",,,checked,,,1991
Skylark,Bars,917 Inland Center Dr,,,San Bernardino,CA,Tel. 885-9151. Three bars and one is for women only. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Imprints Bookstore,Feminist Bookstore,917 N 2nd ,,,Tacoma,WA,"98403; Tel. 383-6322. Lesbian titles/women's studies/music/jewelry/posters/non-sexist children's books. Ticket sales. MAIL ORDER SERVICE, bulletin board and local information. They sell GAIA'S GUIDE, be sure and say 'hi' from GAIA. ",,,,,,1991
Blue Goose,Bars,919 E Paisano,,,El Paso,TX,,**,"Bars, Clubs, Coffeehouses",,,,1991
Ellie's Deli,Restaurants,922 State St,,,New Haven,CT,"Tel. 776-2611. Breakfast, lunch and dinner. ",,,,,,1991
Blue Lagoon,Bars,923 Pacific Ave,,,Santa Cruz,CA,Tel. 423-7117. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Beebo's Used Books,Bookstores,925 Spruce St,,,Louisville,CO,"80027. Tel. 666-4919. General used bookstore with lots of lesbian titles/women's studies/T-shirts & jewelry. Ticket sales; MAIL ORDER SERVICE; bulletin board; & local information center. Free publications for your further information about the local lesbian scene: Women's Yellow Pages, levender pages. They feature new books by special order, also used and out of print books. Search service. Say 'hi' from GAIA. ",,,,,,1991
Details,Bars,928 E. Broadway,,,Louisville,KY,40204; Tel. 584-9235. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Dignity,Religious Groups,928 Gordon St,,,Atlanta,GA,SW/at Ashby. Tel. 874-1694. ,,,,,,1991
Meristem,Feminist Bookstore,930 S Cooper St,,,Memphis,TN,38104. ,,,,,,1991
People's Bar,Bars,934 S Le May Ave,,,Cheyenne,WY,"(née Sagebrush), Fort Collins, County; Tel. (303) 493-0251. Located 40 miles south of Cheyenne. ",**,"Bars, Clubs, Coffeehouses",,,,1991
People's Bar,Bars,934 S LeMay,,,Fort Collins,CO,"Tel. 493-0251. Full liquor license, disco and patio. they serve good food and are friendly people. Be sure and say 'hi' from GAIA. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Charlene's,Women's Show Bar,940 Elysian Fields Ave,,,New Orleans,LA,"Tel. 945-9328. Dance bar/show bar-the very best in women's entertainment, community benefits, pool tables. Private club. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Corner Pocket,Bars,940 St Louis,,,New Orleans,LA,Tel. 568-9829. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Michigan Organization For Human Rights,Political Group,940 W McNichols Rd,,,Detroit,MI,Tel. 863-7255. ,*,Group,,,,1991
Chosen Books,Gay/Lesbian Bookstores,940 W McNichols Rd,,,Detroit,MI,"48203; Tel. 864-0485. AS well as lesbian titles, women's studies, etc. they have music. Local periodicals include: METRA, NEW DIRECTIONS FOR WOMEN, etc. Ticket sales for local events. They sell GAIA'S GUIDE, be sure and say 'hi' from GAIA. ",,,,,,1991
The Phoenix,Other Bars--Mostly Gay Men & Mixed Clientel,941 Elysian Fields Ave,,,New Orleans,LA,Tel. 945-9264. ,**,"Bars, Clubs, Coffeehouses",,,,1991
His'N'Hers ,Restaurants,944 W Addison,,,Chicago,IL,Tel. 935-1210. Live entertainment and good food. ,**,Restaurants,,,,1991
The Glass House,Bars,950 W McNichols Rd,,,Detroit,MI,Tel. 342-4941. Open: 11am-2am. No cover charge. Food available. ,***,"Bars, Clubs, Coffeehouses",,,,1991
Billy's ,Bars,955 Valley Rd,,,Clifton,NJ,"(née Bums Country Inn), right off Route 46 n Clifton, on the Montclaire Line; Tel. 783-1026. All Lesbian Bar/Disco. Definitely your best bet in the area (Telephones on the tables!). ",****,"Bars, Clubs, Coffeehouses",,,,1991
Page One- Books by and for Women,Feminist Bookstore,966 N Lake Ave,,,Pasadena,CA,"91104; Tel. (818) 798-8694. Lesbian titles and women's studies/music/T-shirts/jewelry/non-sexist children's books. + Ticket sales + bulletin board. Acknowledged local information center. Newspaper and magazines, including, for your further local information center. Newspapers and magazines, including, for your further local information: Lesbian News/The News/Southern California Women for Understanding Newsletter/Community Yellow Pages (free!)- they carry GAIA'S GUIDE and great reports about this very special place come in from all over the world. Say 'hi' from GAIA. ",,,,,,1991
Modern Times Bookstore,Feminist Bookstore,968 Valenica St,,,San Francisco,CA,"94110; Tel. 282-9246. Huge variety of lesbian titles, plus women's studies, music, posters, non-sexist children's books, GAIA'S GUIDE and much, much more. Also, ticket sales/MAIL ORDER SERVICE/bulletin board/local information. They have 'too many publications of interest to be the lesbian/feminist to list here, 'Bay Times/Sentinel, etc. Open: Monday-Saturday, 11am-6:30/Sundays, 11am-5pm. Say 'hi' from GAIA. ",,,,,,1991
Grand Books,Bookstores,970 W Broadway,,,Jackson,WY,"Write: Box 7423, 83001; Tel. 733-1687. 'We have our lesbian and gay titles in the closet'- our back room-a very extensive collection. Also women's studies & great books for children. 'We have contacts and we do networking with other cities in Wyoming. We are four lesbians and partners. 'They sell GAIA'S GUIDE, have a bulletin board and mail order service, but can offer no lesbian or feminist publications for Wyoming. I think it would be great to visit them, if you do, be sure and say 'hi' from GAIA to these great, adventurous new women. ",,,,,,1991
Our Paper,Information Services and Groups,973 Park Ave,,checked,San Jose,CA,95126; Tel. 286-2670 (News Office). ,,,,,,1991
Metropolitan Community Church,Religious Groups,980 Clarkson,,,Denver,CO,Tel. 860-1819. Bingo every Friday night.,,,,,,1991
Sea Kindly,Sea Charters,999 First Coast Highway,,,Fernandina Beach,FL,"West, Box 10, 32034; Tel. 227-3826/378-8360, Women only sea charters. ",,,,,,1991
National Organisation For Women/Lesbian Rights,National Organisation For Women,1000 16th St,,,Washington,DC,"NW (suite 700), 20036-5705; Tel. (202) 331-0066. ",,,,,,1991
Mayas Tacqueria,Restaurants,1000 SW Morrison,,,Portland,OR,"(at 10th); Tel. 226-1946. Open: 11am-10pm & Sunday, 12noon-6pm. ",,,,,,1991
My Place Lounge,Bars,1001 1st Ave,,,Fargo,ND,(at 10th Street South & First Ave.) Tel. 280-2192; Clientele: 50% women. Dancing/good food/ pool tables/drag shows/special women's entertainment nights. Open: 2pm-1am. Be sure and say 'hi' from GAIA. ,**(**),"Bars, Clubs, Coffeehouses",,,,1991
Club Mitchell,Bars,1003 E Pratt St,,,Baltimore,MD,Tel. 276-9586. Disco. 99% women and 'very lively'. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Gertrude Stien Memorial Bookstore,Feminist Bookstore,1003 East Carson St,,,Pittsburgh,PA,"(Southside); Tel. 481-9666. Open: Friday, 4-8pm/Saturday & Sunday, noon-6pm. ",,,,,,1991
Womancrafts West ,Women's Gallery/Shoppe,1007 1/2 Valencia St,,,San Francisco,CA,"94110; Tel. 648-2020. Collectable women's art. These are their hours of opening: Tuesday-Sunday: 11am-6pm/Thursday, till 8pm. Closed on Mondays. Say 'hi' from GAIA. This must be the ultimate, 'most interesting tribute to women's art imaginable'. Loads of letter recommending, every year. ",,,,,,1991
Gay/Lesbian Capitol Political Action Committee(CAPPAC),Activist Groups,1008 10th St,,,Sacramento,CA,Tel. 736-2722 (Suite 225). ,,,,,,1991
The Paddock,Bars,1008 B Dickenson Ave,,,Greenville,NC,Tel. 758-0990. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Old Wives Tales,Feminist Bookstore,1009 Valencia St,,,San Francisco,CA,"94110; Tel. 821-4676 or 821-4675/Recording. 'We are a women's bookstore with books for and about old, young, feminist, lesbian, working-class, women of color and women in recovery. We carry children's books exploring non-sexist frontiers and bilingual books; And we publish a monthly calendar of events and new books. Visa and Mastercard. SEND FOR OUR NEW CATALOGUE- We Mail Anywhere!. They even sell GAIA' GUIDE. Say 'hi' from GAIA when visiting this friendliest of feminist bookstores. Open: Monday-Friday, 11am-7pm/Thursday, 11am-9pm/Saturday and Sunday, 11am-6pm. ",,,,,,1991
Kepler's Books and Magazines,Other Bookstores,1010 El Camino Real,,,Menlo Park,CA,"94025; Tel. (415) 324-4321. A general bookstore with a truly impressive stock of lesbian titles and women's studies. A mind-blowing assortment of feminist newspapers and magazines + local gay papers, women's yellow pages for several regions, all the major lesbian and gay guide books, including GAIA'S GUIDE. MAIL ORDER SERVICE + bulletin board for local information. Say 'hi' from GAIA. ",,,,,,1991
Encore,Bars,1011 Arnold St,,,Greensboro,NC,Tel. 272-9320. ,,,,,,1991
The New Cafe Sbisa,Other Bars--Mostly Gay Men & Mixed Clientel,1011 Decatur,,,New Orleans,LA,Tel. 561-8354. Restaurant/bar/half-shell bar. ,*,"Bars, Clubs, Coffeehouses",,,,1991
Liberty Books,Feminist Bookstores,1014 B N Lamar,,,Austin,TX,at Eleventh; Tel. 495-9737. Hundreds of titles for lesbians/a wide variety of novels/herstories/psychology & self-improvement/fine erotics/T-shirts.cards/periodicals & more. Open: Noon till 6pm on Sundays. ,,,,,,1991
Connexxus Women's Center/Centro de Mujeres,Centers,1017 N La Cienega Blvd. ,,,West Hollywood,CA,"Tel. (213) 652-3894. Drop in space + referral services. Newsletter and many, many lesbian activities and groups. Raps/dances/concerts/workshops/seminars/a job board/roomate/housing listings/ a community calendar/business and services information/counselling at low fee/sliding scale. Good reports, too. Say 'hi' from GAIA. ",****(*),Centers,,,,1991
Southern California Women For Understanding (SCWU),Groups & Organizations,1017 N. La Cienega Blvd,,,West Hollywood,CA,"Suite 106, 90069. Tel. (213) 657-1115. Write for membership details and/or further information. Many Chapter/Area Affiliations. 15 years old!",,,,,,1991
Engine Room ,Bars,1020 S 4th St,,,St Petersburg,FL,Tel. 894-8184. Dance bar. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1991
Wildrose Tavern,Bar/Restaurant,1021 E Pike ,,,Seattle,WA,"98122; Tel. 324-9210. VERY highly recommended tavern-restaurant with dancing/entertainment (women's music, jazz, comedy, erotica). Regular Saturday night shows) & excellent food. Pool tables & no-smoking areas. GOOD reports; say 'hi' from GAIA. Open: Monday-Thursday, 11am-midnight/Fridays, 11am-2am/Saturdays, 11am-midnight/Sundays, 11am-11pm. beer and wine only. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Womanspace,Women's Center,1021 Euclid Ave,,,Cleveland,OH,44115; Tel. 696-3100. ,****(*),Centers,,,,1991
Discovery III,Bars,1021 Jessie Rd,,,Little Rock,AR,"Write: PO Box 4699, 72204; Tel. 664-4784. A private club, all lesbian/gay and welcoming non-members who have a a copy of GAIA'S GUIDE(+ admission charge, if any). Their women's entertainment nights are very, very highly recommended, say 'hi' from GAIA. Open seven days a week/7pm-2am/5am. ",**(**),"Bars, Clubs, Coffeehouses",,,,1991
Tap Room,Bars,1022 Quarrier St,,,Charleston,WV,,**,"Bars, Clubs, Coffeehouses",,,,1991
A Different Drummer Bookshoppe,Feminist/Lesbian Bookstore,1027 N Coast Highway,,,Laguna Beach,CA,Suite A- 92651; Tel. 497-6699. A feminist/lesbian bookstore with a strong gay section. Also excellent new age psychology/spirituality/and health section. Lesbian and gay music/women's music/buttons/posters/T-shirts. Free literature and bulletin board for events. Author's nights/poetry readings and discussions. 'We carry GAIA'S GUIDE'... be sure and say 'hi' from GAIA. Acknowledged local meeting place and information center. your best bet as a first stop in Laguna Beach. ,,,,,,1991
Roy's Green Parrot,Bars,1030 E Main St,,,Lakeland,FL,Tel. 683-2431.,**,"Bars, Clubs, Coffeehouses",,,,1991
Slabtown,Womens' Bar,1033 NW 16th,,,Eugene,OR,between Lovejoy & Marshall. Eugene's newest women's bar. Let us know what it's like... ,****,"Bars, Clubs, Coffeehouses",,,,1991
Larkin Street Youth Center,Victim / Emergency Services,1040 Larkin St,,,San Francisco,CA,Tel. 673-0911. Center for homeless young people; focus on street youth. All women welcome. ,,,,,,1991
Go-Go Club,Bars,1077 Duncan Ave,,,Chatanooga,TN,Tel. 698-1023. ,**,"Bars, Clubs, Coffeehouses",,,,1991
1099 Club,Bars,1099 S Virginia St,,,Reno,NV,Tel. 323-7825. ,MGM**,"Bars, Clubs, Coffeehouses",,,,1991
Alan Gold's ,Bar/Restaurant,1100 Mc Callie Ave,,,Chatanooga,TN,"37404. Write: PO Box 1093, 37401; Tel. 629-8080. Lesbian/Gay bar and restaurant. Dancing, live entertainment, women entertainers. Open: daily 5pm-3am. TV lounge, patio, pool table, great deli sandwiches. Say 'hi' from GAIA. ",**,Bar / Restaurants,,,,1991
Iris Books,Feminist Bookstore,1100 N Main St,,,Dayton,OH,"Women's Bookstore and Resource Center, 1100 North Main Street. 45405; Tel. 228-1534. Well stocked with lots of lesbian titles/women's studies/sexual politics/non-sexist children's literature/women's music/jewelry/buttons/T-shirts/ + they have a feminist art gallery/reading tables/tea and coffee. they have their own newsletter which announces the social and political events held at and sponsored by IRIS, including their women-only dances. They sell GAIA'S GUIDE and are goin' strong! Say 'hi' from GAIA. Store hours: 3pm-7pm, Tuesday-Friday & noon-6pm, Saturday & Sunday. ",,,,,,1991
The Alternative,Bars,1100 S 1st Stm,,,Milwaukee,WI,Tel. 647-9950. ,***,"Bars, Clubs, Coffeehouses",,,,1991
Allegro,Bars,1101 Cathedral ,,,Baltimore,MD,"Tel. 837-3909. Dance bar. Open: 4pm-2am, 7 days a week. WOMEN'S night- Thursday-is HIGHLY recommended. Piano bar. ",**(**),"Bars, Clubs, Coffeehouses",,,,1991
Paula J. Schoenwether,Counseling Service,1101 Fremont Ave,,,Pasadena,CA,"M.A., M.F.C.C., MW023178-Feminist Psychotherapy; Licensed marriage, Family, Child Counselor, Tel. (818) 441-1789; (suite 101), South Pasadena, 91030. ",,,,,,1991
Nostalgia,Bars,1101 N 9th St,,,Reading,PA,Tel. 372-5557. ,****,"Bars, Clubs, Coffeehouses",,,,1991
The Cathode Bay Club,Bars,1105 E Las Olas Blvd,,,Fort Lauderdale,FL,Tel. 462-8611. Open 7 days a week. Happy Hour: 2pm-9pm/2 for 1. ,****,"Bars, Clubs, Coffeehouses",,,,1991
ClaireLight,Feminist Bookstore,1110 Petaluma Hill Rd,,,Santa Rosa,CA,"(suite 5): 95404; Tel. (707) 575-8879. Your first stop in Lesbian/Feminist Sonoma County. Full range of lesbian titles, women's studies, they have authors' nights and special readings presented by the very best... a very special place. They sell GAIA'S GUIDE, be sure and say 'hi' from GAIA. ",,,,,,1991
The Club,Bars,1113 Central Ave,,,St Petersburg,FL,Tel. 822-9872. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Polar Bear,Bars,1114 Commerce St,,,Tacoma,WA,Tel. 627-9297. Restaurant and lounge. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Alexander's A Guest House,Hotels/Motels/Guest Houses Etc.,1118 Fleming,,,Key West,FL,"(Old Town), 33040/at Frances; Tel. 294-9919. 7 room guest house, 3 private bath, 2 efficiencies. Swimming pool/continental breakfast, good sundeck. No dogs allowed. Say 'hi' from GAIA. ",,,,,,1991
Metropolitan Community Church,Religious Groups,1119 S Main St,,,Las Vegas,NV,Tel. 384-2325. ,,,,,,1991
Paris Dance,Bars,1122 W Montrose,,,Chicago,IL,"Tel. 769-0602. A woman-owned lesbian bar. It's the most chic bar in Chicago (men's or women's). there is a $5.00 cover charge on Fridays & Saturdays & they often have special parties, (benefits, etc.) on Sundays. Their Luna Park Café features terrific appetizers, speciality coffees, and desserts. It's open Friday, 6pm-midnight/Saturday, 10am-midnight and Sunday, 10am-midnight. Be sure and say 'hi' from GAIA. There's a softball team, too. ",****,"Bars, Clubs, Coffeehouses",,,,1991
La-Te-Da,The Key West Sunday Afternoon Tea Dances,1125 Duval St ,,,Key West,FL,"Tel. 294-8435. Crowded and friendly, recommended. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Rowdies,Bars,1127 4th St,,,Sioux City,IA,"51101; Tel. 9115. Open: 4pm, Monday-Friday, from noon on Saturdays, and closed on Sundays. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Madison Lesbian/Gay Resource Center Community,Centers,1127 University Ave,,,Madison,WI,"Tel. 257-7575. Mail to: PO Box 1722, 53701-1722. Peer counseling/library/housing/monthly calendar. Lots of support groups. ",***,Centers,,,,1991
Community Link Line,Centers,1130 N Wishon,,,Fresno,CA,"93728; Tel. (209) 264-6973. Lesbians and gay men working together: youth groups/ 40+/parents and friends of gays, etc. Contact them about Community Link Too, which addresses women's issues and substance abuse. ",***(**),Centers,,,,1991
Cendrillon,Restaurants,1132 Valencia,,,San Francisco,CA,"near 22nd; Tel. 826-7997. 'Serving the Gay Community'. 'Very elegant French restaurant"". ",,,,,,1991
Alcoholism Center For Women,Centers,1147 S Alvarado St,,,Los Angeles,CA,Tel. 381-7805. Lesbians if color meet at 5pm.,****(*),Centers,checked,,,1991
Daughters of Bilitis ,Women's Centres,1151 Massachusetts Ave,,,Cambridge,MA,"(near Remington), Cambridge 02138. Tel. 661-3633/taped message with their events. Social/political/counseling Coming Out, young lesbians (22), 35+; parents & co-parents groups: Library. Soft ball played. + Now: Lesbian Singles, 50+, Women of Color. This lesbian organisation welcomes ALL women in transit. Annual Thanksgiving Dinner.",****,Centers,checked,,,1991
Gay Community Center,Centers,1154 Fort Street Mall,,,Honolulu,HI,"(suite 415), 96813; Tel. 536-6000. Library, many groups meet there, local information center, say 'hi' from GAIA. ",***,Centers,,,,1991
Hudson House,Hotels/Motels/Guest Houses Etc.,1154 Western Avenue,,,Los Angeles,CA,90029; Tel. (213) 465-0247. The world's largest emergency housing for gay women and men. ,,,,,,1991
Hawaii Women's Directory ,Publications,1155 Fort Street Mall,checked,,Honolulu,HI,"96813; Tel. (808) GCC-NEWS. 'Get the Newssssiest- the Local Scene, newsbites from the non-Paradise, features, comprehensive Hawaiian & Multi-state Gay Guide. GCN is distributed on all islands. Subs: $25.00 p.a. ",,,,,,1991
Stormy Leather,Sexuality Boutiques,1158 Howard,,,San Francisco,CA,"(between 7th & 8th Streets); Tel. 626-1672. Open: Tuesday-Sunday, 12-6pm/Fridays, 12-7pm. ""A store for all sexual styles"". Also featuring european latex, satin & lace lingerie. Woman owned.",,,,,,1991
Women's Press,Publications,1160 Marsh St,,,San Luis Obispo,CA,"93401; Tel. 544-9313. $7.00 per year. Monthly calendar of local and regional events, books and album reviews, and news that pertains to women (Including news from NOW). ",,,,,,1991
Women's Resource Center,Centers,1160 Marsh St,,,San Luis Obispo,CA,93401; Tel. 544-9313. Counseling/support and referrals. Their publication: Women's Press. ,****(*),Centers,,,,1991
Ladies' Night,Bars,1183 University Ave,,,St Paul,MN,"Tel. 646-2288. LESBIAN bar-women only, mostly younger crowd. Show-bar & disco. Very, very highly RECOMMENDED. They sell GAIA'S GUDIE, so say 'hi' from GAIA. Open: Monday-Saturday, 4pm-1am/Sundays, 12noon-midnight. ",****,"Bars, Clubs, Coffeehouses",,,,1991
College Station,Bars,1187 Edgewood Ave,,,Jacksonville,FL,Tel. 389-9301. Open: daily noon-2am.,***,"Bars, Clubs, Coffeehouses",,,,1991
Northwest Women's Law Center,Centers / Organizations / Groups,1195 Main,,,Seattle,WA,(suite 330) Tel. 682-9552. ,,,,,,1991
Old Wives Tales Restaurant,Restaurants,1200 East Burnside,,,Portland,OR,Tel. 238-0470. 'Diverse clientele including a children's playroom!' About 30% lesbian/gay. be sure and say 'hi' to Holly from GAIA. Very recommended. ,,,,,,1991
Rumours,No Site Type,1200 N 8th St,,,Paducah,KY,Tel. 443-2545. ,**,For Review/Unclear,,,,1991
Cheshire Cat,Other Bars--Mostly Gay Men & Mixed Clientel,1201 Decatur St,,,New Orleans,LA,70116; Tel. 522-4792. ,*,"Bars, Clubs, Coffeehouses",,,,1991
Vieux Carre,Bars,1204 Posey St,,,Huntsville,AL,at Cox; Tel. 534-5970. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Jewel's Tavern,Bars,1207 Decatur,,,New Orleans,LA,Tel. 523-9237. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Lauderdale's,Bars,1207 Main St,,,Cincinnati,OH,"Tel. 621-3012. High energy disco and show bar. Opens 10pm-4am, seven nights a week. Looks good. ",**,"Bars, Clubs, Coffeehouses",,,,1991
Book Loft,Alternative Bookstore,1207 Soquel Ave,,,Santa Cruz,CA,"95062; Tel. 429-1812. Includes women's book room. They sell MATRIX & GAIA'S GUIDE, also SOJOUNER & WOMEN'S REVIEW OF BOOKS. ",,,,,,1991
Lesbian Resource Center,Centers / Organizations / Groups,1208 E Pine,,,Seattle,WA,"Tel. 322-3953 (DYKE). Home of many lesbian groups and happenings. Lesbian over 40 rap group, Tuesdays 7pm. Phone up for their current drop-in hours. Their own newsletter, 'The Community Paper' iis $8.00 for one year; includes a useful events calendar, etc. Contact them for information about the BATTERED LESBIAN RESOURCE COMMITTEE, a support group for batted Lesbians, ring 322-DYKE and ask to speak to someone from the B.L.R.C. ",*****,Centers,,,,1991
The Buttery,"Restaurants/Cafes, Etc. ",1208 Simonton St,,,Key West,FL,Tel. 294-0717. ,,,,,,1991
Good Vibrations,Sexuality Boutiques,1210 Valencia St,,,San Francisco,CA,"Tel. 550-0827 or MAIL ORDER: 550-7399 (550-SEXY). A vibrator & sexuality shop especially for women. Knowledgable women staff/comfortable atmosphere/good quality at a reasonable cost. Open: 7days, 12pm-6pm + Thursdays, 12-8pm. yes, it's expanded- larger location & increased inventory...books, too. 2 Catalogues available $2.00 ea. or $3.00/both. Say 'hi' from GAIA. ",,,,,,1991
Lesbian Central Of The Gay and Lesbian Community Services Center,Centers,1213 N Highland Ave,,,Hollywood,CA,"90038; Tel. 464-7400, ext. 205. For info concerning programs sponsored by the Education Dept.: Tel. 659-4739. Too many services, activities and support groups for lesbians to be mentioned here. Always a warm welcome for visitors at this most well organized of all gay centers in the world. ",****,Centers,,,,1991
LAMBDA Center For Alcoholics,Counseling and Health Services --Community Organized,1214 Joanne,,,Houston,TX,Tel. 521-9772. ,,,,,,1991
TJ's,Bars,1215 E University,,checked,Denton,TX,,**,"Bars, Clubs, Coffeehouses",,,,1991
The Clinic On 21st,Health Center/Clinic/Counselling,1216 NW 21st,,,Portland,OR,Tel. 226-6678. private VD clinic. ,,,,,,1991
The Ten,Bars,1218 N Pennsylvania St,,,Indianapolis,IN,at 12th; Tel. 638-5802. Disco with shows and pool tables. Open: 6pm-3am. Highly recommended. Say 'hi' from GAIA. ,****,"Bars, Clubs, Coffeehouses",,,,1991
The Taco House,Restaurants,1218 Pine St,,,Philadelphia,PA,Tel. PE5-1880. ,*,Restaurants,,,,1991
Alexander's ,Bars,1219 W 10th St,,,Amarillo,TX,Tel. 372-7414. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Uncle's ,Restaurants,1220 Locust,,,Philadelphia,PA,Tel. 546-6660. Dinner: 5pm-11pm. Sunday brunch: 11am-5pm. ,*,Restaurants,,,,1991
The 1220 Club,Bars,1220 Pine St,,,Walnut Creek,CA,"Tel. 938-4550. A real old-timer that is still very popular with women. Strictly Lesbian/Gay clientele. Open: Monday-Friday, 4pm-2am/Saturdays, 5pm-2am/Sundays, 3pm-2am. Say 'hi' from GAIA. ",***,"Bars, Clubs, Coffeehouses",,,,1991
Hi-Lo,Bars,1221 NW 50th St,,,Oklahoma City,OK,Tel. 843-1722. ,****,"Bars, Clubs, Coffeehouses",,,,1991
Two-Four Club,Bars,1224 St St,,,Philadelphia,PA,"at DCA, 1224 St James Street; Tel. 732-4377. After hours dance bar, a private club with lots of privacy. Recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Women's Health Center,Health Center/Clinic/Counselling,1225 8th St,,,Daytona,FL,Tel. 253-0008. ,,,,,,1991
Norreh Social Club,Bars,1226 Herron Ave,,,Pittsburgh,PA,Tel. 682-9869. Private club still going strong. 4 Bars/lots of Video Screens/Pool Table Recommended. ,,,,,,1991
Novel Thought,Gay/Lesbian Bookstores,1227 E Mohawk,,,Tampa,FL,Tel. 237-1886. ,,,,,,1991
Paramount Steak house,Restaurants,1227 Wisconsin Ave NW,,,Washington,DC,Tel. 333-0393. ,**,Bar / Restaurants,,,,1991
Gay Community Center,Centers,1228 17th St,,,Washington,DC,NW; Tel. 882-1334. Full range of activities and services. Women's coffeehouse Saturday nights. ,***(**),Centers,,,,1991
Kurt's,Bars,1229 Chestnut St,,,Philadelphia,PA,Tel. 751-0009. Dance bar/Sunday brunches/drag. Mostly gay men but can be good fun. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Dominoe's,Bars,1229 S Memorial Dr,,,Tulsa,OK,"Tel. 838-9283. Disco, patio and game room/pool tables. Private club, but a copy of GAIA'S GUIDE will probably get you in. ",****,"Bars, Clubs, Coffeehouses",,,,1991
International Women's Studies Institute,Women's Studies,1230 Grant Ave,,,San Francisco,CA,PO Box 601; Tel. 931-6973. Annual institution on Lesbos. ,,,,,,1991
Metropolitan Community Church/Long Beach,Religious Groups,1231 Locust Ave,,,Long Beach,CA,"90813; Tel. 432-3641. Office hours:M-F, 9am-5pm. Worship services, Sunday 11am-7pm, Wednesday at 7pm. Their newsletter is 'Outreach'. They have a church library, softball team and many, many social activities. Say 'hi' from GAIA.",,,,,,1991
Earthling Bookshop,Alternative Bookstore,1236 State St,,,Santa Barbara,CA,93101; Tel. 965-0926. Women's Studies + GAIA'S GUIDE. They have Sunday evenings author's signings + poetry acoustic music. ,,,,,,1991
M.C. Compton's ,Bars/Cafes/Restaurants,1239 Niagara St,,,Buffalo,NY,"14213; Tel. 886-2669. An all gay bar that's mostly women, most of the time. Featuring great women's entertainment nights. Open: 7 days a week/Monday-Friday, 5pm-4am/Saturdays, 8pm-4am/Sundays, 2pm-4am. Highly recommended. Say 'hi' from GAIA. ",****,"Bars, Clubs, Coffeehouses",,,,1991
Golden Lantern,Bars,1239 Royal St,,,New Orleans,LA,Tel. 529-2860. ,**,"Bars, Clubs, Coffeehouses",,,,1991
Women's Alternative Health Clinic,Alternative Health Clinic,1240 E Brady St,,,Madison,WI,"Tel. 272-2144. Saturday mornings, sliding scale. ",,,,,,1991
Jazi's Bar & Restaurant,Bars/Restaurants ,1241 Western Ave,,,Pittsburgh,PA,(North Side) Tel. 323-2721. ,,,,,,1991
National Organization For Women-L.A. Chapter,N.O.W.,1242 S La Cienega Blvd,,,Los Angeles,CA,Tel. (213) 652-5572. ,,,,,,1991
