title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Start date,year
The Zebra Club,Bars,,598 Meeting St.,,Charleston,SC,Tel. 722-9214,**,Bars and Clubs,,,,,1975
Campground,Bars,,2717 Two Notch Road,,Columbia,SC,,**,Bars and Clubs,,,,,1975
M.C.C. ,Organizations,,Box 11181;29211. ,checked,Columbia,SC,Tel. (803) 252-1250 ,,,,,,,1975
South Dakota Gay Alliance ,Organizations,,Box 918;57401. ,checked,Aberdeen,SD,Box 918;57401. Tel. (605) 229-4060 ,,,,,,,1975
Powder Puff Lounge,Bars,,28 East Main St.,,Chatanooga,TN,Tel. (615) 265-9190,**,Bars and Clubs,,,,,1975
The Patch,Bars,,10 North Cleveland,,Memphis,TN,,***,Bars and Clubs,,,,,1975
G.L.F.,Organizations,,121 East Trigg St.,,Memphis,TN,c/o Jack Johnson Jr.,,,,,,,1975
Fiesta Lounge,Bars,,1382 Poplar,,Memphis,TN,Tel. 276-9502,**,Bars and Clubs,,,,,1975
M.C.C. of Christ the King,Organizations,,1502 Edgehill Ave,,Nashville,TN,"Box 187;37202, Tel. (615) 255-0893",,,,,,,1975
NASHVILLE WOMEN'S CENTER,Organizations,,1112 19th Ave.,,Nashville,TN,Tel. (615)327-1969 ,,,,,,,1975
Jungle Lounge,Bars,,715 Commerce St.,,Nashville,TN,,**,Bars and Clubs,,,,,1975
The Warehouse ,Bars,,,checked,Nashville,TN,(ask locally),**,Bars and Clubs,,,,,1975
"""My Way""",Bars,,523 East Tenth St.,,Amarillo,TX,,**,Bars and Clubs,,,,,1975
THE DOB'R,Publications,,"Box 1242, Dallas, Texas",checked,Dallas,TX,Local news and views for gay women in the Dallas area. Tel. (214) 742-1947. (Free. but donations appreciated.),,,,,,,1975
The Back Door Lounge,Bars,,1507 West Tenth St.,,Amarillo,TX,St.-Tel. 372-0715 ,**,Bars and Clubs,,,,,1975
Austin Gay Lib,Organizations,,Box 8107 University Station,checked,Austin,TX,"Box 8107 University Station: 78712, Tel. 476-2820",,,,,,,1975
"""Bon-Soir""",Bars,,5601 West Lovers Lane.,,Austin,TX,Tel. 351-9421,**,Bars and Clubs,,,,,1975
"""The Pearl St. Warehouse""",Bars,,1720 Lavaca St,,Austin,TX,Tel. 478-0176 ,**,Bars and Clubs,,,,,1975
"""The Griffon""",Bars,,16th & Guadalupe,checked,Austin,TX,,**,Bars and Clubs,,,,,1975
Club Insomnia,Bars,,1101 Red River.,,Austin,TX,Tel. 477-0380 ,**,Bars and Clubs,,,,,1975
Chez Paris,Bars,,2207 Ayers ,,Corpus Christi,TX,,**,Bars and Clubs,,,,,1975
"""The New Apartment""",Bars,,"2828 Rio Grande,",,Austin,TX,Tel. 478-0224 ,**,Bars and Clubs,,,,,1975
"D.O.B.-- ""The Center""",Organizations,,P.O. Box 1242,checked,Dallas,TX,"""THE CENTER"", P.O. Box 1242;75221. Tel. (214) 742-1947. SWITCHBOARD. Their Publication: ""The DOB'R""",*****,Organizations,,,,,1975
Three Plus You,Bars,,3014 Throckmorton at Cedar Springs.,checked,Dallas,TX,Tel. 526-9438,****,Bars and Clubs,,,,,1975
"""T.J's""",Bars,,3307 Mc Kinney.,,Dallas,TX,326-9368,****,Bars and Clubs,,,,,1975
"""Les Dames Room""",Bars,,2116 N. Field,,Dallas,TX,,***,Bars and Clubs,,,,,1975
"""Lil Tiff's""",Bars,,2906 N. Henderson,,Dallas,TX,,***,Bars and Clubs,,,,,1975
"""The Vapors""",Bars,,5334 Lemmon.,,Dallas,TX,823-0372,***,Bars and Clubs,,,,,1975
"""Bev's""",Bars,,4737 Maple.,,Dallas,TX,Tel. 526-9036,***,Bars and Clubs,,,,,1975
"""J's""",Bars,,1800 N. Harvard,,Dallas,TX,742-0897 ,***,Bars and Clubs,,,,,1975
"""Joe's Other Place""",Bars,,3019 N. Haskell,,Dallas,TX,3019 N. Haskell,**,Bars and Clubs,,,,,1975
The Highland Lounge,Bars,,3018 Monticello.,,Dallas,TX,Tel. 526-9551 ,**,Bars and Clubs,,,,,1975
"""Ronsue's""",Bars,,3236 Mc Kinney. ,,Dallas,TX,526-9333,*,Bars and Clubs,,,,,1975
"""Entire Nuit""",Bars,,3116 Live Oak,,Dallas,TX,(rear door). Tel. 823-0423 ,**,Bars and Clubs,,,,,1975
The Castle,Bars,,3019 N. Haskell,,Dallas,TX,,*,Bars and Clubs,,,,,1975
The Pet Shop,Bars,,207 1/3 San Antonio.,checked,El Paso,TX,Tel. 532-9805,***,Bars and Clubs,,,,,1975
Diamond Lil Club,Bars,,10416 Dyer. ,,El Paso,TX,565-0607,,,,,,,1975
Club Pigalle,Bars,,411 East Franklin. ,,El Paso,TX,Tel. 532-9018,**,Bars and Clubs,,,,,1975
The Apartment Bar,Bars,,804 Myrtle St,,El Paso,TX,,**,Bars and Clubs,,,,,1975
D.O.B. (Fort Worth),Organizations,,P.O.Box 1564,checked,Fort Worth,TX,P.O. Box 1564;76101. Tel. (817) 924-8598 ,**,Organizations,,,,,1975
After Dark Club,Bars,,1112 Eigth Ave,,Fort Worth,TX,332-0417,**,Bars and Clubs,,,,,1975
"""Aura""",Organizations,,Box 7318,checked,Fort Worth,TX,Box 7318:76111. Tel. (817)838-2095 ,,,,,,,1975
"""El Toga""",Bars,,5563 Jacksboro.,,Fort Worth,TX,624-0630,***,Bars and Clubs,,,,,1975
The Other Place,Bars,,26 West Lancaster. ,,Fort Worth,TX,Tel. 335-0586 ,**,Bars and Clubs,,,,,1975
"""651 Club""",Bars,,651 South Jennings,,Fort Worth,TX,332-0745,**,Bars and Clubs,,,,,1975
Robert's Lafitte,Bars,,2503 Market,,Galveston,TX,753-5363 ,**,Bars and Clubs,,,,,1975
Gay Political Committee,Organizations,,Box 53321;77052,checked,Houston,TX,Box 53321;77052,,,,,,,1975
Montrose Gaze Community Center,Organizations,,504 Fairfax;,,Houston,TX,,,,,,,,1975
"""Roaring 60's""",Bars,,2305 S. Shepherd.,,Houston,TX,528-9430 ,**,Bars and Clubs,,,,,1975
"""Just Marion & Lynn's""",Bars,,817 Fairview,,Houston,TX,,****,Bars and Clubs,,,,,1975
The Key Lounge,Bars,,5826 Conley,,Houston,TX,,****,Bars and Clubs,,,,,1975
The Roundtable Tavern,Bars,,507 Westheimer Road,,Houston,TX,,**,Bars and Clubs,,,,,1975
"""The Annex""",Bars,,1318 Westheimer.,,Houston,TX, 528-8049,**,Bars and Clubs,,,,,1975
The Lamp Post,Bars,,2417 Times,,Houston,TX,,**,Bars and Clubs,,,,,1975
"""Mary Ellen's""",Bars,,815 Fredericksburg. ,,San Antonio,TX,Tel. 738-0349,***,Bars and Clubs,,,,,1975
"""Paul's Grove""",Bars,,,checked,San Antonio,TX,ask locally for new address. Tel. 223-0516 ,***,Bars and Clubs,,,,,1975
"""The Arena""",Bars,,3123 Broadway.,,San Antonio,TX,826-9466,**,Bars and Clubs,,,,,1975
"""Quality Inn""",Bars,,"10011 Interatate Hiway 35 N,",,San Antonio,TX,655-4220,**,Bars and Clubs,,,,,1975
The Buddha Lounge,Bars,,2315 San Pedro.,,San Antonio,TX,Tel. 732-0482 ,***,Bars and Clubs,,,,,1975
"""Christopher II""",Bars,,"900 S. St, Mary",,San Antonio,TX,Tel. 225-2330,***,Bars and Clubs,,,,,1975
"""The Red Fox""",Bars,,4901 W. Waco,,Waco,TX,772-6640,**,Bars and Clubs,,,,,1975
"""M.C.C.""",,,870 W. 4th South,,Salt Lake City,UT,"Mailing Address: Box 11607; 84110, Center Address: 870 W. 4th South. Tel. (801) 531-9434",***,For Review/Unclear,,,,,1975
Grace Christian Church,,,2680 S.W. Temple,,Salt Lake City,UT,,,,,,,,1975
Perky's Bar,Bars,,66 N. 3rd West,,Salt Lake City,UT,363-0706,*,Bars and Clubs,,,,,1975
Broadway Lounge,Bars,,172 W. Third,,Salt Lake City,UT,364-0092,*,Bars and Clubs,,,,,1975
"""Gay in Vermont""",Organizations,,3216 North Burlington Station,,Burlington,VT,Tel. (802) 453-2678 & 863-2496 ,,,,,,,1975
VERMONT GAY WOMEN,Organizations,,,checked,Burlington,VT,Tel. 425-2782 ,,,,,,,1975
WOMEN'S SWTTCHBOARD,Switchboards,,,checked,Burlington,VT,Tel. 862-5504,,,,,,,1975
Gay Women's Open House,Organizations,,,checked,Arlington,VA,"Tel. (703) 671-3762 & see ""Gay Blade"" of D.C. for current details ",**,Organizations,,,,,1975
Gay Students Union,Organizations,,123 Tuttle House,,Charlottesville,VA,"Station 2, Univ. of Virginia; 22905 ",,,,,,,1975
"""The Cue""",Bars,,46th & Killam Sts.,checked,Norfolk,VA,,**,Bars and Clubs,,,,,1975
G.L.F.,Organizations,,505 Brookside Blvd.,,Richmond,VA,"c/o K. Pederson, 505 Brookside Blvd; 23327. Tel. (703)266-2691 ",,,,,,,1975
"""Four-0-Nine Club""",Bars,,409 W. Broad St.,,Richmond,VA,,**,Bars and Clubs,,,,,1975
The Dial Tone,Bars,,3526 West Cary St.,,Richmond,VA,Tel. 355-9253 ,**,Bars and Clubs,,,,,1975
Washington Cafe,Bars,,111 Walnut St.,,Morgantown,WV,,?,,,,,,1975
"""Gay Women""",Organizations,,1128 Lee St. East.,,Charleston,WV,,,,,,,,1975
 Knight Cap Lounge ,Bars,,,checked,Wheeling,WV,,?,,,,,,1975
Gail's Bar,Bars,,1101 Main St.,,Green Bay,WI,432-9924,****,Bars and Clubs,,,,,1975
Fox Valley Gay Alliance,Organizations,,"P.O. Box 332, Menasha ",checked,Fox Valley,WI,Tel. (414)733-3076 ,*,Organizations,,,,,1975
"""The Lesbian Switchboard""",Organization and Service,,306 N. Brooks St.,,Madison,WI,(University Y.W.C.A.); 53703 Tel. (608) 257-7378. (SWITCHBOARD),*****,Organizations,,,,,1975
The Women's Transit Authority ,Organization and Service,,,checked,Madison,WI,"provides safe, free transportation for women at nite. Tel. 263-1700 (7 PM-2 AM)",,,,,,,1975
THE RAPE CRISES CENTER,Organization and Service,,,checked,Madison,WI,Tel. (608) 251-7273 ,,,,,,,1975
"""A Room of One's Own""",Bookshop,,P.O. Box 2193; 53703,checked,Madison,WI,,,,,,,,1975
"""The Back Door""",Bars,,46 N. Park St.,,Madison,WI,255-0609,***,Bars and Clubs,,,,,1975
"""The Blue Bus""",Clinics / Health Centers / Counseling,,913 Spring St.,,Madison,WI,Mailing Addresses: P.O. Box 907; 53701. This is a V.D. Test Center & Clinic. ,,,,,,,1975
The Stop Lite Tavern,Bars,,302 East Wilson. ,,Madison,WI,Tel. 256-9579,***,Bars and Clubs,,,,,1975
"""The Grapevine""",Organizations,,2211 E. Kenwood,,Milwaukee,WI,"c/o Women's Coalition, Tel. (414) 964-7535 ",**,Organizations,,,,,1975
Gay People's Union,Organizations,,P.O. Box 90530; 53202,checked,Milwaukee,WI,Tel. (414) 271-5273. Their Publication: Gay People's Union News,***,Organizations,,,,,1975
Milwaukee Area Gay Youth (MAGY),Organizations,,,checked,Milwaukee,WI,see G.P.U. NEWS for current details. ,,,,,,,1975
The Beer Garden,Bars,,3743 W. Vliet ,,Milwaukee,WI,,***,Bars and Clubs,,,,,1975
Dionysius,Bars,,183 S. Second St. ,,Milwaukee,WI,,*,Bars and Clubs,,,,,1975
"""The Leaded Shade""",Bars,,157 First St.,,Milwaukee,WI,Tel. 278-9563 ,**,Bars and Clubs,,,,,1975
The Rhubarb Bookstore,Bookstores,,1618 W. Wells. ,,Milwaukee,WI,Tel. 342-4020. Well stocked with Gay Lib. & Feminist books plus periodicals. ,,,,,,,1975
Gus' Bar,Bars,,2201 Mead St.,,Racine,WI,Tel. 634-0893,**,Bars and Clubs,,,,,1975
Jodee's,Bars,,2139 Racine ,,Racine,WI,,**,Bars and Clubs,,,,,1975
Boulder Women's Center,Organizations,, 9th and Arapahoe; 80302.,checked,Boulder,CO,tel. 449-1590.,,,,,,,1975
Hide and Seek Room,Bars,, 3 E. Colorado Ave.,,Colorado Springs,CO, 634-9303,**,Bars and Clubs,,,,,1975
"Boulder Gay Liberation, Inc. ",Organizations,, Box 1402; 80302.,checked,Boulder,CO,tel. (303) 443-2211 est. 8567 (their publication: Boulder Gay Record).,,,,,,,1975
Exit Lounge,Bars,,2028 Sheldon Ave.,,Colorado Springs,CO, 471-7895.,**,Bars and Clubs,,,,,1975
"Boulder Gay Liberation (including Lesbian Alliance), Gay Lib. Univ. of Colorado UMC",Organizations,,"183E, Boulder Colorado; 80302.",,Boulder,CO,,***,Organizations,,,,,1975
Rhinoceros,Publications,,"Box 18501; Denver, Colorado;",checked,Denver,CO,"The non-sexist, non-physical beauty magazine. It's people oriented. It's you oriented. ($5.00 per year)",,,,,,,1975
Big Mama Rag,Publications,, 1724 Gaylord,,Denver,CO,Tel. 322-2010. Always excellent reading in this lesbian/feminist newspaper. ,,,,,,,1975
Gay Coalition of Denver,Organization and Service,, 1450 Pennsylvania Ave. no. 25,,Denver,CO, tel. (303) 821-8838 (1-9 p. m- daily). Their publication: RHINOCEROS,***,Organizations,,,,,1975
Approaching Lavender,Organization and Service,,1122 E. 17th Ave. ,,Denver,CO, 931-8838 operated once a month by the lesbian task force of N.O. W. National Organization of Women).,**,Organizations,,,,,1975
Lesbian Task Force of N.O.W.,Organization and Service,,1400 Lafayette,,Denver,CO,tel. 935-6908 and 798-3033,**,Organizations,,,,,1975
Denver Lesbian Center,Organization and Service,," 1895 Lafayette, Denver",,Denver,CO,tel. 573-6604.,,,,,,,1975
Three Sisters Lounge,Bars,, 3358 Mariposa,,Denver,CO, 458-8926,****,Bars and Clubs,,,,,1975
The Broadway ,Bars,, 126 Broadway,,Denver,CO,534-9390,*,Bars and Clubs,,,,,1975
The Woman's Voice Bookstore,Bookstores,,637 South Pearl St,,Denver,CO,tel. 733-1178.  Recommended. ,,,,,,,1975
Rip Bookstore ,Bookstores,, 737 E. 17th Ave,,Denver,CO,Well stocked with women's and gay lib titles.,,,,,,,1975
Roadhouse Switchboard ,Organization and Service,,,checked,Fort Collins,CO,"tel. (303) 491-5744. Organized by Lesbian Sisters of Fort Collins and LesbianTask Force of N.O,W. ",,,,,,,1975
The Mayflower,Bars,,112 W. 17th,,Cheyenne,WY,,*,Bars and Clubs,,,,,1975
The Green Door,Bars,,301 E. 16th St.,,Cheyenne,WY,,*,Bars and Clubs,,,,,1975
The Stockman's Bar,Bars,,,checked,Cheyenne,WY,,?,Bars and Clubs,,,,,1975
"Gay Alliance, c/o Univ. of Connecticut Women's Center",Organizations,,,checked,Bridgeport,CT,"Tel. 486-4738, or try: Box 115;06602",,,,,,,1975
Penthouse,Bars,,S4 East Washington Ave. ,,Bridgeport,CT,,**,Bars and Clubs,,,,,1975
Casbar,Bars,,1277 N. Main,,Bridgeport,CT,,?,Bars and Clubs,,,,,1975
Cedarbrook Inn,Bars,, 919 E. State St.,,Westport,CT,,***,Bars and Clubs,,,,,1975
Univ. of Connecticut Gay Alliance,Organizations,,"U-8 Univ. of Ct., 06268",checked,Storrs,CT,tel. 2:03) 429-1448.,,,,,,,1975
Deleware Separtist Dyke Group,Organizations,,P.O. Box 3526;19807,checked,Greenville,DE,tel. (302) 478-1246,,,,,,,1975
Gay Community of the Univ. of Delaware ,Organizations,,West Park Place 19711,,Newark,DE,Episcopal Student Center ,,,,,,,1975
Gay Community ,Organizations,,Box: 4533;19711.,checked,Newark,DE,,,,,,,,1975
Sandcastle ,Resort,,1st & Brooklyn Ave,checked,Rehoboth Beach,DE,,,,,,,,1975
Lambda Rising ,Bookstores,,"1724 20th Street, N.W.",,Washington,DC,Washington's first gay bookstore,,,,,,,1975
Off Our Backs,Publications,,"1724 20th Street, N.W.",,Washington,DC,Lesbian feminist newspaper.,,,,,,,1975
Gay Blade,Publications,,"1724 20th Street, N.W.",,Washington,DC,tel. (202) 265-2110,,,,,,,1975
Gay Switchboard ,Organization and Service,,,checked,Washington,DC,tel (202) 387-3777; evenings only.,,,,,,,1975
D.C. Women's Center,Organization and Service,,1736 R. St.,,Washington,DC,232-5145. And at the same address: Sophie's Parlour. ,****,Organizations,,,,,1975
N.O.W.,Organization and Service,,,checked,Washington,DC,Chapter on sexuality. tel. 543-4561. (c-r for gay women).,,,,,,,1975
Phase One,Bars,,525 8th St. S.E.,,Washington,DC,tel. 544-6831,****,Bars and Clubs,,,,,1975
Joanna's,Bars,,430 8th St. S.E.,,Washington,DC,tel. 544-9116. (conflicting reports about this one.),****,Bars and Clubs,,,,,1975
Third World,Bars,,"211 Riggs Road, N.E.",,Washington,DC,tel. 635-1023.,**,Bars and Clubs,,,,,1975
Pier Nine,Bars,,"1824 Half St., S.W.",,Washington,DC,,**,Bars and Clubs,,,,,1975
Adams Ark,Bars,,"2001 Wisconsin Ave., N.W.",,Washington,DC,,****,Bars and Clubs,,,,,1975
Zombie's,Bars,,"5828 Georgia Ave, N.W.",,Washington,DC,,**,Bars and Clubs,,,,,1975
Lammas Shop,Gay Shop,,"321 7th St., S.E. ",,Washington,DC,B. tel. (202) 546-7292,,,,,,,1975
