"title","type","address","unclear.address","city","state","description","stars","star.type","mentions.race","mentions.disability","notes","year","publication","country","geocode.value","lon","lat","geoAddress"
"Origins, Inc.","Women's Centers","Center-70 Washington St. (rm. 210), 01970","","Salem","MA","Tel.(617)745-5873. Swltchboard, counselling and referrals. Contact them for information on the local lesbian events scene—you’ll find them extremely helpful.","****(*)","","",NA,"",1981,"Gaia's Guide","United States","Salem, MA, United States",-70.8954626,42.5197473,"salem, ma, usa"
"Peasant Stock","Restaurants","421 Washington Street","","Somerville","MA","Tel. 354-9528. International dishes from around the world. Beers and wines. Open for lunch, dinner and Sunday brunch.","**","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Somerville, MA, United States",-71.0994968,42.3875968,"somerville, ma, usa"
"Together","Groups","Box 427, 01108","checked","Springfield","MA","","*","","",NA,"",1981,"Gaia's Guide","United States","Springfield, MA, United States",-72.589811,42.1014831,"springfield, ma, usa"
"The Pub","Bars","382 Dwight","","Springfield","MA","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Springfield, MA, United States",-72.589811,42.1014831,"springfield, ma, usa"
"Frontier","Bars","17, Pearl Street","","Springfield","MA","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Springfield, MA, United States",-72.589811,42.1014831,"springfield, ma, usa"
"Valley Women's Martial Arts","Self-Defense School","0, 284 Bridge Street, 01103","","Springfield","MA","Tel. (413)732-8118. Women's karate and self-defense school--open to all women. Okinawan style of karate shuri-ryu to all levels. Supportive/challenging atmosphere. All classes taught by or
the supervisions Wendi Dragon Fire. Classes: 1pm-9pm
weekdays. Also weekend classes available.","-","","",NA,"",1981,"Gaia's Guide","United States","Springfield, MA, United States",-72.589811,42.1014831,"springfield, ma, usa"
"Di Rocco's Cabaret","Bars","Frost Road","","Tyngsboro","MA","Tel. (617) 649-9186. Large disco--pulsating dance floor, pool tables, pin-ball. Live entertainment on Sunday evenings. Monthly buffet-parties. Open:Wed.-Sun. 8pm-lam;Fri. & Sat. 8pm-2am. About 20% gay women. Recommended","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Tyngsboro, MA, United States",-71.4244224,42.6766696,"tyngsborough, ma, usa"
"Oasis","Bars","Rte. 3A","","Tyngsboro","MA","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Tyngsboro, MA, United States",-71.4244224,42.6766696,"tyngsborough, ma, usa"
"Isaiah’s Lounge","Bar/Restaurant","11 Thomas Street","","Worcester","MA"," Tel.(617)798-8950.A quiet bar with excellent food and no dancing. A good place to talk and meet old and new friends. Monthly entertainment. Open: Sun-Tues. 4pm-lam ;Weds . & Thurs. 4pm-2am. Fri/Sat: 4pm-4am (breakfast from 2am-4am). Recommended.","**","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Worcester, MA, United States",-71.8022934,42.2625932,"worcester, ma, usa"
"The Women’s Bookstore","Feminist Bookstore","1087 Main Street","","Worcester","MA","Tel.791-5127.Lesbian owned and functions as a community
center/information clearing house. They have a monthly newsletter
concerning bookstore activities and sell new and used books,
pottery, records, T-shirts, concert tickets, etc. They also sell GAIA'S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Worcester, MA, United States",-71.8022934,42.2625932,"worcester, ma, usa"
"The Mailbox","Bars","282 Main Street, 01608","","Worcester","MA","Tel.(617)752- 8993.There's a wide dance floor and the disco music 10 excellent. TheD.J. sits above in a room with a glass window-
Fantastic lights.Plano bar: gay singers--jazz and blues. Clientel: all gay. Closing time: 2am.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Worcester, MA, United States",-71.8022934,42.2625932,"worcester, ma, usa"
"The Leaping Lesbian","Publications","P.O. Box 7715, 48107","checked","Ann Arbor","MI","Tel.(313)763- 4186.Free monthly newsletter aimed at the wimmin’s community in an around Ann Arbor. Financial contributions appreciated, , especially if postage 1s involved. Coverage of local happenings. Grass roots approach and good reading","-","","",NA,"",1981,"Gaia's Guide","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"Lesbian Advocate","Women's Centers","3404 Michigan Union, 530 South State Street, 48104","","Ann Arbor","MI"," Tel.(313)763-4186.Additional hot line number: 662- 11577. (9-5pm daily). ""We work closely with the lesbian and feminist communities as well as with students and gay men's Adocate office. Peer counseling and referrals. Very handy newsletter/resource list/","*****","","",NA,"",1981,"Gaia's Guide","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"Apartment","Bars","2200 Fuller Road","","Ann Arbor","MI","Disco.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"The Rubaiyat","Bars","102 South First Street, 48108","","Ann Arbor","MI","Tel. (313)663-2401. Disco and resaurant. Women-only nights, Opens 9pm. Highly recommended","**(**)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"The Flame","Bars","115 West Washington","","Ann Arbor","MI","Tel. 662-9680. Open: 6:30pm-2am.","**MGM","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"The Rubaiyat","Restaurants","102 South First Street","","Ann Arbor","MI","Tel.(313)663-2401. All gay restaurant with special women-only nights. Disco dancing. Very highly recommended.","","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"Womanspace","Bars","211 1/2 North 4th Avenue, 48108","","Ann Arbor","MI","Tel.(313)995-3400. Feminist bookstore/ resource center/ art gallery/ Commonwoman Library/ meeting room/ drop-in center. They sell GAIA’S GUIDE and are open:Tucs-Prl. noon-6pm;Sat.l0am-6pm.— ""women and young people welcome""! Records, buttons, posters, T-
shirts, magazines .","-","","",NA,"",1981,"Gaia's Guide","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa"
"GAYLINE","Services","write, 940 West Mc Nichols","","Detroit","MI","Tel(313)315-4180.Daily recorded news events.","-","","",NA,"",1981,"Gaia's Guide","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa"
"Gay Switchboard","Services","","checked","Detroit","MI","Tel. 557-3450. Mon-Thurs. 6pm-10pm. 6pm-11pm Fridays and Saturdays. ""Volunteers needed"".","-","","",NA,"",1981,"Gaia's Guide","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa"
" Lady Love","Bars","5, West Seven Mile","","Detroit","MI","Extremely pleasant interior, lots of plants and graphics. Small, comfortable and highly recommended. Sunday brunch: noon-3pm.","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa"
"Amigas","Bars","19326 Conant","","Detroit","MI","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa"
"Escape Disco Lounge","Bars","15606 Joy","","Detroit","MI","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa"
"Gold Coast","Bars","2971 East 7 Mile Road","","Detroit","MI","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa"
"State Bar","Bars","2512 South Dort Highway","","Flint","MI","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Flint, MI, United States",-83.6874562,43.0125274,"flint, mi, usa"
"Carousel Lo","Bars","8, Ionia Street","","Grand Rapids","MI","Tel. 454-2639. Open:10am-2am","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Grand Rapids, MI, United States",-85.6680863,42.9633599,"grand rapids, mi, usa"
"Knife & Fork","Bars"," 187 Monroe Aveneu,N.W.","","Grand Rapids","MI","Tel. 459-7201. Open: 10am-2am","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Grand Rapids, MI, United States",-85.6680863,42.9633599,"grand rapids, mi, usa"
"Papa Joe's","Bars","43, South Division","","Grand Rapids","MI","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Grand Rapids, MI, United States",-85.6680863,42.9633599,"grand rapids, mi, usa"
"Cafe Harmonie","Bars","","checked","Harmonie Park","MI","Near the Artists’ Market. European type cafe—excellent food.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Harmonie Park, MI, United States",-85.6023643,44.3148443,"michigan, usa"
"Skiles Tavern","Restaurants","154 East 8th Street","","Holland","MI","Tel.396- 7836.0pen:10am-2am.","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Holland, MI, United States",-86.1089301,42.7875235,"holland, mi 49423, usa"
"Joe Covello’s","Bars","535 East Michigan Avenue, 48933.","","Lansing","MI","Tel.482- 4557. Recommended.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Lansing, MI, United States",-84.5555347,42.732535,"lansing, mi, usa"
"Trammp’s","Bars","523 East Michigan","","Lansing","MI","Ultra modern disco/dj piano bar + pool tables. Cover charge on weekends. Very popular with gay women. Highly recommended.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Lansing, MI, United States",-84.5555347,42.732535,"lansing, mi, usa"
"Thurman's Restaurant and Bar","Bar/Restaurant","224 West Kalamazoo Avenue","","Kalamazoo","MI","Tel. 349-6919. Gay after 9pm and the best night is Thursday.","*","Bar/Restaurant","",NA,"",1981,"Gaia's Guide","United States","Kalamazoo, MI, United States",-85.5872286,42.2917069,"kalamazoo, mi, usa"
"Crow Bar","Bars","16 South Gratoit","","Mt. Clemens","MI","Tel. 463-3079. Not recommended","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Mt. Clemens, MI, United States",-82.8779754,42.5972563,"mt clemens, mi, usa"
"Bar 69","Bars","69, Macomb Street","","Mt. Clemens","MI","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Mt. Clemens, MI, United States",-82.8779754,42.5972563,"mt clemens, mi, usa"
"Sambo’s","Bars","","checked","Muskegon","MI","Hoyt (at Seaway Drive). Bar and restaurant.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Muskegon, MI, United States",-86.2483921,43.2341813,"muskegon, mi, usa"
"Eagle’s Nest","Bars","3236 Hoyt Street. ","","Muskegon","MI","Tel.739-8654.Open: 7pm-2am","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Muskegon, MI, United States",-86.2483921,43.2341813,"muskegon, mi, usa"
"SMOHR","Political Group","133 East Bridge Street","","Plainwell","MI","Southwestern Michigan Organization for Human Rights.","*","Organizations","",NA,"",1981,"Gaia's Guide","United States","Plainwell, MI, United States",-85.6489035,42.4400357,"plainwell, mi 49080, usa"
"Sundowers","Bars","125 East Huron","","Pontiac","MI","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Pontiac, MI, United States",-83.2910468,42.6389216,"pontiac, mi, usa"
"Tassi's","Bars","125 East Huron Street","","Pontiac","MI","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Pontiac, MI, United States",-83.2910468,42.6389216,"pontiac, mi, usa"
"Liberty Lounge","Bars","85, North Saginaw","","Pontiac","MI","Tel. 332-9544","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Pontiac, MI, United States",-83.2910468,42.6389216,"pontiac, mi, usa"
"Three Hundred Lounge","Bars","100 South Cass Lake Road","","Pontiac","MI","Tel. 682-6300","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Pontiac, MI, United States",-83.2910468,42.6389216,"pontiac, mi, usa"
"Red Fox","Bars","1026 North Military","","Port Huron","MI","Tel. 982-0141","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Port Huron, MI, United States",-82.4249142,42.9708634,"port huron, mi, usa"
"Dutch's Bar","Bars","1742 East Genesse Avenue; 48601","","Saginaw","MI","Tel. 752-9179. Female impersonation shows on Fridays and Saturdays. Food is served and there is a minimum entrance charge. Open: 10am-2am. ","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Saginaw, MI, United States",-83.9508068,43.4194699,"saginaw, mi, usa"
"Saugatuck Lodges","Lodge","69, Fire Island Drive, 49153.","","Saugatuck","MI","Tel. (616)857-4269. All gay resort near sand dunes. Swimming
dancing, good food, golf, bowling, campgrounds. Separate lesbian wing + many lesbian activities, contests, etc. Nude beach, also. Highly recommended. Lodge accomodation.","-","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Saugatuck, MI, United States",-86.2019825,42.6550248,"saugatuck, mi 49453, usa"
" Sgro’s Lounge","Bars","North Shore Drive","","South Haven","MI","Tel. 637-6100. Open: 2pm-2am.","*","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","South Haven, MI, United States",-86.2736407,42.4030865,"south haven, mi 49090, usa"
"Cabaret","Bars","","checked","Traverse City","MI","They don't call it a gay bar, but lesbians do go there. ","*","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Traverse City, MI, United States",-85.6206317,44.7630567,"traverse city, mi, usa"
"Hitching Post","Bars","209 West Portage","","Salute Ste. Marie","MI","Tel.632-3881.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Salute Ste. Marie, MI, United States",-84.3475876,46.4977115,"sault ste. marie, mi 49783, usa"
"Lesbian Resource Center","Women's Centers","2104 Stevens Avenue","","Wyanotte","MI","Tel.(612)871-2601. Social service and resource agency. Umbrella
organization, includes Lesbian Mothers Union. Switchboard noon 8pm. Offfice/center hours the same. Their publication:
LE’SBINFORMED-monthly. also regular newsletter.","*****","","",NA,"",1981,"Gaia's Guide","United States","Wyanotte, MI, United States",-83.1499239,42.2142064,"wyandotte, mi, usa"
"Northland Companion","Publications","1580 East 38th Street, 55407.","","Minneapolis","MN","Gay newspaper—extremely non-sexist. Political orientation. Monthly: $6.00 per year.","-","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Morning Star Women's Center","Counselling/Therapy","2830 Cedar Avenue South, 55407. ","","Minneapolis","MN","Counselling, consultation, massage and yoga. Highly recommended lesbian/f eminist therapy.","****","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Gay Community Services, Inc.","Centers"," 2855 Park Avenue South, 55407.","","Minneapolis","MN","Tel.(612)827-2821. Switchboard: Mon.-Fri. 9am-
Open. Counseling, information and referrals, support + rap groups.","***","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"A Woman's Coffeehouse","Coffeehouses"," 1, Groveland, 55403","","Minneapolis","MN","Tel.871- 1005. Open Fri.+Sat. 8pm-1am;Sun. 7pm-11pm. On Sat. evenings it's entertainment from 9-10pm with dancing afterwards. Sunday evenings are quiet evenings for educatlonal/cultural/art presentations. Only baked goods,coffee,tea,pop,cider.Very highly recommended.","(****)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Gay Nineties","Bars","408 Hennepin Avenue","","Minneapolis","MN","Bar/restaurant— lunches and dinners.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Nineteen Bar","Bars","19 West 15th Street","","Minneapolis","MN","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Commonplace Restaurant, ","Restaurants","","checked","Minneapolis","MN","enquire locally. Vegetarian and recommended.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Amazon Bookstore","Feminist Bookstore","2607 Hennepin Avenue, 55408","","Minneapolis","MN","Tel. 374-5507. Wide variety of titles, including much lesbian material. Also—lending library, bulletin board. Open-Mon-Fri. noon-8pm. Sat. 10am-6pm. Closed Sundays.","-","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Saravana","Bookstore","301 Cedar Avenue","","Minneapolis","MN","Tel. (612) 333-0098. Femlnlst/lesblan/gay health titles.","-","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"The Travel Company","Travel Agencies","2829 University Avenue,S.E., 55414 ","","Minneapolis","MN","Tel.(612)339-9000.""We are a gay-owned travel agency offering travel services to the gay community—women and men.","-","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Woodswomen","Outdoor Group","3716 4th Avenue South, 55409","","Minneapolis","MN","Tel.(612)823-
1500.Travel and outdoor education—canoe and bicycle trips. Winter ski trips. Women of all ages and degrees of experience are welcome.","-","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Christopher Street,Inc.","Counselling/Therapy","2344 Nicollet, 55404. ","","Minneapolis","MN","Tel.874- 7877.A center for the treatment of chemical dependency. After- care plus assessments and referrals. They sell GAIA’S GUIDE.","-","","",NA,"",1981,"Gaia's Guide","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa"
"Foxy's","Bars","249 West 7th, 55104","","St. Paul","MN","Tel. (612) 222-9621. Disco, pool tables and other games. ""By lesbians for lesbians"". (1 1/2 blocks west of Civic Center — the neon sign says: ‘Saints & Sinners’. Very, very highly recommended","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","St. Paul, MN, United States",-93.0899578,44.9537029,"st paul, mn, usa"
"The Townhouse","Bars","1415 University Avenue, 55104. ","","St. Paul","MN","Tel.(612) - 646 7087.Mon-Sat. llam-lam. Sun. noon-midnight. Disco and restaurant, Pool tables and pin-ball machines. • A very highly recommended bar which sells GAIA'S GUIDE","****","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","St. Paul, MN, United States",-93.0899578,44.9537029,"st paul, mn, usa"
"Mud Pie","Restaurants","2549 Lyndale Avenue South. ","","St. Paul","MN","Tel.823- 3432.Vegetarian restaurant/home-made food.","*","Restaurants","",NA,"",1981,"Gaia's Guide","United States","St. Paul, MN, United States",-93.0899578,44.9537029,"st paul, mn, usa"
"May Day Bookstore","Bookstore","365 Selby","","St. Paul","MN","Tel.291-7041.Feminist titles, lesbian titles, gay titles.","-","","",NA,"",1981,"Gaia's Guide","United States","St. Paul, MN, United States",-93.0899578,44.9537029,"st paul, mn, usa"
"Grande Finale","Show-Bars","490 North Robert Street","","St. Paul","MN","Tel.222-6569.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","St. Paul, MN, United States",-93.0899578,44.9537029,"st paul, mn, usa"
" Casa Blanca","Show-Bars","220 Harrison Avenue. ","","Biloxi","MS","Tel.(601) 388- JJw.Dlsco and entertainment.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Biloxi, MS, United States",-88.8853078,30.3960318,"biloxi, ms, usa"
"Dillinger's","Bars","2309 25th Avenue","","Gulfport","MS","","***(?)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Gulfport, MS, United States",-89.0928155,30.3674198,"gulfport, ms, usa"
"Mississippi Gay Alliance","Organisation and Services","P.O. Box 8342. ","checked","Jackson","MS","Tel.(601) 353-
6447.Switchboard. Newsletter.","***","Organizations","",NA,"",1981,"Gaia's Guide","United States","Jackson, MS, United States",-90.1848103,32.2987573,"jackson, ms, usa"
"Jackson Women’s Coalition","Organisation and Services","P.O. Box 3234, 39207","checked","Jackson","MS","Study groups, discussions and regular meetings. Gay women most welcome.","**(?)","Organizations","",NA,"",1981,"Gaia's Guide","United States","Jackson, MS, United States",-90.1848103,32.2987573,"jackson, ms, usa"
"Mae's Caberet","Bars","207 W. Amite, 39201","","Jackson","MS","Tel.(601) 969- 9765.0pen: Sun-Thurs. 8pm-midnight; Fri & Sat. 9pm-3am. ""Both
sexes get along very well here."" Dancing, entertainment, pool taole, pin ball. Recommended.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Jackson, MS, United States",-90.1848103,32.2987573,"jackson, ms, usa"
"U.M.C. Women’s Center","Women's Centers","One, Gentry Hall, 6540","","Columbia","MO","Tel.(314)882-6621.Resources, counselling and referrals. Calender of events.","****","","",NA,"",1981,"Gaia's Guide","United States","Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa"
"KOPN Chrystal Set Feminists","Organisation and Services","915 East Broadway, 65201","","Columbia","MO","Plenty gay enough. They also have a bi-annual retreat For women.","-","Organizations","",NA,"",1981,"Gaia's Guide","United States","Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa"
"Gay People’s Alliance","Groups"," UMC, 208 Read Hall, 65201","","Columbia","MO","","*","Organizations","",NA,"",1981,"Gaia's Guide","United States","Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa"
"The Woman’s Place","Feminist Bookstore","225 North 9th Street, 65201 ","","Columbia","MO","Tel.(314) 442-3212.""All types of women's books and publications’ albums (Olivia, etc.) complete feminist book stock. We also have a Sisterhood Support Network, CR groups, referrals and community. Information board. We are a non-profit organization run by volunteers.""","-","","",NA,"",1981,"Gaia's Guide","United States","Columbia, MO, United States",-92.3340724,38.9517053,"columbia, mo, usa"
"Pride Community Center","Centers","207 West Fourth Street, 6480","","Joplin","MO","Tel.781-9494.Switchboard Gay Line 7-11pm. Newsletter.","***","","",NA,"",1981,"Gaia's Guide","United States","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Opal's Play Mor","Bars","418 Joplin Street","","Joplin","MO","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Helton’s","Bars","600 Joplin Street","","Joplin","MO","Tel.632-9238.Open: 10am-1:30 am.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Club La Vie","Bars","722 Main Street. ","","Joplin","MO","Tel.632-9313.Open: 10am-1:30am.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Gallery I","Bars","722 Main Street","","Joplin","MO","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"Gay Community Services","Services","P.O.Box 703, 64141.","checked","Kansas City","MO","","-","","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Metropolitan Community Church","Religious Groups","4000 Harrison","","Kansas City","MO","Tel.921-
5754. The Christian Church with an outreach to the Gay Community.","-","","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Kenny’s Korral","Bars","1706 West 39th","","Kansas City","MO","Tel.(816)531-8866.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Windjammer","Bars","1822 Main Street. ","","Kansas City","MO","Tel.471-9449","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Round Up","Bars","701 West 12th","","Kansas City","MO","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Sky High Lounge","Bars","3323 Main Street","","Kansas City","MO","","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Red Head","Bars","4048 Broadway","","Kansas City","MO","","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Dover Fox","Bars","4334 Main Street","","Kansas City","MO","Tel.753-9777","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Oasis","Bars","3314 Gillham Plaza","","Kansas City","MO","Tel.578-4318","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Jeremy’s","Bars","3726 Broadway","","Kansas City","MO","Tel.531-9895.Open: 4pm-1.30am","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Jewel Box","Bars","3110 Main Street","","Kansas City","MO","Tel.561-2905-Open: 6pm-","**MGM","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Time To Read Bookstore","Bookstore"," 7 West 12th Street","","Kansas City","MO","Tel. 471-0868. Open: 10am-10pm. Gay titles for women and men.","-","","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Westport Bookstore","Bookstore","14 Westport Road","","Kansas City","MO","Tel.931-9822.Open: 11am-5:30pm. Gay titles for men and women.","-","","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"New Earth Bookstore","Bookstore","24 East 39th Street, 64111","","Kansas City","MO","Tel.931-5794.""We are a feminist bookstore committed to providing our community with alternative options. We have largest selection of lesbian and gay books and periodicals in the Kansas City area, as well as extensive selection of feminist books, records,
jewelry.","-","","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Actor’s Sorority","Production Company","","checked","Kansas City","MO","Tel.(816)483-5693.The local all-woman, feminist theater group. Contact them for details about current programs, etc.","-","","",NA,"",1981,"Gaia's Guide","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa"
"Corby Inn","Bars","5th & Felix","","St. Joseph","MO","Tel.364-9161.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","St. Joseph, MO, United States",-94.846681,39.7674578,"st joseph, mo, usa"
