"title","description","type","city","state","country","publication","year","notes","geocode.value","lon","lat","geoAddress"
"'Rest Stop'","by Macon bypass","Cruising Areas","Macon","GA","United States","Bob Damron's Address Book",1983,"","Macon, GA, United States",-83.6324022,32.8406946,"macon, ga, usa"
"'Rest Stop'","","Cruising Areas","Northampton","MA","United States","Bob Damron's Address Book",1983,"","Northampton, MA, United States",-72.6412013,42.3250896,"northampton, ma, usa"
"'Rest Stop' & woods","behind I-81, betw. exit 31 & 32","Cruising Areas","Pine Grove","PA","United States","Bob Damron's Address Book",1981,"","Pine Grove, PA, United States",-76.3846781,40.5484233,"pine grove, pa 17963, usa"
"'Rest Stop' & woods","behind I-81, betw. exit 31 & 32","Cruising Areas","Pine Grove","PA","United States","Bob Damron's Address Book",1983,"","Pine Grove, PA, United States",-76.3846781,40.5484233,"pine grove, pa 17963, usa"
"'Rest Stop' 35 mi. S. on I-10 (Northbound and Southbound)","","Cruising Areas","Phoenix","AZ","United States","Bob Damron's Address Book",1981,"","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"'Rest Stop' at Cactus City - W on I-10","","Cruising Areas","Quartzite","AZ","United States","Bob Damron's Address Book",1981,"","Quartzite, AZ, United States",-114.2299486,33.6639137,"quartzsite, az 85346, usa"
"'Rest Stop' on 1-95","","Cruising Areas","Marcus Hook","PA","United States","Bob Damron's Address Book",1981,"","Marcus Hook, PA, United States",-75.4185272,39.8192794,"marcus hook, pa 19061, usa"
"'Rest Stop' on I-30, 5 mi. S","","Cruising Areas","Ft. Smith","AR","United States","Bob Damron's Address Book",1981,"","Ft. Smith, AR, United States",-94.4209646,35.3843722,"fort smith, ar, usa"
"'Rest Stops'","E & W","Cruising Areas","Swansea","MA","United States","Bob Damron's Address Book",1981,"","Swansea, MA, United States",-71.1895617,41.748162,"swansea, ma, usa"
"'Rest Stops'","","Cruising Areas","Joplin","MO","United States","Bob Damron's Address Book",1981,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"'Rest Stops'","betw. Salem & Portland also betw. Salem & Albany (both sides - discretion)","Cruising Areas","Salem","OR","United States","Bob Damron's Address Book",1981,"","Salem, OR, United States",-123.0350963,44.9428975,"salem, or, usa"
"'Rest Stops'","just S. of 54th St.","Cruising Areas","Grand Rapids","MI","United States","Bob Damron's Address Book",1981,"","Grand Rapids, MI, United States",-85.6680863,42.9633599,"grand rapids, mi, usa"
"'Rest Stops'","","Cruising Areas","Marshall","TX","United States","Bob Damron's Address Book",1981,"","Marshall, TX, United States",-94.3674184,32.5448714,"marshall, tx, usa"
"'Rest Stops'","(nr. Chelmsford)","Cruising Areas","Lowell","MA","United States","Bob Damron's Address Book",1981,"","Lowell, MA, United States",-71.3161718,42.6334247,"lowell, ma, usa"
"'Rest Stops'","(N . Chelmsford)","Cruising Areas","Lowell","MA","United States","Bob Damron's Address Book",1981,"","Lowell, MA, United States",-71.3161718,42.6334247,"lowell, ma, usa"
"'Rest Stops'","","Cruising Areas","Fabens","TX","United States","Bob Damron's Address Book",1981,"","Fabens, TX, United States",-106.1585867,31.50234,"fabens, tx, usa"
"'Rest Stops'","about 5 mi. S.","Cruising Areas","Blaine","WA","United States","Bob Damron's Address Book",1981,"","Blaine, WA, United States",-122.7471191,48.993723,"blaine, wa, usa"
"'Rest Stops'","","Cruising Areas","Springfield","VT","United States","Bob Damron's Address Book",1981,"","Springfield, VT, United States",-72.4819743,43.298701,"springfield, vt, usa"
"'Rest Stops'","W. of town","Cruising Areas","Joplin","MO","United States","Bob Damron's Address Book",1981,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"'Rest Stops'","nr. Darien, Milford & Fairfield","Cruising Areas","Bridgeport","CT","United States","Bob Damron's Address Book",1981,"","Bridgeport, CT, United States",-73.1894384,41.1792258,"bridgeport, ct, usa"
"'Rest Stops'","on both sides of I-66","Cruising Areas","Manassas","VA","United States","Bob Damron's Address Book",1983,"","Manassas, VA, United States",-77.4752667,38.7509488,"manassas, va, usa"
"'Rest Stops'","","Cruising Areas","Bridgeport","CT","United States","Bob Damron's Address Book",1983,"","Bridgeport, CT, United States",-73.1894384,41.1792258,"bridgeport, ct, usa"
"'Rest Stops'","I-5 N. & S. about 5 mi.","Cruising Areas","Blaine","WA","United States","Bob Damron's Address Book",1983,"","Blaine, WA, United States",-122.7471191,48.993723,"blaine, wa, usa"
"'Rest Stops'","(nr. Chelmsford) (N. Chelmsford)","Cruising Areas","Lowell","MA","United States","Bob Damron's Address Book",1983,"","Lowell, MA, United States",-71.3161718,42.6334247,"lowell, ma, usa"
"'Rest Stops'","betw. Salem & Portland - also betw. Salem & Albany (both sides - discretion)","Cruising Areas","Salem","OR","United States","Bob Damron's Address Book",1983,"","Salem, OR, United States",-123.0350963,44.9428975,"salem, or, usa"
"'Rest Stops'","nr. Darien","Cruising Areas","Bridgeport","CT","United States","Bob Damron's Address Book",1983,"","Bridgeport, CT, United States",-73.1894384,41.1792258,"bridgeport, ct, usa"
"'Rest Stops'","at Attleboro","Cruising Areas","Attleboro","MA","United States","Bob Damron's Address Book",1983,"","Attleboro, MA, United States",-71.2856082,41.9445441,"attleboro, ma, usa"
"'Rest Stops'","Southbound at N. at Attleboro","Cruising Areas","Attleboro","MA","United States","Bob Damron's Address Book",1983,"","Attleboro, MA, United States",-71.2856082,41.9445441,"attleboro, ma, usa"
"'Rest Stops'","","Cruising Areas","Fabens","TX","United States","Bob Damron's Address Book",1983,"","Fabens, TX, United States",-106.1585867,31.50234,"fabens, tx, usa"
"'Rest Stops'","","Cruising Areas","Joplin","MO","United States","Bob Damron's Address Book",1983,"","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa"
"'The Block'","(Hustlers) betw. Arlington & Berkeley","Cruising Areas","Boston","MA","United States","Bob Damron's Address Book",1981,"","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa"
"'The Block'","","Cruising Areas","Charleston","WV","United States","Bob Damron's Address Book",1981,"","Charleston, WV, United States",-81.6326234,38.3498195,"charleston, wv, usa"
"'The Block'","","Cruising Areas","Charleston","WV","United States","Bob Damron's Address Book",1981,"","Charleston, WV, United States",-81.6326234,38.3498195,"charleston, wv, usa"
"'The Block'","around Andre's Restaurant on N.W. Cleveland - by foot or car","Cruising Areas","Canton","OH","United States","Bob Damron's Address Book",1981,"","Canton, OH, United States",-81.378447,40.7989473,"canton, oh, usa"
"'The Block'","","Cruising Areas","Charleston","WV","United States","Bob Damron's Address Book",1981,"","Charleston, WV, United States",-81.6326234,38.3498195,"charleston, wv, usa"
"'The Block'","betw. Adams & 3rd","Cruising Areas","Richmond","VA","United States","Bob Damron's Address Book",1981,"","Richmond, VA, United States",-77.4360481,37.5407246,"richmond, va, usa"
"'The Block'","N. of 25th on Grant","Cruising Areas","Ogden","UT","United States","Bob Damron's Address Book",1981,"","Ogden, UT, United States",-111.9738304,41.223,"ogden, ut, usa"
"'The Block'","from 30th to 31st, betw. 'O' & Dumbarton (Georgetown)","Cruising Areas","Washington","DC","United States","Bob Damron's Address Book",1981,"","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa"
"'The Block'","N. of 25th","Cruising Areas","Ogden","UT","United States","Bob Damron's Address Book",1983,"","Ogden, UT, United States",-111.9738304,41.223,"ogden, ut, usa"
"'The Block'","betw. 'O' & Dumbarton (Georgetown)","Cruising Areas","Washington","DC","United States","Bob Damron's Address Book",1983,"","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa"
"'The Block'","around Tradewinds Motel","Cruising Areas","Ft. Smith","AR","United States","Bob Damron's Address Book",1983,"","Ft. Smith, AR, United States",-94.4209646,35.3843722,"fort smith, ar, usa"
"'The Block'","around Andre's Restaurant on N .W .","Cruising Areas","Canton","OH","United States","Bob Damron's Address Book",1983,"","Canton, OH, United States",-81.378447,40.7989473,"canton, oh, usa"
"'The Block'","Grace & Franklin betw. Adams & 3rd","Cruising Areas","Richmond","VA","United States","Bob Damron's Address Book",1983,"","Richmond, VA, United States",-77.4360481,37.5407246,"richmond, va, usa"
"'The Block'","","Cruising Areas","Charleston","WV","United States","Bob Damron's Address Book",1983,"","Charleston, WV, United States",-81.6326234,38.3498195,"charleston, wv, usa"
"'The Block'","Summers, Donnally","Cruising Areas","Charleston","WV","United States","Bob Damron's Address Book",1983,"","Charleston, WV, United States",-81.6326234,38.3498195,"charleston, wv, usa"
"'The Block' around Tradewinds Motel","","Cruising Areas","Ft. Smith","AR","United States","Bob Damron's Address Book",1981,"","Ft. Smith, AR, United States",-94.4209646,35.3843722,"fort smith, ar, usa"
"'The Bushes'","at Battle Abbey","Cruising Areas","Richmond","VA","United States","Bob Damron's Address Book",1983,"","Richmond, VA, United States",-77.4360481,37.5407246,"richmond, va, usa"
"'The Cage'","Block around Federal Bldg.","Cruising Areas","Asheville","NC","United States","Bob Damron's Address Book",1981,"","Asheville, NC, United States",-82.5514869,35.5950581,"asheville, nc, usa"
"'The Cage'","Block around Federal Bldg.","Cruising Areas","Asheville","NC","United States","Bob Damron's Address Book",1983,"","Asheville, NC, United States",-82.5514869,35.5950581,"asheville, nc, usa"
"'The Circuit'","betw. Montrose & Mason","Cruising Areas","Houston","TX","United States","Bob Damron's Address Book",1981,"","Houston, TX, United States",-95.3698028,29.7604267,"houston, tx, usa"
"'The Dikes'","off I-91 N.","Cruising Areas","Hartford","CT","United States","Bob Damron's Address Book",1983,"","Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa"
"'The Dunes'","'B.A.' Beach about 1 mi. N. of parking lot","Cruising Areas","Rehoboth Beach","DE","United States","Bob Damron's Address Book",1983,"","Rehoboth Beach, DE, United States",-75.0760137,38.7209454,"rehoboth beach, de, usa"
"'The Falls'","across Ohio River in Jeffersonville, Indiana","Cruising Areas","Louisville","KY","United States","Bob Damron's Address Book",1981,"","Louisville, KY, United States",-85.7584557,38.2526647,"louisville, ky, usa"
"'The Falls'","across Ohio River in Jeffersonville, Indiana","Cruising Areas","Louisville","KY","United States","Bob Damron's Address Book",1983,"","Louisville, KY, United States",-85.7584557,38.2526647,"louisville, ky, usa"
"'The Glens'","'Rest Stop' 1 mi. S. of Jct. I-91","Cruising Areas","Meriden","CT","United States","Bob Damron's Address Book",1981,"","Meriden, CT, United States",-72.8070435,41.5381535,"meriden, ct, usa"
"'The Loop'","Spring, Myrtle & Garden Sts. nr. Asylum St.","Cruising Areas","Hartford","CT","United States","Bob Damron's Address Book",1981,"","Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa"
"'The Loop'","nr. Asylum St.","Cruising Areas","Hartford","CT","United States","Bob Damron's Address Book",1983,"","Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa"
"'The Loop'","nr. Asylum St.","Cruising Areas","Hartford","CT","United States","Bob Damron's Address Book",1983,"","Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa"
"'The Loop'","nr. Asylum St.","Cruising Areas","Hartford","CT","United States","Bob Damron's Address Book",1983,"","Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa"
"'The Strip'","'Hitch-hikers' on from Cache Rd. to Main Gate","Cruising Areas","Lawton","OK","United States","Bob Damron's Address Book",1981,"","Lawton, OK, United States",-98.3959291,34.6035669,"lawton, ok, usa"
"'The Strip'","'Hitch-hikers' from Cache Rd. to Main Gate","Cruising Areas","Lawton","OK","United States","Bob Damron's Address Book",1983,"","Lawton, OK, United States",-98.3959291,34.6035669,"lawton, ok, usa"
"'The Wall'","Nescopeck end of Ber-Nesco Bridge","Cruising Areas","Nescopeck","PA","United States","Bob Damron's Address Book",1981,"","Nescopeck, PA, United States",-76.2207671,41.0520292,"nescopeck, pa 18635, usa"
"'The Wall'","Dithridge St. & Winthrop - betw. 5th & Forbes (Nights only)","Cruising Areas","Pittsburgh","PA","United States","Bob Damron's Address Book",1981,"","Pittsburgh, PA, United States",-79.9958864,40.4406248,"pittsburgh, pa, usa"
"'The Wall'","100 block of College Ave.","Cruising Areas","State College","PA","United States","Bob Damron's Address Book",1981,"","State College, PA, United States",-77.8600012,40.7933949,"state college, pa, usa"
"'The Wall'","100 block of College Ave.","Cruising Areas","State College","PA","United States","Bob Damron's Address Book",1983,"","State College, PA, United States",-77.8600012,40.7933949,"state college, pa, usa"
"'The Wall' Seminary Place","George & Somerset Sts.- nr. Rutgers U.","Cruising Areas","New Brunswick","NJ","United States","Bob Damron's Address Book",1981,"","New Brunswick, NJ, United States",-74.4518188,40.4862157,"new brunswick, nj, usa"
"'Tow Path'","along the canal nr. Ferry St.","Cruising Areas","New Hope","PA","United States","Bob Damron's Address Book",1981,"","New Hope, PA, United States",-74.9512785,40.3642728,"new hope, pa 18938, usa"
"'Tow Path'","along the canal & Ferry St. Bridge","Cruising Areas","New Hope","PA","United States","Bob Damron's Address Book",1983,"","New Hope, PA, United States",-74.9512785,40.3642728,"new hope, pa 18938, usa"
"'Truck Stop'","betw. Beaumont & Orange","Cruising Areas","Beaumont","TX","United States","Bob Damron's Address Book",1981,"","Beaumont, TX, United States",-94.1265562,30.080174,"beaumont, tx, usa"
"'Truck Stop'","betw. Beaumont & Orange","Cruising Areas","Beaumont","TX","United States","Bob Damron's Address Book",1983,"","Beaumont, TX, United States",-94.1265562,30.080174,"beaumont, tx, usa"
"'Truck Stops'","","Cruising Areas","Fayetteville","NC","United States","Bob Damron's Address Book",1981,"","Fayetteville, NC, United States",-78.8783774,35.0523673,"fayetteville, nc, usa"
"'Truck Stops'","","Cruising Areas","Fayetteville","NC","United States","Bob Damron's Address Book",1983,"","Fayetteville, NC, United States",-78.8783774,35.0523673,"fayetteville, nc, usa"
"'Walking the Block'","around La Fonda Hotel (& infamous T -Room)","Cruising Areas","Santa Fe","NM","United States","Bob Damron's Address Book",1981,"","Santa Fe, NM, United States",-105.937799,35.6869752,"santa fe, nm, usa"
"'Walking the Block'","around La Fonda Hotel (& infamous T-Room)","Cruising Areas","Santa Fe","NM","United States","Bob Damron's Address Book",1983,"","Santa Fe, NM, United States",-105.937799,35.6869752,"santa fe, nm, usa"
"""Ruth Ann""","(bet. exits 6 & 7) (Rest Stop)","Cruising Areas","Bristol","VA","United States","Bob Damron's Address Book",1983,"","Bristol, VA, United States",-82.1887368,36.595142,"bristol, va, usa"
"""The Wall""","Downtown","Cruising Areas","Chapel Hill","NC","United States","Bob Damron's Address Book",1983,"","Chapel Hill, NC, United States",-79.0558445,35.9131996,"chapel hill, nc, usa"
"""Truck Stop""","","Cruising Areas","Durham","NC","United States","Bob Damron's Address Book",1983,"","Durham, NC, United States",-78.898619,35.9940329,"durham, nc, usa"
"2nd Ave.","North of town","Cruising Areas","Des Moines","IA","United States","Bob Damron's Address Book",1981,"","Des Moines, IA, United States",-93.6249522,41.5868417,"des moines, ia, usa"
"2nd Ave.","North of town","Cruising Areas","Des Moines","IA","United States","Bob Damron's Address Book",1983,"","Des Moines, IA, United States",-93.6249522,41.5868417,"des moines, ia, usa"
"4th & Main to 5th & Sycamore","","Cruising Areas","Cincinnati","OH","United States","Bob Damron's Address Book",1981,"","Cincinnati, OH, United States",-84.5120196,39.1031182,"cincinnati, oh, usa"
"4th & Main to 5th & Sycamore","(Fuzz)","Cruising Areas","Cincinnati","OH","United States","Bob Damron's Address Book",1983,"","Cincinnati, OH, United States",-84.5120196,39.1031182,"cincinnati, oh, usa"
"4th Avenue","Victory Dr. or other streets leading to Ft. Benning","Cruising Areas","Columbus","GA","United States","Bob Damron's Address Book",1981,"","Columbus, GA, United States",-84.9877094,32.4609764,"columbus, ga, usa"
"5th Ave. N.","at 20th St. nr. Bus Depot","Cruising Areas","Birmingham","AL","United States","Bob Damron's Address Book",1983,"","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"5th Ave. N. at 20th St.","nr. Bus Depot","Cruising Areas","Birmingham","AL","United States","Bob Damron's Address Book",1981,"","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"6th & Garrison","","Cruising Areas","Ft. Smith","AR","United States","Bob Damron's Address Book",1981,"","Ft. Smith, AR, United States",-94.4209646,35.3843722,"fort smith, ar, usa"
"6th & Garrison","","Cruising Areas","Ft. Smith","AR","United States","Bob Damron's Address Book",1983,"","Ft. Smith, AR, United States",-94.4209646,35.3843722,"fort smith, ar, usa"
"7th Keg","(Best bet) nr. Colorado","Bars/Clubs","Rawlins","WY","United States","Bob Damron's Address Book",1981,"","Rawlins, WY, United States",-107.2386627,41.7910697,"rawlins, wy 82301, usa"
"7th Keg","(Best bet) nr. Colorado","Bars/Clubs","Rawlins","WY","United States","Bob Damron's Address Book",1983,"","Rawlins, WY, United States",-107.2386627,41.7910697,"rawlins, wy 82301, usa"
"8th St.","","Cruising Areas","Wilmington","DE","United States","Bob Damron's Address Book",1983,"","Wilmington, DE, United States",-75.5483909,39.744655,"wilmington, de, usa"
"14 Karat","","Bars/Clubs","York","PA","United States","Bob Damron's Address Book",1981,"","York, PA, United States",-76.727745,39.9625984,"york, pa, usa"
"14 Karat","","Bars/Clubs","York","PA","United States","Bob Damron's Address Book",1983,"","York, PA, United States",-76.727745,39.9625984,"york, pa, usa"
"15th St.","near State Capitol Grounds","Cruising Areas","Lincoln","NE","United States","Bob Damron's Address Book",1983,"","Lincoln, NE, United States",-96.7025764,40.8136634,"lincoln, ne, usa"
"16th Street News","","Book Store","Wheeling","WV","United States","Bob Damron's Address Book",1981,"","Wheeling, WV, United States",-80.7209149,40.0639616,"wheeling, wv 26003, usa"
"18th St.","betw. Market & Chapline","Cruising Areas","Wheeling","WV","United States","Bob Damron's Address Book",1981,"","Wheeling, WV, United States",-80.7209149,40.0639616,"wheeling, wv 26003, usa"
"18th St.","betw. Market & Chapline","Cruising Areas","Wheeling","WV","United States","Bob Damron's Address Book",1983,"","Wheeling, WV, United States",-80.7209149,40.0639616,"wheeling, wv 26003, usa"
"20 rue Jacob","(Coffee House, Books, etc)","Restaurant,Book Store","Salt Lake City","UT","United States","Bob Damron's Address Book",1983,"","Salt Lake City, UT, United States",-111.8910474,40.7607793,"salt lake city, ut, usa"
"21st St. Beach","","Cruising Areas","Virginia Beach","VA","United States","Bob Damron's Address Book",1981,"","Virginia Beach, VA, United States",-75.9792194,36.8516437,"virginia beach, va, usa"
"21st St. Beach","","Cruising Areas","Virginia Beach","VA","United States","Bob Damron's Address Book",1983,"","Virginia Beach, VA, United States",-75.9792194,36.8516437,"virginia beach, va, usa"
"25th St.","betw. Washington & Wall","Cruising Areas","Ogden","UT","United States","Bob Damron's Address Book",1981,"","Ogden, UT, United States",-111.9738304,41.223,"ogden, ut, usa"
"25th St.","betw. Washington & Wall","Cruising Areas","Ogden","UT","United States","Bob Damron's Address Book",1983,"","Ogden, UT, United States",-111.9738304,41.223,"ogden, ut, usa"
"28 Prospect Hill","(Disco)(Cruisy patio) off Thames St. nr. P.O.","Bars/Clubs,Cruising Areas","Newport","RI","United States","Bob Damron's Address Book",1983,"","Newport, RI, United States",-71.3128285,41.4901024,"newport, ri, usa"
"40 West","(Cabaret)","Bars/Clubs","Newport","RI","United States","Bob Damron's Address Book",1981,"","Newport, RI, United States",-71.3128285,41.4901024,"newport, ri, usa"
"42nd Street","(Disco)","Bars/Clubs","Durham","NC","United States","Bob Damron's Address Book",1981,"","Durham, NC, United States",-78.898619,35.9940329,"durham, nc, usa"
"42nd Street","(Disco)(Game room -downstairs) (Wed., Fri., Sat only*)","Bars/Clubs","Durham","NC","United States","Bob Damron's Address Book",1983,"","Durham, NC, United States",-78.898619,35.9940329,"durham, nc, usa"
"76 Truck Stop","","Cruising Areas","Sweetwater","TX","United States","Bob Damron's Address Book",1981,"","Sweetwater, TX, United States",-100.4059384,32.4709519,"sweetwater, tx 79556, usa"
"76 Truck Stop","","Cruising Areas,Restaurant","Amarillo","TX","United States","Bob Damron's Address Book",1981,"","Amarillo, TX, United States",-101.8312969,35.2219971,"amarillo, tx, usa"
"76 Truck Stop","","Cruising Areas","Sweetwater","TX","United States","Bob Damron's Address Book",1983,"","Sweetwater, TX, United States",-100.4059384,32.4709519,"sweetwater, tx 79556, usa"
"80% Straight","(erotica)(2nd floor)","Bars/Clubs","Waikiki","HI","United States","Bob Damron's Address Book",1983,"","Waikiki, HI, United States",-157.8291847,21.2793462,"waikiki, honolulu, hi 96815, usa"
"100 block of Duke & Queen Sts.","","Cruising Areas","York","PA","United States","Bob Damron's Address Book",1981,"","York, PA, United States",-76.727745,39.9625984,"york, pa, usa"
"100 block of Duke & Queen Sts.","","Cruising Areas","York","PA","United States","Bob Damron's Address Book",1983,"","York, PA, United States",-76.727745,39.9625984,"york, pa, usa"
"119 Merrimac","(Disco)(Thurs. nights*)","Bars/Clubs","Boston","MA","United States","Bob Damron's Address Book",1981,"","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa"
"119 Merrimac","","Bars/Clubs","Boston","MA","United States","Bob Damron's Address Book",1983,"","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa"
"133 Club","","Restaurant","Providence","RI","United States","Bob Damron's Address Book",1981,"","Providence, RI, United States",-71.4128343,41.8239891,"providence, ri, usa"
"227 Club","(WE only - AH*)","Bars/Clubs","Lancaster","PA","United States","Bob Damron's Address Book",1983,"","Lancaster, PA, United States",-76.3055144,40.0378755,"lancaster, pa, usa"
"400 E. Oak","(Breakfast & lunch)(AH - WE)","Restaurant","Louisville","KY","United States","Bob Damron's Address Book",1983,"","Louisville, KY, United States",-85.7584557,38.2526647,"louisville, ky, usa"
"930 Club","(Very M)(Live bands - Punk rock)","Bars/Clubs","Washington","DC","United States","Bob Damron's Address Book",1983,"","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa"
"1101 West","(Disco)(Some L)","Bars/Clubs","Appleton","WI","United States","Bob Damron's Address Book",1983,"","Appleton, WI, United States",-88.4153847,44.2619309,"appleton, wi, usa"
"1807 House","","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1981,"","Provincetown, MA, United States",-70.1846012,42.0547136,"provincetown, ma, usa"
"1807 House","","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1983,"","Provincetown, MA, United States",-70.1846012,42.0547136,"provincetown, ma, usa"
"1888 Club","(WE - only - AH*)","Bars/Clubs","Atlanta","GA","United States","Bob Damron's Address Book",1983,"","Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa"
"1894 Guest House","","Hotel","Saugatuck","MI","United States","Bob Damron's Address Book",1981,"","Saugatuck, MI, United States",-86.2019825,42.6550248,"saugatuck, mi 49453, usa"
"1942 Club","(Some W, SM, YC, PT in front -Disco - D in back - 3 bars)(Cruisy)(C-AH-Fri & Sat)","Bars/Clubs,Cruising Areas","Denver","CO","United States","Bob Damron's Address Book",1981,"","Denver, CO, United States",-104.990251,39.7392358,"denver, co, usa"
"2001","(May be dosing)(Disco)(Sat. nights only) Next to 3 Rivers Stadium","Bars/Clubs","Pittsburgh","PA","United States","Bob Damron's Address Book",1981,"","Pittsburgh, PA, United States",-79.9958864,40.4406248,"pittsburgh, pa, usa"
"2024 Tavern","(Good Sundays)","Bars/Clubs","Seattle","WA","United States","Bob Damron's Address Book",1981,"","Seattle, WA, United States",-122.3328481,47.6061389,"seattle, wa, usa"
"2024 Tavern","(Good Sundays)","Bars/Clubs","Seattle","WA","United States","Bob Damron's Address Book",1983,"","Seattle, WA, United States",-122.3328481,47.6061389,"seattle, wa, usa"
"2306 Club","(Hotel - like baths)(Some SM, FFA, Kinky)","Bars/Clubs,Bathhouses","Houston","TX","United States","Bob Damron's Address Book",1981,"","Houston, TX, United States",-95.3698028,29.7604267,"houston, tx, usa"
"2306 Club","(Some SM, FFA, Kinky)(Cell like rooms)","Bars/Clubs","Houston","TX","United States","Bob Damron's Address Book",1983,"","Houston, TX, United States",-95.3698028,29.7604267,"houston, tx, usa"
"3116 Mens Club","(Referral only)(Baths)","Bathhouses","Dallas","TX","United States","Bob Damron's Address Book",1981,"","Dallas, TX, United States",-96.7969879,32.7766642,"dallas, tx, usa"
"8300 Block","(Baths)(Cl. Mon & Tue)","Bathhouses","Albuquerque","NM","United States","Bob Damron's Address Book",1983,"","Albuquerque, NM, United States",-106.650422,35.0843859,"albuquerque, nm, usa"
"A & A Baths","(Several floors - looks promising)","Bathhouses","Washington","DC","United States","Bob Damron's Address Book",1981,"","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa"
"A Coincidence","(Some YC, M, L)(Disco)(Looks promising)","Bars/Clubs,Restaurant","Lewiston","ME","United States","Bob Damron's Address Book",1981,"","Lewiston, ME, United States",-70.2147764,44.100351,"lewiston, me, usa"
"A Cut Above","(Hair Salon)(Bosier City)","Business","Shreveport","LA","United States","Bob Damron's Address Book",1981,"","Shreveport, LA, United States",-93.7501789,32.5251516,"shreveport, la, usa"
"A Different Drummer","(Book store)","Book Store","Seattle","WA","United States","Bob Damron's Address Book",1981,"","Seattle, WA, United States",-122.3328481,47.6061389,"seattle, wa, usa"
"A Different Drummer","(Book store)","Book Store","Seattle","WA","United States","Bob Damron's Address Book",1983,"","Seattle, WA, United States",-122.3328481,47.6061389,"seattle, wa, usa"
"A Foreign Affair","(Disco)(Opening soon)(Inquire locally)","Bars/Clubs","Washington","DC","United States","Bob Damron's Address Book",1981,"","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa"
"A Man's World","(Some SM, C & W)","Bars/Clubs","Cleveland","OH","United States","Bob Damron's Address Book",1983,"","Cleveland, OH, United States",-81.6943605,41.49932,"cleveland, oh, usa"
"A Mind of Your Own","(Books)","Book Store","Des Moines","IA","United States","Bob Damron's Address Book",1981,"","Des Moines, IA, United States",-93.6249522,41.5868417,"des moines, ia, usa"
"A Port in the Storm","","Bars/Clubs","Cedar Rapids","IA","United States","Bob Damron's Address Book",1981,"","Cedar Rapids, IA, United States",-91.6656232,41.9778795,"cedar rapids, ia, usa"
"A Touch of Class","(Hair Salon)","Business","Amarillo","TX","United States","Bob Damron's Address Book",1981,"","Amarillo, TX, United States",-101.8312969,35.2219971,"amarillo, tx, usa"
"A Touch of Class","(Hair Salon)","Business","Amarillo","TX","United States","Bob Damron's Address Book",1983,"","Amarillo, TX, United States",-101.8312969,35.2219971,"amarillo, tx, usa"
"A.S.P","(Business Assn.)","Organization","Plymouth","MI","United States","Bob Damron's Address Book",1983,"Listed city is different from address city","Plymouth, MI, United States",-83.4702132,42.3714253,"plymouth, mi 48170, usa"
"A.S.U.","Library","Cruising Areas","Tempe","AZ","United States","Bob Damron's Address Book",1981,"","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"A.S.U.","Student Union","Cruising Areas","Tempe","AZ","United States","Bob Damron's Address Book",1981,"","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"A.S.U.","Old Gym T-Rooms","Cruising Areas","Tempe","AZ","United States","Bob Damron's Address Book",1981,"","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"A.S.U.","(T-Rooms) (Old Gym)","Cruising Areas","Tempe","AZ","United States","Bob Damron's Address Book",1983,"","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"A.S.U.","(Student Union) (T-Rooms)","Cruising Areas","Tempe","AZ","United States","Bob Damron's Address Book",1983,"","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"A.S.U.","(T-Rooms) (Library)","Cruising Areas","Tempe","AZ","United States","Bob Damron's Address Book",1983,"","Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"A1 Duane's Adult Books","","Book Store","Seattle","WA","United States","Bob Damron's Address Book",1983,"","Seattle, WA, United States",-122.3328481,47.6061389,"seattle, wa, usa"
