"title","description","type","city","state","country","publication","year","notes"
"Dartmouth College","(Hopkins Center & Baker Library)","Cruising Areas","Hanover","NH","United States","Bob Damron's Address Book",1983,""
"Darvo's","(Very M)(Disco)(Could 'pick up')","Bars/Clubs","Auburn","AL","United States","Bob Damron's Address Book",1981,""
"Darvo's","(Very M) (Disco)","Bars/Clubs","Auburn","AL","United States","Bob Damron's Address Book",1983,""
"Dave's Baths","(2nd floor)","Bathhouses","Seattle","WA","United States","Bob Damron's Address Book",1981,""
"Dave's Baths","(2nd floor)","Bathhouses","Seattle","WA","United States","Bob Damron's Address Book",1983,""
"Dave's V.I.P. Club","Westside Motel & adjacent Dave's","Bars/Clubs","Reno","NV","United States","Bob Damron's Address Book",1981,""
"Dave's V.I.P. Club","(WE*)","Bars/Clubs","Reno","NV","United States","Bob Damron's Address Book",1983,""
"Dave's Westside Motel","","Hotel","Reno","NV","United States","Bob Damron's Address Book",1983,""
"Davenport Hotel","","Hotel","Atlantic City","NJ","United States","Bob Damron's Address Book",1981,""
"Davenport Hotel","","Hotel","Atlantic City","NJ","United States","Bob Damron's Address Book",1983,""
"David's","(Disco)(Cruisy patio) off Thames St.","Bars/Clubs,Cruising Areas","Newport","RI","United States","Bob Damron's Address Book",1981,""
"David's","","Bars/Clubs","Pittsburgh","PA","United States","Bob Damron's Address Book",1981,""
"David's","(Expanded)(Disco)(Unisex)","Bars/Clubs","Denver","CO","United States","Bob Damron's Address Book",1981,""
"David's","(Disco)","Bars/Clubs","Mobile","AL","United States","Bob Damron's Address Book",1983,""
"David's","(Disco)","Bars/Clubs","Denver","CO","United States","Bob Damron's Address Book",1983,""
"David's","","Bars/Clubs","Pittsburgh","PA","United States","Bob Damron's Address Book",1983,""
"David's Bookstore","(Cruisy - late*)","Book Store,Cruising Areas","Charlotte","NC","United States","Bob Damron's Address Book",1981,""
"David's Bookstore","(Cruisy - late*)","Book Store,Cruising Areas","Charlotte","NC","United States","Bob Damron's Address Book",1983,""
"David's Lounge","(Some L)(Disco)","Bars/Clubs","Wilmington","NC","United States","Bob Damron's Address Book",1981,""
"David's Lounge","(Some L)","Bars/Clubs","Steubenville","OH","United States","Bob Damron's Address Book",1981,""
"David's Lounge","(Some L)","Bars/Clubs","Steubenville","OH","United States","Bob Damron's Address Book",1983,""
"David's Lounge","(Some L)(Disco)","Bars/Clubs","Wilmington","NC","United States","Bob Damron's Address Book",1983,""
"Davison's Dept. Store","T-Rooms","Cruising Areas","Atlanta","GA","United States","Bob Damron's Address Book",1981,""
"Davison's Dept. Store","T-Rooms","Cruising Areas","Atlanta","GA","United States","Bob Damron's Address Book",1983,"Found on this website: http://www.thedepartmentstoremuseum.org/2010/06/davison-paxon-co-atlanta.html"
"Days Inn Coffee Shop","(Open 24 hours)","Restaurant","Savannah","GA","United States","Bob Damron's Address Book",1983,""
"De Anza Park","","Cruising Areas","Tucson","AZ","United States","Bob Damron's Address Book",1981,""
"Dean's","(Happy hour*)","Bars/Clubs","Cleveland","OH","United States","Bob Damron's Address Book",1981,""
"Dean's","(Happy hour*)","Bars/Clubs","Cleveland","OH","United States","Bob Damron's Address Book",1983,""
"Decatur News","(Flicks, books, etc.)","Book Store","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Deck","(Opens 12 noon)","Bars/Clubs","Detroit","MI","United States","Bob Damron's Address Book",1981,""
"Deck","(Opens 12 noon)","Bars/Clubs","Detroit","MI","United States","Bob Damron's Address Book",1983,""
"Deck Guest House","","Hotel","Atlantic City","NJ","United States","Bob Damron's Address Book",1981,""
"Dee Dee's","(Some drags)","Bars/Clubs","Richmond","VA","United States","Bob Damron's Address Book",1983,""
"Dee's Lounge","(Some L)","Bars/Clubs","Mount Clemens","MI","United States","Bob Damron's Address Book",1981,""
"Dee's Place","(Some L, M )","Restaurant","Philadelphia","PA","United States","Bob Damron's Address Book",1981,""
"Dee's Place","(Some L, M )","Restaurant","Philadelphia","PA","United States","Bob Damron's Address Book",1983,""
"Deep Purple","(Some L, B)(Drags)(Cruisy)","Bars/Clubs,Cruising Areas","Columbus","GA","United States","Bob Damron's Address Book",1981,""
"Deep Purple","","Bars/Clubs","Columbus","GA","United States","Bob Damron's Address Book",1983,""
"Deer Hunter","","Bars/Clubs","Salt Lake City","UT","United States","Bob Damron's Address Book",1983,""
"Deer Park Lodge","(Disco)(Some L)(Looks promising) 5 mi. E. Exit 32","Bars/Clubs,Restaurant","Hagerstown","MD","United States","Bob Damron's Address Book",1983,""
"Deja Vu","(Closes 12 midnight)","Bars/Clubs","Providence","RI","United States","Bob Damron's Address Book",1981,""
"Deja Vu","(Closes 12 midnight)","Bars/Clubs","Providence","RI","United States","Bob Damron's Address Book",1983,""
"Del Roy's Diner","","Restaurant","Easton","PA","United States","Bob Damron's Address Book",1981,""
"Del Roy's Diner","","Restaurant","Easton","PA","United States","Bob Damron's Address Book",1983,""
"Delivery Entrance","(Bar at The House)(Some L)(Boston's most unusual bar) (Allston)","Bars/Clubs","Boston","MA","United States","Bob Damron's Address Book",1981,""
"Delta Elite","(Disco)(Th-Sat only)","Bars/Clubs","Washington","DC","United States","Bob Damron's Address Book",1983,""
"Den","(Some W, OC)","Restaurant","Denver","CO","United States","Bob Damron's Address Book",1981,""
"Den","(Some YC, L)(Disco)","Bars/Clubs","New Brunswick","NJ","United States","Bob Damron's Address Book",1983,""
"Den","(Some W, OC)","Restaurant","Denver","CO","United States","Bob Damron's Address Book",1983,""
"Den","(Men's club)(No booze)","Bars/Clubs","Dallas","TX","United States","Bob Damron's Address Book",1983,""
"Den of Pleasure","(Adult books)","Book Store","Lancaster","PA","United States","Bob Damron's Address Book",1981,""
"Den of Pleasure","(Adult books)","Book Store","Lancaster","PA","United States","Bob Damron's Address Book",1983,""
"Den-Mini Adult Theatre","(Some B)","Theatre","Columbus","GA","United States","Bob Damron's Address Book",1981,""
"Den-Mini Adult Theatre","(Some B)","Theatre","Columbus","GA","United States","Bob Damron's Address Book",1983,""
"Denmark Book Store","","Book Store","Las Vegas","NV","United States","Bob Damron's Address Book",1983,""
"Dennis' Paradise Island","(Disco)","Bars/Clubs","Wilkes-Barre","PA","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Phoenix","AZ","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Portland","ME","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Lansing","MI","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Wichita Falls","TX","United States","Bob Damron's Address Book",1981,""
"Denny's","Farmer Sack Shopping Plaza","Restaurant","Toledo","OH","United States","Bob Damron's Address Book",1981,""
"Denny's","at 8th St. exit","Restaurant","Waco","TX","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Indianapolis","IN","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Colorado Springs","CO","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Dayton","OH","United States","Bob Damron's Address Book",1981,""
"Denny's","","Restaurant","Salt Lake City","UT","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","St. Louis","MO","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Joplin","MO","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Dayton","OH","United States","Bob Damron's Address Book",1983,""
"Denny's","at Bijou","Restaurant","Colorado Springs","CO","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Toledo","OH","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","McAllen","TX","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Lansing","MI","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","El Paso","TX","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Phoenix","AZ","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Lubbock","TX","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Indianapolis","IN","United States","Bob Damron's Address Book",1983,""
"Denny's","","Restaurant","Wichita Falls","TX","United States","Bob Damron's Address Book",1983,""
"Denny's","at 8th St. exit","Restaurant","Waco","TX","United States","Bob Damron's Address Book",1983,""
"Denver Book Barter","","Book Store","Denver","CO","United States","Bob Damron's Address Book",1981,""
"Denver Book Barter","","Book Store","Denver","CO","United States","Bob Damron's Address Book",1983,""
"Denver Book Fair","","Book Store","Denver","CO","United States","Bob Damron's Address Book",1981,""
"Depot Lounge","Holiday Inn","Bars/Clubs","St. Joseph","MO","United States","Bob Damron's Address Book",1981,""
"Depot Lounge","(Disco)","Bars/Clubs","Hammond","IN","United States","Bob Damron's Address Book",1983,""
"Des Moines Boardwalk Club","(Gay complex)(4 bars)(Disco)","Bars/Clubs","Des Moines","IA","United States","Bob Damron's Address Book",1981,""
"Desert Deli","","Restaurant","Tuscon","AZ","United States","Bob Damron's Address Book",1983,""
"Desert Squire","(clothing)","Business","Scottsdale","AZ","United States","Bob Damron's Address Book",1983,""
"DeSoto Park","T-Room","Cruising Areas","Hot Springs","AR","United States","Bob Damron's Address Book",1983,"DeSoto Park: https://www.cityhs.net/Facilities/Facility/Details/Desoto-Park-5"
"DeSoto Park T-Room","","Cruising Areas","Hot Springs","AR","United States","Bob Damron's Address Book",1981,""
"Deux Cheminee","(French R) 251 S. Camac","Restaurant","Philadelphia","PA","United States","Bob Damron's Address Book",1981,""
"Dexter 'Rest Stop'","S. side of 1-94 W.","Cruising Areas","Ann Arbor","MI","United States","Bob Damron's Address Book",1981,""
"Dexter 'Rest Stop'","S. side","Cruising Areas","Ann Arbor","MI","United States","Bob Damron's Address Book",1983,""
"Dexter Pub","","Bars/Clubs","Montgomery","AL","United States","Bob Damron's Address Book",1981,""
"Dexter's Inn","","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1981,""
"Dexter's Inn","","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1983,""
"Di Rocco's Cabaret","(Disco)(Some L) (WE*) (Rte. 3 A ) nr. New Hampshire State Line","Bars/Clubs","Tyngsboro","MA","United States","Bob Damron's Address Book",1981,""
"Di Rocco's Cabaret","(Disco)(Some L )(WE*)(Rte. 3A) nr. New Hampshire State Line","Bars/Clubs","Tyngsboro","MA","United States","Bob Damron's Address Book",1983,""
"Diamond Bar","(Some W, SM) (Good afternoons)","Bars/Clubs","Omaha","NE","United States","Bob Damron's Address Book",1981,""
"Diamond Bar","(Some W, SM) (Good afternoons)","Bars/Clubs","Omaha","NE","United States","Bob Damron's Address Book",1983,""
"Diamond Belle","Peek-A-Rama (Books)","Book Store,Erotic Shop","Rapid City","SD","United States","Bob Damron's Address Book",1981,""
"Diamond Belle Bar","","Bars/Clubs","Durango","CO","United States","Bob Damron's Address Book",1981,""
"Diamond Head","'B.A.' Beach - below lighthouse","Cruising Areas","Waikiki","HI","United States","Bob Damron's Address Book",1981,""
"Diamond Head 'B.A.' Beach","below lighthouse","Cruising Areas","Waikiki","HI","United States","Bob Damron's Address Book",1983,""
"Diamond Head Athletic Club","(Nautilus gym)(Show Address Book for adm.)","Gym","Waikiki","HI","United States","Bob Damron's Address Book",1981,""
"Diamond Head Athletic Club","(Nautilus gym)","Gym","Waikiki","HI","United States","Bob Damron's Address Book",1983,""
"Diamond Head Bushes","above the Hwy.","Cruising Areas","Waikiki","HI","United States","Bob Damron's Address Book",1983,""
"Diamond Lil's","(D.L's)","Bars/Clubs","Phoenix","AZ","United States","Bob Damron's Address Book",1981,""
"Diamond Lil's","(Some Latins, L)","Bars/Clubs","El Paso","TX","United States","Bob Damron's Address Book",1981,""
"Diamond Lil's","(Some Latins, L)","Bars/Clubs","El Paso","TX","United States","Bob Damron's Address Book",1983,""
"Diamond S Ranch & Hot Springs","Steambath can be interesting","Hotel,Bathhouses","Boulder","MT","United States","Bob Damron's Address Book",1981,""
"Diane's","(Some L)","Bars/Clubs","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Diane's","","Bars/Clubs","New Orleans","LA","United States","Bob Damron's Address Book",1983,""
"Different Drum","(Uniforms) (Eagle Leathers)","Bars/Clubs","Houston","TX","United States","Bob Damron's Address Book",1983,""
"Dignity","","Religious Institution","Harrisburg","PA","United States","Bob Damron's Address Book",1981,""
"Dignity","","Religious Institution","Des Moines","IA","United States","Bob Damron's Address Book",1981,""
"Dignity","(Catholic Church)","Religious Institution","Minneapolis","MN","United States","Bob Damron's Address Book",1981,""
"Dignity","(Catholic gays)","Religious Institution","Philadelphia","PA","United States","Bob Damron's Address Book",1981,""
"Dignity","","Religious Institution","Las Vegas","NV","United States","Bob Damron's Address Book",1981,""
"Dignity","(Church)","Religious Institution","Cleveland","OH","United States","Bob Damron's Address Book",1983,""
"Dignity","","Religious Institution","Philadelphia","PA","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Portland","OR","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Toledo","OH","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","New Orleans","LA","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Norfolk","VA","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Richmond","VA","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","St. Louis","MO","United States","Bob Damron's Address Book",1983,""
"Dignity","(Catholic Church)","Religious Institution","Minneapolis","MN","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Salt Lake City","UT","United States","Bob Damron's Address Book",1983,""
"Dignity","","Religious Institution","Harrisburg","PA","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Baltimore","MD","United States","Bob Damron's Address Book",1983,""
"Dignity","(Hartford)","Religious Institution","Hartford","CT","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Columbus","OH","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Atlanta","GA","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Tucson","AZ","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church) (202) 232-7103","Religious Institution","Washington","DC","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Cincinnati","OH","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","San Antonio","TX","United States","Bob Damron's Address Book",1983,""
"Dignity","(Indianapolis)","Religious Institution","Indianapolis","IN","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Milwaukee","WI","United States","Bob Damron's Address Book",1983,""
"Dignity","(Church)","Religious Institution","Boston","MA","United States","Bob Damron's Address Book",1983,""
"Dignity","","Religious Institution","Wilkes-Barre","PA","United States","Bob Damron's Address Book",1983,""
"Dignity / Pittsburgh","(Catholics)","Religious Institution","Pittsburgh","PA","United States","Bob Damron's Address Book",1981,""
"Dignity / Pittsburgh","(Catholics)","Religious Institution","Pittsburgh","PA","United States","Bob Damron's Address Book",1983,""
"Dignity Detroit","(Catholic organ.)","Religious Institution","Detroit","MI","United States","Bob Damron's Address Book",1981,""
"Dignity Detroit","","Religious Institution","Detroit","MI","United States","Bob Damron's Address Book",1983,""
"Dignity Omaha","(Church)","Religious Institution","Omaha","NE","United States","Bob Damron's Address Book",1983,""
"Dignity/Ft. Worth","(Church)","Religious Institution","Ft. Worth","TX","United States","Bob Damron's Address Book",1983,""
"Diners News","(Books)","Book Store","Houston","TX","United States","Bob Damron's Address Book",1981,""
"Diners News","(Books)","Book Store","Houston","TX","United States","Bob Damron's Address Book",1983,""
"Diplomat Club Baths","(Looks promising)","Bathhouses","Grand Rapids","MI","United States","Bob Damron's Address Book",1983,""
"Dirt Cheap","(Book Store & Head Shop)","Book Store","Lincoln","NE","United States","Bob Damron's Address Book",1981,""
"Dirty Dottie's Cleaners","(Good source for local info.)","Business","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Dirty Dottie's Cleaners","","Business","New Orleans","LA","United States","Bob Damron's Address Book",1983,""
"Dirty Mary's","(Patio betw. Hamburger Mary's & Hulas)(Some SM, W, FFA)(Cruisy)","Bars/Clubs,Cruising Areas","Waikiki","HI","United States","Bob Damron's Address Book",1983,""
"Dirty Sally's","(Patio)(Good days & early evenings*)","Bars/Clubs","Houston","TX","United States","Bob Damron's Address Book",1981,""
"Dirty Sally's","(Patio)(Good days)","Bars/Clubs","Houston","TX","United States","Bob Damron's Address Book",1983,""
"Disco 425","(Disco)(Some L, YC)  ('First Emperor')(S - WE & Wed.)","Bars/Clubs","Spokane","WA","United States","Bob Damron's Address Book",1981,""
"Disco 425","(Disco)(Some L, YC) ('First Emperor')(S - WE & Wed.)","Bars/Clubs","Spokane","WA","United States","Bob Damron's Address Book",1983,""
"Disco Cave","(Disco)","Bars/Clubs","Patterson","NJ","United States","Bob Damron's Address Book",1981,""
"Disco Cave","(Disco)(Looking up in spite of problems)","Bars/Clubs","Patterson","NJ","United States","Bob Damron's Address Book",1983,""
"Disco Fever","(Disco)(Game room)","Bars/Clubs","Las Vegas","NV","United States","Bob Damron's Address Book",1981,""
"Discount Adult Books","","Book Store,Erotic Shop","Wilmington","DE","United States","Bob Damron's Address Book",1983,""
"Discount Book Store","(Movie arcade - cruisy)","Cruising Areas,Book Store","Dayton","OH","United States","Bob Damron's Address Book",1981,""
"Discovery","(Disco)","Restaurant","Little Rock","AR","United States","Bob Damron's Address Book",1981,""
"Discovery","(Disco)(D - upstairs)(PT & Games)(3 bars)(Something for everyone)","Bars/Clubs","Louisville","KY","United States","Bob Damron's Address Book",1983,""
"Discovery","(DIsco) (riverfront Dr. off Cantrell Rd.)","Bars/Clubs","Little Rock","AR","United States","Bob Damron's Address Book",1983,""
"Discovery 3","(Disco)('til 3am)(WE*)","Bars/Clubs","Palisades Park","NJ","United States","Bob Damron's Address Book",1983,""
"Do Jiggy","(WE*)","Bars/Clubs","Waikiki","HI","United States","Bob Damron's Address Book",1983,""
"Doc Johnson's","(Books 'n' things)","Book Store","Bloomington","IN","United States","Bob Damron's Address Book",1981,""
"Doc Johnson's","(Books 'n' things)","Book Store","Bloomington","IN","United States","Bob Damron's Address Book",1983,""
"Dock","(Disco)","Bars/Clubs","Baton Rouge","LA","United States","Bob Damron's Address Book",1981,""
"Dock","by Pier IV Restaurant","Cruising Areas","Prairie Du Chien","WI","United States","Bob Damron's Address Book",1981,""
"Dog Patch 2","(Looks promising)","Bars/Clubs","Houston","TX","United States","Bob Damron's Address Book",1981,""
"Dolpen II Book Store","","Book Store","New Orleans","LA","United States","Bob Damron's Address Book",1983,""
"DolpenII Book Store","","Book Store","New Orleans","LA","United States","Bob Damron's Address Book",1981,""
"Don's Le Patois","(French R)","Restaurant","Houston","TX","United States","Bob Damron's Address Book",1981,""
"Donald's Lounge","(Some L)","Bars/Clubs","Kansas City","MO","United States","Bob Damron's Address Book",1983,""
"Dorian's Restaurant","","Cruising Areas","Kailua-Kona","HI","United States","Bob Damron's Address Book",1983,""
"Dot's Spot","(Some L)","Restaurant,Bars/Clubs","Washington","DC","United States","Bob Damron's Address Book",1983,""
"Dot's Video & Thrift Store","","Business","Tulsa","OK","United States","Bob Damron's Address Book",1983,""
"Double Header","","Bars/Clubs","Seattle","WA","United States","Bob Damron's Address Book",1981,""
"Double Header","","Bars/Clubs","Seattle","WA","United States","Bob Damron's Address Book",1983,""
"Double U's Adult Store","","Erotic Shop","Wichita Falls","TX","United States","Bob Damron's Address Book",1981,""
"Double U's Adult Store","","Erotic Shop","Wichita Falls","TX","United States","Bob Damron's Address Book",1983,""
"Douglas Dunes","(Resort)(Disco - D - WE) Blue Star Mem. Hwy. (616) 857-1401","Restaurant,Bars/Clubs,Hotel","Douglas","MI","United States","Bob Damron's Address Book",1983,"City in address is different from listed city"
"Douglas Tavern","","Bars/Clubs","Superior","WI","United States","Bob Damron's Address Book",1981,""
"Douglas Tavern","(Best late nites)","Bars/Clubs","Superior","WI","United States","Bob Damron's Address Book",1983,""
"Dover Fox","(Disco)(Cruisy)","Bars/Clubs,Cruising Areas","Kansas City","MO","United States","Bob Damron's Address Book",1981,""
"Dover Fox","(Disco)","Bars/Clubs","Kansas City","MO","United States","Bob Damron's Address Book",1983,""
"Down & Dirty","('D.D.'s) (Trying for W, SM) (Disco)","Bars/Clubs","Tuscon","AZ","United States","Bob Damron's Address Book",1983,""
"Down Under Book Store","(Books, erotica, cruisy peep shows)(Open 24 hrs.) at Cypress","Erotic Shop,Book Store,Cruising Areas","Atlanta","GA","United States","Bob Damron's Address Book",1981,""
"Downstairs Bar","Old Marquette Inn","Bars/Clubs","Marquette","MI","United States","Bob Damron's Address Book",1983,""
"Downtown","betw. P.O. & Public Library","Cruising Areas","Knoxville","TN","United States","Bob Damron's Address Book",1983,""
"Downtown","around Ellwest & Triple X Theatres at N. end of Tarrent County Conv. Center","Cruising Areas","Ft. Worth","TX","United States","Bob Damron's Address Book",1983,""
"Downtown","Madison betw. Giss Pkwy & Main St.","Cruising Areas","Yuma","AZ","United States","Bob Damron's Address Book",1983,""
"Downtown Book Store","","Book Store","Las Vegas","NV","United States","Bob Damron's Address Book",1983,""
"Downtown Books","","Book Store","Cleveland","OH","United States","Bob Damron's Address Book",1983,""
"Downtown Mall","T-Room","Cruising Areas","Springfield","MA","United States","Bob Damron's Address Book",1981,""
"Downtown Mall","T-Room","Cruising Areas","Springfield","MA","United States","Bob Damron's Address Book",1983,""
"Downtown News","","Book Store","Youngstown","OH","United States","Bob Damron's Address Book",1981,""
"Downtown Stag Shop","(Books & erotica)","Book Store,Erotic Shop","Richmond","VA","United States","Bob Damron's Address Book",1983,""
"Downtowner","","Bars/Clubs","Ft. Worth","TX","United States","Bob Damron's Address Book",1981,""
"Downtowner","(Disco)(Many L) (WE*)","Bars/Clubs","Louisville","KY","United States","Bob Damron's Address Book",1981,""
"Downtowner","(Disco)(Some L)","Bars/Clubs","Louisville","KY","United States","Bob Damron's Address Book",1983,""
"Downtowner Motel Bar","","Bars/Clubs","Vicksburg","MS","United States","Bob Damron's Address Book",1981,""
"Downtowner Motel Bar","","Bars/Clubs","Vicksburg","MS","United States","Bob Damron's Address Book",1983,""
"Downtowner Plaza Shopping Mall","","Cruising Areas","Coshocton","OH","United States","Bob Damron's Address Book",1981,""
"Downtowner Plaza Shopping Mall","","Cruising Areas","Coshocton","OH","United States","Bob Damron's Address Book",1983,""
"Drake Hotel","","Hotel,Restaurant","Asbury Park","NJ","United States","Bob Damron's Address Book",1983,""
"Driftwood Lounge","(Opens 4pm)(Out of staters welcome)","Bars/Clubs","Huntington","WV","United States","Bob Damron's Address Book",1981,""
"Driftwood Lounge","(Opens 4pm)(S-WE)","Bars/Clubs","Huntington","WV","United States","Bob Damron's Address Book",1983,""
"Drinkery","(Disco)(Cruisy) at Park","Bars/Clubs,Cruising Areas","Baltimore","MD","United States","Bob Damron's Address Book",1981,""
"Drinkery","(Some OC) at Park","Bars/Clubs","Baltimore","MD","United States","Bob Damron's Address Book",1983,""
"Drury Lane","(Good days*)(bar below Lafittes)","Bars/Clubs","Philadelphia","PA","United States","Bob Damron's Address Book",1981,""
"Drury Lane","(Good days*)(bar below Lafittes)","Bars/Clubs","Philadelphia","PA","United States","Bob Damron's Address Book",1983,""
"Duck Pond","at Wright Park","Cruising Areas","Tacoma","WA","United States","Bob Damron's Address Book",1983,""
"Dudes Book Store","(Flicks, etc.)(Cruisy)","Book Store,Cruising Areas,Erotic Shop","Greensboro","NC","United States","Bob Damron's Address Book",1981,""
"Dudes Book Store","(Flicks, etc.)(Cruisy)","Book Store,Cruising Areas,Erotic Shop","Greensboro","NC","United States","Bob Damron's Address Book",1983,""
"Duff's","(Open Sundays*)","Restaurant","St. Louis","MO","United States","Bob Damron's Address Book",1981,""
"Duff's","(Open Sundays)","Restaurant","St. Louis","MO","United States","Bob Damron's Address Book",1983,""
"Duffy's Tavern","(Some L)","Bars/Clubs","McAllen","TX","United States","Bob Damron's Address Book",1981,""
"Duffy's Tavern","(Some L)","Bars/Clubs","McAllen","TX","United States","Bob Damron's Address Book",1983,""
"Dugan's Deli","","Restaurant","Ames","IA","United States","Bob Damron's Address Book",1981,""
"Dugan's Deli","","Restaurant","Ames","IA","United States","Bob Damron's Address Book",1983,""
"Duke U.","Page Auditorium - T-Room","Cruising Areas","Durham","NC","United States","Bob Damron's Address Book",1981,""
"Duke U.","(T-Room) (Page Auditorium)","Cruising Areas","Durham","NC","United States","Bob Damron's Address Book",1983,""
"Duluth Hotel Bar","","Hotel,Bars/Clubs","Detroit Lakes","MN","United States","Bob Damron's Address Book",1981,""
"Duluth Steam Baths","(Closes 12 midnight)","Bathhouses","Duluth","MN","United States","Bob Damron's Address Book",1983,""
"Dundee Inn","(Bar) 20th at Ocean Front","Hotel","Virginia Beach","VA","United States","Bob Damron's Address Book",1981,""
"Dunes","west of Surfside","Cruising Areas","Nantucket","MA","United States","Bob Damron's Address Book",1983,""
"Dunes Motel & Apts.","(P.O. Box 361)","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1981,""
"Dunes Motel & Apts.","(P.O. Box 361)","Hotel","Provincetown","MA","United States","Bob Damron's Address Book",1983,""
"Dunk & Dine","","Restaurant","Atlanta","GA","United States","Bob Damron's Address Book",1981,""
"Dunk & Dine","(Open late)","Restaurant","Atlanta","GA","United States","Bob Damron's Address Book",1983,""
"Dunkin Donuts","","Cruising Areas","Columbia","MO","United States","Bob Damron's Address Book",1981,""
"Dunkin Donuts","","Cruising Areas","Columbia","MO","United States","Bob Damron's Address Book",1983,""
"Durham Mall","'T-Room'","Cruising Areas","Pittsfield","MA","United States","Bob Damron's Address Book",1981,"Could this be ""Dunham"" Mall?: https://downtownpittsfield.com/2018/04/dunham-mall-residences-20-dunham-mall-pittsfield-ma-01201/"
"Durham Mall","'T-Room'","Cruising Areas","Pittsfield","MA","United States","Bob Damron's Address Book",1983,"Could this be ""Dunham"" Mall?: https://downtownpittsfield.com/2018/04/dunham-mall-residences-20-dunham-mall-pittsfield-ma-01201/"
"Dutch's","(Disco)","Restaurant,Bars/Clubs","Saginaw","MI","United States","Bob Damron's Address Book",1981,""
"Dutch's","(Disco)","Bars/Clubs,Restaurant","Saginaw","MI","United States","Bob Damron's Address Book",1983,""
"Duval Street","(Some L)(C-AH)","Bars/Clubs","Hyannis","MA","United States","Bob Damron's Address Book",1983,""
"E-Ramp","(Some SM, W)","Bars/Clubs","Detroit","MI","United States","Bob Damron's Address Book",1983,""
"E-Z Cafe","(6am to 10pm)","Restaurant","Paia","HI","United States","Bob Damron's Address Book",1981,""
"E. 5th St.","betw. Brown & Wayne","Cruising Areas","Dayton","OH","United States","Bob Damron's Address Book",1981,""
"E. Washington Book Mart","","Book Store","Indianapolis","IN","United States","Bob Damron's Address Book",1981,""
"E.J.'s","","Bars/Clubs","Houston","TX","United States","Bob Damron's Address Book",1983,""
"Eager St. Saloon","(Adjoins Hippo-opens 4pm) at Charles","Bars/Clubs","Baltimore","MD","United States","Bob Damron's Address Book",1981,""
"Eagle II (M)(R)","(Open 24 hrs) betw.Walnut & Locust","Restaurant","Philadelphia","PA","United States","Bob Damron's Address Book",1983,""
"Eagle Leather","(Clothing, etc.)","Erotic Shop","Dallas","TX","United States","Bob Damron's Address Book",1983,""
"Eagle's Nest","(Tops' in the area)(Disco)(PT & cruisy game room downstairs)(Muskegon Heights)","Bars/Clubs,Cruising Areas","Muskegon","MI","United States","Bob Damron's Address Book",1981,""
"Eagle's Nest","(Disco)(Muskegon Heights)","Bars/Clubs","Muskegon","MI","United States","Bob Damron's Address Book",1983,""
"Eagle's Nest Lounge","Holiday Inn","Bars/Clubs,Hotel","Pittsfield","MA","United States","Bob Damron's Address Book",1981,""
