"","title","description","type","amenityfeatures","city","state","Year","notes","publication","country"
"4060","Our Horizons","(Publication)","Publication","","Milwaukee","WI",1983,"","Bob Damron's Address Book","United States"
"4061","Our House Lounge","(Upstairs disco - looks promising)","Bars/Clubs","","Hot Springs","AR",1981,"","Bob Damron's Address Book","United States"
"4062","Our House Lounge","(Upstairs disco)","Bars/Clubs","(D),(*)","Hot Springs","AR",1983,"","Bob Damron's Address Book","United States"
"4063","Our Place","(Best late after liquor bars close)","Bars/Clubs","(*)","Columbia","SC",1981,"","Bob Damron's Address Book","United States"
"4064","Our Place","(Some L)(WE*)","Bars/Clubs","(PT),(WE),(D),(L),(*)","Salina","KS",1981,"","Bob Damron's Address Book","United States"
"4065","Our Place","(Disco) betw. 8th & 9th","Bars/Clubs","(L),(PT),(D)","Des Moines","IA",1981,"","Bob Damron's Address Book","United States"
"4066","Our Place","('Mixed bag')","Bars/Clubs","(*)","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"4067","Our Place","","Bars/Clubs","(L),(OC)","Oklahoma City","OK",1981,"","Bob Damron's Address Book","United States"
"4068","Our Place","(WE*) (Many L)(Country-Western)(Disco)","Bars/Clubs","(D),(L),(WE),(*)","San Antonio","TX",1981,"","Bob Damron's Address Book","United States"
"4069","Our Place","(Late)","Bars/Clubs","(*)","Columbia","SC",1983,"","Bob Damron's Address Book","United States"
"4070","Our Place","(Some W, SM)(Patio) betw. Alabama & Delaware","Bars/Clubs","(W),(SM),(PT),(*)","Indianapolis","IN",1983,"","Bob Damron's Address Book","United States"
"4071","Our Place","(Some YC, L)(Disco) betw. 8th & 9th","Bars/Clubs","(YC),(L),(PT),(D),(*)","Des Moines","IA",1983,"","Bob Damron's Address Book","United States"
"4072","Our Place","(Many L)(Disco)(WE*)","Bars/Clubs","(L),(C&W),(D),(WE),(*)","San Antonio","TX",1983,"","Bob Damron's Address Book","United States"
"4073","Our Place","(Some L)(WE*)","Bars/Clubs","(L),(PT),(D),(WE),(*)","Salina","KS",1983,"","Bob Damron's Address Book","United States"
"4074","Our Place","","Bars/Clubs","(OC),(L)","Oklahoma City","OK",1983,"","Bob Damron's Address Book","United States"
"4075","Our Place","(Some W, L)","Bars/Clubs","(P),(W),(L),(PT),(D)","Longview","TX",1983,"","Bob Damron's Address Book","United States"
"4076","Our World","(Disco)","Bars/Clubs","(D)","Mount Clemens","MI",1983,"","Bob Damron's Address Book","United States"
"4077","Out","(Publication)","Publication","","Pittsburgh","PA",1983,"","Bob Damron's Address Book","United States"
"4078","Out","(Publication) Suite 302","Publication","","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"4079","Out Front","(Publication)","Publication","","Denver","CO",1983,"","Bob Damron's Address Book","United States"
"4080","Out In Montana","(Call for social & other info statewide) (406) 728-6589","Hotline","","Missoula","MT",1983,"","Bob Damron's Address Book","United States"
"4081","Out of the Closet","(Cards etc.)","Bars/Clubs","","Seattle","WA",1983,"","Bob Damron's Address Book","United States"
"4082","Outlaw","","Bars/Clubs","(W),(SM),(*)","Detroit","MI",1981,"","Bob Damron's Address Book","United States"
"4083","Outlaw","","Bars/Clubs,Cruising Areas","(W),(SM),(FFA),(*)","Detroit","MI",1983,"","Bob Damron's Address Book","United States"
"4084","Outlet and Malley Dept. Store","2nd floor T-Room","Cruising Areas","Cruisy Area,(AYOR)","Providence","RI",1983,"Address found here: https://www.riamco.org/render?eadid=US-RP-VM019&view=biography","Bob Damron's Address Book","United States"
"4085","Outpose","(Some W)","Bars/Clubs","(W)","McAllen","TX",1981,"","Bob Damron's Address Book","United States"
"4086","Outpost","","Restaurant","(M),(R)","Beverly Shores","IN",1981,"","Bob Damron's Address Book","United States"
"4087","Outpost","at Rogers Ave.","Restaurant","(M),(R)","Beverly Shores","IN",1983,"","Bob Damron's Address Book","United States"
"4088","Outrigger","Viva Motel","Bars/Clubs,Restaurant","(R),(D)","Oklahoma City","OK",1981,"","Bob Damron's Address Book","United States"
"4089","Oval Beach","(Adm. chg.) 1/2 mi. N. of parking lot beyond straight beach","Cruising Areas","Cruisy Area,(P)","Saugatuck","MI",1981,"","Bob Damron's Address Book","United States"
"4090","Oval Beach","(Adm. chg.) 1/2 mi. N . of parking lot beyond straight beach","Cruising Areas","Cruisy Area,(P)","Saugatuck","MI",1983,"","Bob Damron's Address Book","United States"
"4091","Over 19 Adult Center","","Bars/Clubs","(*)","Boise","ID",1981,"","Bob Damron's Address Book","United States"
"4092","Over 19 Adult Center","","Erotic Shop","(*)","Boise","ID",1983,"","Bob Damron's Address Book","United States"
"4093","Over the Rainbow","(Disco) Key West Motel","Bars/Clubs","(M),(D)","Asbury Park","NJ",1983,"","Bob Damron's Address Book","United States"
"4094","Over-The-Waves","(Late nights - Summers only)","Restaurant","(M),(R)","Lincoln City","OR",1981,"","Bob Damron's Address Book","United States"
"4095","Over-The-Waves","(Late nights - summers only)","Restaurant","(M),(R)","Lincoln City","OR",1983,"","Bob Damron's Address Book","United States"
"4096","Overton Park","","Cruising Areas","Cruisy Area","Memphis","TN",1981,"","Bob Damron's Address Book","United States"
"4097","Overton Park","","Cruising Areas","Cruisy Area,(AYOR),(*)","Memphis","TN",1983,"","Bob Damron's Address Book","United States"
"4098","Owensboro Motor Inn Lounge","","Bars/Clubs","(M)","Owensboro","KY",1981,"","Bob Damron's Address Book","United States"
"4099","Owensboro Motor Inn Lounge","","Bars/Clubs","(M)","Owensboro","KY",1983,"","Bob Damron's Address Book","United States"
"4100","Owl & Pussycat","(L -only)","Bars/Clubs","(L)","Asbury Park","NJ",1981,"","Bob Damron's Address Book","United States"
"4101","Owl & Pussycat","Key West Motel","Bars/Clubs","(L)","Asbury Park","NJ",1983,"Location found here: https://yellow.place/en/key-west-hotel-owl-pussycat-asbury-park-usa","Bob Damron's Address Book","United States"
"4102","Owl Book Store","","Book Store","","Phoenix","AZ",1981,"","Bob Damron's Address Book","United States"
"4103","Oxford Book Store","(Cruisy)","Cruising Areas,Book Store","","Detroit","MI",1981,"","Bob Damron's Address Book","United States"
"4104","P Street--Atlanta","(Clothing)","Business","","Atlanta","GA",1983,"","Bob Damron's Address Book","United States"
"4105","P.B.L. Club","(L - only)","Bars/Clubs","(P),(L)","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"4106","P.J.'s","(Pizza)","Restaurant","(R),(E)","Philadelphia","PA",1981,"","Bob Damron's Address Book","United States"
"4107","P.J.'s","(Disco in basement)(Mon Petite Cabaret- Occ. S - upstairs) 114 W. McMillan (Clifton)","Bars/Clubs","(YC),(S)","Cincinnati","OH",1981,"","Bob Damron's Address Book","United States"
"4108","P.J.'s","(Some hustlers)","Bars/Clubs","","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"4109","P.S. Lounge","(L-only)(Disco)","Bars/Clubs","(D),(PT),(L)","Des Moines","IA",1981,"","Bob Damron's Address Book","United States"
"4110","P.W. Bump's","(Many L)","Bars/Clubs","(L),(C&W),(D)","Memphis","TN",1983,"","Bob Damron's Address Book","United States"
"4111","P.W. Hoseapples","(Some L)(Wed. & Thur. nites only)","Bars/Clubs,Restaurant","(M),(YC),(L),(D),(R)","Moscow","ID",1983,"","Bob Damron's Address Book","United States"
"4112","P's","(Levi cruise bar)('W ild back room')(Closed Sundays) Ponce de Leon Hotel","Bars/Clubs,Hotel","(SM),(W),(*)","Atlanta","GA",1981,"","Bob Damron's Address Book","United States"
"4113","P's","Ponce de Leon Hotel","Bars/Clubs,Hotel","(*),(SM),(W)","Atlanta","GA",1983,"","Bob Damron's Address Book","United States"
"4114","Pacific Ave.","betw. 13th & 15th","Cruising Areas","Cruisy Area","Tacoma","WA",1983,"","Bob Damron's Address Book","United States"
"4115","Paddock Club","(Disco)(Opens 8pm)","Bars/Clubs","(P),(D)","Greenville","NC",1981,"","Bob Damron's Address Book","United States"
"4116","Paddock Club","(Disco)(Opens 8pm)","Bars/Clubs","(P),(D)","Greenville","NC",1983,"","Bob Damron's Address Book","United States"
"4117","Paddock Tavern","(Some W, SM)(Cruisy)","Restaurant,Cruising Areas","(*),(W),(SM),(PT),(R)","Norfolk","VA",1981,"","Bob Damron's Address Book","United States"
"4118","Page IV Book Store","('Wild back room')","Book Store","(*)","Des Moines","IA",1981,"","Bob Damron's Address Book","United States"
"4119","Page IV Book Store","('Wild back room')","Book Store","(*)","Des Moines","IA",1983,"","Bob Damron's Address Book","United States"
"4120","Paintin' Place","(Military)","Bars/Clubs","(M)","Bellevue","NE",1981,"","Bob Damron's Address Book","United States"
"4121","Palm Court","at St. Ann","Restaurant","(R)","New Orleans","LA",1983,"","Bob Damron's Address Book","United States"
"4122","Palmer Park","'Chicken' Fountain, Duck Pond and Foot Paths","Cruising Areas","Cruisy Area,(AYOR)","Detroit","MI",1981,"","Bob Damron's Address Book","United States"
"4123","Palmer Park","'Chicken' Fountain, Duck Pond and Foot Paths","Cruising Areas","Cruisy Area,(AYOR)","Detroit","MI",1983,"","Bob Damron's Address Book","United States"
"4124","Palms Cafe","(Open until 3am)","Restaurant","(M),(R),(C)","Madison","WI",1981,"","Bob Damron's Address Book","United States"
"4125","Palms Cafe","(Open until 3am)","Restaurant","(M),(R),(C)","Madison","WI",1983,"","Bob Damron's Address Book","United States"
"4126","Pals Four","","Restaurant","(M),(R),(C),(AH)","New Bedford","MA",1981,"","Bob Damron's Address Book","United States"
"4127","Panther Path","","Bars/Clubs","(M),(YC)","Coshocton","OH",1981,"","Bob Damron's Address Book","United States"
"4128","Pantry","(E. Lansing)","Restaurant","(R),(C),(AH)","Lansing","MI",1983,"","Bob Damron's Address Book","United States"
"4129","Papa Joe's","(Some L, RT )(Doing better since 3 Sons burned)","Bars/Clubs","(RT),(L),(PT),(D)","Grand Rapids","MI",1981,"","Bob Damron's Address Book","United States"
"4130","Papa Joe's","(Best Sats.)(Disco)","Restaurant,Bars/Clubs","(R),(YC),(D),(L),(M),(*)","Augusta","ME",1983,"","Bob Damron's Address Book","United States"
"4131","Papa Joe's","(Some L, RT)","Bars/Clubs","(L),(RT),(PT),(D)","Grand Rapids","MI",1983,"","Bob Damron's Address Book","United States"
"4132","Papago Park","","Cruising Areas","Cruisy Area,(AYOR)","Phoenix","AZ",1981,"","Bob Damron's Address Book","United States"
"4133","Papago Park","(Southern part)","Cruising Areas","Cruisy Area","Tempe","AZ",1983,"","Bob Damron's Address Book","United States"
"4134","Papagp Park","","Cruising Areas","Cruisy Area,(AYOR)","Phoenix","AZ",1983,"","Bob Damron's Address Book","United States"
"4135","Paper Moon","(Books, etc.)","Book Store","","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"4136","Paperback Booksmith","(Books)","Book Store","(M)","Boston","MA",1981,"","Bob Damron's Address Book","United States"
"4137","Paperback Booksmith","(Books)","Book Store","(*),(M)","Boston","MA",1983,"","Bob Damron's Address Book","United States"
"4138","Paperback Mart","","Book Store","","Huntington","WV",1983,"","Bob Damron's Address Book","United States"
"4139","Papillon","(Macho)(Disco)","Bars/Clubs","(YC),(L),(D),(PT),(*)","Lubbock","TX",1983,"","Bob Damron's Address Book","United States"
"4140","Parade","(New 'super' Disco)","Bars/Clubs","(*),(D),(YC)","Houston","TX",1981,"","Bob Damron's Address Book","United States"
"4141","Paradise Adult Books & Movies","('Wild back room')","Erotic Shop,Book Store","","Milwaukee","WI",1981,"","Bob Damron's Address Book","United States"
"4142","Paradise Books","('Wild movie arcade')","Book Store","(*)","Milwaukee","WI",1983,"","Bob Damron's Address Book","United States"
"4143","Paradise Club","(Cruisy)(Closes 1am)","Bars/Clubs,Cruising Areas","(*),(YC)","Cambridge","MA",1981,"","Bob Damron's Address Book","United States"
"4144","Paradise Club","(Cruisy)(Closes 1am )","Bars/Clubs,Cruising Areas","(*),(YC)","Cambridge","MA",1983,"","Bob Damron's Address Book","United States"
"4145","Paradise Cove","(Sat. & Sun. only) off 66N., 5 mi. from Leechburg","Bars/Clubs,Restaurant","(D),(R),(*)","Pittsburgh","PA",1981,"","Bob Damron's Address Book","United States"
"4146","Paradise Cove Hotel","(Disco)(WE*) N. of Leechburg, on Schenley Rd.","Bars/Clubs,Restaurant,Hotel","(WE),(R),(H),(PT),(YC),(D),(*)","Schenley","PA",1983,"","Bob Damron's Address Book","United States"
"4147","Paradise Guest House","","Hotel","(H)","Rehoboth Beach","DE",1983,"","Bob Damron's Address Book","United States"
"4148","Paradise Inn","","Bars/Clubs","","Cleveland","OH",1983,"","Bob Damron's Address Book","United States"
"4149","Paragon","(Very M)(Disco)","Bars/Clubs","(M),(D)","Aspen","CO",1981,"","Bob Damron's Address Book","United States"
"4150","Paragon","(Many L)(Disco)","Bars/Clubs","(L)","Akron","OH",1983,"","Bob Damron's Address Book","United States"
"4151","Paragon","(Very M)(Disco)","Bars/Clubs","(M),(D)","Aspen","CO",1983,"","Bob Damron's Address Book","United States"
"4152","Paramount Steak House","","Restaurant","(*),(R)","Washington","DC",1981,"","Bob Damron's Address Book","United States"
"4153","Paramount Steak House","","Restaurant","(R),(*)","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"4154","Paris Book Store","","Book Store","(*)","Lewiston","ME",1981,"","Bob Damron's Address Book","United States"
"4155","Paris Book Store","","Book Store","(*)","Lewiston","ME",1983,"","Bob Damron's Address Book","United States"
"4156","Paris Cinema","(Cruisy)","Theatre,Cruising Areas","","Providence","RI",1981,"","Bob Damron's Address Book","United States"
"4157","Paris Cinema","(Cruisy)","Cruising Areas,Theatre","","Providence","RI",1983,"","Bob Damron's Address Book","United States"
"4158","Paris News","","Book Store","(*)","San Antonio","TX",1981,"","Bob Damron's Address Book","United States"
"4159","Paris News","","Book Store","","San Antonio","TX",1983,"","Bob Damron's Address Book","United States"
"4160","Park","","Cruising Areas","Cruisy Area","Saugatuck","MI",1981,"","Bob Damron's Address Book","United States"
"4161","Park","along Front St. by Susquehanna River","Cruising Areas","Cruisy Area,(AYOR)","Harrisburg","PA",1981,"","Bob Damron's Address Book","United States"
"4162","Park","","Cruising Areas","Cruisy Area","Saugatuck","MI",1983,"","Bob Damron's Address Book","United States"
"4163","Park","along Front St. by Susquehanna River","Cruising Areas","Cruisy Area,(AYOR)","Harrisburg","PA",1983,"","Bob Damron's Address Book","United States"
"4164","Park","by river nr. Greenlawn Ave. (AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Columbus","OH",1983,"","Bob Damron's Address Book","United States"
"4165","Park Ave.","N. of Monument Square","Cruising Areas","Cruisy Area","Baltimore","MD",1981,"","Bob Damron's Address Book","United States"
"4166","Park Avenue","(Disco)(Sundays only -otherwise straight)","Bars/Clubs","(D)","Milwaukee","WI",1983,"","Bob Damron's Address Book","United States"
"4167","Park Avenue Baths","(Best days)","Bathhouses","","Detroit","MI",1981,"","Bob Damron's Address Book","United States"
"4168","Park Avenue Baths","(Best days)","Bathhouses","","Detroit","MI",1983,"","Bob Damron's Address Book","United States"
"4169","Park Bench","(Liquor)","Restaurant","(R),(*)","Seattle","WA",1981,"","Bob Damron's Address Book","United States"
"4170","Park Bench","(Liquor)","Restaurant","(R),(*)","Seattle","WA",1983,"","Bob Damron's Address Book","United States"
"4171","Park Books","","Book Store","","Cleveland","OH",1983,"","Bob Damron's Address Book","United States"
"4172","Park by river","nr. Greenlawn Ave.","Cruising Areas","Cruisy Area","Columbus","OH",1981,"","Bob Damron's Address Book","United States"
"4173","Park City Shopping Center","","Cruising Areas","Cruisy Area","Lancaster","PA",1981,"","Bob Damron's Address Book","United States"
"4174","Park City Shopping Center","","Cruising Areas","Cruisy Area","Lancaster","PA",1983,"","Bob Damron's Address Book","United States"
"4175","Park Place","(Some Hip, YC, L)(Disco)","Bars/Clubs","(D),(YC),(L),(Hip)","Des Moines","IA",1981,"","Bob Damron's Address Book","United States"
"4176","Park Square","Old Town Hall & Church steps","Cruising Areas","Cruisy Area","Pittsfield","MA",1981,"","Bob Damron's Address Book","United States"
"4177","Park Square","Old Town Hall & Church steps","Cruising Areas","Cruisy Area","Pittsfield","MA",1983,"","Bob Damron's Address Book","United States"
"4178","Park Strip","","Cruising Areas","Cruisy Area","Anchorage","AK",1983,"","Bob Damron's Address Book","United States"
"4179","Park Strip","","Cruising Areas","Cruisy Area","Anchorage","AK",1983,"","Bob Damron's Address Book","United States"
"4180","Park Strip at 9th & 'L' Sts.","","Cruising Areas","Cruisy Area","Anchorage","AK",1981,"","Bob Damron's Address Book","United States"
"4181","Parker's","('Hustle's')","Bars/Clubs","(B),(RT)","Baltimore","MD",1981,"","Bob Damron's Address Book","United States"
"4182","Parkers News","(Cruisy)","Cruising Areas,Book Store","","High Point","NC",1983,"","Bob Damron's Address Book","United States"
"4183","Parking lot","opp. Methodist Church","Cruising Areas","Cruisy Area,(AYOR)","Greenville","SC",1981,"","Bob Damron's Address Book","United States"
"4184","Parking lot","opp. Methodist Church","Cruising Areas","Cruisy Area,(AYOR)","Greenville","SC",1983,"","Bob Damron's Address Book","United States"
"4185","Parking lot","behind Bulldog","Cruising Areas","Cruisy Area","Atlanta","GA",1983,"","Bob Damron's Address Book","United States"
"4186","Parking Lot behind Gimbel's","T-Room","Cruising Areas","Cruisy Area,(AYOR)","Appleton","WI",1983,"","Bob Damron's Address Book","United States"
"4187","Parkway","","Bars/Clubs","(RT),(M)","New Haven","CT",1981,"","Bob Damron's Address Book","United States"
"4188","Parkway","","Bars/Clubs","(M),(RT)","New Haven","CT",1983,"","Bob Damron's Address Book","United States"
"4189","Parkway Theatre","","Cruising Areas,Theatre","Cruisy Area","Milwaukee","WI",1981,"","Bob Damron's Address Book","United States"
"4190","Parkway Theatre","","Cruising Areas,Theatre","Cruisy Area","Milwaukee","WI",1983,"","Bob Damron's Address Book","United States"
"4191","Parma Theater","T-Room","Cruising Areas","Cruisy Area","Cleveland","OH",1981,"","Bob Damron's Address Book","United States"
"4192","Parr of Arizona","(Clothing)","Business","","Phoenix","AZ",1981,"","Bob Damron's Address Book","United States"
"4193","Parsonage","(Some B)(Disco)","Bars/Clubs,Restaurant","(B),(D),(R)","Detroit","MI",1983,"","Bob Damron's Address Book","United States"
"4194","Partners","(Super bar - cruisy main floor)(Disco)(D upstairs & L - D in basement) (Game rooms)","Bars/Clubs,Cruising Areas","(*),(YC),(L),(D)","New Haven","CT",1981,"","Bob Damron's Address Book","United States"
"4195","Partners","(Super bar - cruisy main floor)(Disco)(D upstairs & L - D in basement)(Game rooms)","Bars/Clubs,Cruising Areas","(*),(YC),(D),(L)","New Haven","CT",1983,"","Bob Damron's Address Book","United States"
"4196","Passing Fancy","(Books, erotica, etc.)","Erotic Shop,Book Store","","Hartford","CT",1983,"","Bob Damron's Address Book","United States"
"4197","Pat's Cocktail Center","(Some L)","Bars/Clubs","(*),(L),(PT)","Waikiki","HI",1983,"","Bob Damron's Address Book","United States"
"4198","Patches","","Restaurant,Bars/Clubs","(R),(E)","Cincinnati","OH",1983,"","Bob Damron's Address Book","United States"
"4199","Pathway Lounge","(Latins)","Bars/Clubs","(RT),(B)","Jersey City","NJ",1981,"","Bob Damron's Address Book","United States"
"4200","Pathway Lounge","(Latins)","Bars/Clubs","(RT),(B)","Jersey City","NJ",1983,"","Bob Damron's Address Book","United States"
"4201","Patsy's","","Bars/Clubs","(M),(S)","New Orleans","LA",1981,"","Bob Damron's Address Book","United States"
"4202","Patterson Park","","Cruising Areas","Cruisy Area,(RT)","Baltimore","MD",1981,"","Bob Damron's Address Book","United States"
"4203","Patterson Park","(Sure suicide)","Cruising Areas","Cruisy Area,(RT)","Baltimore","MD",1983,"","Bob Damron's Address Book","United States"
"4204","Paul's Lounge","(3 rooms)","Bars/Clubs","(PT),(D),(YC),(*)","Reno","NV",1981,"","Bob Damron's Address Book","United States"
"4205","Paul's Lounge","","Bars/Clubs","(YC),(D),(PT)","Reno","NV",1983,"","Bob Damron's Address Book","United States"
"4206","Paw Paw's Cajun Country","","Bars/Clubs","","New Orleans","LA",1983,"","Bob Damron's Address Book","United States"
"4207","Payless Bookstore","","Book Store","","Spokane","WA",1983,"","Bob Damron's Address Book","United States"
"4208","Peaches","(WE*)(Some W, YC, L)(Disco)(Occ. S)","Bars/Clubs","(WE),(D),(W),(YC),(L),(S),(*)","Lubbock","TX",1981,"","Bob Damron's Address Book","United States"
"4209","Peachtree Manor Hotel","","Hotel","(H)","Atlanta","GA",1983,"","Bob Damron's Address Book","United States"
"4210","Peachtree St.","","Cruising Areas","Cruisy Area","Princeton","NJ",1981,"","Bob Damron's Address Book","United States"
"4211","Peachtree St.","","Cruising Areas","Cruisy Area","Princeton","NJ",1983,"","Bob Damron's Address Book","United States"
"4212","Peacock","","Bars/Clubs","","Dallas","TX",1981,"","Bob Damron's Address Book","United States"
"4213","Peacock","(Some L)","Bars/Clubs","(D),(*),(YC),(L)","Augusta","GA",1981,"","Bob Damron's Address Book","United States"
"4214","Peacock","","Bars/Clubs","","Dallas","TX",1983,"","Bob Damron's Address Book","United States"
"4215","Peacock Lounge","Holiday Inn US Hwy. 45 at 5th St. N.","Bars/Clubs","(M)","Columbus","MS",1981,"","Bob Damron's Address Book","United States"
"4216","Peacock Lounge","Holiday Inn at 5th St. N .","Bars/Clubs","(M)","Columbus","MS",1983,"","Bob Damron's Address Book","United States"
"4217","Pearl St.","from Harrison to Ewing","Cruising Areas","Cruisy Area","Ft. Wayne","IN",1981,"","Bob Damron's Address Book","United States"
"4218","Pearl St.","from Harrison to Ewing","Cruising Areas","Cruisy Area","Ft. Wayne","IN",1983,"","Bob Damron's Address Book","United States"
"4219","Pearl St. Mall","","Cruising Areas","Cruisy Area","Boulder","CO",1981,"","Bob Damron's Address Book","United States"
"4220","Pearl St. Mall","","Cruising Areas","Cruisy Area","Boulder","CO",1983,"","Bob Damron's Address Book","United States"
"4221","Peasant Uptown","","Restaurant","(M),(R)","Atlanta","GA",1981,"","Bob Damron's Address Book","United States"
"4222","Peasant Uptown","","Restaurant","(M),(R)","Atlanta","GA",1983,"","Bob Damron's Address Book","United States"
"4223","Pease Park","footpath off Lamar","Cruising Areas","Cruisy Area","Austin","TX",1981,"","Bob Damron's Address Book","United States"
"4224","Pease Park","footpath off Lamar","Cruising Areas","Cruisy Area","Austin","TX",1983,"","Bob Damron's Address Book","United States"
"4225","Peek-O -Rama","(Books & arcade) (See Talk of the Town)","Book Store","(*)","Las Vegas","NV",1983,"","Bob Damron's Address Book","United States"
"4226","Peek-O-Rama","(Books & arcade) (See Talk of the Town)","Book Store,Business","(*)","Las Vegas","NV",1981,"","Bob Damron's Address Book","United States"
"4227","Peek-O-Rama Adult Books","","Book Store","(*)","Louisville","KY",1981,"","Bob Damron's Address Book","United States"
"4228","Peek-O-Rama Adult Books","","Book Store","(*)","Louisville","KY",1983,"","Bob Damron's Address Book","United States"
"4229","Peep-O-Rama Screening Room","(Adult books & cruisy back room)","Book Store,Erotic Shop,Cruising Areas","(*)","Waikiki","HI",1981,"","Bob Damron's Address Book","United States"
"4230","Peep-O-Rama Screening Room","(Adult books & cruisy back room)","Book Store,Cruising Areas","(*)","Waikiki","HI",1983,"","Bob Damron's Address Book","United States"
"4231","Pegasus","(7th & Linden Sts.)","Bars/Clubs","(D)","Camden","NJ",1983,"","Bob Damron's Address Book","United States"
"4232","Pegasus Books","","Book Store","(M)","Eugene","OR",1981,"","Bob Damron's Address Book","United States"
"4233","Pegasus Complex","(Opening '80)(Disco)(C - AH - WE)(Some W, SM)","Bars/Clubs","(P),(D),(E),(C),(AH),(WE),(W),(SM)","Kansas City","MO",1981,"","Bob Damron's Address Book","United States"
"4234","Pegasus Lounge","(Disco)(Occ. S)","Bars/Clubs","(*),(D),(E),(S)","Pittsburgh","PA",1983,"","Bob Damron's Address Book","United States"
"4235","Pendulum Dance Hall","(D - upstairs)","Bars/Clubs","(*),(L),(D)","Memphis","TN",1983,"","Bob Damron's Address Book","United States"
"4236","Penelope's","Inquire locally","Restaurant","(M),(R),(YC)","Springfield","VT",1981,"","Bob Damron's Address Book","United States"
"4237","Penn Ave.","nr. Bus Depot","Cruising Areas","Cruisy Area","Pittsburgh","PA",1981,"","Bob Damron's Address Book","United States"
"4238","Penn Ave.","nr. Bus Depot","Cruising Areas","Cruisy Area","Pittsburgh","PA",1983,"","Bob Damron's Address Book","United States"
"4239","Penn Beaver Hotel Bar","","Bars/Clubs,Hotel","(M)","Rochester","PA",1983,"","Bob Damron's Address Book","United States"
"4240","Penn Center","T-Rooms","Cruising Areas","Cruisy Area,(AYOR)","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"4241","Penn St.","Hetzel Union Bldg. - Main floor T-Room (AYOR - 'Fuzz')","Cruising Areas","Cruisy Area,(AYOR)","State College","PA",1981,"","Bob Damron's Address Book","United States"
"4242","Penn St. - Hetzel Union Bldg.","Main floor T-Room (AYOR - 'Fuzz')","Cruising Areas","Cruisy Area,(AYOR)","State College","PA",1983,"","Bob Damron's Address Book","United States"
"4243","Penney's & Sears Mall","","Cruising Areas","Cruisy Area","Anchorage","AK",1983,"","Bob Damron's Address Book","United States"
"4244","Penny's & Sears Mall","","Cruising Areas","Cruisy Area","Anchorage","AK",1981,"","Bob Damron's Address Book","United States"
"4245","Penny's T-Room","(Quintard)","Cruising Areas","Cruisy Area","Anniston","AL",1983,"","Bob Damron's Address Book","United States"
"4246","Penny's T-Room - Quintard","","Cruising Areas","Cruisy Area","Anniston","AL",1981,"","Bob Damron's Address Book","United States"
"4247","Penrose Club","(Disco)","Bars/Clubs","(P),(AH),(D),(*)","Philadelphia","PA",1981,"","Bob Damron's Address Book","United States"
"4248","Penrose Club","(Disco)","Bars/Clubs","(*),(P),(AH),(D)","Philadelphia","PA",1983,"","Bob Damron's Address Book","United States"
"4249","Pentecost","(Church)","Religious Institution","","Omaha","NE",1983,"","Bob Damron's Address Book","United States"
"4250","Peoples Choice Cafe","Inquire locally","Restaurant","(M),(YC),(R),(WE)","Hegins","PA",1981,"","Bob Damron's Address Book","United States"
"4251","Peppino's Too","(Italian)","Restaurant","(M),(R)","Dallas","TX",1983,"","Bob Damron's Address Book","United States"
"4252","Perkin's Cake'n'Steak","","Restaurant","(M),(R),(C),(AH)","Green Bay","WI",1981,"","Bob Damron's Address Book","United States"
"4253","Perkin's Cake'n'Steak","","Restaurant","(M),(R),(C),(AH)","Green Bay","WI",1983,"","Bob Damron's Address Book","United States"
"4254","Perkin's Pancake House","(AH*)","Restaurant","(M),(R),(C),(AH),(*)","Omaha","NE",1983,"","Bob Damron's Address Book","United States"
"4255","Perkins","","Restaurant","(M),(R),(C),(AH)","Appleton","WI",1981,"","Bob Damron's Address Book","United States"
"4256","Perkins","","Restaurant","(M),(R),(C),(AH)","Appleton","WI",1983,"","Bob Damron's Address Book","United States"
"4257","Persad","(Counseling & Info) (412) 441-0857","Community Center/Support Group,Hotline","","Pittsburgh","PA",1983,"","Bob Damron's Address Book","United States"
"4258","Pet Shop II","(Latins, hustlers)","Bars/Clubs","","El Paso","TX",1983,"","Bob Damron's Address Book","United States"
"4259","Pete's Bouy","","Hotel","(H)","Provincetown","MA",1981,"","Bob Damron's Address Book","United States"
"4260","Pete's Bouy","","Hotel","(H)","Provincetown","MA",1983,"","Bob Damron's Address Book","United States"
"4261","Pete's Pub","(Some L)(Sundays*)","Bars/Clubs","(D),(L),(*)","Kansas City","KS",1981,"","Bob Damron's Address Book","United States"
"4262","Pete's Pub","(Some L)(Fri.-Sun. only*)","Bars/Clubs","(D),(L),(*)","Kansas City","KS",1983,"","Bob Damron's Address Book","United States"
"4263","Pete's Taj Mahal","(Open days)","Bars/Clubs","(*),(D),(P)","Tulsa","OK",1981,"","Bob Damron's Address Book","United States"
"4264","Pete's Taj Mahal","(Open days)","Bars/Clubs","(P),(D),(*)","Tulsa","OK",1983,"","Bob Damron's Address Book","United States"
